date,time,open,high,low,close
20171225,0,8118,8157,8060,8095
20171226,0,8105,8144,8079,8090
20171227,0,8094,8109,8067,8086
20171228,0,8092,8145,8088,8104
20171229,0,8106,8122,8078,8088
20180102,0,8088,8106,8086,8101
20180103,0,8103,8122,8088,8094
20180104,0,8098,8114,8076,8092
20180105,0,8098,8111,8082,8099
20180108,0,8103,8103,8080,8084
20180109,0,8086,8090,7933,7966
20180110,0,7956,7980,7933,7938
20180111,0,7931,7953,7854,7865
20180112,0,7821,7855,7784,7787
20180115,0,7763,7795,7758,7777
20180116,0,7764,7815,7711,7723
20180117,0,7736,7744,7658,7670
20180118,0,7668,7708,7666,7671
20180119,0,7670,7701,7641,7657
20180122,0,7682,7708,7667,7697
20180123,0,7714,7740,7681,7699
20180124,0,7706,7708,7664,7677
20180125,0,7687,7701,7657,7661
20180126,0,7668,7699,7660,7683
20180129,0,7691,7697,7554,7560
20180130,0,7551,7568,7510,7512
20180131,0,7510,7543,7461,7487
20180201,0,7492,7515,7434,7434
20180202,0,7448,7462,7367,7372
20180205,0,7360,7382,7321,7334
20180206,0,7329,7372,7275,7278
20180207,0,7278,7293,6956,6956
20180208,0,6890,6890,6662,6754
20180209,0,6762,6828,6697,6745
20180212,0,6751,6941,6731,6803
20180213,0,6805,6848,6740,6765
20180214,0,6796,6821,6553,6621
20180222,0,6591,6623,6480,6481
20180223,0,6480,6846,6471,6846
20180226,0,6955,7064,6883,6956
20180227,0,6945,7150,6889,7083
20180228,0,7082,7124,7036,7098
20180301,0,7090,7188,7050,7131
20180305,0,7005,7052,6944,7026
20180306,0,7030,7310,7018,7218
20180307,0,7216,7238,7149,7185
20180308,0,7182,7200,7083,7132
20180309,0,7132,7249,7114,7212
20180312,0,7251,7313,7004,7030
20180313,0,7029,7085,6982,7042
20180314,0,7036,7068,6993,7023
20180315,0,7004,7004,6892,6923
20180316,0,6918,7052,6906,7048
20180319,0,7045,7082,6976,7030
20180320,0,7015,7029,6945,7000
20180321,0,7012,7145,7006,7075
20180322,0,7394,7394,7198,7217
20180323,0,7190,7368,7145,7345
20180326,0,7370,7421,7307,7399
20180327,0,7412,7420,7261,7303
20180328,0,7306,7357,7253,7332
20180329,0,7336,7339,7190,7224
20180330,0,7240,7293,7174,7270
20180402,0,7302,7445,7237,7419
20180403,0,7406,7437,7356,7401
20180404,0,7400,7420,7176,7194
20180409,0,7264,7346,7200,7319
20180410,0,7323,7373,7266,7313
20180411,0,7319,7399,7279,7324
20180412,0,7351.110478,7388.648064,7276.035308,7385.519932
20180413,0,7403.246014,7474.150342,7303.145786,7468.936788
20180416,0,7449.125285,7514.816059,7413.673121,7458.509681
20180417,0,7434.527335,7436.612756,7327.128132,7419.929385
20180418,0,7425.142938,7506.474374,7394.904328,7469.979499
20180419,0,7476.235763,7485.620159,7380.306378,7461.637813
20180420,0,7434.527335,7514.816059,7396.989749,7480.406606
20180423,0,7544.011959,7822.415718,7528.371298,7822.415718
20180424,0,7822.415718,7879.764806,7790.091686,7849.526196
20180425,0,7820.330296,7832.842825,7743.169704,7815.116743
20180426,0,7802.604214,8164.424829,7776.536446,8089.349658
20180427,0,8089.349658,8258.268793,7993.420273,8104.990319
20180502,0,8226.987472,8328.13041,8124.801822,8275.994875
20180503,0,8266.610478,8294.763667,8179.022779,8283.29385
20180504,0,8268.6959,8283.29385,8020.530752,8166.510251
20180507,0,8174.851936,8258.268793,8139.399772,8196.748861
20180508,0,8196.748861,8433.444191,8146.698747,8410.504556
20180509,0,8414.675399,8496.006834,8354.198178,8440.743166
20180510,0,8440.743166,8485.579727,8368.796128,8426.145216
20180511,0,8416.76082,8504.348519,8391.735763,8489.750569
20180514,0,8523.117312,8848.443052,8508.519362,8848.443052
20180515,0,8892.236902,9382.310934,8885.980638,9378.140091
20180516,0,9358.328588,9629.433371,9259.271071,9282.210706
20180517,0,9270.740888,9504.308087,9171.683371,9434.446469
20180518,0,9461.556948,9674.269932,9437.574601,9539.760251
20180521,0,9466.770501,9579.383257,9290.552392,9527.247722
20180522,0,9535.589408,9842.146355,9535.589408,9809.822323
20180523,0,9842.146355,9942.246583,9390.65262,9632.561503
20180524,0,9657.58656,9697.209567,9471.984055,9530.375854
20180525,0,9511.607062,9620.048975,9437.574601,9612.75
20180528,0,9651.330296,9712.850228,9470.941344,9474.069476
20180529,0,9493.880979,9707.636674,9427.147494,9690.953303
20180530,0,9671.1418,9785.839977,9599.194761,9671.1418
20180531,0,9718.063781,9951.630979,9661.757403,9704.508542
20180601,0,9704.508542,9808.779613,9671.1418,9800.437927
20180604,0,9800.437927,9824.420273,9635.689636,9746.21697
20180605,0,9751.430524,9770.199317,9355.200456,9530.375854
20180606,0,9509.52164,9588.767654,9470.941344,9525.162301
20180607,0,9546.016515,9578.340547,9439.660023,9512.649772
20180608,0,9479.28303,9479.28303,9026.746583,9026.746583
20180611,0,8946.457859,9142.487472,8946.457859,9107.035308
20180612,0,9117.462415,9525.162301,9103.907175,9525.162301
20180613,0,9534.546697,10008.980068,9527.247722,10002.723804
20180614,0,10010.022779,10078.841686,9859.872437,10021.492597
20180615,0,10088.226082,10377.056948,9889.068337,10365.58713
20180619,0,10433.363326,10641.905467,10206.052392,10439.61959
20180620,0,10426.064351,10426.064351,10012.1082,10062.158314
20180621,0,9957.887244,10072.585421,9588.767654,9588.767654
20180622,0,9603.365604,10010.022779,9572.084282,9988.125854
20180625,0,10040.26139,10096.567768,9691.996014,9773.327449
20180626,0,9723.277335,9796.267084,9491.795558,9738.917995
20180627,0,9749.345103,9842.146355,9605.451025,9691.996014
20180628,0,9728.490888,9935.990319,9720.149203,9888.025626
20180629,0,9884.897494,10129.93451,9780.626424,10097.610478
20180702,0,10041.3041,10102.824032,9762.900342,9798.352506
20180703,0,9783.754556,10020.449886,9728.490888,9950.588269
20180704,0,9914.093394,9957.887244,9760.81492,9817.121298
20180705,0,9770.199317,9800.437927,9578.340547,9728.490888
20180706,0,9801.480638,9895.324601,9624.219818,9773.327449
20180709,0,9842.146355,9931.819476,9709.722096,9892.196469
20180710,0,9892.196469,9957.887244,9825.462984,9869.256834
20180711,0,9749.345103,9896.367312,9697.209567,9864.04328
20180712,0,9897.410023,9933.904897,9762.900342,9763.943052
20180713,0,9738.917995,9778.541002,9615.878132,9711.807517
20180716,0,9676.355353,9722.234624,9582.51139,9641.9459
20180717,0,9652.373007,9693.038724,9211.306378,9479.28303
20180718,0,9472.491322,9572.426445,9434.65181,9517.122542
20180719,0,9575.337177,10027.47084,9575.337177,10015.827913
20180720,0,10071.131817,10105.090353,9928.505961,10070.161573
20180723,0,10017.768401,10069.191329,9872.231814,9911.041571
20180724,0,9878.053278,10012.917182,9835.362546,9978.958645
