date,time,open,high,low,close
20190430,0,8900,9020,8720,8840
20190506,0,8820,8900,8620,8665
20190507,0,8710,8720,8545,8615
20190508,0,8620,8710,8595,8635
20190509,0,8635,8690,8580,8620
20190510,0,8655,8750,8620,8670
20190513,0,8690,9115,8670,9115
20190514,0,9125,9575,9125,9505
20190515,0,9505,9865,9385,9660
20190516,0,9680,9890,9620,9715
20190517,0,9750,9795,9625,9755
20190520,0,9790,9915,9655,9755
20190521,0,9775,9905,9700,9840
20190522,0,9835,10305,9790,10305
20190523,0,10335,10415,10255,10350
20190524,0,10280,10730,10230,10720
20190527,0,10600,10935,10480,10560
20190528,0,10605,10690,10295,10405
20190529,0,10460,10645,10395,10550
20190530,0,10555,10745,10370,10530
20190531,0,10520,10590,10340,10485
20190603,0,10435,10560,10000,10095
20190604,0,10145,10190,9955,10150
20190605,0,10175,10210,10015,10100
20190606,0,10030,10030,9625,9750
20190610,0,9655,9890,9605,9815
20190611,0,9850,9995,9810,9960
20190612,0,9915,9925,9740,9815
20190613,0,9850,10305,9850,10305
20190614,0,10340,10550,10140,10230
20190617,0,10260,10445,10130,10440
20190618,0,10390,10450,10075,10120
20190619,0,10180,10310,10110,10225
20190620,0,10285,10370,10180,10270
20190621,0,10360,10515,10285,10475
20190624,0,10485,10580,10360,10440
20190625,0,10430,10475,10310,10395
20190626,0,10410,10445,10320,10415
20190627,0,10415,10675,10365,10505
20190628,0,10535,10610,10300,10335
20190701,0,10380,10380,10185,10285
20190702,0,10270,10365,10155,10340
20190703,0,10305,10440,10230,10330
20190704,0,10365,10430,10310,10380
20190705,0,10395,10415,10220,10315
20190708,0,10325,10565,10325,10555
20190709,0,10625,10645,10425,10490
20190710,0,10510,10510,10255,10405
20190711,0,10430,10460,10285,10415
20190712,0,10430,10535,10335,10485
20190715,0,10485,10615,10405,10470
20190716,0,10420,10545,10365,10540
20190717,0,10550,10695,10430,10470
20190718,0,10435,10480,10335,10360
20190719,0,10330,10385,10220,10345
20190722,0,10380,10380,10185,10315
20190723,0,10265,10315,10170,10215
20190724,0,10150,10215,9995,10135
20190725,0,10130,10150,10065,10100
20190726,0,10080,10235,10025,10230
20190729,0,10225,10265,10150,10205
20190730,0,10230,10325,10180,10280
20190731,0,10290,10340,10240,10275
20190801,0,10235,10285,10120,10130
20190802,0,10065,10210,10055,10185
20190805,0,10225,10270,10030,10125
20190806,0,10195,10660,10165,10660
20190807,0,10750,10825,10545,10695
20190808,0,10755,10945,10635,10780
20190809,0,10805,10870,10580,10785
20190812,0,10840,11000,10705,10730
20190813,0,10770,10770,10610,10645
20190814,0,10625,10645,10505,10570
20190815,0,10550,10660,10525,10650
20190816,0,10755,10850,10695,10745
20190819,0,10840,10840,10735,10750
20190820,0,10750,10810,10600,10635
20190821,0,10635,10750,10545,10745
20190822,0,10760,10775,10655,10715
20190823,0,10700,10750,10635,10705
20190826,0,10700,10840,10565,10595
20190827,0,10555,10700,10525,10695
20190828,0,10690,10725,10595,10630
20190829,0,10655,10820,10645,10760
20190830,0,10750,10880,10700,10730
20190902,0,10735,10760,10615,10695
20190903,0,10715,11220,10690,11220
20190904,0,11310,11555,11300,11475
20190905,0,11490,11520,11105,11215
20190906,0,11170,11255,10820,10820
20190909,0,10800,10850,10665,10725
20190910,0,10695,10815,10690,10725
20190911,0,10680,10780,10335,10430
20190912,0,10450,10480,10305,10370
20190916,0,10400,10530,10230,10420
20190917,0,10425,10505,10365,10490
20190918,0,10475,10575,10400,10505
20190919,0,10510,10520,10250,10505
20190920,0,10495,10495,10355,10425
20190923,0,10400,10415,10060,10255
20190924,0,10280,10330,10190,10290
20190925,0,10305,10320,10170,10290
20190926,0,10280,10450,10250,10335
20190927,0,10275,10340,10150,10320
20190930,0,10350,10395,10155,10250
20191008,0,10255,10545,10180,10385
20191009,0,10390,10430,10320,10385
20191010,0,10405,10450,10340,10385
20191011,0,10385,10420,10260,10400
20191014,0,10415,10525,10340,10490
20191015,0,10455,10580,10400,10500
20191016,0,10505,10525,10410,10460
20191017,0,10465,10490,9930,9930
20191018,0,9925,10070,9770,10010
20191021,0,10000,10100,9895,10000
20191022,0,9985,10030,9940,10000
20191023,0,10025,10485,9955,10485
20191024,0,10600,10670,10515,10625
20191025,0,10645,10685,10525,10665
20191028,0,10720,10750,10450,10680
20191029,0,10660,10780,10595,10665
20191030,0,10650,10690,10585,10670
20191031,0,10680,10730,10580,10650
20191101,0,10655,10760,10580,10730
20191104,0,10805,11185,10755,11000
20191105,0,11015,11075,10870,10955
20191106,0,10965,10975,10760,10765
20191107,0,10785,10890,10720,10855
20191108,0,10889.919577,11054.540441,10845.022978,11019.620864
20191111,0,10984.701287,11024.609375,10845.022978,10964.747243
20191112,0,10954.770221,11004.655331,10879.942555,10954.770221
20191113,0,10934.816176,11089.460018,10864.977022,11019.620864
20191114,0,11024.609375,11234.126838,10989.689798,11094.448529
20191115,0,11049.55193,11169.276195,10994.678309,11159.299173
20191118,0,11134.356618,11149.322151,10984.701287,11079.482996
20191119,0,11084.471507,11084.471507,10765.206801,10904.88511
20191120,0,10904.88511,11054.540441,10825.068934,11039.574908
20191121,0,11024.609375,11024.609375,10884.931066,10934.816176
20191122,0,10904.88511,10929.827665,10740.264246,10859.988511
20191125,0,10835.045956,10889.919577,10740.264246,10889.919577
20191126,0,10850.011489,10899.896599,10800.126379,10845.022978
20191127,0,10845.022978,10939.804688,10730.287224,10780.172335
20191128,0,10775.183824,10864.977022,10770.195313,10850.011489
20191129,0,10859.988511,11084.471507,10785.160846,11044.563419
20191202,0,11019.620864,11064.517463,10899.896599,10904.88511
20191203,0,10889.885268,10934.884794,10879.885374,10899.885163
20191204,0,10889.885268,10959.884531,10799.886217,10884.885321
20191205,0,10854.885637,10874.885426,10784.886375,10794.886269
20191206,0,10779.886427,10869.885479,10579.888534,10839.885795
20191209,0,10849.88569,11044.883635,10769.886533,10854.885637
20191210,0,10889.885268,10909.885058,10804.886164,10804.886164
20191211,0,10799.886217,10919.884952,10779.886427,10809.886111
20191212,0,10809.886111,10889.885268,10804.886164,10874.885426
20191213,0,10869.885479,10894.885216,10769.886533,10869.885479
