date,time,open,high,low,close
20170818,0,22995,23330,22900,23050
20170821,0,23005,23080,22910,22985
20170822,0,23005,23095,22985,23080
20170823,0,23080,23155,23045,23070
20170824,0,23070,23120,23010,23050
20170825,0,23040,23095,23030,23050
20170828,0,23055,23100,23000,23075
20170829,0,23100,23135,23035,23050
20170830,0,23025,23085,23005,23020
20170831,0,23030,23080,23020,23025
20170901,0,23020,23095,23020,23030
20170904,0,23055,23650,23040,23400
20170905,0,23425,23575,23300,23495
20170906,0,23535,23585,23330,23345
20170907,0,23365,23410,23215,23295
20170908,0,23325,23340,23020,23080
20170911,0,23105,24075,22530,23210
20170912,0,23165,23290,23130,23225
20170913,0,23190,23285,23050,23155
20170914,0,23125,23210,23080,23085
20170915,0,23075,23120,23020,23050
20170918,0,23030,23095,22880,23080
20170919,0,23160,23200,23035,23095
20170920,0,23085,23390,23070,23385
20170921,0,23390,23390,23210,23210
20170922,0,23235,23280,23125,23155
20170925,0,23145,23245,23135,23235
20170926,0,23255,23370,23205,23320
20170927,0,23300,23310,23085,23105
20170928,0,23080,23145,22860,22900
20170929,0,22845,23010,22845,22920
20171009,0,23055,23055,22860,22960
20171010,0,22980,22995,22920,22935
20171011,0,22995,23000,22900,22910
20171012,0,22900,22965,22860,22925
20171013,0,22940,23010,22910,22940
20171016,0,23000,23110,22925,23060
20171017,0,23005,23070,22990,23000
20171018,0,22990,23080,22990,23015
20171019,0,23035,23035,22840,22945
20171020,0,22905,22930,22805,22865
20171023,0,22845,22920,22775,22870
20171024,0,22895,22975,22895,22895
20171025,0,22920,22950,22900,22950
20171026,0,22930,22990,22900,22930
20171027,0,22940,22940,22840,22855
20171030,0,22885,22980,22825,22885
20171031,0,22915,22950,22860,22950
20171101,0,22995,23045,22880,22975
20171102,0,22900,23030,22890,23015
20171103,0,23040,23080,22970,23060
20171106,0,23070,23100,23025,23095
20171107,0,23060,23160,23045,23120
20171108,0,23165,23165,23040,23060
20171109,0,23075,23080,23005,23055
20171110,0,23080,23095,23035,23055
20171113,0,23015,23270,22905,23140
20171114,0,23160,23160,23075,23100
20171115,0,23050,23080,22970,23000
20171116,0,23040,23060,22965,23040
20171117,0,23030,23050,23005,23005
20171120,0,23005,23035,22925,22965
20171121,0,22905,22965,22905,22905
20171122,0,22890,22980,22880,22880
20171123,0,22900,23000,22880,22915
20171124,0,22915,22985,22840,22930
20171127,0,22910,23015,22910,22980
20171128,0,23025,23185,22920,23175
20171129,0,23210,23240,23085,23100
20171130,0,23100,23255,23100,23215
20171201,0,23005,24660,23005,23575
20171204,0,23130,23240,23130,23220
20171205,0,23200,23210,23105,23150
20171206,0,23110,23195,23110,23180
20171207,0,23130,23180,23095,23095
20171208,0,23090,23200,23075,23080
20171211,0,23035,23180,23035,23105
20171212,0,23090,23180,23090,23160
20171213,0,23750,23750,23125,23340
20171214,0,23445,23735,23345,23345
20171215,0,23194.029963,23395.323346,23194.029963,23254.417978
20171218,0,23345,23370.161673,23345,23370.161673
20171219,0,23385.258676,23385.258676,23284.611985,23284.611985
20171220,0,23254.417978,23360.097004,23178.93296,23329.902996
20171221,0,23178.93296,23324.870662,23178.93296,23249.385643
20171222,0,23324.870662,23450.679026,23163.835956,23163.835956
20171225,0,23314.805993,23314.805993,23204.094632,23239.320974
20171226,0,23204.094632,23259.450313,23204.094632,23259.450313
20171227,0,23334.935331,23355.064669,23048.092261,23183.965294
20171228,0,23299.708989,23304.741324,23214.159302,23304.741324
20171229,0,23249.385643,23249.385643,23249.385643,23249.385643
20180102,0,22947.44557,23365.129338,22947.44557,23219.191636
20180103,0,23329.902996,23350.032335,23148.738952,23148.738952
20180104,0,23173.900625,23204.094632,23158.803621,23158.803621
20180105,0,23098.415607,23304.741324,23098.415607,23304.741324
20180108,0,23355.064669,23355.064669,23163.835956,23299.708989
20180109,0,23224.223971,23339.967665,23219.191636,23339.967665
20180110,0,23229.256305,23380.226342,23224.223971,23289.64432
20180112,0,23370.161673,23390.291011,23214.159302,23249.385643
20180115,0,23178.93296,23294.676654,23178.93296,23244.353309
20180116,0,23178.93296,23254.417978,23178.93296,23244.353309
20180117,0,23219.191636,23239.320974,23214.159302,23239.320974
20180118,0,23188.997629,23501.002371,23188.997629,23380.226342
20180119,0,23536.228713,23561.390386,23370.161673,23485.905368
20180122,0,23370.161673,23516.099375,23370.161673,23450.679026
20180123,0,23566.42272,23707.328088,23395.323346,23586.552059
20180124,0,23571.455055,23787.845441,23551.325717,23651.972408
20180125,0,23702.295753,23702.295753,23495.970037,23591.584393
20180126,0,23576.48739,23581.519724,23561.390386,23561.390386
20180129,0,23561.390386,23596.616728,23470.808364,23485.905368
20180130,0,23410.420349,23566.42272,23410.420349,23536.228713
20180131,0,23480.873033,23480.873033,23480.873033,23480.873033
20180201,0,23455.71136,23455.71136,23455.71136,23455.71136
20180202,0,23380.226342,23526.164044,23380.226342,23526.164044
20180205,0,23375.194007,23400.35568,23375.194007,23385.258676
20180206,0,23475.840698,23475.840698,23475.840698,23475.840698
20180207,0,23410.420349,23410.420349,23395.323346,23400.35568
20180214,0,23269.514982,23269.514982,23194.029963,23194.029963
20180226,0,23365.129338,23370.161673,23350.032335,23350.032335
20180305,0,23219.191636,23219.191636,23219.191636,23219.191636
20180306,0,23430.549687,23430.549687,23430.549687,23430.549687
20180308,0,23450.679026,23465.776029,23450.679026,23450.679026
20180312,0,22650.537831,23807.974779,22650.537831,23450.679026
20180313,0,23495.970037,23536.228713,23495.970037,23501.002371
20180314,0,23334.935331,23334.935331,23334.935331,23334.935331
20180319,0,22625.376159,23380.226342,22625.376159,23299.708989
20180322,0,23128.609614,23204.094632,23128.609614,23204.094632
20180323,0,23360.097004,23395.323346,23360.097004,23395.323346
20180326,0,22444.212115,23863.330459,22444.212115,23183.965294
20180327,0,23702.295753,23767.716103,22977.639577,23269.514982
20180402,0,23153.771287,23581.519724,23153.771287,23581.519724
20180403,0,23168.868291,23581.519724,23168.868291,23581.519724
20180404,0,23450.679026,23450.679026,23450.679026,23450.679026
20180410,0,23153.771287,23153.771287,23153.771287,23153.771287
20180411,0,23551.325717,23551.325717,23214.159302,23214.159302
20180418,0,23526.164044,23526.164044,23495.970037,23495.970037
20180419,0,23264.482647,23264.482647,23264.482647,23264.482647
20180423,0,23923.718474,23923.718474,23923.718474,23923.718474
20180509,0,23752.619099,23893.524466,22962.542574,23636.875404
20180510,0,23542.822916,23542.822916,23542.822916,23542.822916
20180511,0,23661.626059,23760.628679,23300.266498,23404.219248
20180514,0,23404.219248,23404.219248,23404.219248,23404.219248
20180515,0,23186.413485,23532.922654,22542.896459,23166.612962
20180516,0,23097.311128,23097.311128,23097.311128,23097.311128
20180517,0,24646.702123,24651.652254,23829.930512,24463.547277
20180518,0,24369.494788,25324.870067,24369.494788,25305.069543
20180521,0,25344.67059,26141.641677,25344.67059,26141.641677
20180522,0,26493.100977,27705.883065,26483.200715,27047.515646
20180523,0,27106.917217,28190.995901,26344.597047,26958.413288
20180524,0,27186.119313,27369.274159,26141.641677,26176.292594
20180525,0,26166.392332,26339.646916,25503.074782,26012.938272
20180528,0,25953.5367,26171.342463,25740.681068,25918.885784
20180529,0,25993.137748,27002.964467,25814.933033,27002.964467
20180530,0,27200.969706,27488.077302,26394.098357,26493.100977
20180531,0,26334.696785,26795.058966,26136.691546,26255.49469
20180601,0,26270.345083,26790.108835,26235.694166,26641.604906
20180604,0,26681.205954,27101.967086,26329.746654,26384.198095
20180605,0,26413.898881,26448.549798,25602.077401,25602.077401
20180606,0,25542.675829,25864.434343,25409.022293,25616.927794
20180607,0,25686.229628,25859.484212,25522.875306,25710.980283
20180608,0,25701.080021,25790.182378,25418.922555,25562.476353
20180611,0,25493.17452,25928.786045,25314.969805,25755.531461
20180612,0,25745.631199,25819.883164,25498.124651,25686.229628
20180613,0,25735.730937,26597.053727,25656.528842,26399.048488
20180614,0,26265.394952,26453.499929,25602.077401,25611.977663
20180615,0,25641.678449,25869.384474,25453.573472,25562.476353
20180619,0,25621.877925,25993.137748,24597.200813,24597.200813
20180620,0,24493.248063,24889.258541,24473.447539,24735.804481
20180621,0,24745.704743,25022.912077,24522.948849,24720.954088
20180622,0,24745.704743,24904.108934,24671.452778,24765.505266
20180625,0,24824.906838,25062.513125,24750.654873,24815.006576
20180626,0,24810.056445,24864.507886,24577.400289,24725.904219
20180627,0,24765.505266,24815.006576,24557.599765,24696.203433
20180628,0,24711.053826,25121.914697,24438.796622,24626.901599
20180629,0,24602.150944,24795.206052,24547.699504,24631.85173
20180702,0,24631.85173,24844.707362,24582.35042,24602.150944
20180703,0,24607.101075,24666.502647,24389.295312,24577.400289
20180704,0,24607.101075,24646.702123,24329.893741,24364.544657
20180705,0,24359.594526,24389.295312,23988.334703,24131.888502
20180706,0,24136.838633,24359.594526,23998.234965,24211.090597
20180709,0,24201.190335,24517.998718,24151.689026,24458.597146
20180710,0,24513.048587,24691.253302,24409.095836,24438.796622
20180711,0,24443.746753,24587.300551,24255.641776,24433.846491
20180712,0,24438.796622,24805.106314,24433.846491,24760.555135
20180713,0,24755.605004,25047.662732,24661.552516,24745.704743
20180716,0,24750.654873,24933.80972,24681.35304,24824.906838
20180717,0,24800.156183,24894.208672,24448.696884,24631.85173
20180718,0,24626.901599,24716.003957,24587.300551,24636.801861
20180719,0,24641.751992,24839.757231,24587.300551,24790.255921
20180720,0,24760.555135,24805.106314,24651.652254,24706.103695
20180723,0,24701.153564,24706.103695,24453.647015,24567.500027
20180724,0,24567.500027,24691.253302,24498.198194,24651.652254
20180725,0,24651.652254,24948.660112,24641.751992,24824.906838
20180726,0,24829.856969,24923.909458,24745.704743,24790.255921
20180727,0,24785.30579,24938.759851,24711.053826,24785.30579
20180730,0,24780.355659,24834.8071,24671.452778,24834.8071
20180731,0,24849.657493,25483.274258,24844.707362,25344.67059
20180801,0,25310.019674,25369.421245,25107.064304,25196.166661
20180802,0,25206.066923,25334.770329,24923.909458,25052.612863
20180803,0,25047.662732,25443.67321,25037.76247,25280.318888
20180806,0,25275.368757,25468.423865,24928.859589,25354.570852
