date,time,open,high,low,close
20121204,0,1309,1326,1296,1311
20121205,0,1313,1345,1311,1331
20121206,0,1333,1338,1320,1325
20121207,0,1322,1340,1319,1331
20121210,0,1331,1344,1331,1336
20121211,0,1335,1337,1286,1293
20121212,0,1289,1306,1283,1299
20121213,0,1297,1312,1282,1289
20121214,0,1287,1315,1283,1304
20121217,0,1307,1335,1307,1327
20121218,0,1328,1339,1316,1325
20121219,0,1324,1353,1318,1351
20121220,0,1348,1356,1342,1350
20121221,0,1345,1354,1330,1336
20121224,0,1336,1349,1334,1344
20121225,0,1344,1363,1339,1352
20121226,0,1351,1354,1344,1352
20121227,0,1358,1367,1349,1352
20121228,0,1353,1364,1343,1351
20121231,0,1352,1365,1349,1363
20130104,0,1371,1425,1367,1425
20130107,0,1440,1468,1433,1445
20130108,0,1438,1470,1427,1457
20130109,0,1459,1476,1452,1476
20130110,0,1479,1484,1456,1463
20130111,0,1462,1465,1428,1439
20130114,0,1438,1502,1438,1502
20130115,0,1520,1527,1490,1497
20130116,0,1499,1515,1455,1500
20130117,0,1503,1512,1491,1506
20130118,0,1520,1521,1488,1496
20130121,0,1495,1518,1484,1501
20130122,0,1505,1508,1475,1490
20130123,0,1492,1496,1472,1481
20130124,0,1479,1489,1458,1467
20130125,0,1470,1472,1459,1469
20130128,0,1471,1496,1468,1491
20130129,0,1487,1494,1483,1488
20130130,0,1491.764706,1497.411765,1485.176471,1486.117647
20130131,0,1485.176471,1506.823529,1484.235294,1491.764706
20130201,0,1491.764706,1502.117647,1487.058824,1500.235294
20130204,0,1504.941176,1552,1500.235294,1536
20130205,0,1532.235294,1549.176471,1528.470588,1538.823529
20130206,0,1542.588235,1554.823529,1528.470588,1533.176471
20130207,0,1535.058824,1536.941176,1511.529412,1527.529412
20130208,0,1524.705882,1538.823529,1522.823529,1537.882353
20130218,0,1535.058824,1546.352941,1511.529412,1512.470588
20130219,0,1511.529412,1520.941176,1503.058824,1519.058824
20130220,0,1523.764706,1526.588235,1506.823529,1515.294118
20130221,0,1497.411765,1501.176471,1457.882353,1466.352941
20130222,0,1466.352941,1476.705882,1448.470588,1461.647059
20130225,0,1458.823529,1481.411765,1441.882353,1467.294118
20130226,0,1456.941176,1472,1441.882353,1445.647059
20130227,0,1456.941176,1470.117647,1452.235294,1466.352941
20130228,0,1473.882353,1493.647059,1472.941176,1488.941176
20130301,0,1487.058824,1488,1458.823529,1475.764706
20130304,0,1465.411765,1472,1413.647059,1428.705882
20130305,0,1434.352941,1441.882353,1415.529412,1437.176471
20130306,0,1440,1450.352941,1428.705882,1435.294118
20130307,0,1431.529412,1431.529412,1419.294118,1428.705882
20130308,0,1434.352941,1438.117647,1397.647059,1415.529412
20130311,0,1414.588235,1419.294118,1395.764706,1408
20130312,0,1411.764706,1416.470588,1393.882353,1399.529412
20130313,0,1405.176471,1405.176471,1353.411765,1363.764706
20130314,0,1354.352941,1358.117647,1326.117647,1351.529412
20130315,0,1357.176471,1392.941176,1344,1365.647059
20130318,0,1349.647059,1367.529412,1336.470588,1350.588235
20130319,0,1355.294118,1372.235294,1349.647059,1364.705882
20130320,0,1360,1391.058824,1360,1389.176471
20130321,0,1394.823529,1405.176471,1391.058824,1396.705882
20130322,0,1391.058824,1401.411765,1386.352941,1392
20130325,0,1395.764706,1404.235294,1393.882353,1396.705882
20130326,0,1393.882353,1396.705882,1366.588235,1372.235294
20130327,0,1376.941176,1378.823529,1367.529412,1369.411765
20130328,0,1369.411765,1374.117647,1352.470588,1355.294118
20130329,0,1345.882353,1358.117647,1331.764706,1352.470588
20130401,0,1347.764706,1352.470588,1317.647059,1321.411765
20130402,0,1320.470588,1343.058824,1314.823529,1342.117647
20130403,0,1340.235294,1356.235294,1337.411765,1344.941176
20130408,0,1328.941176,1359.058824,1327.058824,1356.235294
20130409,0,1360.941176,1368.470588,1354.352941,1363.764706
20130410,0,1366.588235,1368.470588,1341.176471,1345.882353
20130411,0,1345.882353,1359.058824,1330.823529,1332.705882
20130412,0,1329.882353,1343.058824,1329.882353,1336.470588
20130415,0,1323.294118,1342.117647,1295.058824,1311.058824
20130416,0,1298.823529,1322.352941,1284.705882,1318.588235
20130417,0,1320.470588,1328,1252.705882,1261.176471
20130418,0,1249.882353,1281.882353,1240.470588,1271.529412
20130419,0,1280.941176,1298.823529,1269.647059,1293.176471
20130422,0,1290.352941,1304.470588,1279.058824,1281.882353
20130423,0,1283.764706,1290.352941,1251.764706,1263.058824
