date,time,open,high,low,close
20150416,0,7681,7790,7480.2,7707.8
20150417,0,7722,7918.8,7631.2,7758.2
20150420,0,7760,7857,7582,7622.2
20150421,0,7650.2,8147,7640.2,8140.4
20150422,0,8158,8237.8,8104.4,8189.8
20150423,0,8193,8378.8,8160.4,8265.6
20150424,0,8247.8,8349.8,8123.8,8327.2
20150427,0,8368,8548,8292,8347.2
20150428,0,8308,8419,8011.6,8147
20150429,0,8138,8309,8079,8302.2
20150430,0,8320,8408,8291.2,8338.8
20150504,0,8370.2,8527.4,8202.4,8347.2
20150505,0,8334.8,8345,8090,8145
20150506,0,8168,8280.6,7970,8040.8
20150507,0,8020,8068,7901,7911.4
20150508,0,7933.4,8171.4,7921,8171.2
20150511,0,8170,8508,8144,8489.8
20150512,0,8499.6,8648,8415.4,8647.8
20150513,0,8595,8779,8492,8695.8
20150514,0,8653.597228,8805.770685,8600.437967,8727.654977
20150515,0,8734.756405,8844.321294,8604.901722,8704.118816
20150518,0,8765.79979,8950.031121,8704.321714,8925.886266
20150519,0,8933.190592,9287.044603,8862.785006,9252.957749
20150520,0,9253.972239,9600.724822,9243.218648,9421.363041
20150521,0,9446.319488,9896.347123,9435.768795,9875.651533
20150522,0,9924.752835,10010.375766,9663.01449,9882.347165
20150525,0,9749.246115,10165.998488,9592.406006,10111.013146
20150526,0,10132.723226,10687.649097,10130.897144,10684.808526
20150527,0,10751.967745,10873.300714,10516.200336,10704.895422
20150528,0,10733.301134,10914.691894,9960.259975,10121.766737
20150529,0,10273.534397,10520.258295,10044.462621,10267.650357
20150601,0,10317.563251,11250.487988,10315.331373,11185.357749
20150602,0,11218.227215,11549.965351,10986.923562,11413.415036
20150603,0,11444.661319,11601.704326,10965.619278,11264.08215
20150604,0,11288.227005,11418.487484,10175.331793,11026.691558
20150605,0,11057.937841,11421.125157,10692.721546,11107.647837
20150608,0,10997.068459,11097.705838,10534.664049,10756.228601
20150609,0,10752.576438,11108.662327,10604.460941,10855.445695
20150610,0,10761.706846,11490.110458,10753.590928,11147.010038
20150611,0,11255.560437,11453.588828,11078.430533,11421.936749
20150612,0,11456.632297,11752.863293,11384.40063,11593.38551
20150615,0,11627.472365,11727.50105,11182.720076,11391.29916
20150616,0,11400.835363,11400.835363,10810.60525,10996.053969
20150617,0,10994.633683,11278.690802,10656.605712,11193.270769
20150618,0,11202.641955,11394.954994,10760.973874,10781.957182
20150619,0,10731.026822,10807.014919,10135.141612,10175.8859
20150623,0,10162.644006,10287.932692,9549.646195,10046.115343
20150624,0,10071.987966,10404.461355,9891.490771,10245.151189
20150625,0,10288.951299,10328.67698,9508.698186,9556.165281
20150626,0,9554.53551,9564.721582,8789.561505,8789.561505
20150629,0,8951.520049,8963.743335,7912.948151,7912.948151
20150630,0,7912.540708,8789.561505,7697.614589,8501.295668
20150701,0,8552.226028,8963.743335,7649.128887,7649.128887
20150702,0,8057.18293,8431.011771,7460.075391,7810.476267
