date,time,open,high,low,close
20100416,0,3450,3488,3413.2,3415.6
20100419,0,3396,3398,3166.2,3197.4
20100420,0,3209.2,3240,3168.8,3214.6
20100421,0,3215,3281.2,3208,3267.2
20100422,0,3260.2,3274.4,3211,3236.2
20100423,0,3241,3266,3221,3221.2
20100426,0,3243,3252,3211.8,3219.6
20100427,0,3201.2,3205,3107.6,3138.8
20100428,0,3101.6,3142.6,3094.2,3129
20100429,0,3141,3157.6,3082.2,3083.8
20100430,0,3103,3119.6,3043,3107
20100504,0,3079.8,3094.4,3060.8,3076.4
20100505,0,3046.4,3087,3031,3076.4
20100506,0,3078.6,3083.4,2953.6,2967.4
20100507,0,2928,2959.8,2862.2,2897.6
20100510,0,2910,2931,2870,2918
20100511,0,2949,2957.8,2797.2,2801.6
20100512,0,2809,2855,2782,2836.2
20100513,0,2847.8,2915.6,2823,2894.6
20100514,0,2880,2894.8,2850.4,2862.6
20100517,0,2840,2840.2,2708,2719
20100518,0,2708.413238,2844.443138,2705.017485,2806.890097
20100519,0,2775.729063,2855.429401,2730.785263,2781.322069
20100520,0,2797.501837,2841.247135,2738.775272,2759.749045
20100521,0,2698.625478,2799.299589,2673.6567,2797.501837
20100524,0,2810.485601,2929.736483,2804.493094,2898.375698
20100525,0,2876.403174,2885.591684,2807.489348,2809.6866
20100526,0,2842.645386,2875.204672,2814.081105,2836.053629
20100527,0,2821.471863,2906.165957,2786.515574,2897.776447
20100528,0,2926.340729,2938.325742,2849.436894,2861.621657
20100531,0,2846.440641,2895.179694,2782.72032,2788.513077
20100601,0,2776.528063,2817.077358,2728.588011,2758.550544
20100602,0,2754.555539,2777.926315,2714.805245,2772.93256
20100603,0,2796.303335,2803.494343,2737.57677,2744.568028
20100604,0,2736.578019,2764.3433,2718.80025,2757.551793
20100607,0,2696.627975,2714.605495,2676.652953,2702.820232
20100608,0,2706.415736,2722.595504,2679.649207,2720.997502
20100609,0,2717.002498,2804.493094,2697.027476,2785.317073
20100610,0,2772.533059,2787.514326,2759.549295,2766.141052
20100611,0,2784.518072,2793.307082,2761.546797,2762.345798
20100617,0,2775.529312,2780.922568,2739.574273,2740.772774
20100618,0,2740.574354,2757.043198,2684.421549,2696.723577
20100621,0,2727.478647,2794.346122,2696.525157,2782.639353
20100622,0,2773.512042,2792.758763,2771.131004,2775.49624
20100623,0,2762.995792,2779.464636,2721.327633,2743.352231
20100624,0,2749.106406,2787.798268,2728.272326,2749.106406
20100625,0,2737.201218,2750.892184,2714.38294,2732.042303
20100628,0,2729.859685,2741.963293,2709.819284,2719.938694
20100629,0,2719.938694,2725.097609,2577.870114,2579.854312
20100630,0,2559.615492,2572.512779,2542.749808,2558.623393
20100701,0,2557.432874,2564.179147,2515.566295,2525.090445
20100702,0,2529.852521,2544.734006,2459.21507,2525.884125
20100705,0,2514.971035,2529.455681,2460.008749,2510.6058
20100706,0,2501.478489,2564.575987,2491.359078,2544.337167
20100707,0,2537.789313,2561.59969,2526.082544,2548.107143
20100708,0,2570.528581,2578.862213,2541.757709,2548.702402
20100709,0,2552.869218,2646.920206,2542.749808,2629.062423
20100712,0,2631.046622,2671.722682,2626.284546,2639.578673
20100713,0,2630.054523,2632.038721,2597.910514,2605.252047
20100714,0,2619.141433,2658.031715,2609.220443,2626.086126
20100715,0,2621.535536,2708.590301,2579.986671,2582.756596
20100716,0,2584.932965,2601.552511,2560.201497,2592.451331
20100719,0,2572.270454,2686.035203,2565.741346,2668.62425
20100720,0,2672.976988,2731.343251,2671.394175,2716.504371
20100721,0,2719.472147,2728.771179,2704.435415,2714.921557
20100722,0,2710.568819,2755.679015,2706.809636,2754.491905
20100723,0,2760.031753,2770.715747,2735.498138,2753.700498
20100726,0,2762.010271,2773.089968,2739.455173,2766.758713
20100727,0,2767.747971,2769.726489,2743.807911,2748.160649
20100728,0,2750.337018,2857.572661,2745.390725,2856.38555
20100729,0,2856.979105,2864.893175,2832.049786,2845.899408
20100730,0,2842.140225,2849.658591,2824.53142,2840.557411
20100802,0,2857.176957,2919.104551,2849.262888,2894.966639
20100803,0,2896.549453,2903.474264,2818.398016,2826.114234
20100804,0,2829.08201,2860.93614,2804.548395,2842.931632
20100805,0,2841.942373,2849.658591,2791.49018,2815.825944
20100806,0,2819.387275,2892.196715,2801.580619,2888.635384
20100809,0,2885.667607,2900.506488,2860.342585,2881.710573
20100810,0,2881.908424,2889.228939,2797.425732,2806.526912
