date,time,open,high,low,close
20140618,0,2858,2902,2833,2896
20140619,0,2901,2929,2890,2901
20140620,0,2905,2919,2896,2908
20140623,0,2910,2950,2896,2910
20140624,0,2906,2948,2903,2939
20140625,0,2941,2991,2933,2987
20140626,0,2990,3020,2970,3004
20140627,0,3004,3008,2978,2987
20140630,0,2983,3005,2966,2991
20140701,0,2994,3002,2963,2977
20140702,0,2982,2992,2911,2965
20140703,0,2958,2975,2946,2962
20140704,0,2961,2972,2951,2960
20140707,0,2956,3013,2954,3012
20140708,0,3013,3038,2996,3001
20140709,0,3000,3003,2958,2958
20140710,0,2956,2964,2931,2937
20140711,0,2940,2958,2915,2919
20140714,0,2919,2926,2825,2904
20140715,0,2908,2920,2882,2900
20140716,0,2905,2905,2873,2880
20140717,0,2880,2932,2875,2912
20140718,0,2915,2925,2842,2866
20140721,0,2866,2879,2851,2863
20140722,0,2866,2890,2851,2880
20140723,0,2880,2897,2835,2873
20140724,0,2875,2895,2850,2876
20140725,0,2875,2896,2872,2892
20140728,0,2897,2943,2862,2940
20140729,0,2934,2948,2925,2929
20140730,0,2921,2940,2903,2932
20140731,0,2921,2943,2915,2917
20140801,0,2900,2912,2881,2882
20140804,0,2880,2906,2875,2901
20140805,0,2901,2919,2900,2905
20140806,0,2901,2901,2831,2889
20140807,0,2884,2988,2883,2883
20140808,0,2883,2937,2883,2935
20140811,0,2932,2956,2916,2925
20140812,0,2910,2937,2901,2917
20140813,0,2936,3012,2933,2990
20140814,0,2989,2999,2970,2995
20140815,0,2988,2998,2958,2976
20140818,0,2975,2986,2961,2978
20140819,0,2974,2997,2970,2987
20140820,0,2987,2987,2963,2968
20140821,0,2972,2984,2960,2964
20140822,0,2963,2970,2940,2943
20140825,0,2942,2945,2890,2891
20140826,0,2882,2889,2832,2840
20140827,0,2840,2874,2840,2858
20140828,0,2859,2873,2836,2841
20140829,0,2841,2843,2793,2826
20140901,0,2825,2866,2825,2848
20140902,0,2851,2961,2849,2851
20140903,0,2848,2869,2836,2850
20140904,0,2855,2880,2855,2857
20140905,0,2864,2866,2845,2859
20140909,0,2862,2867,2842,2852
20140910,0,2843,2878,2822,2856
20140911,0,2856,2866,2845,2857
20140912,0,2853,2861,2815,2823
20140915,0,2811,2868,2811,2868
20140916,0,2878,2907,2872,2892
20140917,0,2912,2919,2890,2912
20140918,0,2910,2917,2894,2904
20140919,0,2902,2928,2898,2925
20140922,0,2926,2941,2897,2920
20140923,0,2920,2929,2855,2858
20140924,0,2858,2890,2843,2875
20140925,0,2873,2885,2861,2872
20140926,0,2868,2876,2857,2871
20140929,0,2858,2860,2845,2847
20140930,0,2853,2896,2853,2875
20141008,0,2869,2871,2833,2833
20141009,0,2830,2850,2800,2842
20141010,0,2826,2826,2734,2751
20141013,0,2751,2780,2749,2753
20141014,0,2755,2788,2738,2783
20141015,0,2750,2804,2743,2779
20141016,0,2771,2786,2757,2766
20141017,0,2785,2801,2744,2744
20141020,0,2742,2753,2697,2710
20141021,0,2704,2744,2700,2735
