date,time,open,high,low,close
20120920,0,10430,10430,10430,10430
20120926,0,10018,10794,10012,10794
20121010,0,10130,10130,10130,10130
20121011,0,10180,10180,10180,10180
20121015,0,10100,10132,10034,10120
20121016,0,10180,10180,10180,10180
20121017,0,10122,10168,10122,10122
20121018,0,10152,10152,10152,10152
20121023,0,10152,10152,10150,10150
20121024,0,10100,10114,10100,10104
20121026,0,9896,10050,9896,10050
20121029,0,10090,10090,10000,10050
20121101,0,10192,10192,10016,10016
20121102,0,10020,10084,9848,9982
20121105,0,9872,9990,9756,9990
20121106,0,9850,9850,9850,9850
20121107,0,9862,9918,9862,9902
20121108,0,9900,9900,9900,9900
20121109,0,9852,9852,9850,9850
20121112,0,9652,9748,9600,9746
20121113,0,9600,9600,9590,9590
20121114,0,9680,9680,9670,9670
20121115,0,9750,9750,9750,9750
20121116,0,9538,9680,9538,9620
20121119,0,9650,9700,9650,9700
20121121,0,9750,9750,9750,9750
20121122,0,9780,9780,9620,9700
20121123,0,9660,9780,9660,9780
20121126,0,9800,9800,9708,9724
20121127,0,9760,9760,9710,9746
20121128,0,9708,9760,9708,9742
20121129,0,9748,9756,9676,9756
20121130,0,9738,9738,9738,9738
20121203,0,9774,9810,9774,9810
20121204,0,9796,9802,9768,9802
20121205,0,9878,9906,9806,9890
20121206,0,9942,9942,9930,9930
20121212,0,9614,9880,9614,9834
20121213,0,9878,9878,9840,9840
20121214,0,9904,9980,9868,9920
20121217,0,9904,9954,9904,9954
20121218,0,9996,9998,9862,9862
20121219,0,9838,9878,9838,9878
20121220,0,9872,9872,9762,9868
20121221,0,9840,9896,9812,9892
20121224,0,9980,9980,9890,9908
20121225,0,9898,9966,9880,9922
20121226,0,9958,9964,9906,9908
20121227,0,9926,10018,9920,10014
20121228,0,9984,10060,9888,9900
20121231,0,9908,9966,9830,9854
20130104,0,9930,10018,9780,10000
20130107,0,9968,10160,9870,9882
20130108,0,9814,9916,9814,9852
20130109,0,9876,9894,9852,9888
20130110,0,9900,10044,9900,9978
20130111,0,9966,10026,9924,9940
20130114,0,10026,10086,9972,9998
20130115,0,10012,10070,9986,9992
20130116,0,10034,10034,9970,9984
20130117,0,10018,10026,9962,9972
20130118,0,10002,10002,9950,9990
20130121,0,9998,10020,9972,10020
20130122,0,10016,10038,9998,10020
20130123,0,10044,10044,10002,10012
20130124,0,9972,9986,9868,9890
20130125,0,9942,9954,9882,9936
20130128,0,9942,9944,9900,9932
20130129,0,9968,9970,9928,9940
20130130,0,9946,9990,9946,9986
20130131,0,10038,10038,9980,9992
20130201,0,10006,10008,9952,9976
20130204,0,9996,10018,9972,10010
20130205,0,10010,10012,9950,9956
20130206,0,9956,9976,9938,9942
20130207,0,9910,9934,9896,9934
20130208,0,9910,9950,9900,9900
20130218,0,9882,9890,9846,9858
20130219,0,9900,9962,9874,9902
20130220,0,9918,9924,9822,9850
20130221,0,9820,9838,9760,9826
20130222,0,9824,9870,9818,9834
20130225,0,9752,9804,9668,9698
20130226,0,9672,9718,9648,9648
20130227,0,9648,9706,9628,9698
20130228,0,10048,10048,9688,9712
20130301,0,9688,9736,9642,9690
20130304,0,9700,9712,9672,9684
20130305,0,9688,9726,9680,9708
20130306,0,9714,9734,9696,9718
20130307,0,9720,9722,9692,9698
20130308,0,9792,9896,9760,9830
20130311,0,9826,9834,9792,9816
20130312,0,9820,9820,9748,9780
20130313,0,9796,9796,9720,9774
20130314,0,9758,9788,9692,9702
20130315,0,9700,9766,9690,9758
20130318,0,9738,9752,9690,9702
20130319,0,9714,9754,9702,9732
20130320,0,9720,9744,9706,9726
20130321,0,9746,9784,9710,9718
20130322,0,9714,9736,9670,9692
20130325,0,9698,9762,9696,9758
20130326,0,9770,9816,9762,9774
20130327,0,9798,9810,9770,9800
20130328,0,9788,9798,9740,9748
20130329,0,9712,9738,9686,9718
20130401,0,9718,9728,9638,9650
20130402,0,9636,9674,9614,9638
20130403,0,9626,9650,9618,9620
20130408,0,9608,9620,9586,9608
20130409,0,9630,9668,9620,9640
20130410,0,9660,9664,9612,9664
20130411,0,9664,9664,9586,9622
20130412,0,9600,9618,9594,9600
20130415,0,9550,9580,9500,9524
20130416,0,9382,9504,9330,9470
20130417,0,9498,9538,9494,9536
20130418,0,9502,9532,9450,9510
20130419,0,9536,9590,9512,9534
20130422,0,9580,9590,9480,9522
20130423,0,9490,9700,9490,9680
20130424,0,9688,9732,9640,9720
20130425,0,9784,9908,9742,9836
20130426,0,9930,9930,9786,9840
20130502,0,9780,9820,9750,9764
20130503,0,9780,9832,9764,9816
20130506,0,9830,9930,9770,9890
20130507,0,9864,9900,9810,9824
20130508,0,9836,9900,9836,9894
20130509,0,9878,9898,9848,9876
20130510,0,9900,9902,9854,9902
20130513,0,9880,9916,9854,9874
20130514,0,9898,9914,9864,9884
20130515,0,9890,9906,9820,9846
20130516,0,9842,9894,9816,9892
20130517,0,9906,9928,9874,9914
20130520,0,9920,9926,9882,9906
20130521,0,9906,9922,9892,9916
20130522,0,9916,9940,9894,9932
20130523,0,9932,9936,9900,9902
20130524,0,9904,9930,9896,9920
20130527,0,9900,9912,9880,9910
20130528,0,9914,9926,9886,9900
20130529,0,9910,9944,9904,9910
20130530,0,9894,9896,9830,9860
20130531,0,9856,9870,9834,9854
20130603,0,9840,9848,9576,9626
20130604,0,9610,9610,9328,9366
20130605,0,9354,9374,9052,9052
20130606,0,8998,9088,8940,9030
20130607,0,9030,9058.955566,8976.225378,9007.249198
20130613,0,8996.907925,9050.682547,8953.474576,8984.498397
20130614,0,8949.338067,9013.453962,8945.201557,8978.293633
20130617,0,8955.542831,8996.907925,8955.542831,8970.020614
20130618,0,8986.566651,9036.204764,8970.020614,8986.566651
20130619,0,8980.361887,9017.590472,8959.67934,8992.771415
20130620,0,9009.317453,9023.795236,8970.020614,8976.225378
20130621,0,8930.723775,8947.269812,8872.812643,8907.972973
20130624,0,8893.49519,8905.904718,8761.12689,8771.468163
20130625,0,8794.218965,8831.447549,8738.376088,8804.560238
20130626,0,8790.082455,8798.355474,8713.557032,8740.444343
20130627,0,8697.010994,8738.376088,8448.820431,8490.185525
20130628,0,8467.434723,8488.11727,8372.295007,8380.568026
20130701,0,8376.431516,8426.069629,8357.817224,8392.977554
20130702,0,8407.455337,8606.007787,8392.977554,8562.574439
20130703,0,8574.983967,8630.826844,8537.755383,8546.028401
20130704,0,8574.983967,8581.188731,8517.072836,8543.960147
20130705,0,8541.891892,8546.028401,8459.161704,8515.004581
20130708,0,8523.2776,8589.46175,8461.229959,8508.799817
20130709,0,8541.891892,8541.891892,8502.595053,8504.663307
20130710,0,8519.14109,8546.028401,8452.95694,8496.390289
20130711,0,8531.550618,8568.779203,8502.595053,8525.345854
20130712,0,8500.526798,8525.345854,8424.001374,8455.025195
20130715,0,8436.410902,8498.458543,8390.909299,8399.182318
20130716,0,8407.455337,8424.001374,8287.496564,8339.202932
20130717,0,8353.680715,8366.090243,8283.360055,8316.45213
20130718,0,8293.701328,8355.748969,8289.564819,8345.407696
20130719,0,8357.817224,8364.021988,8101.353642,8210.971141
20130722,0,8210.971141,8241.994961,8165.469537,8208.902886
20130723,0,8219.244159,8266.814017,8202.698122,8254.404489
20130724,0,8208.902886,8221.312414,8153.060009,8194.425103
20130725,0,8159.264773,8159.264773,8051.715529,8057.920293
20130726,0,8006.213926,8022.759963,7768.364636,7774.5694
20130729,0,7758.023362,7815.934494,7700.112231,7797.320202
20130730,0,7758.023362,7824.207513,7726.999542,7803.524966
20130731,0,7776.637655,7904.869446,7776.637655,7840.75355
20130801,0,7832.480531,7861.436097,7749.750344,7797.320202
20130802,0,7811.797984,7861.436097,7784.910673,7834.548786
20130805,0,7801.456711,7842.821805,7793.183692,7820.071003
20130806,0,7842.821805,7857.299588,7799.388456,7809.72973
20130807,0,7743.545579,7753.886853,7571.88044,7584.289968
20130808,0,7569.812185,7650.474118,7569.812185,7640.132845
20130809,0,7652.542373,7849.026569,7652.542373,7735.272561
20130812,0,7743.545579,7846.958314,7702.180486,7824.207513
20130813,0,7909.005955,8024.828218,7882.118644,8004.145671
20130814,0,7981.394869,8053.783784,7888.323408,7896.596427
20130815,0,7921.415483,8033.101237,7917.278974,7973.121851
20130816,0,8074.466331,8128.240953,8006.213926,8031.032982
20130819,0,8066.193312,8105.490151,8049.647274,8059.988548
20130820,0,8109.626661,8113.76317,7954.507558,7968.985341
20130821,0,7971.053596,8004.145671,7935.893266,7950.371049
20130822,0,7946.23454,7968.985341,7828.344022,7873.845625
20130823,0,7859.367842,7877.982135,7811.797984,7834.548786
20130826,0,7962.780577,8153.060009,7962.780577,8153.060009
20130827,0,8157.196519,8169.606047,8055.852038,8095.148878
20130828,0,8068.261567,8101.353642,8014.486945,8018.623454
20130829,0,8045.510765,8051.715529,7818.002749,7929.688502
20130830,0,7915.210719,7935.893266,7871.777371,7906.9377
20130902,0,7915.210719,7991.736143,7915.210719,7989.667888
20130903,0,8024.828218,8047.57902,7923.483738,7995.872652
20130904,0,7937.961521,7956.575813,7915.210719,7935.893266
20130905,0,7927.620247,7958.644068,7873.845625,7902.801191
20130906,0,7900.732936,7975.190105,7880.050389,7966.917087
20130909,0,7977.25836,8000.009162,7925.551993,7954.507558
20130910,0,7882.118644,7894.528172,7791.115437,7849.026569
20130911,0,7863.504352,7904.869446,7859.367842,7898.664682
20130912,0,7890.391663,7915.210719,7865.572607,7869.709116
20130913,0,7942.09803,7944.166285,7826.275767,7842.821805
20130916,0,7768.364636,7805.59322,7747.682089,7749.750344
20130917,0,7762.159872,7803.524966,7737.340815,7786.978928
20130918,0,7774.5694,7807.661475,7760.091617,7770.432891
20130923,0,7698.043976,7733.204306,7660.815392,7708.38525
20130924,0,7712.521759,7768.364636,7708.38525,7755.955108
20130925,0,7743.545579,7749.750344,7617.382043,7635.996335
20130926,0,7640.132845,7658.747137,7588.426477,7596.699496
20130927,0,7590.494732,7611.177279,7414.693083,7482.945488
20130930,0,7435.37563,7623.586807,7435.37563,7495.355016
20131008,0,7489.150252,7580.153459,7418.829592,7482.945488
20131009,0,7503.628035,7571.88044,7487.081997,7538.788365
20131010,0,7547.061383,7596.699496,7540.856619,7586.358223
20131011,0,7600.836005,7640.132845,7551.197893,7571.88044
20131014,0,7534.651855,7615.313788,7507.764544,7592.562987
20131015,0,7594.631241,7652.542373,7578.085204,7650.474118
20131016,0,7662.883646,7691.839212,7625.655062,7675.293175
20131017,0,7708.38525,7846.958314,7704.24874,7739.40907
20131018,0,7714.590014,7764.228126,7698.043976,7760.091617
20131021,0,7818.002749,7873.845625,7778.705909,7813.866239
20131022,0,7797.320202,7805.59322,7689.770957,7693.907467
20131023,0,7716.868124,7750.265443,7668.859477,7718.955456
20131024,0,7729.392119,7756.527441,7670.94681,7727.304786
20131025,0,7693.907467,7733.566784,7681.383472,7698.082132
20131028,0,7677.208807,7698.082132,7618.763498,7658.422815
20131029,0,7618.763498,7647.986153,7537.357532,7574.929516
20131030,0,7622.938163,7781.57543,7612.501501,7739.828781
20131031,0,7723.130121,7760.702106,7689.732802,7735.654116
20131101,0,7727.304786,7879.680056,7718.955456,7875.505391
20131104,0,7869.243394,7977.784682,7860.894064,7938.125365
20131105,0,7910.990043,7929.776035,7840.020739,7885.942054
20131106,0,7869.243394,7906.815378,7806.62342,7806.62342
20131107,0,7783.662763,7835.846074,7777.400765,7785.750095
20131108,0,7775.313433,7829.584077,7771.138768,7783.662763
20131111,0,7798.27409,7827.496745,7744.003446,7746.090778
20131112,0,7764.876771,7879.680056,7750.265443,7877.592724
20131113,0,7890.116719,7921.426705,7865.068729,7888.029386
20131114,0,7890.116719,7988.221344,7873.418059,7971.522685
20131115,0,7952.736692,8029.967994,7938.125365,7956.911357
20131118,0,7913.077376,7921.426705,7833.758742,7835.846074
20131119,0,7814.97275,7898.466048,7794.099425,7800.361423
20131120,0,7810.798085,7888.029386,7789.92476,7885.942054
20131121,0,7896.378716,7944.387363,7860.894064,7925.60137
20131122,0,8019.531331,8023.705996,7921.426705,7923.514038
20131125,0,7913.077376,7979.872015,7888.029386,7915.164708
20131126,0,7890.116719,7923.514038,7846.282737,7848.370069
20131127,0,7840.020739,7913.077376,7835.846074,7913.077376
20131128,0,7890.116719,7950.64936,7881.767389,7900.553381
20131129,0,7904.728046,7942.30003,7881.767389,7938.125365
20131202,0,7944.387363,7981.959347,7923.514038,7952.736692
20131203,0,7938.125365,7954.824025,7888.029386,7890.116719
20131204,0,7869.243394,7910.990043,7858.806732,7888.029386
20131205,0,7917.252041,7942.30003,7831.671409,7835.846074
20131206,0,7852.544734,7865.068729,7810.798085,7850.457402
20131209,0,7827.496745,7883.854721,7827.496745,7850.457402
20131210,0,7833.758742,7871.330726,7814.97275,7865.068729
20131211,0,7852.544734,7904.728046,7823.32208,7892.204051
20131212,0,7892.204051,7904.728046,7819.147415,7827.496745
20131213,0,7796.186758,7798.27409,7629.20016,7658.422815
20131216,0,7660.510147,7679.29614,7593.715508,7595.802841
20131217,0,7616.676166,7660.510147,7606.239503,7620.850831
20131218,0,7595.802841,7627.112828,7531.095535,7625.025495
20131219,0,7595.802841,7622.938163,7564.492854,7574.929516
20131220,0,7599.977506,7622.938163,7572.842184,7574.929516
20131223,0,7593.715508,7614.588833,7526.92087,7579.104181
20131224,0,7568.667519,7577.016849,7499.785548,7520.658872
20131225,0,7529.008202,7533.182867,7424.641579,7432.990909
20131226,0,7426.728911,7453.864233,7403.768254,7410.030252
20131227,0,7414.204916,7476.82489,7393.331592,7453.864233
20131230,0,7441.340238,7508.134877,7422.554246,7437.165574
20131231,0,7410.030252,7430.903576,7339.060948,7341.14828
20140102,0,7368.283602,7410.030252,7345.322945,7376.632932
20140103,0,7345.322945,7347.410278,7272.266309,7293.139633
20140106,0,7274.353641,7276.440974,7142.851696,7180.42368
20140107,0,7180.42368,7201.297005,7096.930382,7107.367044
20140108,0,7115.716374,7178.336348,7088.581052,7136.589699
20140109,0,7119.891039,7190.860343,7119.891039,7165.812353
20140110,0,7190.860343,7249.305652,7157.463023,7165.812353
20140113,0,7207.559002,7211.733667,7130.327701,7136.589699
20140114,0,7128.240369,7192.947675,7107.367044,7188.77301
20140115,0,7180.42368,7222.17033,7161.637688,7172.07435
20140116,0,7201.297005,7217.995665,7155.375691,7180.42368
20140117,0,7215.908332,7217.995665,7138.677031,7190.860343
20140120,0,7211.733667,7453.864233,7205.47167,7395.418924
20140121,0,7395.418924,7422.554246,7368.283602,7389.156927
20140122,0,7384.982262,7387.069594,7341.14828,7355.759607
20140123,0,7341.14828,7426.728911,7332.79895,7376.632932
20140124,0,7370.370935,7410.030252,7355.759607,7364.108937
20140127,0,7355.759607,7366.19627,7288.964969,7301.488963
20140128,0,7238.868989,7282.702971,7182.511013,7188.77301
20140129,0,7232.606992,7243.043654,7211.733667,7217.995665
20140130,0,7190.860343,7199.209673,7147.026361,7163.725021
20140207,0,7265.820864,7404.075652,7265.820864,7382.805685
20140210,0,7401.948656,7480.647535,7387.059678,7465.758558
20140211,0,7455.123574,7455.123574,7355.154727,7357.281724
20140212,0,7387.059678,7404.075652,7355.154727,7378.551691
20140213,0,7395.567665,7421.091626,7365.789711,7384.932682
20140214,0,7435.980603,7463.631561,7404.075652,7450.869581
