date,time,open,high,low,close
20201012,0,5798,5832,5750,5832
20201013,0,5932,6042,5900,6042
20201014,0,6054,6138,5992,6104
20201015,0,6126,6270,6112,6266
20201016,0,6224,6454,6224,6454
20201019,0,6462,6596,6432,6596
20201020,0,6602,6618,6482,6564
20201021,0,6536,6586,6488,6500
20201022,0,6530,6546,6274,6274
20201023,0,6252,6314,6214,6238
20201026,0,6236,6326,6228,6254
20201027,0,6218,6286,6136,6144
20201028,0,6150,6206,6126,6178
20201029,0,6130,6176,6052,6058
20201030,0,6008,6102,5990,6016
20201102,0,6010,6172,6008,6094
20201103,0,6118,6162,6074,6076
20201104,0,6110,6114,6026,6066
20201105,0,6080,6100,5966,5982
20201106,0,5990,6004,5854,5888
20201109,0,5880,5926,5858,5902
20201110,0,6038,6124,5944,6006
20201111,0,6022,6112,6002,6066
20201112,0,6080,6136,6038,6048
20201113,0,6040,6070,5934,5956
20201116,0,5904,5990,5894,5964
20201117,0,5990,6032,5940,5968
20201118,0,5960,6024,5922,6000
20201119,0,6030,6032,5974,5994
20201120,0,6000,6050,5972,6006
20201123,0,6002,6080,5990,6040
20201124,0,6048,6108,6026,6100
20201125,0,6094,6144,6066,6100
20201126,0,6100,6130,6046,6064
20201127,0,6054,6100,6040,6096
20201130,0,6104,6130,6006,6016
20201201,0,6030,6062,6012,6030
20201202,0,6036,6052,5942,5946
20201203,0,5944,6014,5908,5988
20201204,0,5990,6098,5964,6092
20201207,0,6106,6250,6072,6248
20201208,0,6244,6286,6168,6182
20201209,0,6200,6264,6150,6192
20201210,0,6198,6240,6160,6166
20201211,0,6184,6270,6160,6228
20201214,0,6222,6362,6222,6344
20201215,0,6362,6362,6200,6278
20201216,0,6290,6312,6246,6270
20201217,0,6282,6338,6268,6338
20201218,0,6338,6392,6284,6318
20201221,0,6320,6336,6208,6266
20201222,0,6266,6304,6162,6216
20201223,0,6238,6262,6130,6226
20201224,0,6260,6290,6216,6290
20201225,0,6284,6340,6262,6304
20201228,0,6322,6328,6232,6256
20201229,0,6282,6286,6162,6184
20201230,0,6186,6282,6180,6282
20201231,0,6286,6450,6252,6422
20210104,0,6400,6560,6400,6538
20210105,0,6522,6696,6514,6594
20210106,0,6610,6746,6580,6714
20210107,0,6702,6866,6666,6848
20210108,0,6844,6910,6724,6804
20210111,0,6814,6818,6548,6572
20210112,0,6576,6662,6512,6646
20210113,0,6660,6772,6626,6726
20210114,0,6712,6738,6592,6596
20210115,0,6582,6682,6546,6576
20210118,0,6576,6652,6534,6626
20210119,0,6626,6784,6602,6644
20210120,0,6656,6712,6608,6658
20210121,0,6662,6728,6610,6614
20210122,0,6614,6656,6476,6494
20210125,0,6456,6538,6456,6512
20210126,0,6512,6580,6440,6454
20210127,0,6468,6548,6440,6538
20210128,0,6508,6546,6424,6458
20210129,0,6470,6624,6466,6618
20210201,0,6632,6766,6602,6724
20210202,0,6750,6808,6710,6748
20210203,0,6782,6832,6668,6706
20210204,0,6724,6798,6690,6792
20210205,0,6786,6820,6738,6776
20210208,0,6794,7036,6790,7004
20210209,0,7008,7118,6982,7098
20210210,0,7096,7144,7040,7144
20210218,0,7350,7734,7350,7734
20210219,0,7702,7762,7490,7594
20210222,0,7594,8078,7530,8024
20210223,0,7998,8236,7908,7968
20210224,0,7970,8142,7910,8040
20210225,0,8158,8526,8070,8506
20210226,0,8508,8578,8260,8362
20210301,0,8304,8400,7928,8046
20210302,0,8016,8062,7712,7824
20210303,0,7880,7998,7726,7788
20210304,0,7836,7840,7580,7720
20210305,0,7700,7874,7616,7780
20210308,0,7832,8090,7808,7920
20210309,0,7900,7900,7600,7600
20210310,0,7640,7684,7306,7370
20210311,0,7418,7596,7354,7578
20210312,0,7578,7692,7502,7548
20210315,0,7540,7618,7384,7436
20210316,0,7394,7468,7136,7162
20210317,0,7154,7278,7114,7228
20210318,0,7172,7286,7124,7264
20210319,0,7256,7352,6954,7014
20210322,0,7018,7248,6994,7206
20210323,0,7220,7284,7136,7208
20210324,0,7108,7230,7060,7158
20210325,0,7200,7222,7014,7018
20210326,0,6982,7014,6810,6974
20210329,0,6960,7042,6828,6838
20210330,0,6880,6938,6846,6880
20210331,0,6830,6972,6824,6870
20210401,0,6802,6866,6722,6824
20210402,0,6810,7028,6810,7018
20210406,0,6976,7076,6954,7042
20210407,0,7044,7152,6938,7010
20210408,0,7000,7046,6890,6918
20210409,0,6930,6980,6830,6834
20210412,0,6836,6862,6652,6700
20210413,0,6722,6746,6624,6676
20210414,0,6652,6794,6618,6774
20210415,0,6778,6922,6778,6908
20210416,0,6892.601839,7004.238507,6861.805517,6961.893564
20210419,0,6969.592644,7000.388966,6856.031206,6902.22569
20210420,0,6908,7015.787127,6908,6950.344943
20210421,0,6929.172471,6946.495403,6684.726665,6728.996378
20210422,0,6684.726665,6804.062413,6657.779883,6742.469769
20210423,0,6754.01839,6861.805517,6698.200056,6859.880747
20210426,0,6859.880747,6909.92477,6698.200056,6700.124826
20210427,0,6684.726665,6800.212873,6607.73586,6752.093619
20210428,0,6752.093619,6803.40421,6717.886559,6793.902249
20210429,0,6795.802641,6923.128921,6790.101464,6923.128921
20210430,0,6938.332059,7008.646571,6811.005779,6852.814408
20210506,0,6947.83402,7063.757946,6877.519507,7014.347748
20210507,0,7023.849709,7107.466968,6972.539119,7035.252063
20210510,0,7023.849709,7122.670106,6959.236373,7027.650494
20210511,0,7033.351671,7044.754024,6887.021468,6890.822253
20210512,0,6898.423822,7050.455201,6860.415977,7046.654416
20210513,0,7031.451278,7103.666183,6748.292835,6795.802641
20210514,0,6792.001856,6826.208917,6537.349297,6563.954788
20210517,0,6620.966555,6708.384598,6584.859103,6628.568124
20210518,0,6628.568124,6729.288913,6588.659887,6698.882637
20210519,0,6704.583813,6721.687344,6560.154003,6615.265378
20210520,0,6607.663809,6607.663809,6394.819879,6565.85518
20210521,0,6539.249689,6657.074008,6505.042629,6562.054396
20210524,0,6605.763417,6639.970477,6493.640275,6605.763417
20210525,0,6607.663809,6691.281068,6558.253611,6641.87087
20210526,0,6630.468516,6677.978322,6516.444982,6581.058318
20210527,0,6556.353219,6582.95871,6434.728116,6444.230077
20210528,0,6421.42537,6596.261456,6406.222232,6525.946943
20210531,0,6525.946943,6636.169693,6486.038706,6624.767339
20210601,0,6641.87087,6757.794796,6624.767339,6746.392443
20210602,0,6788.201072,6814.806563,6626.667732,6668.476361
20210603,0,6676.07793,6792.001856,6658.9744,6748.292835
20210604,0,6727.38852,6731.189305,6548.75165,6639.970477
20210607,0,6708.384598,6723.587736,6571.556357,6577.257534
20210608,0,6600.06224,6628.568124,6516.444982,6544.950866
20210609,0,6544.950866,6609.564202,6510.743805,6590.560279
20210610,0,6588.659887,6632.368908,6518.345374,6535.448904
