date,time,open,high,low,close
20210201,0,9866,10630,9866,10504
20210202,0,10504,10754,10352,10414
20210203,0,10330,10396,10124,10304
20210204,0,10348,10416,10232,10302
20210205,0,10340,10400,10266,10288
20210208,0,10290,10466,10284,10346
20210209,0,10380,10444,10354,10376
20210210,0,10398,10424,10290,10354
20210218,0,10398,10498,10380,10400
20210219,0,10416,10422,10216,10368
20210222,0,10408,10732,10404,10650
20210223,0,10700,10966,10520,10702
20210224,0,10750,10798,10564,10710
20210225,0,10732,10920,10732,10862
20210226,0,10764,10860,10654,10816
20210301,0,10898,11288,10896,11128
20210302,0,11050,11210,10830,10922
20210303,0,10960,11018,10788,10902
20210304,0,10920,11022,10840,10936
20210305,0,10910,10940,10602,10786
20210308,0,11250,11300,10950,11060
20210309,0,11000,11064,10796,10812
20210310,0,10856,10980,10772,10898
20210311,0,10818,10880,10720,10844
20210312,0,10956,10956,10804,10852
20210315,0,10864,10890,10800,10868
20210316,0,10880,10940,10766,10774
20210317,0,10738,10762,10630,10702
20210318,0,10662,10702,10560,10596
20210319,0,10558,10560,10410,10468
20210322,0,10510,10600,10454,10480
20210323,0,10630,10638,10506,10570
20210324,0,10504,10556,10458,10544
20210325,0,10552,10684,10536,10642
20210326,0,10550,10582,10462,10510
20210329,0,10460,10514,10334,10356
20210330,0,10374,10430,10350,10422
20210331,0,10378,10426,10310,10400
20210401,0,10496,10574,10454,10516
20210402,0,10482,10534,10468,10510
20210406,0,10482,10530,10350,10508
20210407,0,10548,10750,10534,10588
20210408,0,10532,10606,10524,10576
20210409,0,10622,10630,10426,10432
20210412,0,10370,10446,10360,10376
20210413,0,10372,10390,10268,10340
20210414,0,10390,10416,10322,10344
20210415,0,10362,10398,10310,10364
20210416,0,10380,10446,10380,10434
20210419,0,10450,10628,10250,10374
20210420,0,10372,10418,10352,10408
20210421,0,10422,10430,10326,10350
20210422,0,10366,10520,10358,10494
20210423,0,10530,10580,10468,10486
20210426,0,10520,10578,10450,10466
20210427,0,10514,10548,10476,10514
20210428,0,10450,10468,10382,10390
20210429,0,10450,10458,10368,10412
20210430,0,10376,10446,10334,10418
20210506,0,10438,10568,10436,10538
20210507,0,10560,10646,10550,10572
20210510,0,10600,10650,10540,10578
20210511,0,10550,10562,10300,10304
20210512,0,10350,10374,10082,10292
20210513,0,10252,10520,10228,10264
20210514,0,10230,10244,10128,10184
20210517,0,10244,10288,10158,10238
20210518,0,10224,10260,10186,10210
20210519,0,10170,10182,10122,10140
20210520,0,10000,10266,9902,10196
20210521,0,10162,10458,10162,10346
20210524,0,10328,10360,10200,10238
20210525,0,10250,10300,10230,10280
20210526,0,10206,10252,10050,10056
20210527,0,10030,10108,9998,10040
20210528,0,10122,10158,10050,10062
20210531,0,10062,10078,9960,10024
20210601,0,10042,10052,9982,10012
20210602,0,10026,10118,10006,10050
20210603,0,10094,10120,10030,10066
20210604,0,10036,10066,9980,9984
20210607,0,10010,10018,9348,9398
20210608,0,9380,9428,9152,9218
20210609,0,9228,9308,9208,9212
20210610,0,9200,9306,9186,9270
