date,time,open,high,low,close
20250722,0,6550,6708,6501,6613
20250723,0,6600,6661,6540,6578
20250724,0,6594,6622,6564,6601
20250725,0,6630,6694,6598,6657
20250728,0,6648,6674,6550,6570
20250729,0,6569,6594,6548,6573
20250730,0,6598,6605,6562,6570
20250731,0,6574,6588,6530,6545
20250801,0,6555,6555,6462,6474
20250804,0,6480,6494,6416,6481
20250805,0,6464,6520,6454,6512
20250806,0,6510,6555,6473,6494
20250807,0,6501,6511,6470,6480
20250808,0,6462,6496,6443,6451
20250811,0,6462,6505,6451,6491
20250812,0,6517,6560,6476,6513
20250813,0,6513,6528,6486,6507
20250814,0,6520,6526,6471,6488
20250815,0,6480,6505,6476,6492
20250818,0,6506,6529,6449,6451
20250819,0,6444,6463,6395,6404
20250820,0,6404,6456,6360,6446
20250821,0,6446,6493,6425,6472
20250822,0,6461,6493,6450,6470
20250825,0,6493,6514,6463,6491
20250826,0,6500,6501,6460,6467
20250827,0,6460,6474,6441,6444
20250828,0,6451,6461,6422,6450
20250829,0,6462,6466,6403,6409
20250901,0,6420,6427,6362,6423
20250902,0,6423,6443,6386,6405
