date,time,open,high,low,close
20240830,0,6550,6648,6454,6600
20240902,0,6622,6624,6360,6376
20240903,0,6378,6444,6332,6386
20240904,0,6338,6366,6238,6290
20240905,0,6290,6350,6216,6226
20240906,0,6242,6298,6158,6220
20240909,0,6228,6228,6040,6090
20240910,0,6080,6094,5914,5914
20240911,0,5912,6374,5736,6002
20240912,0,6000,6076,5880,6048
20240913,0,6086,6160,6012,6092
20240918,0,6118,6136,5932,5962
20240919,0,5954,6088,5904,6074
20240920,0,6078,6112,6034,6078
20240923,0,6062,6068,5986,5998
20240924,0,5992,6186,5974,6170
20240925,0,6188,6380,6172,6182
20240926,0,6146,6258,6130,6184
20240927,0,6206,6312,6172,6294
20240930,0,6290,6560,6262,6516
20241008,0,6800,6820,6546,6574
20241009,0,6568,6578,6474,6504
20241010,0,6474,6510,6384,6448
20241011,0,6462,6532,6446,6508
20241014,0,6516,6572,6446,6472
20241015,0,6452,6486,6320,6320
20241016,0,6316,6372,6270,6306
20241017,0,6298,6328,6188,6190
20241018,0,6218,6300,6190,6260
20241021,0,6244,6244,6168,6218
20241022,0,6236,6324,6222,6284
20241023,0,6324,6362,6272,6304
20241024,0,6272,6318,6236,6284
20241025,0,6280,6336,6234,6284
20241028,0,6304,6326,6150,6270
20241029,0,6240,6264,6138,6160
20241030,0,6202,6210,6140,6178
20241031,0,6196,6228,6160,6208
20241101,0,6214,6296,6198,6240
20241104,0,6250,6260,6192,6234
20241105,0,6244,6292,6232,6246
20241106,0,6262,6286,6130,6160
20241107,0,6160,6276,6122,6262
20241108,0,6250,6330,6224,6292
20241111,0,6266,6284,6162,6236
20241112,0,6186,6216,6172,6192
20241113,0,6202,6230,6184,6214
20241114,0,6230,6230,6160,6164
20241115,0,6184,6220,6118,6118
20241118,0,6140,6164,6090,6144
20241119,0,6148,6200,6122,6178
20241120,0,6168,6224,6142,6216
20241121,0,6248,6262,6186,6216
20241122,0,6238,6260,6200,6208
20241125,0,6182,6260,6152,6184
20241126,0,6194,6200,6130,6146
20241127,0,6140,6172,6132,6164
20241128,0,6186,6186,6116,6124
20241129,0,6124,6170,6102,6164
20241202,0,6158,6210,6126,6198
20241203,0,6198,6214,6166,6184
20241204,0,6186,6216,6168,6182
20241205,0,6176,6198,6104,6118
20241206,0,6120,6130,6062,6100
20241209,0,6084,6098,6052,6074
20241210,0,6100,6176,6088,6122
20241211,0,6126,6170,6120,6160
20241212,0,6192,6204,6158,6176
20241213,0,6192,6214,6172,6184
20241216,0,6198,6310,6172,6298
20241217,0,6304,6308,6268,6290
20241218,0,6282,6290,6250,6264
20241219,0,6282,6282,6204,6212
20241220,0,6214,6242,6166,6186
20241223,0,6182,6232,6154,6226
20241224,0,6212,6232,6176,6208
20241225,0,6212,6232,6190,6204
20241226,0,6200,6208,6134,6140
20241227,0,6150,6170,6098,6106
20241230,0,6120,6156,6110,6130
20241231,0,6126,6178,6116,6160
20250102,0,6162,6240,6158,6238
20250103,0,6242,6266,6202,6212
