date,time,open,high,low,close
20240830,0.090500000,6552,6586,6538,6572
20240830,0.091000000,6570,6624,6560,6598
20240830,0.091500000,6598,6598,6568,6574
20240830,0.092000000,6574,6584,6568,6572
20240830,0.092500000,6572,6590,6572,6588
20240830,0.093000000,6588,6606,6586,6596
20240830,0.093500000,6598,6598,6560,6576
20240830,0.094000000,6576,6590,6574,6584
20240830,0.094500000,6584,6586,6576,6584
20240830,0.095000000,6584,6594,6584,6586
20240830,0.095500000,6588,6590,6570,6586
20240830,0.100000000,6586,6644,6576,6640
20240830,0.100500000,6638,6638,6592,6600
20240830,0.101000000,6598,6608,6576,6582
20240830,0.103000000,6584,6612,6580,6606
20240830,0.103500000,6606,6606,6590,6594
20240830,0.104000000,6594,6606,6592,6598
20240830,0.104500000,6598,6608,6596,6602
20240830,0.105000000,6600,6616,6592,6610
20240830,0.105500000,6610,6618,6600,6610
20240830,0.110000000,6610,6618,6600,6610
20240830,0.110500000,6612,6624,6606,6616
20240830,0.111000000,6614,6624,6610,6614
20240830,0.111500000,6614,6648,6612,6636
20240830,0.112000000,6636,6636,6610,6620
20240830,0.112500000,6620,6628,6618,6628
20240830,0.133000000,6630,6642,6626,6634
20240830,0.133500000,6634,6634,6628,6630
20240830,0.134000000,6632,6632,6592,6606
20240830,0.134500000,6606,6606,6584,6588
20240830,0.135000000,6588,6612,6584,6606
20240830,0.135500000,6608,6608,6598,6598
20240830,0.140000000,6598,6612,6592,6604
20240830,0.140500000,6604,6608,6588,6596
20240830,0.141000000,6596,6600,6586,6596
20240830,0.141500000,6594,6598,6582,6590
20240830,0.142000000,6588,6604,6584,6602
20240830,0.142500000,6602,6614,6602,6604
20240830,0.143000000,6604,6606,6592,6594
20240830,0.143500000,6594,6598,6588,6594
20240830,0.144000000,6596,6600,6594,6598
20240830,0.144500000,6598,6600,6590,6594
20240830,0.145000000,6596,6604,6590,6602
20240830,0.145500000,6602,6602,6592,6600
20240830,0.210000000,6622,6624,6596,6596
20240830,0.210500000,6596,6596,6566,6572
20240830,0.211000000,6572,6572,6554,6562
20240830,0.211500000,6562,6566,6544,6562
20240830,0.212000000,6560,6564,6552,6560
20240830,0.212500000,6560,6564,6554,6564
20240830,0.213000000,6564,6578,6556,6568
20240830,0.213500000,6566,6568,6554,6558
20240830,0.214000000,6562,6568,6558,6564
20240830,0.214500000,6562,6564,6520,6524
20240830,0.215000000,6528,6538,6514,6520
20240830,0.215500000,6518,6524,6516,6516
20240830,0.220000000,6516,6542,6516,6526
20240830,0.220500000,6528,6534,6522,6528
20240830,0.221000000,6528,6534,6520,6526
20240830,0.221500000,6524,6540,6524,6538
20240830,0.222000000,6538,6538,6524,6526
20240830,0.222500000,6526,6532,6522,6524
20240830,0.223000000,6524,6528,6510,6518
20240830,0.223500000,6518,6534,6518,6528
20240830,0.224000000,6526,6528,6518,6522
20240830,0.224500000,6524,6528,6516,6520
20240830,0.225000000,6520,6526,6512,6526
20240830,0.225500000,6526,6530,6514,6518
20240902,0.090000000,6514,6514,6432,6460
20240902,0.090500000,6458,6466,6432,6462
20240902,0.091000000,6462,6476,6452,6460
20240902,0.091500000,6460,6466,6434,6450
20240902,0.092000000,6450,6460,6446,6448
20240902,0.092500000,6450,6460,6438,6444
20240902,0.093000000,6446,6456,6436,6446
20240902,0.093500000,6446,6446,6418,6422
20240902,0.094000000,6422,6430,6406,6412
20240902,0.094500000,6412,6422,6410,6418
20240902,0.095000000,6420,6424,6410,6424
20240902,0.095500000,6424,6428,6414,6420
20240902,0.100000000,6418,6428,6416,6422
20240902,0.100500000,6422,6424,6390,6408
20240902,0.101000000,6406,6412,6400,6402
20240902,0.103000000,6402,6422,6398,6422
20240902,0.103500000,6422,6434,6410,6434
20240902,0.104000000,6436,6438,6422,6428
20240902,0.104500000,6428,6430,6418,6428
20240902,0.105000000,6430,6432,6402,6406
20240902,0.105500000,6406,6416,6404,6416
20240902,0.110000000,6416,6422,6406,6418
20240902,0.110500000,6416,6418,6394,6396
20240902,0.111000000,6396,6406,6360,6380
20240902,0.111500000,6380,6384,6360,6370
20240902,0.112000000,6370,6380,6370,6378
20240902,0.112500000,6378,6410,6374,6408
20240902,0.133000000,6410,6420,6392,6402
20240902,0.133500000,6402,6406,6394,6404
20240902,0.134000000,6406,6406,6384,6386
20240902,0.134500000,6386,6392,6382,6386
20240902,0.135000000,6386,6396,6384,6386
20240902,0.135500000,6388,6388,6378,6380
20240902,0.140000000,6380,6388,6372,6380
20240902,0.140500000,6384,6386,6380,6384
20240902,0.141000000,6382,6384,6372,6376
20240902,0.141500000,6378,6386,6372,6380
20240902,0.142000000,6380,6386,6374,6378
20240902,0.142500000,6380,6382,6372,6378
20240902,0.143000000,6376,6380,6370,6372
20240902,0.143500000,6372,6390,6370,6382
20240902,0.144000000,6382,6388,6372,6376
20240902,0.144500000,6378,6390,6376,6386
20240902,0.145000000,6382,6386,6376,6378
20240902,0.145500000,6378,6380,6374,6376
20240902,0.210000000,6378,6394,6346,6352
20240902,0.210500000,6354,6360,6342,6352
20240902,0.211000000,6356,6390,6354,6376
20240902,0.211500000,6376,6396,6374,6382
20240902,0.212000000,6380,6388,6378,6388
20240902,0.212500000,6388,6388,6364,6364
20240902,0.213000000,6364,6376,6364,6368
20240902,0.213500000,6368,6372,6356,6358
20240902,0.214000000,6358,6360,6334,6342
20240902,0.214500000,6342,6360,6340,6354
20240902,0.215000000,6354,6362,6344,6352
20240902,0.215500000,6352,6362,6350,6352
20240902,0.220000000,6352,6358,6352,6356
20240902,0.220500000,6358,6358,6342,6348
20240902,0.221000000,6348,6350,6332,6338
20240902,0.221500000,6338,6352,6336,6348
20240902,0.222000000,6346,6352,6344,6346
20240902,0.222500000,6346,6356,6344,6350
20240902,0.223000000,6352,6360,6342,6346
20240902,0.223500000,6346,6354,6342,6350
20240902,0.224000000,6352,6354,6346,6354
20240902,0.224500000,6354,6356,6346,6348
20240902,0.225000000,6348,6352,6344,6352
20240902,0.225500000,6352,6362,6346,6360
20240903,0.090000000,6362,6388,6348,6352
20240903,0.090500000,6350,6354,6340,6344
20240903,0.091000000,6346,6356,6342,6354
20240903,0.091500000,6356,6362,6350,6358
20240903,0.092000000,6358,6378,6356,6366
20240903,0.092500000,6366,6378,6364,6376
20240903,0.093000000,6376,6444,6374,6390
20240903,0.093500000,6390,6408,6390,6400
20240903,0.094000000,6398,6406,6396,6396
20240903,0.094500000,6394,6416,6394,6416
20240903,0.095000000,6414,6418,6400,6402
20240903,0.095500000,6402,6408,6386,6390
20240903,0.100000000,6388,6400,6382,6388
20240903,0.100500000,6390,6410,6388,6406
20240903,0.101000000,6404,6412,6400,6408
20240903,0.103000000,6408,6410,6396,6402
20240903,0.103500000,6400,6400,6390,6390
20240903,0.104000000,6392,6394,6386,6394
20240903,0.104500000,6392,6394,6384,6384
20240903,0.105000000,6384,6384,6368,6370
20240903,0.105500000,6368,6380,6364,6372
20240903,0.110000000,6374,6386,6372,6382
20240903,0.110500000,6384,6386,6364,6366
20240903,0.111000000,6368,6372,6352,6358
20240903,0.111500000,6356,6370,6354,6368
20240903,0.112000000,6368,6376,6360,6370
20240903,0.112500000,6370,6406,6368,6402
20240903,0.133000000,6402,6412,6390,6400
20240903,0.133500000,6402,6402,6384,6386
20240903,0.134000000,6384,6400,6382,6398
20240903,0.134500000,6396,6410,6396,6396
20240903,0.135000000,6396,6404,6392,6392
20240903,0.135500000,6392,6398,6378,6384
20240903,0.140000000,6384,6386,6378,6382
20240903,0.140500000,6382,6396,6378,6388
20240903,0.141000000,6388,6390,6378,6388
20240903,0.141500000,6388,6400,6386,6394
20240903,0.142000000,6396,6398,6386,6386
20240903,0.142500000,6384,6388,6380,6384
20240903,0.143000000,6382,6388,6380,6384
20240903,0.143500000,6384,6394,6384,6392
20240903,0.144000000,6390,6398,6390,6394
20240903,0.144500000,6394,6396,6382,6390
20240903,0.145000000,6388,6396,6384,6390
20240903,0.145500000,6390,6394,6382,6386
20240903,0.210000000,6338,6366,6336,6360
20240903,0.210500000,6360,6366,6346,6350
20240903,0.211000000,6350,6350,6322,6326
20240903,0.211500000,6328,6336,6312,6316
20240903,0.212000000,6316,6318,6294,6308
20240903,0.212500000,6310,6318,6298,6312
20240903,0.213000000,6316,6322,6282,6284
20240903,0.213500000,6284,6300,6284,6296
20240903,0.214000000,6296,6304,6294,6300
20240903,0.214500000,6300,6304,6292,6296
20240903,0.215000000,6298,6302,6292,6302
20240903,0.215500000,6300,6304,6294,6300
20240903,0.220000000,6300,6310,6298,6304
20240903,0.220500000,6304,6308,6296,6300
20240903,0.221000000,6302,6310,6300,6304
20240903,0.221500000,6302,6306,6298,6300
20240903,0.222000000,6298,6304,6296,6300
20240903,0.222500000,6300,6304,6298,6300
20240903,0.223000000,6298,6308,6298,6306
20240903,0.223500000,6308,6328,6300,6326
20240903,0.224000000,6324,6334,6316,6322
20240903,0.224500000,6324,6356,6322,6338
20240903,0.225000000,6338,6340,6324,6326
20240903,0.225500000,6326,6342,6322,6340
20240904,0.090000000,6330,6334,6298,6308
20240904,0.090500000,6306,6310,6292,6300
20240904,0.091000000,6300,6302,6288,6294
20240904,0.091500000,6294,6296,6272,6276
20240904,0.092000000,6276,6278,6244,6256
20240904,0.092500000,6254,6260,6238,6254
20240904,0.093000000,6256,6270,6254,6264
20240904,0.093500000,6264,6278,6258,6278
20240904,0.094000000,6276,6278,6264,6264
20240904,0.094500000,6266,6270,6260,6268
20240904,0.095000000,6268,6274,6266,6272
20240904,0.095500000,6272,6276,6264,6266
20240904,0.100000000,6266,6268,6258,6260
20240904,0.100500000,6260,6268,6254,6260
20240904,0.101000000,6260,6262,6250,6254
20240904,0.103000000,6254,6266,6254,6262
20240904,0.103500000,6264,6276,6260,6270
20240904,0.104000000,6268,6270,6258,6260
20240904,0.104500000,6258,6268,6254,6268
20240904,0.105000000,6268,6274,6264,6272
20240904,0.105500000,6272,6272,6266,6268
20240904,0.110000000,6272,6296,6270,6286
20240904,0.110500000,6284,6296,6282,6286
20240904,0.111000000,6286,6314,6286,6294
20240904,0.111500000,6296,6302,6294,6302
20240904,0.112000000,6300,6308,6286,6286
20240904,0.112500000,6286,6290,6276,6282
20240904,0.133000000,6284,6286,6272,6278
20240904,0.133500000,6280,6288,6278,6284
20240904,0.134000000,6284,6286,6274,6286
20240904,0.134500000,6284,6284,6274,6278
20240904,0.135000000,6276,6286,6274,6282
20240904,0.135500000,6282,6284,6276,6282
20240904,0.140000000,6282,6292,6280,6286
20240904,0.140500000,6284,6298,6282,6290
20240904,0.141000000,6290,6294,6284,6294
20240904,0.141500000,6294,6294,6284,6292
20240904,0.142000000,6292,6294,6284,6290
20240904,0.142500000,6290,6292,6286,6290
20240904,0.143000000,6292,6296,6288,6292
20240904,0.143500000,6292,6294,6286,6290
20240904,0.144000000,6290,6292,6284,6292
20240904,0.144500000,6290,6294,6284,6284
20240904,0.145000000,6286,6294,6286,6294
20240904,0.145500000,6296,6306,6288,6290
20240904,0.210000000,6290,6350,6276,6322
20240904,0.210500000,6322,6330,6306,6308
20240904,0.211000000,6308,6316,6294,6310
20240904,0.211500000,6312,6322,6304,6318
20240904,0.212000000,6318,6320,6306,6312
20240904,0.212500000,6310,6312,6300,6302
20240904,0.213000000,6302,6302,6294,6296
20240904,0.213500000,6296,6306,6294,6304
20240904,0.214000000,6302,6306,6296,6298
20240904,0.214500000,6296,6298,6282,6290
20240904,0.215000000,6292,6298,6290,6296
20240904,0.215500000,6298,6310,6294,6306
20240904,0.220000000,6306,6314,6300,6308
20240904,0.220500000,6306,6308,6300,6304
20240904,0.221000000,6302,6304,6294,6296
20240904,0.221500000,6298,6302,6296,6302
20240904,0.222000000,6304,6306,6302,6304
20240904,0.222500000,6304,6304,6296,6298
20240904,0.223000000,6298,6306,6292,6302
20240904,0.223500000,6304,6308,6300,6308
20240904,0.224000000,6308,6338,6306,6330
20240904,0.224500000,6330,6330,6310,6312
20240904,0.225000000,6312,6324,6312,6318
20240904,0.225500000,6318,6324,6316,6320
20240905,0.090000000,6318,6318,6296,6300
20240905,0.090500000,6304,6308,6298,6304
20240905,0.091000000,6306,6306,6300,6302
20240905,0.091500000,6304,6304,6296,6296
20240905,0.092000000,6298,6298,6278,6294
20240905,0.092500000,6294,6294,6276,6282
20240905,0.093000000,6284,6294,6282,6290
20240905,0.093500000,6288,6296,6286,6294
20240905,0.094000000,6296,6296,6290,6290
20240905,0.094500000,6290,6296,6290,6292
20240905,0.095000000,6292,6294,6282,6286
20240905,0.095500000,6286,6294,6284,6286
20240905,0.100000000,6286,6292,6286,6290
20240905,0.100500000,6290,6292,6282,6286
20240905,0.101000000,6286,6288,6270,6276
20240905,0.103000000,6276,6292,6274,6290
20240905,0.103500000,6288,6290,6284,6286
20240905,0.104000000,6286,6286,6272,6278
20240905,0.104500000,6276,6276,6266,6272
20240905,0.105000000,6272,6286,6272,6278
20240905,0.105500000,6278,6282,6274,6278
20240905,0.110000000,6276,6278,6262,6268
20240905,0.110500000,6270,6272,6264,6266
20240905,0.111000000,6264,6268,6258,6262
20240905,0.111500000,6262,6264,6246,6248
20240905,0.112000000,6250,6254,6236,6250
20240905,0.112500000,6250,6256,6244,6254
20240905,0.133000000,6252,6254,6224,6234
20240905,0.133500000,6234,6236,6216,6228
20240905,0.134000000,6228,6240,6224,6236
20240905,0.134500000,6240,6240,6224,6232
20240905,0.135000000,6230,6242,6224,6242
20240905,0.135500000,6240,6240,6228,6234
20240905,0.140000000,6234,6238,6226,6232
20240905,0.140500000,6230,6236,6228,6234
20240905,0.141000000,6230,6246,6230,6246
20240905,0.141500000,6246,6246,6234,6236
