date,time,open,high,low,close
20230915,0,10000,10050,9410,9468
20230918,0,9450,9468,9290,9346
20230919,0,9370,9436,9290,9326
20230920,0,9358,9564,9254,9310
20230921,0,9344,9346,9132,9134
20230922,0,9172,9280,9162,9218
20230925,0,9254,9300,9066,9130
20230926,0,9120,9130,8890,8930
20230927,0,8950,9040,8912,8980
20230928,0,9018,9166,8968,9006
20231009,0,8746,8826,8586,8620
20231010,0,8640,8650,8488,8500
20231011,0,8506,8526,8404,8458
20231012,0,8438,8462,8292,8390
20231013,0,8436,8486,8316,8404
20231016,0,8502,8518,8402,8444
20231017,0,8460,8506,8280,8362
20231018,0,8332,8498,8332,8420
20231019,0,8402,8466,8318,8400
20231020,0,8388,8530,8350,8410
20231023,0,8406,8432,8234,8318
20231024,0,8336,8544,8298,8530
20231025,0,8500,8590,8406,8460
20231026,0,8480,8564,8464,8510
20231027,0,8474,8596,8430,8554
20231030,0,8552,8668,8520,8630
20231031,0,8614,8688,8506,8638
20231101,0,8624,8668,8566,8596
20231102,0,8650,8650,8500,8564
20231103,0,8574,8696,8550,8652
20231106,0,8666,8700,8502,8558
20231107,0,8570,8616,8466,8496
20231108,0,8478,8492,8352,8462
20231109,0,8428,8562,8380,8432
20231110,0,8450,8528,8426,8470
20231113,0,8498,8538,8378,8452
20231114,0,8466,8606,8426,8566
20231115,0,8540,8628,8528,8624
20231116,0,8608,8780,8544,8778
20231117,0,8776,8840,8630,8672
20231120,0,8694,8772,8648,8708
20231121,0,8722,8762,8430,8452
20231122,0,8466,8510,8388,8416
20231123,0,8400,8448,8324,8410
20231124,0,8410,8448,8368,8408
20231127,0,8404,8430,8272,8298
20231128,0,8296,8328,8252,8258
20231129,0,8280,8330,8206,8254
20231130,0,8272,8476,8262,8442
20231201,0,8446,8484,8262,8318
20231204,0,8320,8402,8252,8278
20231205,0,8280,8310,8190,8274
20231206,0,8270,8342,8110,8310
20231207,0,8290,8310,8170,8270
20231208,0,8246,8394,8244,8338
20231211,0,8340,8386,8282,8336
20231212,0,8326,8426,8268,8356
20231213,0,8346,8358,8132,8136
20231214,0,8160,8214,8092,8098
20231215,0,8160,8300,8132,8244
20231218,0,8260,8330,8200,8308
20231219,0,8300,8378,8300,8318
20231220,0,8322,8512,8320,8492
20231221,0,8512,8614,8450,8598
20231222,0,8580,8674,8530,8604
20231225,0,8614,8626,8498,8570
20231226,0,8568,8620,8530,8544
20231227,0,8558,8662,8546,8648
20231228,0,8648,8724,8588,8674
20231229,0,8650,8666,8532,8590
20240102,0,8602,8742,8592,8614
20240103,0,8602,8670,8478,8522
20240104,0,8540,8638,8500,8528
20240105,0,8526,8600,8452,8558
20240108,0,8548,8646,8362,8370
20240109,0,8352,8362,8266,8274
20240110,0,8322,8372,8300,8318
20240111,0,8328,8360,8250,8314
20240112,0,8336,8428,8308,8364
20240115,0,8366,8432,8320,8360
20240116,0,8338,8478,8316,8440
20240117,0,8450,8480,8396,8428
20240118,0,8406,8518,8374,8474
20240119,0,8468,8576,8460,8566
20240122,0,8530,8614,8510,8592
20240123,0,8596,8670,8540,8662
20240124,0,8646,8754,8634,8730
