date,time,open,high,low,close
20230915,0.090500000,9762,9768,9688,9728
20230915,0.091000000,9732,9748,9672,9692
20230915,0.091500000,9694,9710,9610,9652
20230915,0.092000000,9658,9698,9652,9692
20230915,0.092500000,9690,9706,9600,9626
20230915,0.093000000,9628,9642,9542,9594
20230915,0.093500000,9596,9602,9540,9574
20230915,0.094000000,9574,9620,9550,9598
20230915,0.094500000,9600,9618,9476,9516
20230915,0.095000000,9514,9592,9512,9574
20230915,0.095500000,9576,9602,9562,9570
20230915,0.100000000,9570,9580,9534,9536
20230915,0.100500000,9536,9600,9536,9584
20230915,0.101000000,9580,9642,9580,9600
20230915,0.103000000,9602,9602,9550,9572
20230915,0.103500000,9572,9600,9562,9572
20230915,0.104000000,9572,9582,9552,9564
20230915,0.104500000,9564,9578,9530,9572
20230915,0.105000000,9570,9592,9556,9556
20230915,0.105500000,9556,9566,9536,9546
20230915,0.110000000,9544,9562,9532,9532
20230915,0.110500000,9532,9544,9514,9542
20230915,0.111000000,9538,9564,9532,9548
20230915,0.111500000,9548,9548,9504,9528
20230915,0.112000000,9526,9544,9508,9538
20230915,0.112500000,9538,9542,9498,9532
20230915,0.133000000,9530,9542,9494,9512
20230915,0.133500000,9512,9514,9462,9478
20230915,0.134000000,9476,9484,9440,9454
20230915,0.134500000,9454,9468,9432,9466
20230915,0.135000000,9464,9470,9442,9448
20230915,0.135500000,9448,9496,9410,9494
20230915,0.140000000,9490,9524,9484,9494
20230915,0.140500000,9498,9502,9486,9490
20230915,0.141000000,9490,9504,9464,9498
20230915,0.141500000,9498,9526,9484,9492
20230915,0.142000000,9492,9500,9462,9468
20230915,0.142500000,9470,9478,9458,9472
20230915,0.143000000,9474,9516,9474,9506
20230915,0.143500000,9508,9508,9482,9496
20230915,0.144000000,9496,9508,9480,9480
20230915,0.144500000,9480,9482,9440,9464
20230915,0.145000000,9464,9478,9444,9474
20230915,0.145500000,9474,9486,9456,9468
20230915,0.210000000,9450,9450,9326,9372
20230915,0.210500000,9372,9440,9370,9406
20230915,0.211000000,9406,9410,9372,9380
20230915,0.211500000,9380,9386,9320,9362
20230915,0.212000000,9364,9378,9334,9358
20230915,0.212500000,9356,9362,9290,9326
20230915,0.213000000,9326,9354,9304,9344
20230915,0.213500000,9346,9376,9338,9366
20230915,0.214000000,9366,9382,9342,9356
20230915,0.214500000,9354,9378,9342,9350
20230915,0.215000000,9350,9360,9330,9356
20230915,0.215500000,9358,9372,9350,9356
20230915,0.220000000,9360,9396,9358,9376
20230915,0.220500000,9376,9388,9354,9358
20230915,0.221000000,9358,9362,9334,9346
20230915,0.221500000,9346,9366,9346,9354
20230915,0.222000000,9352,9358,9330,9352
20230915,0.222500000,9352,9368,9350,9354
20230915,0.223000000,9356,9368,9338,9364
20230915,0.223500000,9364,9366,9348,9348
20230915,0.224000000,9350,9390,9348,9384
20230915,0.224500000,9384,9412,9360,9402
20230915,0.225000000,9400,9408,9380,9388
20230915,0.225500000,9386,9392,9356,9366
20230918,0.090000000,9362,9378,9318,9350
20230918,0.090500000,9356,9388,9346,9370
20230918,0.091000000,9370,9404,9362,9396
20230918,0.091500000,9400,9408,9384,9390
20230918,0.092000000,9390,9410,9382,9398
20230918,0.092500000,9400,9436,9390,9432
20230918,0.093000000,9434,9464,9410,9434
20230918,0.093500000,9434,9436,9410,9422
20230918,0.094000000,9418,9436,9418,9418
20230918,0.094500000,9420,9424,9412,9414
20230918,0.095000000,9414,9430,9414,9420
20230918,0.095500000,9424,9450,9420,9438
20230918,0.100000000,9440,9468,9428,9438
20230918,0.100500000,9436,9458,9422,9434
20230918,0.101000000,9432,9446,9416,9420
20230918,0.103000000,9418,9422,9402,9412
20230918,0.103500000,9414,9422,9410,9418
20230918,0.104000000,9414,9438,9412,9414
20230918,0.104500000,9414,9416,9388,9396
20230918,0.105000000,9398,9400,9350,9364
20230918,0.105500000,9364,9374,9360,9370
20230918,0.110000000,9372,9378,9368,9372
20230918,0.110500000,9372,9374,9334,9338
20230918,0.111000000,9336,9362,9330,9352
20230918,0.111500000,9350,9372,9346,9356
20230918,0.112000000,9358,9364,9324,9336
20230918,0.112500000,9334,9344,9308,9342
20230918,0.133000000,9342,9370,9342,9366
20230918,0.133500000,9364,9370,9350,9364
20230918,0.134000000,9364,9386,9362,9384
20230918,0.134500000,9384,9386,9358,9358
20230918,0.135000000,9360,9366,9352,9352
20230918,0.135500000,9354,9366,9350,9354
20230918,0.140000000,9354,9362,9352,9354
20230918,0.140500000,9356,9366,9354,9362
20230918,0.141000000,9362,9366,9358,9360
20230918,0.141500000,9360,9382,9352,9370
20230918,0.142000000,9370,9374,9344,9350
20230918,0.142500000,9352,9384,9348,9384
20230918,0.143000000,9380,9390,9372,9380
20230918,0.143500000,9378,9384,9372,9382
20230918,0.144000000,9380,9384,9366,9372
20230918,0.144500000,9372,9374,9362,9366
20230918,0.145000000,9366,9372,9332,9352
20230918,0.145500000,9352,9358,9344,9346
20230918,0.210000000,9370,9394,9350,9360
20230918,0.210500000,9360,9376,9354,9366
20230918,0.211000000,9366,9366,9350,9364
20230918,0.211500000,9364,9366,9348,9364
20230918,0.212000000,9364,9370,9352,9356
20230918,0.212500000,9358,9362,9352,9358
20230918,0.213000000,9358,9358,9334,9336
20230918,0.213500000,9334,9336,9290,9312
20230918,0.214000000,9312,9314,9292,9302
20230918,0.214500000,9304,9324,9304,9314
20230918,0.215000000,9314,9332,9314,9324
20230918,0.215500000,9322,9326,9308,9320
20230918,0.220000000,9318,9334,9318,9324
20230918,0.220500000,9324,9352,9308,9350
20230918,0.221000000,9350,9360,9346,9356
20230918,0.221500000,9356,9356,9330,9330
20230918,0.222000000,9330,9338,9328,9330
20230918,0.222500000,9328,9342,9328,9340
20230918,0.223000000,9340,9360,9338,9360
20230918,0.223500000,9358,9360,9348,9356
20230918,0.224000000,9354,9360,9344,9358
20230918,0.224500000,9358,9372,9356,9372
20230918,0.225000000,9372,9380,9352,9358
20230918,0.225500000,9362,9370,9342,9354
20230919,0.090000000,9368,9392,9362,9386
20230919,0.090500000,9384,9424,9364,9418
20230919,0.091000000,9416,9436,9402,9412
20230919,0.091500000,9412,9422,9402,9406
20230919,0.092000000,9406,9416,9394,9396
20230919,0.092500000,9398,9404,9386,9396
20230919,0.093000000,9398,9416,9396,9404
20230919,0.093500000,9404,9408,9390,9408
20230919,0.094000000,9408,9410,9376,9380
20230919,0.094500000,9380,9396,9368,9386
20230919,0.095000000,9386,9408,9384,9406
20230919,0.095500000,9408,9408,9384,9388
20230919,0.100000000,9388,9402,9378,9378
20230919,0.100500000,9378,9378,9346,9360
20230919,0.101000000,9360,9362,9342,9362
