date,time,open,high,low,close
20121231,0,2399,2399,2336,2340
20130104,0,2322,2380,2316,2370
20130107,0,2365,2457,2360,2455
20130108,0,2470,2500,2438,2480
20130109,0,2488,2514,2472,2478
20130110,0,2473,2490,2459,2462
20130111,0,2465,2525,2463,2509
20130114,0,2527,2548,2505,2541
20130115,0,2549,2618,2542,2562
20130116,0,2565,2595,2542,2586
20130117,0,2602,2612,2565,2571
20130118,0,2580,2612,2561,2573
20130121,0,2575,2591,2562,2573
20130122,0,2574,2595,2574,2591
20130123,0,2591,2604,2573,2576
20130124,0,2569,2569,2486,2493
20130125,0,2500,2518,2493,2504
20130128,0,2513,2524,2484,2521
20130129,0,2521,2528,2506,2515
20130130,0,2518,2538,2516,2531
20130131,0,2542,2550,2533,2537
20130201,0,2530,2532,2477,2521
20130204,0,2521,2579,2520,2561
20130205,0,2558,2614,2549,2586
20130206,0,2600,2609,2576,2579
20130207,0,2576,2586,2563,2567
20130208,0,2572,2602,2572,2586
20130218,0,2540,2574,2532,2569
20130219,0,2605.358674,2656.260817,2584.582289,2639.639709
20130220,0,2655.221998,2661.454913,2641.717347,2642.756167
20130221,0,2633.406793,2684.308937,2614.708047,2682.231298
20130222,0,2680.15366,2741.443995,2664.571371,2671.843106
20130225,0,2648.989082,2659.377275,2592.892843,2600.164577
20130226,0,2592.892843,2636.523251,2578.349373,2594.970481
20130227,0,2615.746866,2636.523251,2590.815204,2611.591589
20130228,0,2628.212697,2636.523251,2581.465831,2582.50465
20130301,0,2591.854023,2612.630408,2571.077638,2601.203397
20130304,0,2593.931662,2610.55277,2576.271735,2592.892843
20130305,0,2610.55277,2628.212697,2605.358674,2617.824505
20130306,0,2616.785685,2624.05742,2576.271735,2593.931662
20130307,0,2593.931662,2603.281035,2581.465831,2591.854023
20130308,0,2603.281035,2607.436312,2587.698746,2589.776385
20130311,0,2591.854023,2591.854023,2532.641326,2533.680146
20130312,0,2539.913061,2539.913061,2499.39911,2502.515568
20130313,0,2505.632026,2529.524869,2480.700364,2525.369592
20130314,0,2508.748484,2545.107157,2494.205014,2536.796603
20130315,0,2548.223615,2559.650627,2527.44723,2544.068338
20130318,0,2522.253134,2539.913061,2462.001617,2520.175495
20130319,0,2528.486049,2540.95188,2512.903761,2514.981399
20130320,0,2509.787303,2524.330772,2503.554387,2520.175495
20130321,0,2525.369592,2552.378892,2525.369592,2544.068338
20130322,0,2549.262434,2551.340073,2511.864941,2511.864941
20130325,0,2514.981399,2524.330772,2497.321472,2502.515568
20130326,0,2500.43793,2518.097857,2497.321472,2514.981399
20130327,0,2521.214315,2529.524869,2506.670845,2518.097857
20130328,0,2522.253134,2525.369592,2478.622725,2480.700364
20130329,0,2441.225233,2470.312171,2430.83704,2456.807521
20130401,0,2454.729883,2458.88516,2411.099474,2418.371209
20130402,0,2426.681763,2441.225233,2413.177113,2430.83704
20130403,0,2420.448848,2427.720582,2393.439547,2424.604125
20130408,0,2410.060655,2454.729883,2400.711282,2444.34169
20130409,0,2447.458148,2459.923979,2436.031136,2441.225233
20130410,0,2445.38051,2467.195714,2441.225233,2463.040437
20130411,0,2459.923979,2467.195714,2446.419329,2462.001617
20130412,0,2470.312171,2503.554387,2467.195714,2502.515568
20130415,0,2496.282653,2524.330772,2484.855641,2510.826122
20130416,0,2485.89446,2529.524869,2464.079256,2524.330772
20130417,0,2531.602507,2537.835423,2495.243833,2504.593207
20130418,0,2496.282653,2517.059038,2489.010918,2508.748484
