date,time,open,high,low,close
20191206,0,1580,1585,1546,1561
20191209,0,1564,1591,1556,1572
20191210,0,1572,1634,1570,1634
20191211,0,1649,1674,1637,1649
20191212,0,1642,1654,1625,1630
20191213,0,1633,1639,1623,1630
20191216,0,1634,1659,1626,1632
20191217,0,1629,1636,1578,1623
20191218,0,1623,1650,1622,1628
20191219,0,1628,1641,1623,1626
20191220,0,1626,1630,1611,1611
20191223,0,1610,1616,1596,1601
20191224,0,1603,1614,1600,1604
20191225,0,1602,1610,1599,1603
20191226,0,1602,1617,1602,1609
20191227,0,1609,1629,1607,1608
20191230,0,1609,1636,1608,1633
20191231,0,1633,1643,1629,1633
20200102,0,1633,1641,1618,1625
20200103,0,1626,1634,1620,1629
20200106,0,1629,1646,1628,1638
20200107,0,1636,1640,1624,1627
20200108,0,1626,1638,1624,1630
20200109,0,1629,1635,1621,1632
20200110,0,1633,1675,1633,1658
20200113,0,1659,1661,1646,1653
20200114,0,1657,1660,1648,1653
20200115,0,1654,1691,1652,1665
20200116,0,1667,1679,1665,1668
20200117,0,1674,1684,1667,1677
20200120,0,1678,1680,1658,1667
20200121,0,1668,1674,1655,1655
20200122,0,1657,1657,1631,1642
20200123,0,1644,1651,1591,1615
20200203,0,1517,1546,1509,1519
20200204,0,1528,1570,1528,1561
20200205,0,1558,1569,1551,1560
20200206,0,1562,1577,1561,1574
20200207,0,1574,1609,1571,1574
20200210,0,1573,1577,1562,1568
20200211,0,1569,1581,1564,1579
20200212,0,1578,1588,1572,1578
20200213,0,1579,1587,1573,1581
20200214,0,1580,1583,1572,1578
20200217,0,1578,1588,1577,1586
20200218,0,1590,1595,1581,1583
20200219,0,1583,1590,1583,1587
20200220,0,1588,1590,1565,1586
20200221,0,1580,1588,1570,1579
20200224,0,1575,1590,1567,1587
20200225,0,1585,1637,1584,1605
20200226,0,1604,1607,1577,1581
20200227,0,1582,1585,1567,1575
20200228,0,1564,1574,1542,1565
20200302,0,1564,1592,1563,1587
20200303,0,1589,1600,1568,1571
20200304,0,1578,1580,1569,1574
20200305,0,1574,1575,1550,1556
20200306,0,1555,1558,1544,1553
20200309,0,1506,1538,1501,1527
20200310,0,1530,1549,1529,1539
20200311,0,1538,1600,1534,1542
20200312,0,1542,1542,1521,1522
20200313,0,1518,1528,1512,1518
20200316,0,1523,1527,1505,1505
20200317,0,1498,1504,1485,1486
20200318,0,1483,1498,1465,1466
20200319,0,1470,1470,1417,1441
20200320,0,1449,1461,1438,1450
20200323,0,1428,1437,1414,1427
20200324,0,1436,1436,1409,1424
20200325,0,1430,1436,1416,1419
20200326,0,1415,1415,1390,1396
20200327,0,1397,1398,1373,1383
20200330,0,1378,1378,1336,1339
20200331,0,1341,1385,1338,1365
20200401,0,1358,1376,1358,1371
20200402,0,1375,1395,1366,1385
20200403,0,1390,1390,1358,1371
20200407,0,1385,1394,1365,1372
20200408,0,1375,1385,1366,1371
20200409,0,1381,1387,1372,1384
20200410,0,1380,1382,1354,1360
20200413,0,1360,1371,1333,1335
20200414,0,1338,1350,1322,1347
20200415,0,1342,1388,1339,1388
20200416,0,1410,1429,1353,1355
20200417,0,1355,1382.938144,1350.343643,1370.831615
20200420,0,1364.312715,1413.670103,1364.312715,1391.319588
20200421,0,1385.731959,1393.182131,1365.243986,1373.62543
20200422,0,1368.969072,1372.694158,1348.4811,1366.175258
20200423,0,1368.969072,1395.044674,1363.381443,1379.213058
20200424,0,1376.419244,1384.800687,1366.175258,1377.350515
20200427,0,1371.762887,1388.525773,1371.762887,1375.487973
20200428,0,1371.762887,1374.556701,1350.343643,1351.274914
20200429,0,1359.656357,1371.762887,1339.168385,1343.824742
20200430,0,1345.687285,1355,1336.37457,1347.549828
20200506,0,1354.068729,1367.106529,1344.756014,1355
20200507,0,1358.725086,1361.5189,1350.343643,1355
20200508,0,1359.656357,1359.656357,1337.305842,1340.099656
20200511,0,1342.893471,1342.893471,1301.917526,1317.749141
20200512,0,1315.886598,1331.718213,1311.230241,1328.924399
20200513,0,1328.924399,1347.549828,1319.611684,1333.580756
20200514,0,1331.718213,1337.305842,1321.474227,1327.993127
20200515,0,1331.718213,1343.824742,1327.993127,1336.37457
20200518,0,1334.512027,1355.931271,1331.718213,1348.4811
20200519,0,1352.206186,1360.587629,1339.168385,1341.962199
20200520,0,1345.687285,1353.137457,1340.099656,1350.343643
20200521,0,1355,1356.862543,1345.687285,1350.343643
20200522,0,1353.137457,1353.137457,1321.474227,1324.268041
20200525,0,1325.199313,1343.824742,1311.230241,1341.962199
20200526,0,1338.237113,1372.694158,1338.237113,1363.381443
20200527,0,1361.5189,1376.419244,1342.893471,1358.725086
20200528,0,1360.587629,1368.037801,1353.137457,1361.5189
20200529,0,1362.450172,1384.800687,1361.5189,1374.556701
20200601,0,1376.419244,1382.938144,1368.969072,1374.556701
20200602,0,1370.831615,1375.487973,1355.931271,1369.900344
20200603,0,1373.62543,1383.869416,1366.175258,1382.938144
20200604,0,1383.869416,1387.594502,1361.5189,1365.243986
20200605,0,1367.106529,1370.831615,1363.381443,1368.969072
20200608,0,1371.762887,1376.419244,1360.587629,1364.312715
20200609,0,1364.312715,1365.243986,1334.512027,1337.305842
20200610,0,1337.305842,1345.687285,1332.649485,1333.580756
20200611,0,1335.443299,1338.237113,1325.199313,1332.649485
20200612,0,1327.061856,1344.756014,1324.268041,1337.305842
20200615,0,1339.168385,1355,1333.580756,1345.687285
20200616,0,1343.824742,1352.206186,1337.305842,1348.4811
20200617,0,1350.343643,1353.137457,1336.37457,1340.099656
20200618,0,1341.030928,1342.893471,1330.786942,1333.580756
20200619,0,1333.580756,1341.030928,1329.85567,1341.030928
20200622,0,1341.962199,1345.687285,1332.649485,1337.305842
20200623,0,1337.305842,1339.168385,1327.061856,1328.924399
20200624,0,1328.924399,1330.786942,1300.054983,1304.71134
20200629,0,1300.054983,1310.298969,1286.085911,1298.19244
20200630,0,1302.848797,1308.436426,1291.67354,1297.261168
20200701,0,1295.398625,1298.19244,1264.666667,1273.979381
20200702,0,1267.460481,1277.704467,1264.666667,1275.841924
20200703,0,1276.773196,1285.154639,1273.979381,1280.498282
20200706,0,1280.498282,1287.948454,1276.773196,1286.085911
20200707,0,1288.879725,1288.879725,1272.116838,1274.910653
20200708,0,1274.910653,1296.329897,1269.323024,1295.398625
20200709,0,1296.329897,1301.917526,1290.742268,1298.19244
20200710,0,1301.917526,1302.848797,1286.085911,1293.536082
20200713,0,1293.536082,1318.680412,1291.67354,1300.986254
20200714,0,1299.123711,1306.573883,1278.635739,1292.604811
20200715,0,1292.604811,1299.123711,1281.429553,1286.085911
20200716,0,1286.085911,1288.879725,1276.773196,1278.635739
20200717,0,1278.635739,1285.154639,1248.835052,1262.804124
20200720,0,1262.804124,1263.735395,1216.24055,1216.24055
20200721,0,1215.309278,1226.484536,1199.477663,1213.446735
20200722,0,1216.24055,1247.90378,1216.24055,1225.553265
20200723,0,1224.621993,1240.453608,1222.75945,1233.003436
20200724,0,1237.659794,1240.453608,1224.621993,1229.278351
20200727,0,1229.278351,1244.178694,1215.309278,1233.003436
20200728,0,1233.934708,1240.453608,1226.484536,1233.934708
20200729,0,1233.934708,1243.247423,1232.072165,1235.797251
20200730,0,1234.865979,1237.659794,1220.896907,1226.484536
20200731,0,1227.415808,1246.041237,1226.484536,1235.797251
20200803,0,1238.591065,1286.085911,1229.278351,1281.429553
20200804,0,1285.154639,1316.817869,1275.841924,1316.817869
20200805,0,1363.381443,1365.243986,1281.429553,1309.367698
20200806,0,1308.436426,1338.237113,1297.261168,1319.611684
20200807,0,1319.611684,1370.831615,1310.298969,1370.831615
20200810,0,1375.487973,1400.632302,1334.512027,1341.030928
20200811,0,1345.687285,1388.525773,1329.85567,1340.099656
20200812,0,1343.824742,1343.824742,1307.505155,1314.024055
