date,time,open,high,low,close
20140808,0,5910,5910,5740,5814
20140811,0,5768,5882,5768,5832
20140812,0,5810,5956,5808,5912
20140813,0,5920,5946,5880,5926
20140814,0,5918,5936,5710,5740
20140815,0,5740,5780,5730,5774
20140818,0,5776,5796,5730,5748
20140819,0,5740,5780,5690,5776
20140820,0,5778,5778,5514,5730
20140821,0,5746,5778,5722,5742
20140822,0,5736,5754,5706,5716
20140825,0,5710,5742,5676,5738
20140826,0,5742,5770,5726,5752
20140827,0,5744,5788,5744,5766
20140828,0,5760,5780,5734,5780
20140829,0,5776,5810,5756,5800
20140901,0,5804,5828,5776,5776
20140902,0,5772,5798,5714,5762
20140903,0,5762,5792,5750,5754
20140904,0,5750,5788,5720,5764
20140905,0,5768,5784,5736,5752
20140909,0,5740,5754,5648,5662
20140910,0,5638,5786,5636,5710
20140911,0,5708,5714,5686,5698
20140912,0,5700,5736,5690,5728
20140915,0,5722,5786,5716,5776
20140916,0,5788,5808,5758,5764
20140917,0,5778,5786,5762,5778
20140918,0,5780,5788,5754,5758
20140919,0,5760,5762,5694,5700
20140922,0,5682,5686,5510,5540
20140923,0,5522,5592,5522,5562
20140924,0,5570,5640,5556,5590
20140925,0,5604,5634,5444,5468
20140926,0,5456,5536,5450,5500
20140929,0,5500,5540,5462,5538
20140930,0,5540,5586,5530,5572
20141008,0,5568,5628,5536,5556
20141009,0,5560,5646,5532,5636
20141010,0,5634,5642,5584,5594
20141013,0,5602,5698,5602,5630
20141014,0,5620,5638,5564,5580
20141015,0,5584,5608,5532,5536
20141016,0,5530,5580,5524,5570
20141017,0,5600,5622,5566,5588
20141020,0,5590,5620,5570,5620
20141021,0,5616,5620,5602,5610
20141022,0,5612,5620,5534,5540
20141023,0,5534,5596,5530,5580
20141024,0,5612,5622,5576,5618
20141027,0,5618,5620,5588,5598
20141028,0,5604,5610,5572,5606
20141029,0,5600,5626,5600,5614
20141030,0,5618,5620,5550,5568
20141031,0,5552,5600,5368,5428
20141103,0,5420,5432,5368,5390
20141104,0,5384,5540,5334,5506
20141105,0,5480,5520,5450,5452
20141106,0,5460,5510,5440,5492
20141107,0,5492,5512,5490,5506
20141110,0,5510,5510,5492,5510
20141111,0,5508,5512,5492,5510
20141112,0,5510,5512,5494,5508
20141113,0,5506,5508,5470,5508
20141114,0,5504,5508,5484,5506
20141117,0,5508,5510,5482,5482
20141118,0,5478,5490,5448,5474
20141119,0,5456,5512,5456,5512
20141120,0,5500,5510,5470,5508
20141121,0,5500,5510,5498,5500
20141124,0,5518,5526,5510,5514
20141125,0,5510,5518,5482,5488
20141126,0,5488,5530,5450,5520
20141127,0,5530,5542,5502,5538
20141128,0,5530,5534,5520,5532
20141201,0,5530,5530,5484,5530
20141202,0,5528,5530,5508,5524
20141203,0,5522,5528,5522,5528
20141204,0,5528,5546,5490,5494
20141205,0,5470,5510,5422,5468
20141208,0,5440,5478,5408,5464
20141209,0,5440,5502,5430,5500
20141210,0,5462,5556,5462,5554
20141211,0,5556,5598,5542,5542
20141212,0,5542,5582,5440,5554
20141215,0,5522,5562,5518,5518
20141216,0,5500,5544,5500,5544
20141217,0,5496,5542,5496,5536
20141218,0,5510,5528,5502,5528
20141219,0,5528,5540,5504,5538
20141222,0,5508,5610,5480,5492
20141223,0,5510,5510,5432,5472
20141224,0,5428,5488,5428,5452
20141226,0,5480,5586,5480,5578
20141229,0,5370,5370,5330,5350
20141230,0,5382,5382,5348,5360
20141231,0,5332,5376,5332,5368
20150105,0,5300,5370,5300,5344
20150106,0,5320,5386,5320,5344
20150107,0,5346,5388,5342,5342
20150108,0,5368,5368,5338,5350
20150109,0,5322,5384,5322,5342
20150112,0,5332,5398,5300,5386
20150113,0,5380,5442,5378,5400
20150114,0,5392,5422,5388,5400
20150115,0,5400,5410,5364,5388
20150116,0,5386,5394,5352,5352
20150119,0,5376,5388,5342,5342
20150120,0,5374,5388,5362,5362
20150121,0,5350,5370,5350,5350
20150122,0,5370,5396,5342,5366
20150123,0,5350,5366,5340,5364
20150126,0,5340,5364,5340,5342
20150127,0,5378,5378,5212,5220
20150128,0,5194,5200,5100,5162
20150129,0,5124,5136,5004,5080
20150130,0,5044,5144,5044,5116
20150202,0,5240,5240,5122,5130
