date,time,open,high,low,close
20230915,0,2950,3060,2790,2859
20230918,0,2858,2922,2836,2904
20230919,0,2913,3086,2898,3040
20230920,0,3058,3148,3038,3113
20230921,0,3116,3118,3033,3049
20230922,0,3061,3106,3051,3070
20230925,0,3078,3094,2930,2945
20230926,0,2946,2970,2870,2902
20230927,0,2908,2943,2860,2888
20230928,0,2898,2905,2797,2800
20231009,0,2795,2839,2750,2779
20231010,0,2783,2783,2626,2720
20231011,0,2716,2743,2657,2704
20231012,0,2695,2765,2677,2749
20231013,0,2752,2765,2666,2682
20231016,0,2706,2713,2641,2658
20231017,0,2650,2655,2561,2569
20231018,0,2571,2604,2563,2584
20231019,0,2570,2578,2506,2527
20231020,0,2525,2572,2504,2533
20231023,0,2531,2582,2519,2545
20231024,0,2543,2596,2525,2583
20231025,0,2587,2609,2555,2557
20231026,0,2551,2578,2525,2552
20231027,0,2539,2581,2538,2571
20231030,0,2572,2611,2557,2594
20231031,0,2590,2638,2582,2621
20231101,0,2625,2629,2566,2574
20231102,0,2579,2588,2554,2579
20231103,0,2590,2636,2590,2620
20231106,0,2635,2689,2626,2684
20231107,0,2687,2700,2632,2642
20231108,0,2638,2668,2636,2665
20231109,0,2656,2656,2552,2631
20231110,0,2641,2752,2635,2682
20231113,0,2678,2695,2622,2630
20231114,0,2643,2677,2637,2672
20231115,0,2670,2701,2651,2665
20231116,0,2655,2684,2644,2677
20231117,0,2680,2719,2665,2686
20231120,0,2690,2696,2657,2677
20231121,0,2683,2704,2600,2612
20231122,0,2613,2632,2547,2591
20231123,0,2595,2626,2566,2604
20231124,0,2601,2615,2562,2611
20231127,0,2609,2638,2575,2583
20231128,0,2580,2617,2566,2593
20231129,0,2601,2685,2585,2657
20231130,0,2661,2692,2631,2683
20231201,0,2672,2691,2634,2674
20231204,0,2655,2677,2611,2619
20231205,0,2613,2613,2568,2575
20231206,0,2567,2607,2560,2590
20231207,0,2570,2597,2523,2564
20231208,0,2567,2745,2551,2642
20231211,0,2628,2677,2592,2651
20231212,0,2647,2709,2632,2680
20231213,0,2677,2691,2636,2660
20231214,0,2663,2702,2655,2670
20231215,0,2682,2697,2661,2673
20231218,0,2676,2679,2647,2672
20231219,0,2663,2711,2656,2664
20231220,0,2661,2712,2661,2692
20231221,0,2705,2748,2675,2744
20231222,0,2752,2972,2743,2814
20231225,0,2801,2851,2768,2836
20231226,0,2837,2893,2808,2817
20231227,0,2820,2842,2783,2794
20231228,0,2794,2850,2766,2838
20231229,0,2838,2871,2816,2823
20240102,0,2826,2906,2820,2853
20240103,0,2825,2876,2786,2811
20240104,0,2815,2840,2682,2736
20240105,0,2740,2752,2694,2745
20240108,0,2752,2774,2680,2692
20240109,0,2688,2716,2629,2699
20240110,0,2710,2718,2662,2669
20240111,0,2661,2702,2638,2685
20240112,0,2689,2733,2673,2709
20240115,0,2716,2726,2688,2706
20240116,0,2702,2741,2702,2732
20240117,0,2754,2755,2720,2728
20240118,0,2724,2790,2714,2782
20240119,0,2781,2803,2762,2769
20240122,0,2760,2858,2760,2820
20240123,0,2820,2829,2782,2795
20240124,0,2790,2816,2765,2787
20240125,0,2787,2806,2771,2780
20240126,0,2781,2781,2716,2722
20240129,0,2715,2748,2707,2722
20240130,0,2722,2736,2690,2697
20240131,0,2697,2718,2682,2714
20240201,0,2715,2728,2665,2670
20240202,0,2670,2688,2655,2685
20240205,0,2685,2712,2668,2698
20240206,0,2698,2708,2662,2699
20240207,0,2702,2709,2630,2652
20240208,0,2652,2675,2613,2615
20240219,0,2625,2682,2623,2659
20240220,0,2674,2691,2651,2671
20240221,0,2688,2733,2675,2704
20240222,0,2700,2719,2672,2690
20240223,0,2695,2716,2690,2704
20240226,0,2702,2703,2640,2671
20240227,0,2668,2681,2659,2678
20240228,0,2681,2700,2664,2675
20240229,0,2675,2680,2628,2669
20240301,0,2670,2683,2652,2664
20240304,0,2666,2712,2658,2695
20240305,0,2701,2744,2690,2706
20240306,0,2709,2715,2647,2709
20240307,0,2711,2748,2706,2720
20240308,0,2728,2745,2716,2741
20240311,0,2746,2752,2672,2680
20240312,0,2687,2707,2680,2690
20240313,0,2692,2698,2643,2655
20240314,0,2653,2676,2647,2660
20240315,0,2669,2685,2657,2676
20240318,0,2672,2717,2636,2705
20240319,0,2710,2730,2702,2723
20240320,0,2723,2730,2660,2668
20240321,0,2666,2703,2652,2698
20240322,0,2698,2716,2660,2668
20240325,0,2678,2688,2564,2570
20240326,0,2570,2597,2542,2556
20240327,0,2558,2585,2545,2555
20240328,0,2553,2568,2473,2495
20240329,0,2497,2504,2420,2429
20240401,0,2420,2477,2389,2475
20240402,0,2480,2483,2433,2442
20240403,0,2435,2476,2433,2449
20240408,0,2406,2410,2328,2385
20240409,0,2368,2388,2320,2370
20240410,0,2361,2455,2361,2453
20240411,0,2456,2459,2382,2389
20240412,0,2389,2418,2366,2394
20240415,0,2398,2453,2392,2420
20240416,0,2430,2433,2344,2354
20240417,0,2359,2392,2354,2389
20240418,0,2400,2445,2386,2422
20240419,0,2416,2458,2388,2410
20240422,0,2422,2484,2421,2451
20240423,0,2458,2474,2416,2433
20240424,0,2426,2444,2372,2386
20240425,0,2378,2403,2352,2376
20240426,0,2383,2393,2354,2358
20240429,0,2362,2381,2280,2295
20240430,0,2292.421348,2317.348315,2271.792135,2308.752809
20240506,0,2315.629213,2350.011236,2299.297753,2342.275281
20240507,0,2343.134831,2368.921348,2337.977528,2356.88764
20240508,0,2358.606742,2422.213483,2347.432584,2399.005618
20240509,0,2399.005618,2434.247191,2376.657303,2408.460674
20240510,0,2419.634831,2419.634831,2380.955056,2412.758427
20240513,0,2415.337079,2444.561798,2391.269663,2417.05618
20240514,0,2415.337079,2436.825843,2382.674157,2393.848315
20240515,0,2392.988764,2429.089888,2386.11236,2410.179775
20240516,0,2406.741573,2421.353933,2388.691011,2415.337079
20240517,0,2419.634831,2454.016854,2411.898876,2431.668539
20240520,0,2435.106742,2475.505618,2423.932584,2466.050562
20240521,0,2458.314607,2559.741573,2451.438202,2478.94382
