date,time,open,high,low,close
20060106,0,4700,4800,4650,4741
20060109,0,4739,4756,4703,4720
20060110,0,4687,4750,4650,4745
20060111,0,4750,4755,4689,4710
20060112,0,4700,4705,4664,4668
20060113,0,4665,4678,4628,4632
20060116,0,4707,4834,4694,4833
20060117,0,4833,4873,4822,4847
20060118,0,4884,5018,4861,4990
20060119,0,5000,5100,4982,5025
20060120,0,5112,5204,5110,5201
20060123,0,5356,5356,5356,5356
20060124,0,5490,5678,5450,5678
20060125,0,5670,5811,5586,5712
20060206,0,6246,6246,6220,6246
20060207,0,6110,6110,5995,5995
20060208,0,5669,5669,5669,5669
20060209,0,5625,5880,5500,5650
20060210,0,5468,5585,5468,5468
20060213,0,5380,5428,5275,5308
20060214,0,5370,5445,5357,5433
20060215,0,5420,5470,5386,5401
20060216,0,5390,5433,5353,5364
20060217,0,5300,5339,5184,5280
20060220,0,5280,5354,5256,5338
20060221,0,5385,5407,5305,5404
20060222,0,5409,5518,5380,5484
20060223,0,5580,5584,5400,5413
20060224,0,5284,5355,5282,5292
20060227,0,5595,5595,5430,5431
20060228,0,5293,5332,5293,5293
20060301,0,5350,5389,5140,5150
20060302,0,5130,5293,5125,5276
20060303,0,5281,5335,5255,5330
20060306,0,5349,5386,5281,5322
20060307,0,5374,5397,5212,5229
20060308,0,5200,5216,5100,5117
20060309,0,5052,5168,5023,5151
20060310,0,5100,5158,5060,5106
20060313,0,5148,5148,5090,5109
20060314,0,5132,5137,5052,5063
20060315,0,5048,5097,5037,5055
20060316,0,5070,5147,5050,5143
20060317,0,5128,5235,5104,5219
20060320,0,5190,5250,5056,5081
20060321,0,5100,5142,5053,5110
20060322,0,5158,5229,5155,5210
20060323,0,5169,5179,5120,5146
20060324,0,5162,5198,5158,5174
20060327,0,5221,5238,5165,5175
20060328,0,5201,5217,5103,5122
20060329,0,5166,5185,5117,5124
20060330,0,5110,5162,5106,5126
20060331,0,5130,5151,5110,5127
20060403,0,5027,5040,4890,4911
20060404,0,4950,4985,4922,4964
20060405,0,4912,4924,4779,4822
20060406,0,4828,4860,4798,4840
20060407,0,4830,4850,4805,4816
20060410,0,4718,4735,4637,4644
20060411,0,4620,4676,4618,4670
20060412,0,4668,4750,4653,4737
20060413,0,4698,4698,4574,4586
20060414,0,4555,4571,4511,4518
20060417,0,4495,4585,4428,4571
20060418,0,4615,4698,4568,4698
20060419,0,4897,4900,4820,4875
20060420,0,4811,4826,4755,4760
20060421,0,4660,4680,4595,4617
20060424,0,4672,4835,4672,4769
20060425,0,4667,4766,4650,4702
20060426,0,4650,4750,4632,4738
20060427,0,4749,4790,4730,4773
20060428,0,4757,4780,4733,4778
20060508,0,4808,4847,4750,4763
20060509,0,4735,4779,4730,4746
20060510,0,4800,4806,4750,4762
20060511,0,4744,4959,4740,4959
20060512,0,4960,5150,4810,4882
20060515,0,4898.522795,5151.224368,4898.522795,5109.431415
20060516,0,4859.64563,4981.136771,4820.768465,4820.768465
20060517,0,4888.803504,4919.905236,4743.014135,4839.235118
20060518,0,4762.452717,4787.722875,4694.417679,4700.249253
20060519,0,4554.459885,4625.410711,4548.62831,4586.533546
20060522,0,4606.944057,4674.979096,4589.449333,4624.438782
20060523,0,4665.259805,4789.666733,4665.259805,4743.986064
20060524,0,4847.982481,4869.364921,4762.452717,4770.228151
20060525,0,4692.47382,4718.715907,4630.270356,4671.09138
20060526,0,4694.417679,4745.929922,4691.501891,4738.154489
20060529,0,4646.793152,4717.743978,4625.410711,4709.968545
20060530,0,4715.800119,4765.368505,4645.821222,4651.652797
20060531,0,4678.866813,4703.165041,4640.961577,4641.933506
20060601,0,4509.751145,4550.572168,4482.537129,4482.537129
20060602,0,4457.266972,4500.031853,4384.372287,4497.116066
20060605,0,4543.768664,4547.656381,4479.621342,4513.638861
20060606,0,4519.470436,4525.302011,4431.024886,4432.968744
20060607,0,4394.091579,4427.137169,4354.242485,4402.838941
20060608,0,4451.435397,4461.154688,4388.260004,4393.11965
20060609,0,4351.326697,4368.821421,4320.224965,4334.803902
20060612,0,4354.242485,4363.961776,4257.049572,4269.684651
20060613,0,4238.582919,4247.330281,4145.277722,4145.277722
20060614,0,3996.572566,4086.961975,3929.509457,4077.242684
20060615,0,4061.691818,4111.260203,3975.190125,4021.842723
20060616,0,4111.260203,4150.137368,4051.000597,4085.990046
20060619,0,4062.663747,4062.663747,3946.032252,3952.835756
20060620,0,3887.716504,4019.898865,3863.418276,4012.123432
20060621,0,4082.102329,4096.681266,4024.758511,4057.804101
20060622,0,4177.351384,4203.59347,4145.277722,4184.154888
20060623,0,4118.063707,4134.586502,4082.102329,4082.102329
20060626,0,4061.691818,4190.958391,4049.056739,4175.407525
20060627,0,4235.667131,4248.30221,4111.260203,4138.474219
20060628,0,4082.102329,4136.53036,4074.326896,4083.074258
20060629,0,4101.540912,4114.17599,4042.253235,4051.000597
20060630,0,4092.79355,4155.968943,4086.961975,4152.081226
20060703,0,4166.660163,4167.632092,4120.007565,4135.558431
20060704,0,4159.856659,4178.323313,4065.579534,4076.270755
20060705,0,4063.635676,4087.933904,4021.842723,4054.888314
20060706,0,4117.091778,4178.323313,4076.270755,4151.109297
20060707,0,4179.295242,4192.90225,4108.344416,4109.316345
20060710,0,4067.523392,4077.242684,4007.263787,4012.123432
20060711,0,3965.470834,4042.253235,3937.28489,4029.618156
20060712,0,4022.814653,4033.505873,3997.544495,4019.898865
20060713,0,3968.386622,4009.207645,3968.386622,4002.404141
20060714,0,4019.898865,4032.533944,4004.347999,4031.562015
20060717,0,3984.909417,4006.291857,3960.611189,3973.246267
20060718,0,3926.593669,3935.341031,3883.828788,3901.323512
20060719,0,3902.295441,3924.649811,3863.418276,3882.856858
20060720,0,3843.979693,3862.446347,3778.860442,3780.8043
20060721,0,3761.365718,3808.018316,3739.011348,3800.242883
20060724,0,3799.270954,3808.018316,3749.702568,3751.646426
20060725,0,3775.944655,3783.720088,3743.870993,3755.534143
20060726,0,3718.600836,3788.579733,3717.628907,3761.365718
20060727,0,3746.786781,3783.720088,3730.263986,3761.365718
20060728,0,3741.927135,3779.832371,3737.06749,3778.860442
20060731,0,3782.748158,3862.446347,3781.776229,3855.642843
20060801,0,3848.839339,3854.670914,3763.309576,3768.169222
20060802,0,3778.860442,3809.962174,3766.225363,3782.748158
20060803,0,3746.786781,3763.309576,3710.825403,3722.488553
20060804,0,3711.797332,3741.927135,3709.853474,3726.376269
20060807,0,3732.207844,3734.151702,3634.043002,3636.95879
20060808,0,3625.29564,3739.011348,3619.464065,3724.432411
20060809,0,3716.656978,3756.506072,3664.172805,3699.162254
20060810,0,3692.35875,3722.488553,3674.864025,3694.302608
20060811,0,3666.116663,3696.246466,3626.267569,3628.211427
20060814,0,3576.699184,3576.699184,3512.551861,3512.551861
