date,time,open,high,low,close
20150320,0,96.9,97.96,96.525,97.09
20150323,0,97.095,97.095,96.84,97.02
20150324,0,97.135,97.22,96.875,96.92
20150325,0,97.02,97.03,96.76,96.85
20150326,0,96.835,96.89,96.37,96.37
20150327,0,96.3,96.51,95.98,96.49
20150330,0,96.065,96.4,96,96.16
20150331,0,95.8,95.9,95.565,95.65
20150401,0,95.66,96.095,95.655,96.095
20150402,0,96.3,96.425,96.2,96.32
20150403,0,96.315,96.375,96.005,96.01
20150407,0,96.005,96.31,95.8,95.93
20150408,0,96,96.1,95.13,95.16
20150409,0,95.3,95.4,95.195,95.265
20150410,0,95.35,95.415,95.17,95.19
20150413,0,95.18,95.68,95.18,95.63
20150414,0,95.7,96,95.53,95.57
20150415,0,95.9,96.285,95.775,96.15
20150416,0,96.735,96.735,95.86,96.18
20150417,0,96.19,96.5,96.05,96.3
20150420,0,97.1,97.275,96.67,97.25
20150421,0,97.295,97.95,97.26,97.39
20150422,0,97.4,97.615,97.31,97.42
20150423,0,97.365,97.455,96.945,97.34
20150424,0,97.22,97.255,96.82,97.03
20150427,0,97.08,97.85,97.08,97.76
20150428,0,97.6,97.84,97.58,97.74
20150429,0,97.67,97.775,97.52,97.69
20150430,0,97.695,98.1,97.695,97.955
20150504,0,97.91,97.91,97.54,97.6
20150505,0,97.51,97.675,97.485,97.505
20150506,0,97.42,97.47,97.065,97.155
20150507,0,97.145,97.37,97.095,97.2
20150508,0,97.3,97.615,97.29,97.45
20150511,0,97.41,97.5,96.5,97.32
20150512,0,97.31,97.46,96.88,96.99
20150513,0,97.02,97.35,96.965,97.225
20150514,0,97.42,97.53,97.005,97.1
20150515,0,97.15,97.345,97.125,97.185
20150518,0,97.2,97.29,96.675,96.705
20150519,0,96.695,96.84,96.475,96.56
20150520,0,96.565,96.915,96.55,96.88
20150521,0,96.9,96.9,96.47,96.675
20150522,0,96.67,96.81,96.67,96.74
20150525,0,96.7,96.825,96.465,96.52
20150526,0,96.505,96.505,95.21,95.66
20150527,0,95.67,95.965,95.58,95.8
20150528,0,95.65,95.74,94.81,95
20150529,0,95.08,95.145,94.835,94.92
20150601,0,94.935,94.96,93.9,94.215
20150602,0,94.58,95.1,94.415,94.99
20150603,0,94.88,95.4,94.655,95.06
20150604,0,95.07,95.265,94.555,94.91
20150605,0,94.98,95.37,94.97,95.3
20150608,0,95.205,95.62,95.19,95.56
20150609,0,95.54,95.68,95.38,95.475
20150610,0,95.435,95.435,94.92,94.98
20150611,0,94.98,95.055,94.775,94.83
20150612,0,94.845,95.05,94.515,94.62
20150615,0,94.55,94.62,94.2,94.205
20150616,0,94.295,95.135,94.26,95.13
