date,time,open,high,low,close
20061218,0,8538,9032,8538,8880
20061219,0,8860,8958,8806,8906
20061220,0,8944,8970,8906,8958
20061221,0,8940,8948,8884,8912
20061222,0,8904,8928,8824,8924
20061225,0,8918,9140,8912,9098
20061226,0,9120,9166,9062,9158
20061227,0,9082,9126,9008,9016
20061228,0,9000,9006,8850,8856
20061229,0,8850,8934,8780,8898
20070104,0,8690,8772,8530,8734
20070105,0,8660,8804,8612,8782
20070108,0,8806,8838,8738,8746
20070109,0,8726,8820,8714,8776
20070110,0,8790,8814,8740,8744
20070111,0,8690,8782,8690,8730
20070112,0,8720,8752,8646,8670
20070115,0,8720,8770,8680,8696
20070116,0,8700,8740,8616,8626
20070117,0,8584,8636,8472,8490
20070118,0,8530,8530,8356,8376
20070119,0,8344,8382,8254,8340
20070122,0,8370,8386,8102,8130
20070123,0,8060,8186,8056,8162
20070124,0,8220,8312,8180,8254
20070125,0,8258,8292,8214,8260
20070126,0,8252,8290,8232,8282
20070129,0,8306,8336,8200,8214
20070130,0,8170,8216,8112,8184
20070131,0,8280,8314,8238,8272
20070201,0,8280,8318,8266,8300
20070202,0,8280,8350,8198,8202
20070205,0,8250,8268,8156,8188
20070206,0,8180,8248,8180,8230
20070207,0,8248,8298,8224,8284
20070208,0,8246,8294,8218,8262
20070209,0,8300,8380,8292,8318
20070212,0,8282,8354,8280,8348
20070213,0,8302,8410,8302,8394
20070214,0,8420,8460,8382,8446
20070215,0,8420,8446,8398,8422
20070216,0,8420,8440,8402,8438
20070226,0,8500,8550,8420,8432
20070227,0,8414,8444,8384,8416
20070228,0,8372,8432,8342,8422
20070301,0,8452,8484,8416,8480
20070302,0,8470,8540,8462,8536
20070305,0,8500,8530,8454,8478
20070306,0,8466,8498,8440,8498
20070307,0,8500,8530,8484,8504
20070308,0,8530,8530,8480,8498
20070309,0,8490,8500,8426,8450
20070312,0,8430,8450,8364,8386
20070313,0,8400,8424,8382,8394
20070314,0,8384,8398,8348,8380
20070315,0,8390,8410,8380,8380
20070316,0,8356,8386,8330,8384
20070319,0,8388,8414,8366,8380
20070320,0,8388,8388,8350,8366
20070321,0,8370,8388,8360,8364
20070322,0,8374,8402,8372,8384
20070323,0,8410,8438,8408,8418
20070326,0,8428,8428,8384,8388
20070327,0,8408,8408,8312,8322
20070328,0,8344,8382,8304,8366
20070329,0,8368,8372,8332,8336
20070330,0,8370,8412,8368,8376
20070402,0,8300,8502,8300,8498
20070403,0,8496,8598,8494,8570
