date,time,open,high,low,close
20130906,0,94.22,94.54,94.14,94.17
20130909,0,94.156,94.156,93.858,93.906
20130910,0,93.87,93.916,93.806,93.842
20130911,0,93.718,93.78,93.494,93.598
20130912,0,93.59,93.83,93.59,93.728
20130913,0,93.7,93.846,93.678,93.764
20130916,0,93.764,93.938,93.74,93.854
20130917,0,93.87,94.558,93.842,94.234
20130918,0,94.25,94.378,94.1,94.206
20130923,0,94.55,94.592,94.27,94.35
20130924,0,94.312,94.4,94.242,94.34
20130925,0,94.35,94.55,94.35,94.42
20130926,0,94.448,94.614,94.448,94.572
20130927,0,94.55,94.552,94.3,94.346
20130930,0,94.346,94.5,94.202,94.462
20131008,0,94.52,94.546,94.402,94.412
20131009,0,94.33,94.4,94.282,94.362
20131010,0,94.362,94.446,94.28,94.35
20131011,0,94.35,94.35,94.22,94.29
20131014,0,94.278,94.28,93.982,94.118
20131015,0,94.092,94.116,93.85,93.948
20131016,0,93.856,94.1,93.84,94.012
20131017,0,94,94.04,93.898,93.926
20131018,0,93.924,93.946,93.812,93.886
20131021,0,93.886,93.948,93.814,93.858
20131022,0,93.852,93.87,93.716,93.772
20131023,0,93.76,93.85,93.686,93.812
20131024,0,93.8,93.82,93.556,93.6
20131025,0,93.6,93.688,93.506,93.688
20131028,0,93.67,93.758,93.642,93.67
20131029,0,93.658,93.768,93.504,93.504
20131030,0,93.526,93.572,93.452,93.54
20131031,0,93.538,93.756,93.52,93.74
20131101,0,93.766,93.92,93.766,93.836
20131104,0,93.85,93.86,93.544,93.632
20131105,0,93.642,93.642,93.388,93.474
20131106,0,93.484,93.514,93.338,93.362
20131107,0,93.31,93.438,92.818,92.828
20131108,0,92.8,92.8,91.718,92.292
20131111,0,92.39,92.39,91.616,91.73
20131112,0,91.77,92.374,91.77,92.096
20131113,0,92.098,92.1,91.57,91.82
20131114,0,91.8,91.906,91.406,91.63
20131115,0,91.6,91.6,91.262,91.318
20131118,0,91.344,91.484,90.966,91.342
20131119,0,91.37,91.642,90.93,90.94
20131120,0,90.89,91.194,90.8,91.092
20131121,0,91.116,91.396,91.116,91.396
20131122,0,91.4,91.788,91.3,91.604
20131125,0,91.604,91.86,91.224,91.308
20131126,0,91.344,91.4,91.11,91.374
20131127,0,91.384,91.878,91.384,91.766
20131128,0,91.766,92.042481,91.509409,92.042481
20131129,0,92.094197,92.293105,91.982809,92.052427
20131202,0,92.000711,92.082263,91.527311,91.569082
20131203,0,91.596929,91.825672,91.348294,91.781913
20131204,0,91.797825,92.128012,91.539245,91.596929
20131205,0,91.535267,91.742131,91.308513,91.322436
20131206,0,91.338349,91.463661,91.254808,91.415923
20131209,0,91.354261,91.586983,91.169277,91.187179
20131210,0,91.159332,91.169277,90.801298,90.809255
20131211,0,90.801298,91.000206,90.685932,90.960424
20131212,0,91.049933,91.386087,91.004184,91.280666
20131213,0,91.348294,91.543224,91.2926,91.411945
20131216,0,91.376141,91.376141,90.950479,90.952468
20131217,0,90.932577,91.093692,90.855003,91.089714
20131218,0,91.049933,91.089714,90.757539,90.936556
20131219,0,90.900752,90.918654,90.687921,90.874894
20131220,0,90.996228,91.000206,90.767484,90.886829
20131223,0,90.880861,91.298567,90.793342,91.201103
20131224,0,91.244862,91.495486,91.085736,91.149387
20131225,0,91.145408,91.318458,91.109605,91.290611
20131226,0,91.288622,91.338349,91.115572,91.169277
20131227,0,91.167288,91.169277,90.92661,91.059878
20131230,0,91.059878,91.392054,91.059878,91.296578
20131231,0,91.24884,91.350283,91.006173,91.300556
20140102,0,91.294589,91.294589,90.839091,90.851025
20140103,0,90.801298,90.88484,90.632227,90.807266
20140106,0,90.801298,90.900752,90.654107,90.721735
20140107,0,90.701845,91.002195,90.701845,90.940534
20140108,0,90.986282,91.240884,90.902741,91.195135
20140109,0,91.244862,91.334371,90.914676,91.002195
20140110,0,90.956446,91.24884,90.956446,91.041977
20140113,0,91.041977,91.09966,90.934566,90.966392
20140114,0,90.958435,91.039987,90.936556,90.982304
20140115,0,91.037998,91.35824,91.004184,91.31448
20140116,0,91.338349,91.346305,91.117561,91.139441
20140117,0,91.105627,91.169277,91.045955,91.129496
20140120,0,91.109605,91.282655,91.059878,91.280666
20140121,0,91.398021,91.775945,91.398021,91.586983
20140122,0,91.646655,91.871421,91.618808,91.718262
20140123,0,91.732186,91.815727,91.559136,91.57306
20140124,0,91.555158,91.694393,91.491508,91.694393
20140127,0,91.847552,92.020602,91.748098,92.006678
20140128,0,92.02458,92.02458,91.746109,91.82965
20140129,0,91.785891,92.054416,91.764011,91.897279
20140130,0,91.897279,91.897279,91.696382,91.750087
20140207,0,91.750087,92.034525,91.750087,92.008667
20140210,0,92.014634,92.189673,91.815727,91.825672
20140211,0,91.865454,92.054416,91.766,92.020602
20140212,0,92.074307,92.114088,91.915181,91.943028
20140213,0,91.992755,92.082263,91.915181,92.078285
20140214,0,92.114088,92.179728,91.947006,92.030547
20140217,0,91.994744,91.994744,91.720251,91.760033
20140218,0,91.696382,91.700361,91.409955,91.415923
20140219,0,91.48554,91.537256,91.300556,91.330392
20140220,0,91.31448,91.431835,91.254808,91.390065
20140221,0,91.425629,91.478975,91.366355,91.372283
20140224,0,91.421677,91.619256,91.407847,91.569861
20140225,0,91.558007,92.016389,91.52837,91.953164
20140226,0,91.974898,92.000583,91.720021,91.761513
20140227,0,91.99268,92.482675,91.982801,92.053929
20140228,0,92.053929,92.117155,91.872157,92.109251
20140303,0,92.06776,92.247557,91.777319,91.832641
20140304,0,91.781271,91.951188,91.445387,91.488854
20140305,0,91.763489,91.95514,91.360428,91.386113
20140306,0,91.336718,91.593571,91.263614,91.569861
20140307,0,91.660748,91.660748,91.411798,91.459217
20140310,0,91.52837,91.721997,91.475024,91.601474
20140311,0,91.609377,91.674578,91.512564,91.56591
20140312,0,91.623208,91.664699,91.382162,91.615305
20140313,0,91.577765,91.856351,91.558007,91.773368
20140314,0,91.773368,91.913648,91.741755,91.846472
20140317,0,91.781271,91.854375,91.585668,91.706191
20140318,0,91.674578,91.743731,91.42958,91.478975
20140319,0,91.46712,91.540225,91.336718,91.498733
20140320,0,91.435508,91.619256,91.390065,91.506636
20140321,0,91.538249,91.625183,91.49083,91.532321
20140324,0,91.556031,91.591595,91.480951,91.494781
20140325,0,91.510588,91.548128,91.358452,91.526394
20140326,0,91.520467,91.520467,91.390065,91.445387
20140327,0,91.445387,91.449338,91.330791,91.41575
20140328,0,91.392041,91.459217,91.380186,91.409823
20140331,0,91.386113,91.445387,91.372283,91.425629
20140401,0,91.425629,91.425629,91.247808,91.2893
20140402,0,91.241881,91.307082,91.044302,91.048253
20140403,0,90.985028,90.985028,90.834868,90.864505
20140404,0,90.915876,91.042326,90.898094,90.905997
20140408,0,90.969222,90.981077,90.807207,90.915876
20140409,0,90.981077,90.994907,90.87636,90.985028
20140410,0,90.983052,91.150994,90.955391,91.141115
20140411,0,91.113454,91.297203,91.103575,91.26559
20140414,0,91.26559,91.486878,91.212244,91.445387
20140415,0,91.441435,91.45329,91.336718,91.399944
20140416,0,91.399944,91.455266,91.32684,91.350549
20140417,0,91.577765,91.882036,91.514539,91.524418
20140418,0,91.558007,91.735828,91.550104,91.623208
20140421,0,91.623208,91.694336,91.554055,91.575789
20140422,0,91.577765,91.577765,91.083818,91.397968
20140423,0,91.52837,91.548128,91.368331,91.445387
20140424,0,91.437484,91.447363,91.366355,91.392041
20140425,0,91.417726,91.435508,91.360428,91.431556
20140428,0,91.457242,91.476999,91.380186,91.437484
20140429,0,91.437484,91.609377,91.41575,91.593571
20140430,0,91.593571,91.708167,91.593571,91.700263
20140505,0,91.672602,91.708167,91.621232,91.686433
20140506,0,91.676554,91.872157,91.650869,91.838569
20140507,0,91.840544,91.911673,91.832641,91.86623
20140508,0,91.846472,91.943285,91.824738,91.923527
20140509,0,92.022317,92.289048,92.004535,92.196186
20140512,0,92.022317,92.219896,91.95514,92.152719
20140513,0,92.132961,92.263363,91.972922,92.022317
20140514,0,91.925503,92.036147,91.856351,91.887963
20140515,0,91.874133,92.014414,91.688409,91.775343
20140516,0,91.840172,91.889284,91.771414,91.857852
20140519,0,91.938396,92.007154,91.791059,91.818562
20140520,0,91.818562,91.916787,91.806775,91.908929
20140521,0,91.908929,92.003225,91.895178,92.00126
20140522,0,92.028763,92.14074,91.938396,91.979651
20140523,0,92.018941,92.018941,91.859817,91.979651
20140526,0,92.018941,92.066089,91.938396,92.00126
20140527,0,92.015012,92.229142,92.003225,92.223248
20140528,0,92.233071,92.62597,92.233071,92.594538
20140529,0,92.533639,92.739911,92.413804,92.561142
20140530,0,92.576858,92.987437,92.555248,92.934396
20140603,0,93.121023,93.134774,92.802775,92.971721
20140604,0,93.007082,93.301756,92.987437,93.286041
20140605,0,93.264431,93.264431,92.680976,92.70455
20140606,0,92.832242,92.859745,92.598467,92.728124
20140609,0,92.655437,92.871532,92.651508,92.838135
20140610,0,92.932431,93.067981,92.734017,92.739911
20140611,0,92.724195,92.867603,92.680976,92.814562
20140612,0,92.82242,92.842064,92.70455,92.70455
20140613,0,92.696692,92.792952,92.533639,92.753662
20140616,0,92.724195,93.05423,92.72223,93.009047
20140617,0,93.067981,93.134774,92.730088,92.842064
20140618,0,92.834207,92.881354,92.694727,92.842064
20140619,0,92.851887,92.920644,92.726159,92.82242
20140620,0,92.82242,94.095413,92.781165,92.865638
20140623,0,92.902964,92.906893,92.745804,92.845993
20140624,0,92.855816,92.916715,92.804739,92.8401
20140625,0,92.824384,92.867603,92.763485,92.790988
20140626,0,92.80081,92.900999,92.763485,92.812597
20140627,0,92.82242,92.861709,92.792952,92.828313
20140630,0,92.828313,92.834207,92.68294,92.751698
20140701,0,92.773307,92.804739,92.266467,92.311651
20140702,0,92.317544,92.415769,92.14074,92.150562
20140703,0,92.136811,92.172171,91.879462,91.901071
20140704,0,91.867675,92.134846,91.643722,92.10145
20140707,0,92.085734,92.189852,91.997331,92.007154
20140708,0,92.02287,92.091627,91.946254,92.028763
20140709,0,92.030728,92.085734,91.963935,91.987509
20140710,0,92.007154,92.066089,91.759627,92.042515
20140711,0,92.026799,92.152527,92.026799,92.121095
20140714,0,92.121095,92.121095,91.903036,91.934467
20140715,0,91.908929,91.985544,91.710515,91.743911
20140716,0,91.714444,91.745876,91.498349,91.525852
20140717,0,91.525852,91.525852,91.231178,91.254752
20140718,0,91.248859,91.376551,91.038657,91.349048
20140721,0,91.307793,91.427628,91.233143,91.406018
20140722,0,91.411912,91.547462,91.384409,91.384409
20140723,0,91.384409,91.386373,91.256716,91.290113
20140724,0,91.294042,91.386373,91.209569,91.333332
20140725,0,91.364764,91.631935,91.329403,91.614255
20140728,0,91.553355,91.620148,91.396196,91.41977
20140729,0,91.433521,91.433521,91.252788,91.388338
20140730,0,91.360835,91.427628,91.305829,91.38048
20140731,0,91.323509,91.569071,91.252788,91.504243
20140801,0,91.466918,91.677119,91.464953,91.655509
20140804,0,91.61229,91.712479,91.535675,91.610326
20140805,0,91.624077,91.624077,91.47674,91.545497
20140806,0,91.620148,91.712479,91.3019,91.407983
20140807,0,91.411912,91.480669,91.356906,91.384409
20140808,0,91.394231,91.415841,91.321545,91.339225
20140811,0,91.347083,91.406018,91.288148,91.31958
20140812,0,91.309758,91.327438,91.001332,91.050444
20140813,0,91.140811,91.362799,90.995439,91.356906
20140814,0,91.356906,91.589172,91.356906,91.481822
20140815,0,91.540377,91.614546,91.491581,91.57551
20140818,0,91.579413,91.591124,91.399846,91.438882
20140819,0,91.438882,91.448641,91.120736,91.20076
20140820,0,91.150013,91.296399,91.005578,91.267122
20140821,0,91.269074,91.425219,91.26517,91.317869
20140822,0,91.306158,91.438882,91.282737,91.403749
20140825,0,91.392039,91.39399,91.300303,91.35105
20140826,0,91.343243,91.526714,91.271026,91.50134
20140827,0,91.50134,91.684812,91.452545,91.608691
20140828,0,91.684812,91.686763,91.491581,91.518907
20140829,0,91.491581,91.577461,91.413509,91.442786
20140901,0,91.442786,91.520859,91.347147,91.481822
20140902,0,91.540377,91.550136,91.247604,91.354954
20140903,0,91.335436,91.442786,91.148061,91.206616
20140904,0,91.153916,91.192953,91.101217,91.110976
20140905,0,91.126591,91.218327,91.110976,91.130495
20140909,0,91.198808,91.255411,91.130495,91.237845
20140910,0,91.276881,91.276881,91.083651,91.120736
20140911,0,91.122687,91.216375,91.054374,91.155868
20140912,0,91.153916,91.208567,91.122687,91.196856
20140915,0,91.380328,91.460352,91.310062,91.325677
20140916,0,91.353002,91.362761,91.253459,91.325677
20140917,0,91.540377,91.637968,91.386183,91.43693
20140918,0,91.495485,92.051754,91.423268,92.034187
20140919,0,92.077127,92.479203,92.043947,92.420648
20140922,0,92.418696,92.565083,92.184478,92.432359
20140923,0,92.518239,92.613878,92.125923,92.151297
20140924,0,92.145441,92.237177,92.006862,92.131778
20140925,0,92.125923,92.403082,92.010766,92.31525
20140926,0,92.301587,92.33672,92.125923,92.172767
20140929,0,92.346479,92.504576,92.321105,92.416744
20140930,0,92.442118,92.516287,92.395274,92.469443
20141008,0,92.367949,92.367949,92.244984,92.266454
20141009,0,92.266454,92.27231,92.030284,92.223514
20141010,0,92.215707,92.311346,92.127875,92.211803
20141013,0,92.21961,92.424552,92.164959,92.369901
20141014,0,92.414792,93.014001,92.319153,92.928121
20141015,0,92.984724,93.297015,92.961302,92.994483
20141016,0,93.24822,93.314582,92.965206,93.138918
20141017,0,93.04523,93.375088,93.029616,93.351666
20141020,0,93.492197,93.734223,93.414124,93.683476
20141021,0,93.824007,93.833766,93.328244,93.394606
20141022,0,93.361425,93.459016,93.0667,93.144773
20141023,0,93.101833,93.277497,93.006194,93.191617
20141024,0,93.152581,93.437546,93.043279,93.328244
20141027,0,93.328244,93.35557,93.215039,93.228702
20141028,0,93.308726,93.529282,93.252123,93.519523
20141029,0,93.48439,93.607355,93.37704,93.453161
20141030,0,93.375088,93.513667,93.094026,93.133062
20141031,0,93.14087,93.295063,93.115496,93.232605
20141103,0,93.443402,93.745934,93.396558,93.599547
20141104,0,93.599547,94.064081,93.554656,94.013333
20141105,0,93.98617,94.296611,93.794084,94.269448
20141106,0,94.234523,94.279149,94.06184,94.160793
20141107,0,94.413027,94.649738,94.325715,94.610933
20141110,0,94.610933,94.898092,94.350938,94.73899
20141111,0,94.837944,95.142564,94.36258,94.43631
20141112,0,94.496458,94.830183,94.089003,94.296611
20141113,0,94.248105,94.471235,93.937663,94.110346
20141114,0,94.116167,94.116167,93.774681,93.821248
20141117,0,93.830949,94.083183,93.520507,93.520507
20141118,0,93.506926,94.2093,93.472001,94.13751
20141119,0,94.102585,94.257806,93.813487,93.896918
20141120,0,93.974528,94.009453,93.636923,93.666027
20141121,0,93.656326,94.019154,93.374988,93.937663
20141124,0,94.878689,94.975702,94.525562,94.680783
20141125,0,94.781676,94.830183,94.298551,94.383923
20141126,0,94.488697,94.834063,94.242284,94.834063
20141127,0,94.804959,94.830183,94.572128,94.690484
20141128,0,94.684663,94.806899,94.420788,94.674962
20141201,0,94.58765,94.995105,94.378102,94.647798
20141202,0,94.760333,94.760333,94.383923,94.411087
20141203,0,94.345118,94.374222,93.549611,93.753339
20141204,0,93.714533,93.91244,93.132456,93.140217
20141205,0,93.035443,93.035443,92.375754,92.771567
20141208,0,92.763806,93.215887,92.521274,92.692017
20141209,0,92.065313,92.899624,91.686962,92.841417
20141210,0,92.841417,93.128575,92.41844,93.045144
20141211,0,93.132456,93.276035,92.647391,92.664853
20141212,0,92.647391,93.054845,92.627988,92.79291
20141215,0,92.79097,92.957832,92.734702,92.895744
20141216,0,92.950071,93.217827,92.841417,93.138276
20141217,0,93.035443,93.631102,92.872461,93.516627
20141218,0,93.530209,93.61752,93.229469,93.557372
20141219,0,93.520507,93.714533,93.334243,93.638863
