date,time,open,high,low,close
20230421,0,96.09,96.28,96.01,96.21
20230424,0,96.28,96.41,96.26,96.37
20230425,0,96.4,96.48,96.32,96.4
20230426,0,96.44,96.51,96.38,96.43
20230427,0,96.57,96.79,96.47,96.79
20230428,0,96.79,96.79,96.55,96.64
20230504,0,96.89,97.1,96.89,97.1
20230505,0,97.16,97.57,97.13,97.45
20230508,0,97.38,97.38,97.05,97.1
20230509,0,97.15,97.23,97.08,97.17
20230510,0,97.31,97.41,97.25,97.27
20230511,0,97.51,97.69,97.4,97.45
20230512,0,97.29,97.41,97.24,97.35
20230515,0,97.26,97.4,97.12,97.23
20230516,0,97.23,97.320372,97.119546,97.270165
20230517,0,97.31033,97.38062,97.099463,97.199876
20230518,0,97.099463,97.240041,96.958885,97.23
20230519,0,97.23,97.400702,97.189835,97.370578
20230522,0,97.370578,97.46095,97.290248,97.360537
20230523,0,97.410744,97.641694,97.410744,97.551322
20230524,0,97.521198,97.661776,97.470991,97.591487
20230525,0,97.561363,97.581446,97.360537,97.440867
20230526,0,97.390661,97.491074,97.139628,97.209917
20230529,0,97.109504,97.390661,97.099463,97.390661
20230530,0,97.46095,97.491074,97.250083,97.270165
20230531,0,97.320372,97.46095,97.260124,97.46095
20230601,0,97.531239,97.661776,97.420785,97.591487
20230602,0,97.531239,97.561363,97.029174,97.099463
20230605,0,97.209917,97.38062,97.14967,97.320372
20230606,0,97.370578,97.481033,97.300289,97.470991
20230607,0,97.470991,97.671818,97.430826,97.631652
20230608,0,97.621611,97.621611,97.481033,97.551322
20230609,0,97.521198,98.053387,97.521198,97.92285
20230612,0,97.963016,98.143759,97.932892,98.023263
20230613,0,98.22409,98.615701,98.193966,98.444998
20230614,0,98.846651,98.91694,98.585577,98.736196
20230615,0,98.585577,98.605659,98.07347,98.163842
20230616,0,98.043346,98.113635,97.531239,97.782272
20230619,0,97.782272,97.822437,97.360537,97.551322
20230620,0,97.621611,97.832479,97.61157,97.762189
20230621,0,97.862602,97.99314,97.772231,97.902768
20230626,0,98.003181,98.1538,97.952974,98.103594
20230627,0,98.003181,98.063429,97.822437,97.963016
20230628,0,98.043346,98.193966,98.003181,98.183924
20230629,0,98.083511,98.334544,98.013222,98.22409
20230630,0,98.344585,98.515288,98.22409,98.505246
20230703,0,98.404833,98.45504,98.244172,98.324503
20230704,0,98.30442,98.53537,97.762189,98.113635
20230705,0,98.284337,98.45504,98.173883,98.444998
20230706,0,98.434957,98.525329,98.284337,98.374709
20230707,0,98.434957,98.575535,98.384751,98.515288
20230710,0,98.495205,98.696031,98.344585,98.68599
20230711,0,98.746238,98.906899,98.706072,98.756279
20230712,0,98.76632,98.896857,98.675949,98.896857
20230713,0,98.876775,98.957105,98.776362,98.806486
20230714,0,98.76632,98.937023,98.625742,98.776362
20230717,0,98.756279,99.047477,98.716114,99.047477
20230718,0,99.087642,99.29851,99.047477,99.198097
20230719,0,99.288468,99.288468,99.107725,99.14789
20230720,0,99.097684,99.328634,98.977188,99.268386
20230721,0,99.37884,99.730286,99.37884,99.68008
20230724,0,99.810617,100.001401,99.700162,99.951195
20230725,0,99.188055,99.408964,99.017353,99.057518
20230726,0,99.127807,99.559584,99.087642,99.509377
20230727,0,99.579666,99.800575,99.52946,99.670038
20230728,0,99.720245,99.810617,99.388882,99.509377
20230731,0,99.037436,99.449129,99.037436,99.388882
20230801,0,99.469212,99.649956,99.419005,99.459171
20230802,0,99.589708,99.710203,99.559584,99.60979
20230803,0,99.659997,99.84074,99.659997,99.780493
20230804,0,99.690121,100.001401,99.60979,99.880906
20230807,0,99.890947,99.961236,99.820658,99.951195
20230808,0,99.981319,100.001401,99.84074,99.890947
20230809,0,99.91103,99.961236,99.860823,99.941154
20230810,0,99.890947,99.941154,99.810617,99.850782
20230811,0,99.890947,100.031525,99.860823,99.961236
20230814,0,100.22231,100.403054,100.202228,100.272517
20230815,0,100.817038,101.250638,100.635531,101.018712
20230816,0,101.1498,101.371642,101.1498,101.341391
20230817,0,101.331307,101.341391,100.95821,100.988461
20230818,0,101.03888,101.290973,100.988461,101.270805
20230821,0,101.442228,102.218675,101.432145,102.006917
20230822,0,101.956498,102.168256,101.774991,101.976666
20230823,0,101.895996,102.09767,101.895996,102.067419
20230824,0,102.127921,102.248926,102.067419,102.208591
20230825,0,102.208591,102.319512,101.855661,101.956498
20230828,0,101.290973,101.946414,101.240554,101.875828
20230829,0,101.936331,101.936331,101.47248,101.623735
20230830,0,101.553149,101.916163,101.512814,101.643903
20230831,0,101.724573,101.845577,101.5834,101.714489
20230901,0,101.512814,101.623735,101.159884,101.23047
20230904,0,100.766619,100.907791,100.44394,100.60528
20230905,0,100.685949,100.726284,100.403605,100.423773
20230906,0,100.514526,100.595196,100.030507,100.060759
20230907,0,100.050675,100.222098,99.677577,99.788498
20230908,0,100.000256,100.17168,99.637242,100.060759
20230911,0,99.859084,100.09101,99.586824,99.949838
20230912,0,100.131345,100.353187,99.92967,99.970005
20230913,0,100.070842,100.242266,99.980089,100.141428
20230914,0,100.141428,100.766619,100.09101,100.675866
20230915,0,100.696033,100.696033,99.959921,99.970005
20230918,0,99.768331,99.869168,99.485987,99.758247
20230919,0,99.768331,100.000256,99.768331,99.849001
20230920,0,99.768331,99.889335,99.697745,99.768331
20230921,0,99.778414,100.070842,99.748163,99.970005
20230922,0,99.949838,100.030507,99.344814,99.375066
20230925,0,99.455735,99.566656,98.991884,99.122973
20230926,0,99.122973,99.213726,98.830545,99.153224
20230927,0,99.274228,99.364982,99.032219,99.22381
20230928,0,99.264145,99.727996,99.203642,99.647326
20231009,0,99.637242,99.828833,99.536405,99.758247
20231010,0,99.627159,99.697745,99.506154,99.596908
20231011,0,99.465819,99.475903,99.183475,99.284312
20231012,0,99.052387,99.395233,99.032219,99.344814
20231013,0,99.435568,99.65741,99.415401,99.536405
20231016,0,99.707828,99.778414,99.526321,99.707828
20231017,0,99.57674,99.687661,99.354898,99.506154
20231018,0,99.445652,99.596908,99.294396,99.334731
20231019,0,99.294396,99.334731,98.880963,98.891047
20231020,0,98.901131,99.364982,98.699456,99.254061
20231023,0,99.395233,99.596908,99.324647,99.485987
20231024,0,99.344814,99.445652,98.891047,99.153224
20231025,0,99.173391,99.314563,98.538117,99.233894
20231026,0,99.193559,99.274228,99.092721,99.133056
20231027,0,99.112889,99.22381,98.840628,98.971717
20231030,0,99.012052,99.254061,98.961633,99.042303
20231031,0,99.122973,99.395233,99.052387,99.30448
20231101,0,99.344814,99.516238,99.264145,99.385149
20231102,0,99.49607,99.808666,99.465819,99.798582
20231103,0,99.727996,99.808666,99.546489,99.768331
20231106,0,99.788498,99.859084,99.57674,99.798582
20231107,0,99.879252,99.949838,99.677577,99.73808
20231108,0,99.667494,100.101094,99.627159,99.959921
