date,time,open,high,low,close
20230421,0.093500000,96.18,96.19,96.1,96.11
20230421,0.094000000,96.11,96.12,96.07,96.09
20230421,0.094500000,96.08,96.11,96.06,96.06
20230421,0.095000000,96.05,96.06,96.02,96.02
20230421,0.095500000,96.02,96.04,96.01,96.04
20230421,0.100000000,96.04,96.05,96.02,96.03
20230421,0.100500000,96.03,96.04,96.03,96.04
20230421,0.101000000,96.04,96.04,96.04,96.04
20230421,0.101500000,96.04,96.05,96.03,96.04
20230421,0.102000000,96.04,96.05,96.03,96.04
20230421,0.102500000,96.04,96.04,96.03,96.03
20230421,0.103000000,96.03,96.03,96.02,96.02
20230421,0.103500000,96.02,96.03,96.01,96.03
20230421,0.104000000,96.02,96.03,96.02,96.03
20230421,0.104500000,96.03,96.04,96.03,96.03
20230421,0.105000000,96.03,96.05,96.03,96.05
20230421,0.105500000,96.05,96.07,96.05,96.07
20230421,0.110000000,96.07,96.07,96.05,96.05
20230421,0.110500000,96.06,96.06,96.05,96.05
20230421,0.111000000,96.05,96.05,96.03,96.03
20230421,0.111500000,96.04,96.05,96.04,96.05
20230421,0.112000000,96.05,96.05,96.02,96.02
20230421,0.112500000,96.02,96.03,96.02,96.03
20230421,0.130000000,96.02,96.06,96.02,96.05
20230421,0.130500000,96.05,96.06,96.04,96.05
20230421,0.131000000,96.04,96.06,96.04,96.06
20230421,0.131500000,96.06,96.06,96.05,96.05
20230421,0.132000000,96.05,96.06,96.04,96.04
20230421,0.132500000,96.05,96.05,96.05,96.05
20230421,0.133000000,96.05,96.08,96.05,96.08
20230421,0.133500000,96.09,96.09,96.08,96.08
20230421,0.134000000,96.08,96.09,96.07,96.07
20230421,0.134500000,96.07,96.07,96.06,96.07
20230421,0.135000000,96.06,96.07,96.06,96.07
20230421,0.140000000,96.07,96.09,96.07,96.09
20230421,0.140500000,96.08,96.12,96.08,96.12
20230421,0.141000000,96.12,96.13,96.11,96.11
20230421,0.141500000,96.11,96.11,96.1,96.1
20230421,0.142000000,96.09,96.11,96.09,96.11
20230421,0.142500000,96.11,96.13,96.11,96.13
20230421,0.143000000,96.12,96.16,96.12,96.16
20230421,0.143500000,96.16,96.16,96.15,96.15
20230421,0.144000000,96.14,96.18,96.14,96.18
20230421,0.144500000,96.17,96.18,96.16,96.17
20230421,0.145000000,96.18,96.18,96.17,96.17
20230421,0.145500000,96.17,96.18,96.17,96.18
20230421,0.150000000,96.18,96.18,96.17,96.17
20230421,0.150500000,96.18,96.19,96.18,96.18
20230421,0.151000000,96.18,96.22,96.18,96.21
20230424,0.093000000,96.28,96.32,96.28,96.31
20230424,0.093500000,96.32,96.32,96.29,96.29
20230424,0.094000000,96.29,96.3,96.29,96.3
20230424,0.094500000,96.3,96.3,96.26,96.26
20230424,0.095000000,96.26,96.29,96.26,96.28
20230424,0.095500000,96.29,96.31,96.28,96.31
20230424,0.100000000,96.31,96.34,96.3,96.3
20230424,0.100500000,96.3,96.3,96.29,96.29
20230424,0.101000000,96.29,96.3,96.28,96.28
20230424,0.101500000,96.29,96.3,96.29,96.3
20230424,0.102000000,96.3,96.3,96.29,96.29
20230424,0.102500000,96.29,96.32,96.29,96.32
20230424,0.103000000,96.32,96.36,96.32,96.35
20230424,0.103500000,96.35,96.35,96.32,96.32
20230424,0.104000000,96.32,96.33,96.31,96.32
20230424,0.104500000,96.32,96.32,96.32,96.32
20230424,0.105000000,96.33,96.34,96.33,96.33
20230424,0.105500000,96.34,96.37,96.34,96.36
20230424,0.110000000,96.36,96.4,96.36,96.38
20230424,0.110500000,96.37,96.37,96.33,96.34
20230424,0.111000000,96.34,96.35,96.33,96.35
20230424,0.111500000,96.34,96.37,96.34,96.35
20230424,0.112000000,96.36,96.36,96.35,96.35
20230424,0.112500000,96.35,96.35,96.32,96.34
20230424,0.130000000,96.32,96.34,96.32,96.34
20230424,0.130500000,96.34,96.34,96.34,96.34
20230424,0.131000000,96.34,96.34,96.34,96.34
20230424,0.131500000,96.34,96.34,96.33,96.33
20230424,0.132000000,96.33,96.34,96.32,96.34
20230424,0.132500000,96.34,96.35,96.34,96.35
20230424,0.133000000,96.35,96.37,96.35,96.37
20230424,0.133500000,96.37,96.39,96.37,96.39
20230424,0.134000000,96.38,96.41,96.38,96.39
20230424,0.134500000,96.38,96.39,96.37,96.38
20230424,0.135000000,96.38,96.39,96.38,96.39
20230424,0.135500000,96.38,96.39,96.37,96.39
20230424,0.140000000,96.39,96.39,96.38,96.39
20230424,0.140500000,96.39,96.39,96.39,96.39
20230424,0.141000000,96.38,96.38,96.37,96.37
20230424,0.141500000,96.38,96.38,96.36,96.36
20230424,0.142000000,96.37,96.38,96.35,96.35
20230424,0.142500000,96.35,96.35,96.34,96.35
20230424,0.143000000,96.35,96.35,96.34,96.34
20230424,0.143500000,96.35,96.36,96.35,96.36
20230424,0.144000000,96.36,96.38,96.36,96.38
20230424,0.144500000,96.39,96.39,96.38,96.38
20230424,0.145000000,96.38,96.38,96.36,96.36
20230424,0.145500000,96.36,96.37,96.34,96.36
20230424,0.150000000,96.36,96.37,96.36,96.36
20230424,0.150500000,96.36,96.36,96.35,96.36
20230424,0.151000000,96.37,96.37,96.34,96.37
20230425,0.093000000,96.4,96.47,96.38,96.41
20230425,0.093500000,96.41,96.42,96.41,96.42
20230425,0.094000000,96.41,96.42,96.4,96.42
20230425,0.094500000,96.41,96.41,96.41,96.41
20230425,0.095000000,96.41,96.41,96.4,96.41
20230425,0.095500000,96.41,96.42,96.41,96.42
20230425,0.100000000,96.41,96.41,96.36,96.38
