date,time,open,high,low,close
20180817,0,99.4,99.405,99.075,99.16
20180820,0,99.1,99.26,99.1,99.215
20180821,0,99.185,99.235,99.12,99.185
20180822,0,99.235,99.29,99.19,99.2
20180823,0,99.28,99.28,99.225,99.275
20180824,0,99.305,99.38,99.29,99.31
20180827,0,99.27,99.3,99.205,99.27
20180828,0,99.215,99.315,99.185,99.275
20180829,0,99.27,99.32,99.225,99.31
20180830,0,99.335,99.435,99.3,99.365
20180831,0,99.36,99.4,99.315,99.375
20180903,0,99.35,99.365,99.31,99.33
20180904,0,99.315,99.315,99.265,99.28
20180905,0,99.29,99.315,99.275,99.275
20180906,0,99.29,99.305,99.265,99.27
20180907,0,99.26,99.28,99.245,99.255
20180910,0,99.25,99.275,99.22,99.25
20180911,0,99.26,99.265,99.205,99.24
20180912,0,99.25,99.255,99.22,99.24
20180913,0,99.225,99.31,99.22,99.27
20180914,0,99.295,99.305,99.275,99.3
20180917,0,99.405,99.405,99.325,99.345
20180918,0,99.385,99.385,99.335,99.34
20180919,0,99.35,99.375,99.31,99.31
20180920,0,99.27,99.3,99.25,99.275
20180921,0,99.27,99.32,99.27,99.32
20180925,0,99.305,99.33,99.28,99.295
20180926,0,99.28,99.345,99.275,99.34
20180927,0,99.38,99.4,99.345,99.395
20180928,0,99.45,99.45,99.36,99.39
20181008,0,99.38,99.405,99.32,99.385
20181009,0,99.385,99.505,99.385,99.45
20181010,0,99.48,99.48,99.43,99.45
20181011,0,99.54,99.55,99.485,99.515
20181012,0,99.505,99.53,99.495,99.525
20181015,0,99.52,99.525,99.505,99.51
20181016,0,99.495,99.535,99.475,99.535
20181017,0,99.52,99.545,99.51,99.52
20181018,0,99.535,99.56,99.525,99.535
20181019,0,99.525,99.56,99.47,99.49
20181022,0,99.45,99.46,99.43,99.44
20181023,0,99.41,99.49,99.41,99.485
20181024,0,99.47,99.51,99.47,99.505
20181025,0,99.55,99.6,99.52,99.53
20181026,0,99.515,99.54,99.505,99.53
20181029,0,99.55,99.625,99.53,99.615
20181030,0,99.65,99.65,99.565,99.61
20181031,0,99.595,99.635,99.575,99.635
20181101,0,99.63,99.655,99.6,99.64
20181102,0,99.595,99.645,99.555,99.61
20181105,0,99.57,99.665,99.57,99.655
