date,time,open,high,low,close
20190809,0,1745,1788,1702,1702
20190812,0,1690,1726,1679,1716
20190813,0,1705,1767,1702,1767
20190814,0,1770,1783,1716,1732
20190815,0,1738,1753,1724,1738
20190816,0,1737,1754,1732,1739
20190819,0,1743,1750,1730,1741
20190820,0,1741,1749,1736,1741
20190821,0,1738,1738,1706,1718
20190822,0,1722,1730,1718,1723
20190823,0,1725,1727,1714,1720
20190826,0,1715,1748,1712,1736
20190827,0,1734,1758,1731,1738
20190828,0,1744,1758,1738,1750
20190829,0,1749,1815,1749,1786
20190830,0,1795,1804,1781,1789
20190902,0,1793,1826,1781,1796
20190903,0,1798,1806,1785,1791
20190904,0,1796,1843,1793,1813
20190905,0,1814,1830,1807,1812
20190906,0,1815,1827,1810,1820
20190909,0,1832,1840,1817,1823
20190910,0,1826,1835,1803,1811
20190911,0,1811,1820,1808,1817
20190912,0,1818,1822,1811,1815
20190916,0,1819,1825,1775,1790
20190917,0,1791,1796,1778,1781
20190918,0,1782,1786,1764,1785
20190919,0,1784,1794,1774,1778
20190920,0,1780,1780,1752,1760
20190923,0,1764,1769,1756,1763
20190924,0,1764,1776,1759,1772
20190925,0,1774,1775,1754,1756
20190926,0,1757,1765,1744,1758
20190927,0,1751,1757,1747,1749
20190930,0,1754,1764,1749,1755
20191008,0,1750,1764,1728,1753
20191009,0,1754,1773,1752,1769
20191010,0,1769,1779,1756,1758
20191011,0,1760,1763,1748,1752
20191014,0,1750,1753,1734,1739
20191015,0,1730,1738,1730,1737
20191016,0,1737,1742,1730,1730
20191017,0,1728,1728,1711,1715
20191018,0,1715,1725,1711,1714
20191021,0,1715,1715,1699,1700
20191022,0,1701,1704,1673,1683
20191023,0,1685,1686,1675,1679
20191024,0,1683,1692,1678,1683
20191025,0,1681,1687,1678,1680
20191028,0,1682,1692,1679,1685
20191029,0,1686,1695,1680,1686
20191030,0,1685,1695,1682,1690
20191031,0,1690,1697,1686,1686
20191101,0,1686,1690,1681,1687
20191104,0,1687,1689,1680,1682
20191105,0,1684,1706,1682,1702
20191106,0,1701,1706,1682,1683
20191107,0,1686,1689,1667,1668
20191108,0,1670,1672,1638,1643
20191111,0,1646,1648,1634,1636
20191112,0,1640,1655,1634,1646
20191113,0,1643,1660,1642,1649
20191114,0,1649,1655,1630,1635
20191115,0,1636,1649,1632,1647
20191118,0,1642,1645,1600,1605
20191119,0,1598,1611,1582,1604
20191120,0,1605,1620,1593,1601
20191121,0,1606,1606,1594,1600
20191122,0,1604,1635,1602,1624
20191125,0,1635,1670,1633,1660
20191126,0,1659,1664,1646,1655
20191127,0,1656,1675,1656,1673
20191128,0,1675,1679,1660,1672
20191129,0,1670,1677,1662,1675
20191202,0,1670,1673,1658,1661
20191203,0,1663,1671,1658,1661
20191204,0,1665,1698,1664,1682
20191205,0,1684,1724,1679,1720
20191206,0,1717,1734,1712,1726
20191209,0,1732,1748,1726,1742
20191210,0,1739,1753,1734,1741
20191211,0,1732,1738,1720,1732
20191212,0,1731,1732,1714,1717
20191213,0,1719.958644,1730.807007,1708.124067,1712.068926
20191216,0,1711.082711,1717.986215,1696.289489,1705.165422
20191217,0,1704.179207,1712.068926,1698.261918,1705.165422
20191218,0,1702.206778,1703.192993,1683.468696,1684.454911
20191219,0,1686.427341,1703.192993,1683.468696,1703.192993
20191220,0,1706.151637,1706.151637,1691.358415,1691.358415
20191223,0,1696.289489,1700.234348,1689.385985,1692.34463
20191224,0,1687.413555,1694.317059,1672.620333,1676.565192
20191225,0,1679.523837,1684.454911,1676.565192,1681.496267
20191226,0,1680.510052,1691.358415,1678.537622,1690.3722
20191227,0,1687.413555,1698.261918,1685.441126,1687.413555
20191230,0,1687.413555,1696.289489,1677.551407,1691.358415
20191231,0,1688.39977,1705.165422,1687.413555,1699.248133
