date,time,open,high,low,close
20250610,0,19400,19500,19070,19190
20250611,0,19200,19525,19200,19400
20250612,0,19435,19490,19355,19460
20250613,0,19455,19520,19330,19430
20250616,0,19400,19480,19355,19470
20250617,0,19500,19630,19440,19565
20250618,0,19590,19740,19580,19730
20250619,0,19720,19840,19620,19780
20250620,0,19715,19780,19625,19640
20250623,0,19665,19800,19640,19680
20250624,0,19700,19740,19520,19625
20250625,0,19625,19700,19530,19700
20250626,0,19700,19750,19640,19715
20250627,0,19705,19885,19705,19790
20250630,0,19835,19835,19715,19800
20250701,0,19785,19860,19720,19825
20250702,0,19830,19945,19810,19885
20250703,0,19880,19985,19880,19965
20250704,0,19950,19965,19825,19885
20250707,0,19885,19885,19685,19750
20250708,0,19755,19895,19735,19850
20250709,0,19855,19885,19770,19830
20250710,0,19820,20000,19780,19940
20250711,0,19945,20050,19915,19930
20250714,0,19880,19950,19700,19805
20250715,0,19790,19830,19720,19790
20250716,0,19785,19865,19750,19820
20250717,0,19780,19875,19755,19845
20250718,0,19810,19950,19810,19875
20250721,0,19885,20225,19885,20165
20250722,0,20125,20300,20125,20280
20250723,0,20300,20350,20080,20155
20250724,0,20150,20210,20060,20135
20250725,0,20135,20205,20090,20135
20250728,0,20110,20170,19960,20025
20250729,0,20050,20090,19990,20020
20250730,0,19945,20085,19945,20070
20250731,0,20090,20095,19910,19950
20250801,0,19950,19950,19850,19920
20250804,0,19870,19975,19800,19930
20250805,0,19915,20020,19865,20005
20250806,0,20010,20100,19945,20075
20250807,0,20160,20215,20115,20135
20250808,0,19980,20115,19980,20110
20250811,0,20110,20165,20050,20135
20250812,0,20090,20160,20020,20140
20250813,0,20210,20270,20165,20200
20250814,0,20175,20195,20080,20140
20250815,0,20115,20225,20115,20165
20250818,0,20250,20250,19950,20090
20250819,0,20100,20145,20025,20095
20250820,0,20050,20095,20000,20075
20250821,0,20090,20185,20075,20125
20250822,0,20130,20240,20105,20175
20250825,0,20170,20340,20170,20330
20250826,0,20320,20325,20260,20265
20250827,0,20270,20555,20270,20365
20250828,0,20350,20360,20230,20350
20250829,0,20370,20420,20275,20350
20250901,0,20350,20365,20235,20275
20250902,0,20275,20375,20275,20300
