date,time,open,high,low,close
20120511,0,6110,6115,6000,6002
20120514,0,6040,6045,5960,5976
20120515,0,5895,5910,5711,5842
20120516,0,5750,5786,5643,5647
20120517,0,5705,5787,5691,5763
20120518,0,5808,5881,5768,5863
20120521,0,5957,5964,5903,5940
20120522,0,5920,5930,5882,5890
20120523,0,5800,5818,5759,5791
20120524,0,5785,5838,5766,5832
20120525,0,5858,5912,5804,5904
20120528,0,5940,5992,5916,5986
20120529,0,5933,5982,5922,5962
20120530,0,5817,5855,5798,5801
20120531,0,5836,5878,5826,5851
20120601,0,5800,5840,5771,5832
20120604,0,5923,5998,5901,5949
20120605,0,5954,5985,5921,5931
20120606,0,6001,6092,5991,6088
20120607,0,6145,6154,6110,6134
20120608,0,6005,6023,5905,5935
20120611,0,6054,6099,6031,6062
20120612,0,5992,6038,5978,5989
20120613,0,6050,6083,6040,6083
20120614,0,6068,6128,6061,6080
20120615,0,6050,6085,6032,6070
20120618,0,6087,6095,6003,6010
20120619,0,6058,6080,6045,6061
20120620,0,5996,6029,5990,6010
20120621,0,5900,5925,5893,5911
20120625,0,5700,5742,5691,5716
20120626,0,5830,5830,5783,5791
20120627,0,5767,5771,5725,5745
20120628,0,5778,5782,5733,5736
20120629,0,5651,5764,5632,5751
20120702,0,5831,5835,5785,5796
20120703,0,5820,5915,5810,5908
20120704,0,5952,5979,5932,5948
20120705,0,5960,5995,5944,5994
20120706,0,5929,5932,5864,5872
20120709,0,5790,5832,5782,5808
20120710,0,5813,5834,5795,5798
20120711,0,5755,5780,5750,5775
20120712,0,5774,5779,5728,5743
20120713,0,5770,5830,5764,5828
20120716,0,5810,5834,5787,5828
20120717,0,5845,5877,5812,5830
20120718,0,5835,5838,5780,5811
20120719,0,5815,5828,5797,5822
20120720,0,5809,5811,5787,5799
20120723,0,5806,5808,5755,5761
20120724,0,5769,5791,5761,5771
20120725,0,5761.039696,5793.908699,5717.21436,5717.21436
20120726,0,5816.817397,5862.634795,5796.89679,5848.690369
20120727,0,5838.730066,5908.452192,5838.730066,5903.47204
20120730,0,5899.487919,5901.479979,5863.630825,5869.607007
20120731,0,5954.269589,6020.007594,5948.293407,6000.086987
20120801,0,5941.321194,5968.214014,5925.384708,5966.221954
20120802,0,5856.658612,5886.539524,5856.658612,5872.595098
20120803,0,5842.714187,5844.706248,5818.809458,5838.730066
20120806,0,5946.301346,5948.293407,5917.416465,5928.372799
20120807,0,5942.317225,5950.285468,5932.356921,5942.317225
20120808,0,5975.186227,5975.186227,5929.36883,5931.360891
20120809,0,5964.229893,5998.094926,5956.26165,5996.102865
20120810,0,5981.162409,5982.15844,5937.337073,5952.277528
20120813,0,5980.166379,6000.086987,5962.237832,5971.202106
20120814,0,5950.285468,5956.26165,5920.404556,5952.277528
20120815,0,5937.337073,5945.305316,5926.380739,5929.36883
20120816,0,5945.305316,5954.269589,5921.400587,5928.372799
20120817,0,5992.118744,6013.035381,5979.170349,6007.059199
20120820,0,5976.182258,6010.04729,5972.198136,5995.106835
20120821,0,6075.785295,6133.555057,6069.809113,6123.594753
20120822,0,6183.356576,6241.126338,6177.380394,6235.150155
20120823,0,6311.844494,6538.93942,6307.860373,6500.094235
20120824,0,6492.125992,6522.006904,6433.3602,6461.249051
20120827,0,6561.848119,6681.371764,6558.860028,6604.677425
20120828,0,6524.994995,6548.899724,6490.133932,6539.93545
20120829,0,6542.923542,6597.705212,6533.959268,6593.721091
20120830,0,6553.879876,6560.852088,6499.098205,6546.907663
20120831,0,6474.197446,6478.181567,6437.344322,6468.221263
20120903,0,6704.280463,6821.812047,6703.284432,6792.927166
20120904,0,6872.609596,6904.482568,6809.859682,6848.704867
20120905,0,6841.732654,6876.593718,6827.788229,6851.692958
20120906,0,6872.609596,7043.926821,6861.653262,7015.04194
20120907,0,6958.268208,6978.188816,6774.998619,6846.712806
20120910,0,7153.490162,7243.132896,7146.51795,7184.367104
20120911,0,7141.537798,7166.438557,7086.756127,7159.466344
20120912,0,7171.418709,7192.335347,7137.553676,7154.486193
20120913,0,7080.779945,7094.72437,7023.010183,7027.990335
20120914,0,7420.426303,7476.204004,7326.799448,7354.688298
20120917,0,7369.628754,7375.604936,7312.855022,7322.815326
20120918,0,7246.120987,7266.041595,7191.339317,7260.065412
20120919,0,7344.727994,7408.473939,7271.021747,7405.485847
20120920,0,7337.755782,7375.604936,7254.08923,7277.993959
20120921,0,7366.640663,7389.549361,7334.767691,7379.589058
20120924,0,7225.204349,7229.188471,7069.823611,7136.557646
20120925,0,7186.359165,7191.339317,7094.72437,7130.581464
