date,time,open,high,low,close
20050204,0,16220,16230,16170,16220
20050216,0,16489.004914,16508.931204,16319.63145,16319.63145
20050217,0,16329.594595,16349.520885,16279.77887,16319.63145
20050218,0,16498.968059,16498.968059,16379.410319,16399.336609
20050221,0,16349.520885,16508.931204,16349.520885,16369.447174
20050222,0,16369.447174,16449.152334,16289.742015,16379.410319
20050223,0,16439.189189,16489.004914,16359.484029,16379.410319
20050224,0,16429.226044,16489.004914,16409.299754,16439.189189
20050225,0,16269.815725,16359.484029,16269.815725,16309.668305
20050228,0,16339.55774,16469.078624,16339.55774,16389.373464
20050301,0,16359.484029,16389.373464,16339.55774,16349.520885
20050302,0,16349.520885,16359.484029,16299.70516,16359.484029
20050303,0,16369.447174,16399.336609,16339.55774,16339.55774
20050304,0,16399.336609,16409.299754,16299.70516,16369.447174
20050307,0,16428.864406,16488.281637,16409.058662,16418.961534
20050308,0,16428.864406,16438.767277,16409.058662,16438.767277
20050309,0,16478.378765,16834.882152,16448.670149,16824.97928
20050310,0,16924.007998,17003.230973,16725.950561,16864.590767
20050311,0,16894.299383,16953.716614,16735.853433,16765.562049
20050314,0,16725.950561,16834.882152,16607.116099,16646.727586
20050315,0,16597.213227,16735.853433,16577.407483,16626.921843
20050316,0,16696.241946,16864.590767,16656.630458,16854.687895
20050317,0,16785.367792,16924.007998,16617.018971,16815.076408
20050318,0,16656.630458,16775.46492,16260.515584,16517.990252
20050321,0,16635.765584,16714.282472,16567.063307,16606.321751
20050322,0,16488.546419,16616.136362,16478.731808,16567.063307
20050323,0,16537.619474,16586.692529,16449.287976,16468.917197
20050324,0,16370.771088,16468.917197,16351.141866,16459.102586
20050325,0,16390.40031,16468.917197,16380.585699,16449.287976
20050328,0,16468.917197,16527.804863,16321.698033,16410.029532
20050329,0,16449.287976,16488.546419,16390.40031,16400.214921
20050330,0,16390.40031,16468.917197,16370.771088,16419.844143
20050331,0,16488.546419,16498.36103,16410.029532,16429.658754
20050401,0,16468.917197,16488.546419,16419.844143,16459.102586
20050404,0,16351.141866,16400.214921,16331.512644,16370.771088
20050405,0,16400.214921,16410.029532,16331.512644,16351.141866
20050406,0,16370.771088,16419.844143,16311.883422,16400.214921
20050407,0,16459.102586,16606.321751,16429.658754,16567.063307
20050408,0,16547.434085,16547.434085,16478.731808,16498.36103
20050411,0,16537.619474,16635.765584,16517.990252,16616.136362
20050412,0,16665.209417,16704.467861,16439.473365,16537.619474
20050413,0,16449.287976,16527.804863,16449.287976,16508.175641
20050414,0,16390.40031,16459.102586,16184.293479,16321.698033
20050415,0,16292.2542,16459.102586,16292.2542,16390.40031
20050418,0,16400.214921,16478.731808,16400.214921,16429.658754
20050419,0,16459.102586,16459.102586,16370.771088,16380.585699
20050420,0,16478.731808,16478.731808,16370.771088,16429.658754
20050421,0,16439.473365,16459.102586,16370.771088,16370.771088
20050422,0,16380.585699,16429.658754,16341.327255,16410.029532
20050425,0,16410.029532,16429.658754,16370.771088,16429.658754
20050426,0,16380.585699,16478.731808,16380.585699,16449.287976
20050427,0,16419.844143,16439.473365,16410.029532,16419.844143
20050428,0,16410.029532,16478.731808,16410.029532,16468.917197
20050429,0,16449.287976,16596.50714,16449.287976,16586.692529
20050509,0,16567.063307,16616.136362,16508.175641,16586.692529
20050510,0,16616.136362,16625.950973,16576.877918,16596.50714
20050511,0,16586.692529,16625.950973,16547.434085,16557.248696
20050512,0,16498.36103,16557.248696,16498.36103,16498.36103
20050513,0,16410.029532,16478.731808,16360.956477,16439.473365
20050516,0,16488.900524,16528.442252,16449.358797,16459.244228
20050517,0,16488.900524,16508.671388,16419.702501,16469.12966
20050518,0,16518.55682,16577.869412,16479.015092,16518.55682
20050519,0,16558.098548,16558.098548,16449.358797,16449.358797
20050520,0,16449.358797,16488.900524,16399.931637,16488.900524
20050523,0,16518.55682,16518.55682,16439.473365,16439.473365
20050524,0,16479.015092,16567.98398,16459.244228,16498.785956
20050525,0,16488.900524,16548.213116,16459.244228,16469.12966
20050526,0,16518.55682,16518.55682,16469.12966,16488.900524
20050527,0,16508.671388,16548.213116,16479.015092,16508.671388
20050530,0,16508.671388,16548.213116,16508.671388,16528.442252
20050531,0,16518.55682,16518.55682,16488.900524,16498.785956
20050601,0,16518.55682,16538.327684,16508.671388,16538.327684
20050602,0,16587.754844,16587.754844,16508.671388,16577.869412
20050603,0,16607.525708,16745.921756,16607.525708,16706.380028
20050606,0,16795.931797,16915.334156,16795.931797,16885.483566
20050607,0,16785.9816,16825.782386,16696.429831,16776.031404
20050608,0,16676.529438,16776.031404,16646.678848,16726.280421
20050609,0,16716.330224,16756.131011,16666.579241,16676.529438
20050610,0,16716.330224,16736.230617,16676.529438,16716.330224
20050613,0,16656.629045,16726.280421,16656.629045,16726.280421
