date,time,open,high,low,close
20230619,0,2730,2766,2680,2721
20230620,0,2713,2747,2712,2731
20230621,0,2726,2742,2715,2738
20230626,0,2730,2816,2721,2802
20230627,0,2797,2837,2766,2788
20230628,0,2791,2805,2775,2791
20230629,0,2782,2811,2782,2799
20230630,0,2794,2824,2793,2812
20230703,0,2812,2831,2811,2826
20230704,0,2820,2835,2810,2816
20230705,0,2816,2832,2815,2825
20230706,0,2824,2845,2816,2834
20230707,0,2830,2840,2826,2828
20230710,0,2827,2832,2802,2819
20230711,0,2823,2828,2815,2819
20230712,0,2816,2822,2783,2796
20230713,0,2803,2813,2777,2792
20230714,0,2798,2805,2777,2785
20230717,0,2788,2797,2736,2781
20230718,0,2776,2822,2776,2807
20230719,0,2803,2826,2803,2821
20230720,0,2820,2908,2817,2881
20230721,0,2888,2895,2853,2868
20230724,0,2868,2884,2863,2879
20230725,0,2879,2892,2857,2887
20230726,0,2892,2909,2877,2879
20230727,0,2871,2899,2865,2890
20230728,0,2893,2900,2874,2880
20230731,0,2882,2895,2872,2884
20230801,0,2890,2930,2883,2929
20230802,0,2920,2938,2914,2922
20230803,0,2910,2922,2875,2895
20230804,0,2894,2904,2869,2871
20230807,0,2865,2891,2865,2880
20230808,0,2878,2892,2872,2872
20230809,0,2861,2880,2854,2876
20230810,0,2882,2887,2873,2879
20230811,0,2881,2907,2870,2900
20230814,0,2912,2912,2877,2883
20230815,0,2876,2901,2870,2900
20230816,0,2894,2900,2880,2881
20230817,0,2878,2905,2875,2902
20230818,0,2910,2919,2888,2895
20230821,0,2891,2926,2891,2922
20230822,0,2927,2930,2913,2926
20230823,0,2927,2984,2915,2960
20230824,0,2960,2974,2942,2945
20230825,0,2940,2980,2936,2970
20230828,0,2969,2977,2937,2955
20230829,0,2962,2962,2941,2958
20230830,0,2955,2983,2955,2976
20230831,0,2981,2997,2965,2981
20230901,0,2980,3038,2956,3016
20230904,0,3017,3203,3013,3086
20230905,0,3084,3168,3074,3134
20230906,0,3130,3161,3095,3119
20230907,0,3111,3135,3084,3093
20230908,0,3091,3099,3010,3042
20230911,0,3053,3079,3027,3070
20230912,0,3069,3127,3051,3060
20230913,0,3068,3077,2999,3033
20230914,0,3028,3105,3016,3100
20230915,0,3100,3167,3030,3036
20230918,0,3018,3063,3003,3048
20230919,0,3050,3093,3023,3070
20230920,0,3069,3083,3043,3069
20230921,0,3071,3113,3038,3038
20230922,0,3035,3096,3010,3083
