date,time,open,high,low,close
20041222,0,2630,2649,2598,2602
20041223,0,2601,2607,2587,2597
20041224,0,2605,2607,2595,2597
20041227,0,2600,2602,2581,2590
20041228,0,2604,2605,2586,2591
20041229,0,2583,2593,2566,2569
20041230,0,2580,2585,2570,2576
20041231,0,2581,2583,2578,2583
20050104,0,2570,2570,2533,2540
20050105,0,2520,2550,2515,2548
20050106,0,2544,2558,2538,2554
20050107,0,2560,2587,2560,2577
20050110,0,2584,2592,2567,2575
20050111,0,2600,2600,2585,2590
20050112,0,2585,2593,2582,2583
20050113,0,2571,2585,2570,2578
20050114,0,2580,2589,2561,2564
20050117,0,2545,2572,2542,2556
20050118,0,2552,2570,2540,2570
20050119,0,2558,2575,2555,2567
20050120,0,2570,2570,2553,2556
20050121,0,2558,2560,2545,2547
20050124,0,2542,2555,2530,2551
20050125,0,2552,2552,2543,2544
20050126,0,2553,2554,2547,2548
20050127,0,2545,2549,2536,2543
20050128,0,2540,2540,2518,2523
20050131,0,2524,2524,2487,2495
20050201,0,2508,2510,2496,2497
20050202,0,2487,2488,2470,2488
20050203,0,2489,2490,2482,2490
20050204,0,2480,2493,2480,2487
20050216,0,2538,2555,2510,2527
20050217,0,2526,2540,2525,2533
20050218,0,2553,2565,2545,2545
20050221,0,2550,2563,2530,2558
20050222,0,2560,2595,2550,2592
20050223,0,2616,2625,2601,2608
20050224,0,2618,2638,2610,2638
20050225,0,2615,2630,2611,2630
20050228,0,2700,2725,2700,2725
20050301,0,2720,2742,2720,2735
20050302,0,2735,2822,2720,2784
20050303,0,2798,2807,2778,2802
20050304,0,2806,2818,2771,2800
20050307,0,2816,2838,2812,2837
20050308,0,2802,2810,2770,2789
20050309,0,2900,2900,2802,2810
20050310,0,2819,2838,2803,2836
20050311,0,2855,2893,2855,2890
20050314,0,2950,2987,2940,2983
20050315,0,2968,3050,2960,3021
20050316,0,3040,3100,3040,3083
20050317,0,3032,3100,3032,3091
20050318,0,3085,3143,2962,2989
20050321,0,2960,2989,2952,2974
20050322,0,2889,2955,2889,2935
20050323,0,2935,2956,2905,2916
20050324,0,2918,2983,2918,2955
20050325,0,2960,2990,2960,2990
20050328,0,3001,3050,3001,3015
20050329,0,3003,3029,3003,3010
20050330,0,3006,3010,2971,2978
20050331,0,3050,3080,3014,3053
20050401,0,3011,3016,2970,2995
20050404,0,2994,3004,2880,2988
20050405,0,3000,3001,2982,2995
20050406,0,3000,3020,2987,3009
20050407,0,3035,3046,3031,3035
20050408,0,3030,3047,3025,3033
20050411,0,3048,3048,2963,2968
20050412,0,2980,2990,2980,2985
20050413,0,2960,2960,2960,2960
20050414,0,3068,3068,2971,2998
20050415,0,3000,3000,2981,2983
20050418,0,2971,2980,2971,2980
20050419,0,2986,2990,2984,2989
20050420,0,3010,3019,2982,3019
20050421,0,2979,3010,2950,2980
20050422,0,2983,2990,2982,2987
20050425,0,3028,3028,3028,3028
20050426,0,3030,3030,2975,2975
20050427,0,3000,3000,3000,3000
20050428,0,3000,3029,3000,3015
20050429,0,3010,3027,3002,3010
20050509,0,2990,2990,2990,2990
20050510,0,2995,2999,2995,2995
20050516,0,3024,3024,2988,3000
20050517,0,2999,3020,2992,2998
20050518,0,2986,3020,2946,3020
20050519,0,3021,3067,3021,3025
20050520,0,3027,3027,3027,3027
20050523,0,3055,3069,3045,3056
20050524,0,3058,3060,3040,3042
20050525,0,3050,3055,3035,3035
20050526,0,3080,3085,3055,3066
20050527,0,3083,3083,3068,3068
20050530,0,3059,3064,3059,3064
20050531,0,3084,3090,3060,3063
20050601,0,3058,3058,3010,3035
20050602,0,3045,3113,3006,3029
20050603,0,2980,3008,2980,2990
20050606,0,3060,3060,3000,3050
20050607,0,3050,3050,3011,3015
20050608,0,2979,3008,2979,3002
20050609,0,2980,3000,2980,2999
20050610,0,3003,3005,3000,3000
20050613,0,2981,3002,2981,2998
20050614,0,2987,2994,2987,2994
20050615,0,3010,3010,3010,3010
20050616,0,3045,3057,3030,3054
20050617,0,3054,3132,3022,3035
20050620,0,3088,3100,3070,3070
20050621,0,3065,3065,3057,3057
20050622,0,3064,3100,3064,3078
20050623,0,3041,3041,3036,3036
20050624,0,3050,3059,3050,3059
20050627,0,2940,3045,2940,3033
20050628,0,3019,3019,2895,2895
20050629,0,2870,2945,2870,2911
20050630,0,2908,2925,2829,2829
20050701,0,2808,2898,2808,2855
20050704,0,2908,2908,2890,2906
20050705,0,2962,2962,2885,2887
20050706,0,2920,2920,2876,2910
20050707,0,2920,2920,2881,2882
20050708,0,2891,2891,2837,2837
20050711,0,2816,2868,2816,2860
20050712,0,2886,2888,2880,2888
20050713,0,2880,2884,2880,2881
20050714,0,2875,2878,2850,2872
20050715,0,2812,2900,2810,2896
20050718,0,2920,2920,2872,2885
20050719,0,2831,2887,2831,2887
20050720,0,2880,2880,2880,2880
20050721,0,2831,2868,2786,2830
20050722,0,2800,2800,2752,2752
20050725,0,2778,2778,2778,2778
20050726,0,2782,2782,2782,2782
20050727,0,2773,2773,2773,2773
20050728,0,2792,2792,2774,2780
20050729,0,2725,2775,2725,2775
20050801,0,2790,2790,2790,2790
20050803,0,2725,2725,2725,2725
20050805,0,2700,2700,2700,2700
20050808,0,2720,2720,2680,2680
20050809,0,2640,2679,2640,2679
20050810,0,2679,2745,2679,2698
20050811,0,2699,2699,2640,2695
20050812,0,2720,2720,2655,2655
20050815,0,2640,2640,2630,2630
20050817,0,2692,2692,2542,2560
20050818,0,2582,2629,2582,2620
20050822,0,2751,2751,2751,2751
20050823,0,2766,2818,2762,2817
20050824,0,2800,2800,2755,2755
20050826,0,2799,2799,2729,2770
20050829,0,2585,2585,2517,2517
20050830,0,2550,2599,2502,2511
20050831,0,2415,2610,2415,2560
20050901,0,2600,2600,2550,2551
20050902,0,2450,2640,2450,2640
20050912,0,2756,2775,2738,2738
20050913,0,2731,2740,2728,2731
20050914,0,2750,2750,2731,2731
20050915,0,2720,2720,2720,2720
20050916,0,2685,2725,2685,2725
20050919,0,2721,2740,2703,2729
20050920,0,2713,2728,2713,2728
20050921,0,2737,2738,2715,2738
20050922,0,2750,2750,2702,2739
20050923,0,2740,2745,2720,2745
20050926,0,2738,2738,2685,2685
20050927,0,2725,2731,2700,2700
20051010,0,2609,2609,2609,2609
20051017,0,2873,2888,2873,2885
20051018,0,2879,2888,2871,2871
20051019,0,2863,2864,2841,2841
20051020,0,2850,2855,2836,2836
20051021,0,2800,2800,2755,2755
20051024,0,2830,2830,2830,2830
20051026,0,2792,2792,2765,2775
20051027,0,2778,2795,2778,2782
20051028,0,2765,2780,2765,2770
20051031,0,2780,2785,2780,2783
20051103,0,2785,2785,2785,2785
20051104,0,2878,2878,2780,2780
20051107,0,2785,2785,2785,2785
20051108,0,2800,2800,2788,2788
20051109,0,2799,2799,2730,2764
20051110,0,2768,2768,2768,2768
20051111,0,2789,2789,2789,2789
20051114,0,2849,2849,2770,2770
20051116,0,2785,2785,2736,2755
20051117,0,2747,2747,2693,2730
20051118,0,2740,2740,2701,2707
20051121,0,2700,2711,2650,2690
20051122,0,2683,2690,2674,2675
20051123,0,2677,2677,2634,2649
20051124,0,2581,2632,2581,2614
20051125,0,2553,2609,2553,2587
20051128,0,2566,2589,2520,2532
20051129,0,2532,2550,2532,2546
20051130,0,2536,2573,2536,2560
20051201,0,2552,2560,2551,2553
