date,time,open,high,low,close
20201119,0,47500,47600,45600,47090
20201120,0,47170,47840,46880,47790
20201123,0,48000,48680,47960,48220
20201124,0,48220,48940,47820,48910
20201125,0,48950,49210,48610,48750
20201126,0,48600,49410,48500,49330
20201127,0,49150,50040,49090,49990
20201130,0,50000,51440,49930,51370
20201201,0,51460,51570,50410,50800
20201202,0,51040,51530,50680,50970
20201203,0,50620,51160,50340,50730
20201204,0,51000,51340,50540,51250
20201207,0,51120,51550,50850,50930
20201208,0,50790,51100,50660,50800
20201209,0,50670,51280,50510,51130
20201210,0,51130,51270,50500,51250
20201211,0,51280,52740,50900,51630
20201214,0,51520,51800,50970,51610
20201215,0,51610,51640,51110,51400
20201216,0,51530,51880,51250,51660
20201217,0,51790,52330,51590,52290
20201218,0,52370,53080,52200,52860
20201221,0,52810,53110,52330,52860
20201222,0,52270,52500,51510,51600
20201223,0,51550,51690,50870,51570
20201224,0,51570,52060,51570,51780
20201225,0,51750,52250,51460,52190
20201228,0,52190,52730,51940,52330
20201229,0,52370,52550,51710,51910
20201230,0,52030,52260,51740,52110
20201231,0,51820,51950,51330,51450
20210104,0,51380,51900,51350,51790
20210105,0,51960,52100,51330,51730
20210106,0,51720,52790,51690,52550
20210107,0,52740,53060,52290,52930
20210108,0,52670,54060,52580,53730
20210111,0,53450,53640,52100,52170
20210112,0,52220,52320,51520,52220
20210113,0,52410,52540,52070,52290
20210114,0,52200,52430,51990,52230
20210115,0,52349.770686,53118.299255,51411.566979,52160.133766
20210118,0,52249.961781,52868.776992,51850.726161,52689.120963
20210119,0,52689.120963,54036.541181,52030.38219,52339.789796
20210120,0,52409.656029,53228.08905,52130.191095,52529.426715
20210121,0,52449.579591,52868.776992,52220.019109,52719.063635
20210122,0,52719.063635,52968.585897,52030.38219,52230
20210125,0,51890.649723,52649.197401,51720.974584,52549.388496
20210126,0,52429.61781,52569.350277,51920.592394,52010.420409
20210127,0,52160.133766,52589.312058,52080.286642,52220.019109
20210128,0,51800.821708,52080.286642,50932.484235,50932.484235
20210129,0,51182.006497,51980.477737,51062.235811,51172.025607
20210201,0,51451.490541,51870.687942,50912.522454,51511.375884
20210202,0,51441.50965,51451.490541,50902.541563,50962.426906
20210203,0,50782.770877,51042.27403,50543.229505,50682.961972
20210204,0,51042.27403,51541.318555,50912.522454,51381.624307
20210205,0,51311.758074,51800.821708,51142.082935,51730.955475
20210208,0,52010.420409,52489.503153,51671.070132,52259.942672
20210209,0,52349.770686,53068.394802,52289.885343,52918.681445
20210210,0,53008.509459,54176.273648,52858.796102,54106.407414
20210218,0,54994.706669,56402.01223,54835.012421,56272.260654
20210219,0,56392.03134,57270.349704,55992.795719,57130.617237
20210222,0,57250.387923,59855.400344,57210.464361,59855.400344
20210223,0,59665.541812,61314.313274,59325.794965,60554.879146
20210224,0,60145.184419,61504.171806,59375.757737,60514.908929
20210225,0,60874.640884,63212.898594,60604.841918,62683.293215
20210226,0,62643.322998,62933.107073,60674.789798,60674.789798
20210301,0,59955.325887,60774.715341,58136.681002,60095.221648
20210302,0,59975.310996,60265.095071,58566.360837,59485.675834
20210303,0,60355.02806,61234.372839,59945.333333,60414.983386
20210304,0,60414.983386,60414.983386,59185.899205,59195.891759
20210305,0,57996.785241,59085.973662,56477.916986,58486.420403
20210308,0,59205.884314,59835.415235,58346.524642,58426.465077
20210309,0,58696.264043,59925.348224,58416.472523,58806.182141
20210310,0,58636.308718,58806.182141,57736.978829,58046.748013
20210311,0,58616.323609,60115.206756,58036.755459,59815.430127
20210312,0,59825.422681,59875.385453,59105.95877,59465.690726
20210315,0,59555.623715,60574.864255,59385.750291,59995.296104
20210316,0,60115.206756,60185.154636,59325.794965,59335.78752
20210317,0,58946.077901,59595.593932,58766.211924,59475.68328
20210318,0,59475.68328,60075.236539,59185.899205,59455.698171
20210319,0,59555.623715,59845.40779,58246.599099,58606.331055
20210322,0,59205.884314,59915.35567,58776.204478,59365.765183
20210323,0,59595.593932,60195.147191,58976.055564,59515.653497
20210324,0,59305.809857,59415.727954,58436.457631,58986.048119
20210325,0,59155.921542,59425.720508,58046.748013,58116.695893
20210326,0,57687.016058,58816.174695,57527.135189,58666.286381
20210329,0,58766.211924,59285.824748,58546.375729,58836.159804
20210330,0,58946.077901,59055.995999,58376.502305,58406.479968
20210331,0,58127.166315,58436.406431,57758.073274,58137.141803
20210401,0,58177.043753,58396.504481,57658.318397,57718.171323
20210402,0,58047.362414,59663.391407,57947.607538,59473.857143
20210406,0,59852.925672,60072.3864,59344.175804,59533.710069
20210407,0,59593.562994,60231.994201,59034.935688,59364.126779
20210408,0,59174.592514,59623.489457,58825.450448,59344.175804
20210409,0,59433.955192,59753.170796,59104.764101,59244.420928
20210412,0,59304.273853,59453.906168,58236.896679,58296.749605
20210413,0,58446.381919,58735.67106,58246.872167,58496.259357
20210414,0,59054.886663,59054.886663,58605.989721,58845.401423
20210415,0,59294.298366,60631.013706,59234.44544,60491.356879
20210416,0,60591.111755,61748.268318,60511.307855,60930.278334
20210419,0,61399.126252,62057.508434,60291.847127,61937.802583
20210420,0,61937.802583,61997.655509,61309.346863,61668.464417
20210421,0,61468.954665,61818.096732,60820.54797,61020.057723
