date,time,open,high,low,close
20230727,0,10750,10880,10560,10755
20230731,0,10790,11105,10765,10985
20230801,0,10990,11045,10855,10970
20230802,0,10980,11125,10910,11115
20230803,0,11110,11450,11105,11320
20230804,0,11390,11440,11250,11360
20230807,0,11390,11420,11255,11385
20230808,0,11510,11510,11270,11280
20230809,0,11225,11380,11175,11365
20230810,0,11365,11375,11220,11230
20230811,0,11200,11380,11200,11335
20230814,0,11335,11370,11230,11300
20230815,0,11295,11420,11285,11320
20230816,0,11300,11350,11230,11295
20230817,0,11300,11380,11250,11315
20230818,0,11330,11445,11270,11275
20230821,0,11285,11420,11275,11420
20230822,0,11430,11560,11320,11440
20230823,0,11420,11725,11405,11530
20230824,0,11550,11670,11520,11580
20230825,0,11610,11900,11545,11875
20230828,0,11900,12200,11780,11930
20230829,0,11945,12115,11825,12070
20230830,0,12030,12145,11950,12100
20230831,0,12130,12180,12020,12145
20230901,0,12250,13295,12190,13295
20230904,0,13900,14440,13590,13680
20230905,0,13745,14575,13570,14385
20230906,0,14300,14600,14020,14180
20230907,0,14200,14285,13465,14080
20230908,0,14080,14360,13515,13550
20230911,0,13625,13855,13340,13675
20230912,0,13745,14240,13730,14140
20230913,0,14140,14170,13590,13745
20230914,0,13820,13950,13580,13920
20230915,0,14000,14065,13710,13860
20230918,0,13900,13980,13665,13855
20230919,0,13895,14030,13725,13740
20230920,0,13740,13920,13565,13605
20230921,0,13500,13565,13150,13230
20230922,0,13300,13530,13280,13515
20230925,0,13530,13595,13070,13235
20230926,0,13245,13245,12785,12860
20230927,0,12840,12890,12645,12775
20230928,0,12820,13085,12755,12765
20231009,0,12550,12745,12445,12650
20231010,0,12600,12895,12390,12425
20231011,0,12515,12760,12435,12705
20231012,0,12700,12960,12650,12910
20231013,0,12965,13215,12890,13130
20231016,0,13380,13380,12955,13080
20231017,0,13100,13220,12820,12890
20231018,0,12890,12950,12530,12590
20231019,0,12650,12730,12555,12665
20231020,0,12720,13045,12645,12750
20231023,0,12800,13000,12660,12975
20231024,0,12995,13040,12710,12780
20231025,0,12820,12990,12770,12980
20231026,0,13000,13230,12830,12925
20231027,0,12900,13115,12855,13095
20231030,0,13060,13130,12860,13025
20231031,0,13025,13055.361305,12655.604118,12923.795649
20231101,0,12938.976301,13065.48174,12842.832168,13045.24087
20231102,0,13065.48174,13131.264569,12923.795649,12989.578477
20231103,0,12984.51826,13156.565657,12964.277389,12964.277389
20231106,0,12979.458042,13014.879565,12731.507382,12928.855866
20231107,0,12888.374126,12938.976301,12367.171717,12468.376068
20231108,0,12448.135198,12756.808469,12422.83411,12701.146076
20231109,0,12650.543901,12797.29021,12529.098679,12599.941725
20231110,0,12640.423465,12701.146076,12245.726496,12407.653458
20231113,0,12458.255633,12508.857809,12326.689977,12453.195416
20231114,0,12397.533023,12524.038462,12397.533023,12458.255633
20231115,0,12427.894328,12640.423465,12407.653458,12574.640637
20231116,0,12549.339549,12630.30303,12473.436286,12589.82129
20231117,0,12559.459984,12731.507382,12397.533023,12427.894328
20231120,0,12478.496503,12549.339549,12367.171717,12488.616939
20231121,0,12518.978244,12584.761072,12291.268454,12351.991064
20231122,0,12387.412587,12458.255633,12083.799534,12174.88345
20231123,0,12144.522145,12412.713675,12129.341492,12362.1115
20231124,0,12448.135198,12534.158897,12276.087801,12488.616939
20231127,0,12539.219114,12696.085859,12483.556721,12691.025641
20231128,0,12650.543901,12782.109557,12534.158897,12650.543901
20231129,0,12650.543901,12670.784771,12306.449106,12367.171717
20231130,0,12407.653458,12438.014763,11916.812354,12265.967366
20231201,0,12240.666278,12438.014763,12073.679099,12144.522145
20231204,0,12068.618881,12169.823232,11931.993007,12058.498446
20231205,0,12068.618881,12068.618881,11668.861694,11770.066045
20231206,0,11689.552554,11915.996748,11513.429291,11875.740003
20231207,0,11815.354884,11936.125121,11724.777206,11840.51535
20231208,0,11840.51535,12001.542333,11760.001859,11941.157215
20231211,0,11946.189308,11961.285587,11780.130232,11880.772096
20231212,0,11825.419071,11915.996748,11684.52046,11845.547443
20231213,0,11765.033952,11840.51535,11583.878596,11664.392087
20231214,0,11669.424181,11765.033952,11598.974876,11765.033952
20231215,0,11780.130232,11810.322791,11684.52046,11714.71302
20231218,0,11734.841393,11966.317681,11614.071155,11840.51535
20231219,0,11870.707909,11895.868376,11780.130232,11835.483257
20231220,0,11820.386977,11966.317681,11654.327901,11895.868376
20231221,0,11926.060935,12217.922342,11885.804189,12026.702799
20231222,0,12021.670706,12202.826062,11996.51024,12087.087918
20231225,0,12177.665596,12952.607952,12147.473037,12690.939105
20231226,0,12690.939105,13023.057257,12539.976308,12630.553986
20231227,0,12580.233054,12811.709342,12469.527003,12761.38841
20231228,0,12786.548876,12877.126554,12645.650266,12746.29213
20231229,0,12736.227944,12917.3833,12685.907011,12741.260037
20240102,0,12882.158647,13012.993071,12741.260037,12841.901901
20240103,0,12887.19074,12927.447486,12590.29724,12625.521893
20240104,0,12670.810732,12675.842825,12399.077698,12434.30235
20240105,0,12464.49491,12741.260037,12338.692579,12479.591189
20240108,0,12479.591189,12504.751655,12092.120011,12197.793969
20240109,0,12202.826062,12318.564206,12026.702799,12102.184198
20240110,0,12117.280477,12197.793969,12001.542333,12157.537223
20240111,0,12233.018621,12333.660486,12127.344664,12293.40374
20240112,0,12348.756766,12484.623283,12318.564206,12434.30235
20240115,0,12469.527003,12519.847935,12378.949325,12399.077698
20240116,0,12378.949325,12494.687469,12278.30746,12439.334444
20240117,0,12449.39863,12474.559096,12217.922342,12217.922342
20240118,0,12217.922342,12348.756766,12092.120011,12248.114901
20240119,0,12217.922342,12298.435833,12107.216291,12253.146994
20240122,0,12248.114901,12273.275367,11961.285587,12036.766986
20240123,0,12031.734893,12102.184198,11931.093028,12061.927452
20240124,0,12071.991638,12238.050715,12071.991638,12233.018621
20240125,0,12238.050715,12328.628393,12177.665596,12288.371647
20240126,0,12293.40374,12353.788859,12212.890249,12258.179088
20240129,0,12268.243274,12701.003291,12268.243274,12539.976308
20240130,0,12534.944215,12605.39352,12439.334444,12499.719562
20240131,0,12580.233054,12721.131664,12469.527003,12680.874918
20240201,0,12721.131664,12731.19585,12600.361427,12665.778638
20240202,0,12670.810732,12690.939105,12358.820952,12469.527003
20240205,0,12459.462816,12665.778638,12399.077698,12565.136774
20240206,0,12580.233054,12625.521893,12429.270257,12439.334444
20240207,0,12449.39863,12872.094461,12429.270257,12872.094461
20240208,0,12882.158647,12927.447486,12625.521893,12716.099571
20240219,0,12962.672139,13083.442376,12806.677249,12917.3833
20240220,0,12907.319113,13043.18563,12877.126554,12967.704232
20240221,0,12962.672139,13118.667028,12887.19074,12992.864698
20240222,0,12977.768418,13204.212613,12962.672139,13158.923774
20240223,0,13184.08424,13269.629825,13068.346096,13224.340986
20240226,0,13224.340986,13404.809627,13184.236844,13259.432111
20240227,0,13319.588324,13725.642767,13249.406075,13540.161108
20240228,0,13545.174126,13670.499571,13409.822645,13464.965841
20240229,0,13520.109037,13520.109037,13184.236844,13329.61436
20240301,0,13329.61436,13399.796609,13154.158737,13239.38004
20240304,0,13234.367022,13354.679449,13119.067612,13174.210808
20240305,0,13164.184772,13214.31495,13003.768202,13013.794238
20240306,0,13094.002523,13289.510218,13033.846309,13234.367022
20240307,0,13244.393057,13309.562289,13068.937434,13154.158737
20240308,0,13159.171755,13505.069984,13083.976487,13439.900752
20240311,0,13449.926788,13505.069984,13184.236844,13274.471164
20240312,0,13219.327968,13329.61436,13104.028559,13124.08063
20240313,0,13174.210808,13359.692467,13124.08063,13204.288915
20240314,0,13244.393057,13505.069984,13109.041576,13334.627378
20240315,0,13334.627378,13575.252233,13289.510218,13570.239215
20240318,0,13600.195593,14468.930554,13430.442785,14089.4831
20240319,0,14094.475829,14179.352234,13779.933861,13939.70121
20240320,0,13909.744832,14089.4831,13809.890239,13914.737562
20240321,0,13879.788454,13879.788454,13540.282837,13575.231945
20240322,0,13560.253756,13670.093808,13340.573651,13500.341
20240325,0,13560.253756,13660.108349,13400.486407,13480.370081
20240326,0,13500.341,13590.210134,13365.537299,13405.479136
20240327,0,13410.471866,13505.333729,13170.820842,13280.660895
20240328,0,13270.675435,13310.617273,13155.842653,13270.675435
20240329,0,13260.689976,13370.530029,13165.828113,13320.602732
20240401,0,13330.588191,13570.239215,13320.602732,13555.261026
20240402,0,13520.311918,13560.253756,13345.56638,13400.486407
20240403,0,13410.471866,13600.195593,13245.711787,13250.704517
20240408,0,13260.689976,13595.202863,13050.99533,13550.268296
20240409,0,13510.326459,13774.941131,13510.326459,13744.984753
20240410,0,13720.021105,13749.977483,13545.275567,13620.166512
20240411,0,13585.217404,13610.181052,13375.522758,13470.384622
20240412,0,13455.406433,13470.384622,13105.915357,13215.755409
20240415,0,13180.806302,13300.631813,13070.966249,13195.784491
20240416,0,13230.733598,13265.682706,13011.053493,13046.002601
20240417,0,13050.99533,13225.740869,13006.060764,13200.77722
20240418,0,13230.733598,13255.697246,13011.053493,13205.76995
20240419,0,13210.76268,13355.55184,13060.98079,13150.849924
20240422,0,13165.828113,13230.733598,12891.227981,12911.1989
20240423,0,12881.242522,12941.155278,12781.387929,12816.337036
20240424,0,12801.358847,12886.235252,12731.460632,12776.395199
20240425,0,12816.337036,12921.184359,12696.511525,12921.184359
20240426,0,12921.184359,13181.409606,12685.980771,13161.392279
20240429,0,12991.245003,13186.413938,12961.219013,13126.361958
20240430,0,13161.392279,13356.561214,12951.210349,12986.240671
20240506,0,12926.188691,13031.279656,12881.149706,12931.193023
20240507,0,12971.227676,13221.444259,12946.206018,13106.344631
20240508,0,13081.322973,13211.435596,13076.318641,13106.344631
20240509,0,13106.344631,13126.361958,12941.201686,13031.279656
20240510,0,13070.828304,13243.853641,13070.828304,13125.207696
20240513,0,13120.264115,13238.91006,12868.141481,13229.022898
20240514,0,13268.571546,13431.709721,13051.05398,13055.997561
20240515,0,13060.941142,13189.47425,12981.843845,13174.643506
20240516,0,13169.699925,13382.273911,13051.05398,13327.894519
20240517,0,13327.894519,13382.273911,13263.627965,13362.499586
20240520,0,13367.443168,13584.960734,13283.40229,13580.017153
20240521,0,13584.960734,13777.760395,13441.596883,13510.807018
20240522,0,13525.637761,13614.62222,13352.612424,13515.750599
20240523,0,13505.863437,13713.493841,13357.556005,13416.878978
20240524,0,13416.878978,13802.4783,13411.935397,13604.735058
20240527,0,13664.058031,13777.760395,13510.807018,13594.847896
20240528,0,13604.735058,14099.093163,13604.735058,13723.381003
20240529,0,13802.4783,14232.569852,13728.324584,14232.569852
20240530,0,14232.569852,14459.97458,14069.431677,14341.328635
20240531,0,14346.272216,14672.548566,14010.108704,14178.19046
20240603,0,14217.739109,14321.554311,13906.293502,14059.544515
20240604,0,14084.26242,14099.093163,13832.139787,14094.149582
20240605,0,14059.544515,14301.779987,13980.447218,14153.472555
20240606,0,14212.795528,14791.194511,14094.149582,14766.476606
20240607,0,14880.17897,15829.346532,14761.533025,15611.828966
20240611,0,15671.151938,16175.397206,15092.752955,15166.906671
20240612,0,15221.286062,16442.350583,15142.188766,16368.196867
20240613,0,16457.181326,16526.39146,15216.342481,15651.377614
20240614,0,15651.377614,15938.105315,15186.680995,15290.496197
20240617,0,15226.229643,15364.649913,14979.050591,15048.260726
20240618,0,15072.978631,15463.521534,14825.799578,14919.727618
20240619,0,14835.68674,15147.132347,14717.040795,15053.204307
20240620,0,15082.865793,15310.270521,14909.840456,14998.824915
20240621,0,15068.03505,15275.665454,14899.953294,15033.429982
20240624,0,15008.712077,15330.044846,14830.743159,14850.517483
20240625,0,14909.840456,15280.609035,14756.589443,15161.96309
20240626,0,15107.583698,15147.132347,14721.984376,14983.994172
20240627,0,15013.763697,15043.533222,14601.951936,14691.260511
20240628,0,14765.684323,14805.377023,14527.528124,14721.030036
20240701,0,14835.146548,14964.147822,14592.028761,14884.762422
20240702,0,14929.41671,15122.918621,14815.300198,15058.417984
20240703,0,15098.110684,15112.995446,14859.954485,15068.341159
20240704,0,15053.456397,15127.880209,14745.837973,14869.87766
20240705,0,14869.87766,14904.608772,14601.951936,14606.913524
20240708,0,14636.683049,14830.18496,14562.259237,14805.377023
20240709,0,14835.146548,14974.070997,14696.222098,14939.339885
20240710,0,14929.41671,14929.41671,14428.296375,14527.528124
20240711,0,14567.220824,14745.837973,14567.220824,14656.529399
20240712,0,14686.298923,14745.837973,14542.412887,14572.182412
20240715,0,14582.207993,14752.642875,14436.837064,14537.092877
20240716,0,14532.080086,14597.246365,14411.773111,14572.182412
20240717,0,14587.220783,14762.668456,14537.092877,14637.34869
20240718,0,14637.34869,14737.604503,14537.092877,14722.566131
20240719,0,14642.361481,14757.655665,14496.990552,14707.527759
20240722,0,14772.694037,14993.256826,14707.527759,14757.655665
20240723,0,14757.655665,14857.911478,14607.271946,14622.310318
20240724,0,14597.246365,14983.231245,14597.246365,14923.077757
20240725,0,14933.103338,14943.128919,14637.34869,14672.438224
20240726,0,14682.463806,14968.192873,14677.451015,14692.489387
20240729,0,14667.425434,14732.591712,14461.901017,14522.054505
20240730,0,14476.939389,14537.092877,14176.17195,14221.287066
20240731,0,14231.312648,14421.798692,14105.992881,14376.683576
20240801,0,14396.734739,14456.888227,14276.427763,14281.440554
20240802,0,14276.427763,14466.913808,14261.389391,14346.606832
20240805,0,14266.402182,14356.632414,14055.864975,14095.9673
20240806,0,14055.864975,14105.992881,13830.289396,13930.545209
20240807,0,13975.660325,14100.980091,13875.404512,14070.903347
20240808,0,14090.954509,14241.338229,14005.737068,14085.941719
20240809,0,14085.941719,14256.680406,14025.681006,14131.137254
20240812,0,14131.137254,14191.397967,13960.398566,14161.26761
20240813,0,14161.26761,14372.180107,14121.093801,14337.028024
20240814,0,14337.028024,14352.093202,14176.332789,14196.419693
20240815,0,14216.506597,14447.505998,14121.093801,14407.332189
20240816,0,14412.353915,14457.54945,14266.723858,14271.745585
20240819,0,14251.65868,14517.810164,14181.354515,14497.723259
20240820,0,14497.723259,14723.700934,14412.353915,14668.461947
20240821,0,14633.309864,14713.657482,14588.114329,14673.483673
20240822,0,14713.657482,14748.809564,14573.049151,14658.418494
20240823,0,14653.396768,14824.135456,14628.288138,14738.766112
20240826,0,14763.874743,14884.396169,14678.505399,14874.352717
20240827,0,14889.417895,15090.286939,14804.048551,15075.221761
20240828,0,15085.265213,15517.133658,15055.134857,15281.112531
20240829,0,15256.003901,15426.742588,15165.612831,15220.851818
20240830,0,15215.830092,15281.112531,15090.286939,15185.699735
20240902,0,15185.699735,15195.743188,14924.569978,14989.852417
20240903,0,14984.830691,15025.0045,14753.83129,14788.983373
20240904,0,14758.853017,14829.157182,14633.309864,14648.375042
20240905,0,14658.418494,14884.396169,14643.353316,14768.896469
20240906,0,14799.026825,15014.961048,14758.853017,14999.895869
20240909,0,14974.770416,15125.523138,14818.992603,15045.121686
20240910,0,15125.523138,15220.999862,14954.670053,15014.971142
20240911,0,15040.096595,15155.673683,14934.56969,15050.146777
20240912,0,15125.523138,15482.304581,15115.472957,15452.154036
20240913,0,15462.204218,15643.107485,15351.652222,15447.128946
20240918,0,15914.462385,16050.139835,15803.910388,15949.63802
20240919,0,15899.387113,16321.494735,15874.261659,16205.917648
20240920,0,16241.093283,16266.218737,15924.512566,15949.63802
20240923,0,15879.28675,15899.387113,15341.60204,15432.053673
20240924,0,15472.254399,15954.663111,15416.978401,15944.612929
20240925,0,16019.98929,16663.200906,15803.910388,15854.161296
20240926,0,15798.885298,16271.243828,15748.63439,15899.387113
20240927,0,16014.9642,16075.265289,15653.157666,15778.784935
20240930,0,15773.759844,16562.699091,15708.433664,16467.222367
20241008,0,16653.150724,16683.301269,16170.742013,16366.720552
20241009,0,16366.720552,16733.552176,16301.394372,16301.394372
20241010,0,16301.394372,16301.394372,15386.827857,15416.978401
20241011,0,15492.354762,15703.408574,15467.229309,15638.082394
20241014,0,15658.182757,16060.190016,15552.655851,15904.412203
20241015,0,15999.888927,16040.089653,15753.659481,15894.362022
20241016,0,15879.28675,15924.512566,15432.053673,15537.580579
20241017,0,15482.304581,15617.982031,15321.501677,15401.903129
20241018,0,15326.526768,15698.383483,15326.526768,15638.082394
20241021,0,15638.082394,15638.082394,15121.539517,15303.848768
20241022,0,15253.207309,15526.671185,15202.565851,15491.222164
20241023,0,15567.184352,15739.365311,15425.388268,15440.580706
20241024,0,15369.659403,15400.054247,15172.092918,15354.461981
20241025,0,15349.396174,15430.449091,15101.171615,15202.487762
20241028,0,15197.421954,15400.054247,15116.369037,15146.763881
20241029,0,15075.842579,15222.750991,14888.407708,15116.369037
20241030,0,15045.447735,15136.632267,14868.144479,15040.381928
20241031,0,15025.184506,15025.184506,14852.947057,14944.131588
20241101,0,14863.078671,14969.460625,14619.91992,14695.90703
20241104,0,14706.038645,14731.367681,14391.958591,14528.735388
