date,time,open,high,low,close
20230728,0.090500000,10775,10780,10560,10650
20230728,0.091000000,10645,10670,10570,10610
20230728,0.091500000,10615,10710,10610,10675
20230728,0.092000000,10680,10730,10670,10695
20230728,0.092500000,10700,10710,10650,10660
20230728,0.093000000,10660,10715,10630,10710
20230728,0.093500000,10710,10790,10690,10765
20230728,0.094000000,10765,10795,10740,10780
20230728,0.094500000,10780,10790,10680,10780
20230728,0.095000000,10775,10785,10735,10770
20230728,0.095500000,10770,10770,10675,10730
20230728,0.100000000,10730,10750,10700,10720
20230728,0.100500000,10715,10745,10670,10695
20230728,0.101000000,10700,10725,10695,10710
20230728,0.103000000,10710,10715,10675,10705
20230728,0.103500000,10710,10715,10670,10710
20230728,0.104000000,10715,10735,10700,10720
20230728,0.104500000,10720,10780,10720,10775
20230728,0.105000000,10775,10785,10720,10730
20230728,0.105500000,10730,10755,10730,10755
20230728,0.110000000,10755,10760,10685,10700
20230728,0.110500000,10705,10750,10695,10740
20230728,0.111000000,10745,10750,10710,10730
20230728,0.111500000,10735,10750,10730,10740
20230728,0.112000000,10740,10775,10730,10755
20230728,0.112500000,10750,10785,10745,10775
20230728,0.133000000,10775,10780,10720,10735
20230728,0.133500000,10735,10740,10715,10725
20230728,0.134000000,10725,10730,10715,10725
20230728,0.134500000,10725,10735,10715,10715
20230728,0.135000000,10715,10755,10715,10750
20230728,0.135500000,10750,10755,10735,10740
20230728,0.140000000,10740,10745,10730,10735
20230728,0.140500000,10735,10740,10720,10720
20230728,0.141000000,10725,10730,10720,10730
20230728,0.141500000,10730,10745,10730,10740
20230728,0.142000000,10745,10750,10730,10730
20230728,0.142500000,10735,10750,10730,10745
20230728,0.143000000,10740,10745,10735,10740
20230728,0.143500000,10740,10745,10735,10745
20230728,0.144000000,10740,10805,10720,10735
20230728,0.144500000,10735,10745,10700,10740
20230728,0.145000000,10740,10790,10735,10770
20230728,0.145500000,10775,10780,10740,10755
20230728,0.210000000,10790,10845,10765,10830
20230728,0.210500000,10830,10955,10825,10910
20230728,0.211000000,10905,10935,10880,10880
20230728,0.211500000,10880,10895,10855,10890
20230728,0.212000000,10890,10905,10875,10895
20230728,0.212500000,10895,10915,10880,10915
20230728,0.213000000,10915,10970,10915,10930
20230728,0.213500000,10930,10995,10920,10980
20230728,0.214000000,10985,11040,10965,11020
20230728,0.214500000,11025,11105,10915,10915
20230728,0.215000000,10915,11005,10915,10985
20230728,0.215500000,10985,10990,10955,10970
20230728,0.220000000,10970,11000,10960,10985
20230728,0.220500000,10985,11040,10980,11030
20230728,0.221000000,11030,11035,10980,10985
20230728,0.221500000,10985,11025,10980,11020
20230728,0.222000000,11025,11025,10940,10990
20230728,0.222500000,10990,11005,10975,11000
20230728,0.223000000,11000,11010,10960,11000
20230728,0.223500000,11000,11025,10975,11005
20230728,0.224000000,11000,11000,10960,10980
20230728,0.224500000,10980,10990,10975,10975
20230728,0.225000000,10975,10975,10930,10960
20230728,0.225500000,10960,11010,10960,11005
20230731,0.090000000,11025,11100,10990,10990
20230731,0.090500000,10990,11010,10950,10975
20230731,0.091000000,10975,10975,10930,10970
20230731,0.091500000,10970,11000,10965,11000
20230731,0.092000000,10995,11000,10965,10975
20230731,0.092500000,10975,10995,10950,10955
20230731,0.093000000,10950,10990,10945,10955
20230731,0.093500000,10950,10960,10910,10930
20230731,0.094000000,10930,10950,10925,10945
20230731,0.094500000,10945,10955,10930,10950
20230731,0.095000000,10945,10960,10935,10935
20230731,0.095500000,10935,10950,10930,10940
20230731,0.100000000,10945,10955,10940,10955
20230731,0.100500000,10965,11005,10960,10975
20230731,0.101000000,10975,10990,10975,10985
20230731,0.103000000,10990,10995,10965,10985
20230731,0.103500000,10985,10995,10975,10980
20230731,0.104000000,10980,10995,10975,10980
20230731,0.104500000,10980,11000,10970,10985
20230731,0.105000000,10975,10990,10975,10980
20230731,0.105500000,10985,10990,10945,10975
20230731,0.110000000,10970,10975,10930,10945
20230731,0.110500000,10940,10960,10930,10945
20230731,0.111000000,10940,10970,10935,10970
20230731,0.111500000,10975,10975,10955,10955
20230731,0.112000000,10955,10970,10955,10960
20230731,0.112500000,10965,10975,10960,10975
20230731,0.133000000,10975,11000,10965,11000
20230731,0.133500000,11000,11000,10985,10990
20230731,0.134000000,10995,10995,10975,10985
20230731,0.134500000,10990,11035,10985,11030
20230731,0.135000000,11035,11035,11000,11005
20230731,0.135500000,11000,11005,10985,10995
20230731,0.140000000,10990,10995,10985,10990
20230731,0.140500000,10985,10990,10975,10975
20230731,0.141000000,10975,10995,10975,10995
20230731,0.141500000,10995,10995,10985,10985
20230731,0.142000000,10985,10990,10950,10955
20230731,0.142500000,10955,10975,10940,10950
20230731,0.143000000,10950,10975,10945,10965
20230731,0.143500000,10965,10965,10940,10960
20230731,0.144000000,10960,10960,10940,10955
20230731,0.144500000,10955,10960,10945,10945
20230731,0.145000000,10945,10975,10935,10970
20230731,0.145500000,10975,10990,10965,10985
20230731,0.210000000,10990,11045,10985,10995
20230731,0.210500000,10990,11000,10930,10950
20230731,0.211000000,10950,10950,10910,10940
20230731,0.211500000,10940,10950,10930,10950
20230731,0.212000000,10950,10960,10935,10935
20230731,0.212500000,10935,10955,10930,10945
20230731,0.213000000,10945,10970,10945,10960
