date,time,open,high,low,close
20131009,0,4598,4658,4470,4476
20131010,0,4460,4522,4452,4502
20131011,0,4510,4524,4456,4466
20131014,0,4476,4490,4434,4444
20131015,0,4448,4494,4436,4442
20131016,0,4428,4484,4428,4432
20131017,0,4448,4460,4408,4410
20131018,0,4412,4430,4402,4404
20131021,0,4410,4466,4406,4452
20131022,0,4444,4454,4428,4440
20131023,0,4432,4444,4408,4436
20131024,0,4434,4482,4426,4458
20131025,0,4460,4464,4406,4406
20131028,0,4410,4412,4250,4268
20131029,0,4266,4288,4248,4270
20131030,0,4270,4328,4228,4316
20131031,0,4308,4324,4288,4292
20131101,0,4288,4340,4256,4310
20131104,0,4280,4336,4276,4314
20131105,0,4310,4332,4264,4308
20131106,0,4300,4316,4290,4308
20131107,0,4312,4324,4268,4274
20131108,0,4272,4284,4252,4260
20131111,0,4262,4286,4254,4278
20131112,0,4272,4308,4268,4304
20131113,0,4280,4290,4262,4286
20131114,0,4298,4302,4264,4266
20131115,0,4266,4284,4246,4270
20131118,0,4278,4314,4272,4292
20131119,0,4280,4306,4264,4296
20131120,0,4296,4326,4296,4310
20131121,0,4306,4312,4288,4298
20131122,0,4312,4350,4308,4338
20131125,0,4336,4368,4316,4356
20131126,0,4360,4444,4350,4370
20131127,0,4366,4384,4332,4336
20131128,0,4330,4358,4318,4346
20131129,0,4352,4366,4332,4352
20131202,0,4362,4372,4340,4354
20131203,0,4360,4410,4352,4382
20131204,0,4408,4412,4378,4388
20131205,0,4398,4406,4372,4376
20131206,0,4382,4430,4360,4424
20131209,0,4426,4442,4376,4396
20131210,0,4398,4408,4380,4388
20131211,0,4390,4404,4380,4390
20131212,0,4398,4420,4372,4388
20131213,0,4388,4388,4302,4370
20131216,0,4378,4382,4334,4360
20131217,0,4360,4364,4328,4330
20131218,0,4330,4340,4314,4334
20131219,0,4334,4350,4326,4326
20131220,0,4326,4350,4314,4316
20131223,0,4314,4330,4306,4330
20131224,0,4328,4334,4316,4326
20131225,0,4326,4356,4324,4338
20131226,0,4342,4344,4268,4282
20131227,0,4276,4328,4262,4316
20131230,0,4320,4340,4312,4334
20131231,0,4320,4324,4292,4304
20140102,0,4302,4314,4282,4290
20140103,0,4282,4292,4254,4278
20140106,0,4270,4306,4262,4284
20140107,0,4272,4288,4248,4248
20140108,0,4246,4276,4206,4272
20140109,0,4266,4312,4264,4282
20140110,0,4280,4306,4256,4282
20140113,0,4280,4318,4276,4308
20140114,0,4310,4346,4302,4342
20140115,0,4320,4378,4318,4370
20140116,0,4380,4498,4354,4364
20140117,0,4374,4384,4346,4354
20140120,0,4358,4376,4330,4354
20140121,0,4360,4366,4336,4348
20140122,0,4370,4374,4344,4350
20140123,0,4360,4360,4350,4356
20140124,0,4356,4374,4352,4360
20140127,0,4350,4386,4350,4372
20140128,0,4372,4390,4366,4372
20140129,0,4368,4374,4328,4372
20140130,0,4370,4438,4352,4390
20140207,0,4392,4428,4392,4428
20140210,0,4428,4444,4386,4426
20140211,0,4402,4426,4402,4424
20140212,0,4420,4420,4290,4292
20140213,0,4312,4346,4206,4246
20140214,0,4114,4434,4092,4092
20140217,0,4394,4420,4364,4404
20140218,0,4402,4412,4382,4400
20140219,0,4408,4420,4380,4388
20140220,0,4384,4392,4328,4370
20140221,0,4368,4372,4336,4366
20140224,0,4362,4370,4346,4350
20140225,0,4356,4368,4346,4350
20140226,0,4354,4356,4230,4272
20140227,0,4268,4296,4254,4276
20140228,0,4274,4280,4258,4274
20140303,0,4286,4288,4256,4264
20140304,0,4264,4276,4246,4250
20140305,0,4256,4294,4254,4270
20140306,0,4266,4268,4228,4262
20140307,0,4268,4278,4238,4244
20140310,0,4232,4238,4154,4192
20140311,0,4188,4238,4182,4220
20140312,0,4208,4210,4160,4190
20140313,0,4188,4198,4178,4190
20140314,0,4184,4192,4160,4188
20140317,0,4190,4206,4176,4188
20140318,0,4186,4198,4182,4194
20140319,0,4196,4230,4194,4214
20140320,0,4226,4236,4216,4218
20140321,0,4216,4226,4196,4220
20140324,0,4218,4236,4218,4228
20140325,0,4228,4254,4220,4238
20140326,0,4236,4248,4212,4218
20140327,0,4220,4222,4206,4214
20140328,0,4212,4218,4046,4170
20140331,0,4290,4290,4168,4170
20140401,0,4166,4184,4160,4178
20140402,0,4174,4180,4138,4142
20140403,0,4138,4146,4090,4114
20140404,0,4114,4132,4112,4126
20140408,0,4128,4182,4124,4148
20140409,0,4152,4166,4146,4152
20140410,0,4154,4154,4136,4146
20140411,0,4142,4160,4138,4158
20140414,0,4160,4230,4160,4210
20140415,0,4230,4232,4206,4212
20140416,0,4210,4226,4184,4192
20140417,0,4194,4196,4168,4178
20140418,0,4178,4184,4160,4174
20140421,0,4182,4198,4130,4156
20140422,0,4154,4160,4132,4160
20140423,0,4162,4162,4142,4158
20140424,0,4156,4190,4152,4186
20140425,0,4184,4196,4168,4176
20140428,0,4170,4192,4166,4188
20140429,0,4188,4190,4172,4180
20140430,0,4186,4210,4174,4206
20140505,0,4208,4210,4178,4196
20140506,0,4190,4194,4174,4180
20140507,0,4180,4186,4132,4136
20140508,0,4134,4166,4134,4150
20140509,0,4150,4158,4146,4150
20140512,0,4150,4168,4150,4158
20140513,0,4156,4164,4156,4160
20140514,0,4160,4166,4158,4164
20140515,0,4162,4162,4150,4154
20140516,0,4152,4156,4134,4152
20140519,0,4156,4156,4134,4138
20140520,0,4132,4144,4132,4140
20140521,0,4134,4156,4128,4140
20140522,0,4138.073523,4153.485342,4134.220568,4140
20140523,0,4140,4143.852955,4132.29409,4132.29409
20140526,0,4132.29409,4136.147045,4111.102839,4120.735226
20140527,0,4120.735226,4124.588181,4084.132154,4087.985109
20140528,0,4086.058632,4086.058632,4045.602606,4072.57329
20140529,0,4070.646812,4076.426245,4057.16147,4072.57329
20140530,0,4072.57329,4084.132154,4068.720335,4076.426245
20140603,0,4078.352722,4080.2792,4057.16147,4059.087948
20140604,0,4057.16147,4070.646812,4057.16147,4066.793858
20140605,0,4068.720335,4070.646812,4064.86738,4066.793858
20140606,0,4068.720335,4070.646812,4066.793858,4066.793858
20140609,0,4064.86738,4072.57329,4061.014425,4066.793858
20140610,0,4068.720335,4078.352722,4066.793858,4072.57329
20140611,0,4070.646812,4074.499767,4055.234993,4074.499767
20140612,0,4072.57329,4072.57329,4064.86738,4068.720335
20140613,0,4068.720335,4122.661703,4068.720335,4107.249884
20140616,0,4105.323406,4109.176361,4093.764542,4101.470451
20140617,0,4095.691019,4103.396929,4091.838064,4097.617497
20140618,0,4097.617497,4099.543974,4095.691019,4095.691019
20140619,0,4093.764542,4095.691019,4080.2792,4082.205677
