date,time,open,high,low,close
20250708,0,5900,5957,5870,5931
20250709,0,5935,6089,5930,6070
20250710,0,6070,6363,6056,6253
20250711,0,6231,6293,6141,6183
20250714,0,6201,6260,6143,6189
20250715,0,6216,6230,6111,6144
20250716,0,6151,6180,6126,6166
20250717,0,6155,6165,6102,6122
20250718,0,6125,6209,6125,6164
20250721,0,6165,6269,6165,6241
20250722,0,6259,6292,6200,6278
20250723,0,6278,6292,6152,6196
20250724,0,6219,6279,6176,6226
20250725,0,6225,6437,6225,6387
20250728,0,6439,6439,6223,6251
20250729,0,6279,6315,6236,6296
20250730,0,6295,6334,6276,6307
20250731,0,6310,6348,6280,6294
20250801,0,6300,6310,6252,6260
20250804,0,6270,6286,6182,6240
20250805,0,6200,6232,6190,6220
20250806,0,6205,6268,6200,6246
20250807,0,6266,6298,6245,6248
20250808,0,6259,6260,6202,6204
20250811,0,6220,6260,6205,6230
20250812,0,6230,6286,6217,6250
20250813,0,6248,6272,6232,6237
20250814,0,6250,6253,6172,6179
20250815,0,6185,6207,6162,6189
20250818,0,6185,6196,6151,6186
20250819,0,6186,6206,6171,6182
20250820,0,6189,6269,6104,6205
20250821,0,6210,6233,6161,6200
20250822,0,6198,6241,6182,6208
20250825,0,6223,6236,6196,6206
20250826,0,6217,6227,6156,6156
20250827,0,6156,6190,6110,6114
20250828,0,6118,6125,6077,6095
20250829,0,6120,6129,6045,6047
20250901,0,6053,6064,5931,6010
20250902,0,6045,6045,5925,5936
