date,time,open,high,low,close
20250708,0.090500000,5938,5957,5931,5939
20250708,0.091000000,5940,5940,5925,5934
20250708,0.091500000,5932,5935,5913,5919
20250708,0.092000000,5918,5921,5910,5920
20250708,0.092500000,5919,5942,5919,5929
20250708,0.093000000,5930,5936,5921,5921
20250708,0.093500000,5921,5931,5920,5924
20250708,0.094000000,5925,5928,5922,5924
20250708,0.094500000,5925,5930,5924,5926
20250708,0.095000000,5926,5927,5910,5918
20250708,0.095500000,5918,5920,5909,5913
20250708,0.100000000,5912,5915,5910,5915
20250708,0.100500000,5915,5930,5914,5926
20250708,0.101000000,5926,5929,5921,5923
20250708,0.103000000,5923,5930,5921,5921
20250708,0.103500000,5920,5928,5920,5928
20250708,0.104000000,5928,5937,5922,5936
20250708,0.104500000,5936,5938,5929,5937
20250708,0.105000000,5937,5938,5929,5934
20250708,0.105500000,5932,5933,5923,5931
20250708,0.110000000,5931,5934,5930,5931
20250708,0.110500000,5930,5933,5927,5930
20250708,0.111000000,5930,5935,5927,5928
20250708,0.111500000,5928,5932,5925,5926
20250708,0.112000000,5926,5930,5926,5929
20250708,0.112500000,5929,5933,5928,5932
20250708,0.133000000,5931,5938,5930,5937
20250708,0.133500000,5938,5939,5937,5937
20250708,0.134000000,5937,5939,5932,5935
20250708,0.134500000,5936,5938,5935,5936
20250708,0.135000000,5936,5937,5930,5934
20250708,0.135500000,5934,5937,5932,5935
20250708,0.140000000,5935,5937,5920,5925
20250708,0.140500000,5925,5933,5920,5921
20250708,0.141000000,5925,5929,5921,5925
20250708,0.141500000,5922,5925,5921,5924
20250708,0.142000000,5924,5928,5923,5928
20250708,0.142500000,5929,5935,5928,5935
20250708,0.143000000,5934,5935,5931,5934
20250708,0.143500000,5935,5936,5930,5931
20250708,0.144000000,5930,5931,5930,5931
20250708,0.144500000,5931,5934,5930,5931
20250708,0.145000000,5930,5938,5930,5931
20250708,0.145500000,5932,5933,5930,5931
20250708,0.210000000,5935,5980,5930,5952
20250708,0.210500000,5953,5953,5945,5950
20250708,0.211000000,5949,5950,5945,5948
20250708,0.211500000,5949,5952,5945,5946
20250708,0.212000000,5946,5948,5942,5943
20250708,0.212500000,5942,5959,5942,5959
20250708,0.213000000,5959,5974,5952,5961
20250708,0.213500000,5961,5963,5958,5959
20250708,0.214000000,5958,5966,5957,5959
20250708,0.214500000,5960,5973,5958,5973
20250708,0.215000000,5973,5989,5969,5976
20250708,0.215500000,5976,5992,5976,5984
20250708,0.220000000,5984,5990,5977,5988
20250708,0.220500000,5988,5998,5984,5986
20250708,0.221000000,5987,5990,5985,5987
20250708,0.221500000,5987,5987,5976,5979
20250708,0.222000000,5981,5985,5979,5983
20250708,0.222500000,5983,5989,5982,5987
20250708,0.223000000,5986,5995,5984,5994
20250708,0.223500000,5995,5998,5989,5989
20250708,0.224000000,5989,5994,5988,5992
20250708,0.224500000,5991,5996,5988,5989
20250708,0.225000000,5989,5990,5965,5982
20250708,0.225500000,5980,5996,5980,5989
20250709,0.090000000,5989,6006,5975,6005
20250709,0.090500000,6006,6007,5998,5999
20250709,0.091000000,5999,6003,5997,6002
20250709,0.091500000,6001,6020,6000,6014
20250709,0.092000000,6014,6050,6014,6041
20250709,0.092500000,6042,6045,6030,6036
20250709,0.093000000,6036,6047,6030,6040
20250709,0.093500000,6041,6053,6037,6042
20250709,0.094000000,6041,6062,6040,6056
20250709,0.094500000,6057,6063,6038,6046
20250709,0.095000000,6046,6050,6040,6049
20250709,0.095500000,6050,6054,6041,6052
20250709,0.100000000,6051,6051,6044,6047
20250709,0.100500000,6047,6047,6026,6028
20250709,0.101000000,6029,6054,6026,6044
20250709,0.103000000,6046,6047,6037,6038
20250709,0.103500000,6038,6039,6033,6039
20250709,0.104000000,6040,6045,6038,6040
20250709,0.104500000,6042,6043,6032,6033
20250709,0.105000000,6033,6040,6030,6036
20250709,0.105500000,6036,6038,6032,6035
20250709,0.110000000,6034,6043,6033,6041
20250709,0.110500000,6042,6048,6037,6048
20250709,0.111000000,6048,6049,6034,6040
20250709,0.111500000,6039,6044,6036,6041
20250709,0.112000000,6041,6042,6037,6042
20250709,0.112500000,6042,6045,6037,6037
20250709,0.133000000,6037,6048,6036,6047
20250709,0.133500000,6047,6057,6045,6053
20250709,0.134000000,6053,6058,6048,6052
20250709,0.134500000,6051,6060,6049,6060
20250709,0.135000000,6059,6060,6055,6056
20250709,0.135500000,6055,6057,6050,6053
20250709,0.140000000,6052,6053,6048,6049
20250709,0.140500000,6051,6051,6040,6044
20250709,0.141000000,6044,6044,6041,6044
20250709,0.141500000,6044,6045,6042,6043
20250709,0.142000000,6044,6050,6043,6045
20250709,0.142500000,6046,6050,6045,6048
20250709,0.143000000,6047,6057,6046,6057
20250709,0.143500000,6058,6058,6047,6048
20250709,0.144000000,6047,6048,6043,6045
20250709,0.144500000,6044,6053,6044,6052
20250709,0.145000000,6052,6063,6051,6059
20250709,0.145500000,6059,6089,6054,6070
20250709,0.210000000,6070,6126,6056,6120
20250709,0.210500000,6122,6145,6115,6135
20250709,0.211000000,6134,6140,6123,6129
20250709,0.211500000,6128,6139,6123,6125
20250709,0.212000000,6125,6133,6125,6131
20250709,0.212500000,6130,6141,6129,6129
20250709,0.213000000,6128,6130,6115,6118
20250709,0.213500000,6117,6128,6116,6127
20250709,0.214000000,6129,6133,6123,6128
20250709,0.214500000,6128,6143,6128,6132
20250709,0.215000000,6131,6133,6124,6130
20250709,0.215500000,6130,6137,6125,6130
20250709,0.220000000,6130,6135,6128,6128
20250709,0.220500000,6129,6129,6124,6127
20250709,0.221000000,6128,6135,6125,6134
20250709,0.221500000,6134,6137,6131,6134
20250709,0.222000000,6133,6150,6133,6141
20250709,0.222500000,6142,6152,6127,6132
20250709,0.223000000,6132,6138,6131,6132
20250709,0.223500000,6133,6140,6131,6137
20250709,0.224000000,6138,6144,6138,6144
20250709,0.224500000,6142,6144,6138,6138
20250709,0.225000000,6139,6145,6139,6142
20250709,0.225500000,6142,6151,6139,6140
20250710,0.090000000,6139,6180,6139,6164
20250710,0.090500000,6165,6184,6165,6176
20250710,0.091000000,6176,6176,6164,6171
20250710,0.091500000,6171,6174,6161,6163
20250710,0.092000000,6164,6164,6146,6159
20250710,0.092500000,6159,6159,6147,6153
20250710,0.093000000,6154,6168,6154,6163
20250710,0.093500000,6163,6163,6155,6156
20250710,0.094000000,6155,6162,6154,6160
20250710,0.094500000,6158,6160,6152,6154
20250710,0.095000000,6153,6167,6153,6167
20250710,0.095500000,6167,6169,6161,6166
20250710,0.100000000,6167,6170,6166,6170
20250710,0.100500000,6169,6175,6169,6172
20250710,0.101000000,6172,6174,6167,6174
20250710,0.103000000,6174,6180,6170,6180
20250710,0.103500000,6178,6186,6178,6179
20250710,0.104000000,6178,6182,6177,6178
20250710,0.104500000,6178,6179,6168,6171
20250710,0.105000000,6171,6180,6170,6178
20250710,0.105500000,6180,6182,6176,6182
20250710,0.110000000,6182,6189,6182,6189
20250710,0.110500000,6188,6195,6183,6188
