date,time,open,high,low,close
20141219,0,2750,2755,2686,2730
20141222,0,2731.954887,2736.842105,2665.488722,2676.240602
20141223,0,2674.285714,2697.744361,2653.759398,2678.195489
20141224,0,2685.037594,2697.744361,2679.172932,2689.924812
20141225,0,2687.969925,2687.969925,2604.887218,2665.488722
20141226,0,2665.488722,2676.240602,2656.691729,2659.62406
20141229,0,2660.601504,2675.263158,2658.646617,2669.398496
20141230,0,2665.488722,2671.353383,2648.87218,2659.62406
20141231,0,2666.466165,2666.466165,2646.917293,2651.804511
20150105,0,2656.691729,2656.691729,2617.593985,2623.458647
20150106,0,2628.345865,2636.165414,2564.81203,2570.676692
20150107,0,2580.451128,2591.203008,2565.789474,2583.383459
20150108,0,2580.451128,2597.067669,2576.541353,2592.180451
20150109,0,2592.180451,2601.954887,2577.518797,2588.270677
20150112,0,2589.24812,2600,2588.270677,2598.045113
20150113,0,2598.045113,2600.977444,2578.496241,2598.045113
20150114,0,2586.315789,2604.887218,2586.315789,2587.293233
20150115,0,2585.338346,2602.932331,2580.451128,2601.954887
20150116,0,2600,2632.255639,2595.112782,2623.458647
20150119,0,2629.323308,2652.781955,2619.548872,2640.075188
20150120,0,2639.097744,2646.917293,2633.233083,2641.052632
20150121,0,2643.007519,2661.578947,2641.052632,2649.849624
20150122,0,2651.804511,2652.781955,2611.729323,2633.233083
20150123,0,2629.323308,2642.030075,2620.526316,2625.413534
20150126,0,2634.210526,2642.030075,2600,2633.233083
20150127,0,2634.210526,2674.285714,2632.255639,2666.466165
20150128,0,2663.533835,2700.676692,2643.007519,2696.766917
20150129,0,2697.744361,2764.210526,2687.969925,2717.293233
20150130,0,2717.293233,2731.954887,2703.609023,2715.338346
20150202,0,2718.270677,2748.571429,2702.631579,2732.932331
20150203,0,2731.954887,2742.706767,2719.24812,2729.022556
20150204,0,2737.819549,2753.458647,2722.180451,2733.909774
20150205,0,2736.842105,2793.533835,2729.022556,2750.526316
20150206,0,2757.368421,2774.962406,2751.503759,2774.962406
20150209,0,2777.894737,2808.195489,2769.097744,2797.443609
20150210,0,2803.308271,2815.037594,2789.62406,2814.06015
20150211,0,2810.150376,2813.082707,2793.533835,2797.443609
20150212,0,2797.443609,2802.330827,2766.165414,2775.93985
20150213,0,2775.93985,2807.218045,2773.007519,2791.578947
20150216,0,2793.533835,2795.488722,2780.827068,2793.533835
20150217,0,2790.601504,2790.601504,2753.458647,2761.278195
20150225,0,2760.300752,2778.87218,2738.796992,2746.616541
20150226,0,2745.639098,2773.984962,2742.706767,2764.210526
20150227,0,2764.210526,2800.37594,2763.233083,2791.578947
20150302,0,2791.578947,2810.150376,2791.578947,2796.466165
20150303,0,2794.511278,2795.488722,2754.43609,2777.894737
20150304,0,2777.894737,2808.195489,2771.052632,2806.240602
20150305,0,2799.398496,2804.285714,2778.87218,2783.759398
20150306,0,2780.827068,2798.421053,2770.075188,2773.984962
20150309,0,2772.030075,2800.37594,2770.075188,2798.421053
20150310,0,2797.443609,2868.796992,2796.466165,2848.270677
20150311,0,2847.293233,2907.894737,2847.293233,2892.255639
20150312,0,2899.097744,2899.097744,2863.909774,2890.300752
20150313,0,2891.278195,2927.443609,2876.616541,2905.93985
20150316,0,2902.030075,2938.195489,2895.18797,2920.601504
20150317,0,2921.578947,2930.37594,2907.894737,2925.488722
20150318,0,2929.398496,2929.398496,2885.413534,2893.233083
20150319,0,2902.030075,2905.93985,2875.639098,2885.413534
20150320,0,2884.43609,2919.62406,2879.548872,2896.165414
20150323,0,2913.759398,2922.556391,2894.210526,2907.894737
20150324,0,2917.669173,2990.977444,2911.804511,2967.518797
20150325,0,2971.428571,2981.203008,2939.172932,2956.766917
20150326,0,2956.766917,2978.270677,2943.082707,2968.496241
20150327,0,2972.406015,3019.323308,2951.879699,3003.684211
20150330,0,3009.548872,3017.368421,2976.315789,3010.526316
20150331,0,3009.548872,3030.075188,2993.909774,3001.729323
20150401,0,2995.864662,2999.774436,2912.781955,2942.105263
20150402,0,2944.06015,2963.609023,2920.601504,2932.330827
20150403,0,2942.105263,2942.105263,2903.007519,2935.263158
20150407,0,2927.443609,2941.12782,2907.894737,2930.37594
20150408,0,2930.37594,2943.074236,2883.489925,2895.211429
20150409,0,2896.188221,2901.07218,2879.582757,2894.234637
20150410,0,2892.281053,2934.283108,2891.304261,2927.445564
20150413,0,2914.747268,2972.377995,2914.747268,2961.633283
20150414,0,2964.563659,2967.494035,2919.631228,2928.422356
20150415,0,2929.399148,2931.352732,2846.37183,2867.861253
20150416,0,2878.605965,2889.350677,2858.093333,2873.722005
20150417,0,2876.652381,2902.048972,2868.838045,2899.118596
20150420,0,2902.048972,2913.770476,2868.838045,2879.582757
20150421,0,2881.536341,2894.234637,2860.046917,2877.629173
20150422,0,2873.722005,2892.281053,2869.814837,2887.397093
20150423,0,2884.466717,2904.002556,2884.466717,2887.397093
20150424,0,2894.234637,2898.141805,2854.186165,2884.466717
20150427,0,2876.652381,2887.397093,2869.814837,2882.513133
20150428,0,2883.489925,2913.770476,2873.722005,2883.489925
20150429,0,2886.420301,2886.420301,2862.000501,2878.605965
20150430,0,2880.559549,2909.863308,2879.582757,2905.95614
20150504,0,2897.165013,2946.004612,2897.165013,2925.49198
20150505,0,2928.422356,2932.329524,2913.770476,2928.422356
20150506,0,2931.352732,2931.352732,2919.631228,2927.445564
20150507,0,2925.49198,2961.633283,2913.770476,2939.167068
20150508,0,2930.37594,2937.213484,2918.654436,2925.49198
20150511,0,2930.37594,2944.051028,2916.700852,2922.561604
20150512,0,2919.631228,2940.14386,2913.770476,2939.167068
20150513,0,2932.329524,2954.795739,2932.329524,2946.004612
20150514,0,2946.004612,2956.749323,2935.2599,2954.795739
20150515,0,2959.679699,2968.470827,2949.911779,2953.818947
20150518,0,2955.772531,2955.772531,2939.167068,2943.074236
20150519,0,2945.02782,2951.865363,2935.2599,2946.981404
20150520,0,2941.120652,2954.795739,2927.445564,2938.190276
20150521,0,2941.120652,2946.004612,2931.352732,2941.120652
20150522,0,2941.120652,2943.074236,2925.49198,2934.283108
20150525,0,2927.445564,2930.37594,2892.281053,2893.257845
20150526,0,2897.165013,2908.886516,2862.000501,2864.930877
20150527,0,2860.046917,2873.722005,2822.928822,2826.83599
20150528,0,2844.418246,2850.278997,2824.882406,2843.441454
20150529,0,2844.418246,2862.977293,2839.534286,2854.186165
20150601,0,2862.000501,2879.582757,2862.000501,2862.977293
20150602,0,2860.046917,2877.629173,2854.186165,2876.652381
20150603,0,2877.629173,2877.629173,2852.232581,2857.116541
20150604,0,2852.232581,2859.070125,2810.230526,2841.48787
20150605,0,2842.464662,2845.395038,2806.323358,2807.30015
20150608,0,2795.578647,2815.114486,2751.623008,2809.253734
20150609,0,2813.160902,2822.928822,2799.485815,2812.18411
20150610,0,2818.044862,2820.975238,2785.810727,2804.369774
20150611,0,2800.462607,2820.975238,2800.462607,2813.160902
20150612,0,2810.230526,2810.230526,2779.949975,2805.346566
20150615,0,2774.089223,2796.555439,2747.71584,2770.182055
20150616,0,2774.089223,2812.18411,2762.367719,2805.346566
20150617,0,2807.30015,2819.998446,2798.509023,2804.369774
20150618,0,2803.392982,2830.743158,2802.41619,2816.091278
20150619,0,2816.091278,2826.83599,2800.462607,2810.230526
20150623,0,2818.044862,2852.232581,2799.485815,2807.30015
20150624,0,2805.346566,2812.18411,2784.833935,2805.346566
20150625,0,2805.346566,2810.230526,2785.810727,2786.787519
20150626,0,2793.625063,2799.485815,2779.949975,2795.578647
20150629,0,2804.369774,2809.253734,2773.112431,2773.112431
20150630,0,2778.973183,2778.973183,2754.553383,2768.228471
20150701,0,2781.903559,2821.95203,2778.973183,2791.671479
20150702,0,2793.625063,2793.625063,2755.530175,2773.112431
20150703,0,2777.996391,2790.694687,2773.112431,2787.764311
20150706,0,2785.810727,2802.41619,2781.903559,2790.694687
20150707,0,2791.671479,2808.276942,2784.833935,2789.717895
20150708,0,2752.599799,2793.625063,2692.038697,2748.692632
20150709,0,2782.880351,2823.905614,2776.042807,2812.18411
20150710,0,2803.392982,2827.812782,2791.671479,2793.625063
20150713,0,2793.625063,2845.395038,2780.926767,2784.833935
20150714,0,2803.392982,2806.323358,2783.857143,2785.810727
20150715,0,2781.903559,2792.648271,2775.066015,2785.810727
20150716,0,2791.671479,2822.928822,2783.857143,2819.998446
20150717,0,2819.998446,2832.696742,2805.346566,2824.882406
20150720,0,2822.928822,2822.928822,2756.506967,2774.089223
20150721,0,2774.089223,2780.926767,2765.298095,2777.019599
20150722,0,2775.066015,2786.787519,2770.182055,2779.949975
20150723,0,2782.880351,2784.833935,2772.135639,2775.066015
20150724,0,2774.089223,2777.996391,2752.599799,2768.228471
20150727,0,2769.205263,2769.205263,2710.597744,2712.551328
20150728,0,2713.662119,2724.770028,2693.667883,2708.108165
20150729,0,2709.218956,2725.880819,2709.218956,2719.216074
20150730,0,2721.437655,2729.213192,2697.000256,2697.000256
20150731,0,2702.55421,2719.216074,2699.221838,2711.440537
20150803,0,2704.775792,2705.886583,2657.011784,2675.895229
20150804,0,2677.00602,2698.111047,2651.45783,2659.233366
20150805,0,2668.119693,2675.895229,2643.682294,2669.230484
