date,time,open,high,low,close
20230818,0,770,932.9,770,916.3
20230821,0,918,950,894.1,903.2
20230822,0,895.4,957,885,895.1
20230823,0,895,930.7,894.4,901.6
20230824,0,905,920.7,866,874.8
20230825,0,880,888,852,861.5
20230828,0,872.1,890,826.2,847.9
20230829,0,848.1,867.8,831.2,855.7
20230830,0,861.1,875,855.7,864
20230831,0,865,872,842.3,857.3
20230901,0,866.5,895.8,857.3,883.7
20230904,0,895,900,872.8,877.8
20230905,0,878,971.1,877.2,969
20230906,0,972,980.4,918,928.6
20230907,0,930,961,910,920.1
20230908,0,915,934.7,890.4,891
20230911,0,892.9,918.6,888.8,905.3
20230912,0,909,921.8,898,905.3
20230913,0,910,918.8,868.6,876.4
20230914,0,878,890.6,866,870.5
20230915,0,878,889.8,871.5,884.5
20230918,0,884.8,914.5,880,897.7
20230919,0,900,908.1,886,894.9
20230920,0,898,916,894,908.7
20230921,0,906,911.3,878.2,882
20230922,0,890,890,870,877.8
20230925,0,876.3,884.4,831.6,834.1
20230926,0,824,830,773.6,773.7
20230927,0,774.4,781.3,730.3,753.4
20230928,0,759.6,768,706.7,716.9
20231009,0,711,744.1,689,737
20231010,0,739.3,753,716.3,727.2
20231011,0,734,755.1,728,744
20231012,0,741,800.5,727.4,786.5
20231013,0,781,799.9,770.2,781.8
20231016,0,788,823,781.6,781.7
20231017,0,777.5,778,723.6,723.6
20231018,0,725,744,714,732.7
20231019,0,727.4,759.7,720,756.9
20231020,0,760,773.9,712,736.4
20231023,0,738.8,769.4,730.1,757.8
20231024,0,755,776.8,744.1,770.4
20231025,0,772.8,781.7,738.9,746.1
20231026,0,752,763,741.1,758.8
20231027,0,755,769,744.5,762.1
20231030,0,780,801,777,794
20231031,0,778,789.6,766.2,780.9
20231101,0,776,795,774.2,782.8
20231102,0,780,784.9,748,756.4
20231103,0,762.4,771.6,756.5,768.1
20231106,0,770,775.4,755,763.4
20231107,0,762.5,762.5,718,718.9
20231108,0,712,735.4,706,727.9
20231109,0,726,734.5,713.3,719.4
