date,time,open,high,low,close
20230818,0.090500000,837.9,864,834.7,851.6
20230818,0.091000000,851.3,868,846.5,848.8
20230818,0.091500000,849.2,895,848,885.4
20230818,0.092000000,885.4,898.4,881.1,895.2
20230818,0.092500000,895,900,888,897.6
20230818,0.093000000,898,906,892.3,902.5
20230818,0.093500000,902.5,918.7,900.8,917.8
20230818,0.094000000,917.8,920.5,914.3,917.8
20230818,0.094500000,917.7,925,915.5,923
20230818,0.095000000,923,932.9,921.6,930.5
20230818,0.095500000,930.6,931.2,891.3,902.9
20230818,0.100000000,903,914,900,912
20230818,0.100500000,912.1,914.9,906.3,912
20230818,0.101000000,912,920,906.5,917
20230818,0.103000000,917,924.7,915.7,916.1
20230818,0.103500000,916.2,917,905.5,913.4
20230818,0.104000000,913.4,915,906.7,909.7
20230818,0.104500000,909.6,911.4,901.5,908.1
20230818,0.105000000,908,910.9,907,908
20230818,0.105500000,908,914.2,906.8,913.6
20230818,0.110000000,913.6,914.9,910,912.5
20230818,0.110500000,912.3,915.6,911.5,912.2
20230818,0.111000000,912.3,913.6,905,907.5
20230818,0.111500000,907.3,910.4,907.3,908.5
20230818,0.112000000,908.4,912.3,907.4,911
20230818,0.112500000,911.1,913.3,908.4,910.6
20230818,0.133000000,910.7,911.5,908.7,910.3
20230818,0.133500000,910.3,910.7,905.5,907.9
20230818,0.134000000,907.8,908.4,894.3,898.6
20230818,0.134500000,898.8,902.5,898,900.3
20230818,0.135000000,900.2,902.1,886,886
20230818,0.135500000,885.5,894,885.5,890.9
20230818,0.140000000,891.1,894,883,885.7
20230818,0.140500000,885.5,885.9,869.2,876.6
20230818,0.141000000,876.6,885.1,876.2,884.3
20230818,0.141500000,884.3,890.7,878.7,889
20230818,0.142000000,889,899,885.6,898.1
20230818,0.142500000,898,902.3,896.6,898.5
20230818,0.143000000,898.5,908.5,893.1,907.3
20230818,0.143500000,907.1,909.8,900,900
20230818,0.144000000,900.3,914.9,898.7,914.9
20230818,0.144500000,914.9,917,908.3,910.3
20230818,0.145000000,910.2,922.7,909.1,921.3
20230818,0.145500000,921.4,930.5,916,916.3
20230821,0.090000000,918,924,895,902.2
20230821,0.090500000,902.2,950,894.1,935.3
20230821,0.091000000,936.3,946,917.9,925.5
20230821,0.091500000,924.3,932.2,914.5,923.4
20230821,0.092000000,923.1,934.7,921.3,931.7
20230821,0.092500000,932,933,924.6,927.5
20230821,0.093000000,927.7,934.4,923.3,929.5
20230821,0.093500000,929.5,948,927.6,935.1
20230821,0.094000000,934.7,935.2,929.2,931.5
20230821,0.094500000,931.4,931.8,927.1,931.8
20230821,0.095000000,931.6,931.8,913.2,917.9
20230821,0.095500000,917.6,923.9,917.5,921.4
20230821,0.100000000,921.4,922.7,901.8,908.7
20230821,0.100500000,908.3,914,903,911.6
20230821,0.101000000,911.6,916.9,908.7,910.2
20230821,0.103000000,910.6,917.5,907.8,907.8
20230821,0.103500000,907.9,919.5,907.9,918.5
20230821,0.104000000,918.5,920,913.5,915.7
20230821,0.104500000,915.7,924,915.6,922.8
20230821,0.105000000,922.5,924.8,917.6,923.4
20230821,0.105500000,923.6,926.6,915.3,916.6
20230821,0.110000000,916.9,917.6,912.1,912.6
20230821,0.110500000,912.6,916.3,910,915.5
20230821,0.111000000,915.4,918.5,911,916.4
20230821,0.111500000,916.4,916.6,905.2,914.5
20230821,0.112000000,914.5,916,908.9,914.9
20230821,0.112500000,915,916.8,908.6,910.6
20230821,0.133000000,910.6,915,908.1,914.2
20230821,0.133500000,914.1,916,913.4,915.7
20230821,0.134000000,915.7,915.7,907.3,911
20230821,0.134500000,910.9,918,907.5,917.2
20230821,0.135000000,917.1,917.1,908.8,910.7
20230821,0.135500000,910.6,915,909.5,913.2
20230821,0.140000000,913.3,916.3,911.8,913.3
20230821,0.140500000,913.4,915.6,911.1,915.6
20230821,0.141000000,915.8,916.8,912.5,914
20230821,0.141500000,914,918.3,914,915.5
20230821,0.142000000,915.4,924,913.9,920.9
20230821,0.142500000,920.8,922.4,918.4,921.3
20230821,0.143000000,921.4,924.2,919.8,923.2
20230821,0.143500000,923.2,924.9,904.5,908.4
20230821,0.144000000,908.4,911.1,900.1,902.9
20230821,0.144500000,903.2,910,900.3,902.9
20230821,0.145000000,902.9,907.5,899.1,904.6
20230821,0.145500000,903.6,906.6,898.5,903.2
20230822,0.090000000,895.4,899.9,885,896.4
20230822,0.090500000,896.6,898.7,891.7,892.2
20230822,0.091000000,892.3,897.3,892,897.3
20230822,0.091500000,896.9,907.2,896.9,905.3
20230822,0.092000000,906,909,902,905.1
20230822,0.092500000,905,911.2,901.8,907.2
20230822,0.093000000,907.2,910.7,906.3,908.3
20230822,0.093500000,908.3,908.3,905,907.4
20230822,0.094000000,907.1,907.1,903.1,905.3
20230822,0.094500000,905.5,908.5,904.5,908.1
20230822,0.095000000,908.3,908.9,904.1,905
20230822,0.095500000,905,912,904.6,910.8
20230822,0.100000000,910.7,912.8,906.8,910.9
20230822,0.100500000,911.1,918.1,910.9,915.3
20230822,0.101000000,915.3,925,915.3,923
20230822,0.103000000,923,930,919.5,921.7
20230822,0.103500000,921.8,924,919.4,920.4
20230822,0.104000000,920.4,923.9,920.2,921.8
20230822,0.104500000,922.1,928.5,919.7,928.5
20230822,0.105000000,928.1,928.4,925.9,927.2
20230822,0.105500000,927.4,943.1,927.2,942.4
20230822,0.110000000,942.6,951.1,938.9,942
20230822,0.110500000,942,955,941,949.4
20230822,0.111000000,949.8,957,947,950.5
20230822,0.111500000,950.4,955,947.5,952.8
20230822,0.112000000,952.5,952.8,936.2,937.3
20230822,0.112500000,937.6,943,935.3,941.4
20230822,0.133000000,943,946.2,941.3,942.6
20230822,0.133500000,942.7,943.6,940.4,942
20230822,0.134000000,942.1,943.1,940.8,942.6
20230822,0.134500000,942.6,942.9,931.6,934.1
