date,time,open,high,low,close
20181210,0,5600,5781,5550,5674
20181211,0,5618,5680,5497,5541
20181212,0,5580,5598,5513,5544
20181213,0,5519,5646,5475,5591
20181214,0,5647,5666,5583,5606
20181217,0,5592,5637,5566,5618
20181218,0,5588,5628,5570,5627
20181219,0,5579,5635,5551,5620
20181220,0,5628,5635,5564,5576
20181221,0,5561,5576,5320,5418
20181224,0,5380,5385,5306,5332
20181225,0,5200,5231,5128,5174
20181226,0,5200,5229,5128,5152
20181227,0,5301,5377,5135,5135
20181228,0,5141,5166,5088,5134
20190102,0,5105,5134,5046,5046
20190103,0,5093,5152,5068,5127
20190104,0,5150,5181,5094,5152
20190107,0,5167,5200,5125,5133
20190108,0,5140,5168,5066,5080
20190109,0,5136,5187,5111,5122
20190110,0,5162,5168,5087,5092
20190111,0,5080,5135,5067,5117
20190114,0,5125,5177,5096,5143
20190115,0,5141,5236,5129,5221
20190116,0,5225,5243,5193,5226
20190117,0,5210,5225,5155,5159
20190118,0,5139,5176,5117,5156
20190121,0,5219,5323,5188,5273
20190122,0,5273,5457,5260,5277
20190123,0,5240,5280,5222,5254
20190124,0,5239,5273,5206,5245
20190125,0,5275,5323,5232,5234
20190128,0,5254,5264,5175,5180
20190129,0,5150,5198,5136,5157
20190130,0,5181,5239,5171,5207
20190131,0,5230,5289,5229,5279
20190201,0,5290,5330,5265,5322
20190211,0,5295,5299,5216,5223
20190212,0,5245,5274,5228,5234
20190213,0,5200,5225,5151,5162
20190214,0,5173,5195,5135,5170
20190215,0,5159,5180,5092,5131
20190218,0,5170,5184,5032,5039
20190219,0,5046,5074,5007,5064
20190220,0,5069,5082,5044,5054
20190221,0,5104,5148,5084,5123
20190222,0,5123,5169,5116,5142
20190225,0,5157,5187,5120,5135
20190226,0,5098,5168,5084,5158
20190227,0,5170,5183,5145,5153
20190228,0,5170,5216,5154,5175
20190301,0,5195,5298,5186,5290
20190304,0,5285,5421,5265,5351
20190305,0,5320,5350,5304,5333
20190306,0,5325,5438,5312,5432
20190307,0,5412,5428,5303,5336
20190308,0,5281,5320,5254,5298
20190311,0,5330,5330,5242,5267
20190312,0,5276,5301,5253,5270
20190313,0,5266,5287,5226,5241
20190314,0,5257,5270,5216,5221
20190315,0,5189,5202,5112,5137
20190318,0,5120,5156,5115,5127
20190319,0,5143,5145,5093,5107
20190320,0,5110,5148,5089,5147
20190321,0,5164,5176,5147,5157
20190322,0,5153,5163,5111,5126
20190325,0,5100,5125,5057,5113
20190326,0,5125,5130,5061,5063
20190327,0,5050,5076,4976,4983
20190328,0,4954,4980,4810,4814
20190329,0,4812,4909,4812,4842
20190401,0,4863,4889,4813,4875
20190402,0,4875,4900,4828,4843
20190403,0,4830,4876,4829,4853
20190404,0,4841,4916,4761,4898
20190408,0,4950,4968,4841,4857
20190409,0,4856,4910,4852,4873
20190410,0,4870,4905,4855,4871
20190411,0,4871,4879,4805,4827
20190412,0,4816,4836,4763,4828
20190415,0,4850,4855,4742,4772
20190416,0,4765,4774,4677,4707
20190417,0,4707,4738,4695,4704
20190418,0,4700,4737,4658,4707
20190419,0,4715,4745,4710,4730
20190422,0,4733,4797,4718,4736
20190423,0,4736,4752,4714,4733
20190424,0,4723,4728,4665,4679
20190425,0,4682,4693,4622,4627
20190426,0,4664,4664,4520,4549
20190429,0,4542,4653,4539,4644
20190430,0,4646,4654,4612,4617
20190506,0,4587.660877,4621.889854,4563.211608,4592.550731
20190507,0,4588.638848,4620.911883,4588.638848,4608.198263
20190508,0,4593.528702,4632.647532,4593.528702,4629.71362
20190509,0,4629.71362,4634.603474,4587.660877,4598.418555
20190510,0,4602.330438,4656.118831,4594.506672,4614.066088
20190513,0,4609.176234,4614.066088,4479.106122,4481.062063
20190514,0,4470.304385,4510.401186,4310.895149,4339.256302
20190515,0,4351.969922,4393.044694,4340.234272,4356.859775
20190516,0,4351.969922,4417.493963,4332.410506,4384.242957
20190517,0,4393.044694,4400.86846,4297.203559,4306.983266
20190520,0,4308.939208,4373.485279,4297.203559,4322.630799
20190521,0,4318.718915,4366.639483,4308.939208,4349.036009
20190522,0,4347.080068,4367.617454,4260.040669,4309.917179
20190523,0,4312.851091,4329.476594,4276.666172,4306.005295
20190524,0,4300.137471,4427.273671,4298.181529,4424.339759
20190527,0,4429.229612,4462.480619,4392.066723,4403.802372
20190528,0,4417.493963,4424.339759,4329.476594,4359.793688
20190529,0,4360.771659,4419.449905,4359.793688,4390.110782
20190530,0,4374.463249,4403.802372,4356.859775,4386.198899
20190531,0,4386.198899,4429.229612,4367.617454,4393.044694
20190603,0,4393.044694,4400.86846,4283.511968,4317.740945
20190604,0,4330.454565,4388.15484,4307.961237,4347.080068
20190605,0,4351.969922,4361.749629,4234.613429,4247.327049
20190606,0,4233.635459,4285.467909,4218.965897,4272.754289
20190610,0,4315.785003,4322.630799,4270.798348,4290.357763
20190611,0,4291.335734,4325.564711,4273.73226,4310.895149
20190612,0,4310.895149,4334.366448,4265.908494,4287.423851
20190613,0,4277.644143,4317.740945,4264.930523,4306.005295
20190614,0,4312.851091,4325.564711,4235.5914,4273.73226
20190617,0,4263.952552,4294.269646,4256.128786,4273.73226
20190618,0,4282.533997,4344.146155,4269.820377,4319.696886
20190619,0,4331.432535,4405.758314,4319.696886,4360.771659
20190620,0,4361.749629,4393.044694,4352.947892,4388.15484
20190621,0,4400.86846,4415.538022,4325.564711,4339.256302
20190624,0,4350.01398,4477.15018,4349.036009,4466.392502
20190625,0,4465.414531,4492.797712,4413.58208,4431.185554
20190626,0,4437.053379,4454.656852,4375.44122,4441.943232
20190627,0,4435.097437,4477.15018,4378.375132,4392.066723
20190628,0,4395.000635,4418.471934,4287.423851,4310.895149
20190701,0,4315.785003,4366.639483,4283.511968,4344.146155
20190702,0,4351.969922,4425.317729,4306.983266,4402.824402
20190703,0,4391.088752,4398.912519,4292.313705,4339.256302
20190704,0,4337.30036,4386.198899,4300.137471,4378.375132
20190705,0,4381.309045,4416.515992,4356.859775,4389.132811
20190708,0,4387.176869,4407.714255,4322.630799,4337.30036
20190709,0,4337.30036,4350.01398,4148.552002,4148.552002
20190710,0,4136.816352,4183.758949,4058.578691,4171.045329
20190711,0,4171.045329,4214.076043,4120.190849,4186.692862
20190712,0,4195.494599,4198.428511,4147.574031,4179.847066
20190715,0,4177.891125,4226.789663,4169.089388,4201.362423
20190716,0,4213.098072,4220.921839,4151.485914,4183.758949
20190717,0,4194.516628,4279.600085,4185.714891,4263.952552
20190718,0,4272.754289,4296.225588,4223.855751,4273.73226
20190719,0,4273.73226,4443.899174,4254.172845,4397.934548
20190722,0,4389.132811,4472.260326,4324.58674,4387.176869
20190723,0,4395.978606,4443.899174,4296.225588,4296.225588
20190724,0,4292.313705,4350.991951,4273.73226,4331.432535
20190725,0,4335.344419,4384.242957,4329.476594,4347.080068
20190726,0,4356.859775,4389.132811,4307.961237,4365.661512
20190729,0,4372.507308,4483.018005,4372.507308,4460.524677
20190730,0,4466.392502,4607.220292,4402.824402,4423.361788
20190731,0,4429.229612,4465.414531,4386.198899,4395.978606
20190801,0,4401.846431,4416.515992,4332.410506,4347.080068
20190802,0,4347.080068,4362.7276,4244.393137,4311.87312
20190805,0,4313.83887,4329.564872,4201.791107,4229.311611
20190806,0,4229.311611,4291.232743,4216.534234,4284.352617
20190807,0,4277.472491,4289.266993,4250.934863,4278.455366
20190808,0,4273.540991,4302.044369,4244.054737,4298.112869
20190809,0,4300.078619,4363.965501,4238.157487,4363.965501
20190812,0,4365.931251,4420.972258,4349.222374,4389.520254
20190813,0,4393.451754,4409.177756,4367.897002,4380.674378
20190814,0,4378.708628,4467.167388,4355.119625,4378.708628
20190815,0,4373.794252,4435.715384,4353.153875,4435.715384
20190816,0,4430.801009,4503.533767,4417.040757,4479.944764
20190819,0,4481.910515,4515.328268,4450.458511,4475.030389
20190820,0,4477.979014,4497.636516,4454.390011,4485.842015
20190821,0,4483.876265,4500.585142,4412.126382,4489.773516
20190822,0,4498.619392,4521.225519,4448.492761,4473.064639
20190823,0,4470.116013,4496.653641,4427.852383,4467.167388
20190826,0,4457.338637,4553.660398,4442.59551,4542.848772
20190827,0,4546.780272,4559.557649,4481.910515,4495.670766
20190828,0,4497.636516,4545.797397,4452.424261,4535.968646
20190829,0,4538.917271,4578.232276,4498.619392,4504.516642
20190830,0,4515.328268,4550.711773,4485.842015,4497.636516
20190902,0,4497.636516,4544.814522,4490.756391,4540.883021
20190903,0,4543.831647,4549.728897,4488.79064,4503.533767
20190904,0,4501.568017,4515.328268,4466.184513,4508.448143
20190905,0,4519.259769,4619.51303,4503.533767,4557.591898
20190906,0,4557.591898,4653.913659,4556.609023,4596.906903
20190909,0,4596.906903,4687.331413,4591.009652,4685.365663
20190910,0,4694.211539,4727.629293,4640.153408,4664.725286
20190911,0,4666.691036,4703.057415,4617.54728,4698.143039
20190912,0,4693.228664,4707.971791,4643.102033,4672.588287
20190916,0,4906.512563,4907.495438,4776.773048,4907.495438
20190917,0,5061.806831,5273.12498,5034.286328,5230.861351
20190918,0,5238.724352,5243.638727,4935.998817,4995.954199
20190919,0,4934.033067,5029.371952,4914.375564,4975.313821
20190920,0,5027.406202,5040.183579,4909.461189,4923.22144
20190923,0,4918.307065,5002.834324,4894.718062,4985.142572
20190924,0,4985.142572,5030.354828,4942.878943,4993.005573
20190925,0,4993.005573,5091.293085,4978.262447,5084.412959
20190926,0,5081.464333,5100.138961,4833.779805,4896.683812
20190927,0,4895.700937,4912.409814,4830.83118,4884.889311
20190930,0,4855.403058,4930.101566,4855.403058,4897.666687
20191008,0,4845.574306,4902.581063,4838.694181,4893.735187
20191009,0,4888.820811,4904.546813,4864.248934,4889.803686
20191010,0,4894.718062,4920.272815,4716.817667,4731.560793
20191011,0,4727.629293,4753.184046,4636.221907,4691.262914
20191014,0,4683.399913,4699.125915,4585.112401,4605.752779
20191015,0,4588.061027,4629.341782,4543.831647,4576.266525
20191016,0,4590.026777,4599.855528,4501.568017,4505.499517
20191017,0,4505.499517,4525.15702,4437.681135,4475.030389
20191018,0,4481.910515,4517.294019,4474.047514,4488.79064
20191021,0,4493.705016,4506.482392,4385.588754,4437.681135
20191022,0,4435.715384,4468.150263,4419.989383,4451.441386
20191023,0,4464.218763,4485.842015,4425.886633,4452.424261
20191024,0,4457.338637,4517.294019,4444.56126,4509.431018
20191025,0,4519.259769,4560.540524,4491.739266,4500.585142
20191028,0,4512.379643,4594.941153,4502.550892,4541.865897
20191029,0,4551.694648,4570.369275,4455.372887,4477.979014
20191030,0,4473.064639,4535.968646,4448.492761,4509.431018
20191031,0,4509.431018,4515.328268,4473.064639,4496.653641
20191101,0,4486.82489,4496.653641,4427.852383,4487.807765
20191104,0,4494.687891,4516.311144,4460.287262,4465.201638
20191105,0,4479.944764,4505.499517,4454.390011,4476.013264
20191106,0,4491.739266,4497.636516,4393.451754,4395.417505
20191107,0,4393.451754,4412.126382,4330.547747,4379.691503
20191108,0,4391.486004,4407.212006,4355.119625,4361.999751
20191111,0,4357.085375,4400.33188,4334.479248,4374.777127
20191112,0,4378.708628,4445.544135,4351.188125,4438.66401
20191113,0,4442.59551,4530.071395,4427.852383,4459.304387
20191114,0,4467.167388,4521.225519,4437.681135,4520.242644
20191115,0,4526.139895,4563.489149,4483.876265,4492.722141
20191118,0,4487.807765,4546.780272,4441.612635,4502.550892
20191119,0,4504.516642,4522.208394,4475.030389,4514.345393
20191120,0,4507.465268,4535.968646,4447.509886,4523.191269
20191121,0,4523.191269,4566.437774,4470.116013,4472.081763
20191122,0,4472.081763,4517.294019,4390.503129,4425.886633
20191125,0,4426.869508,4450.458511,4405.246256,4442.59551
20191126,0,4444.56126,4482.89339,4404.263381,4413.109257
20191127,0,4413.109257,4507.465268,4403.280506,4466.184513
20191128,0,4477.979014,4561.523399,4468.150263,4559.557649
20191129,0,4566.437774,4588.061027,4508.448143,4521.225519
20191202,0,4521.225519,4579.215151,4496.653641,4569.3864
