date,time,open,high,low,close
20131206,0,74.8,76,71.8,72.05
20131209,0,71.5,76.05,71.4,74.15
20131210,0,73.95,74.85,72.3,72.6
20131211,0,72.6,73.5,72.35,73.4
20131212,0,73.5,75.8,73.3,75.35
20131213,0,75.15,75.85,73.8,74.8
20131216,0,74.9,75.65,73.6,74.7
20131217,0,74.9,75.35,74.2,74.2
20131218,0,74,74.4,72.95,73.6
20131219,0,73.6,73.85,72.75,72.95
20131220,0,72.95,73.65,72.6,73.3
20131223,0,73.1,75.7,72.85,74.8
20131224,0,75,75.35,74.25,74.55
20131225,0,74.55,75.1,74.05,74.2
20131226,0,74.25,74.3,71.7,71.7
20131227,0,71.5,73.05,71.4,72.5
20131230,0,72.1,72.3,69.35,70.9
20131231,0,70.7,70.85,69.6,69.85
20140102,0,69.8,70.05,69.05,69.4
20140103,0,69.3,69.95,68.8,69.55
20140106,0,69.45,69.55,66.65,66.75
20140107,0,66.75,67.25,66.1,66.85
20140108,0,66.5,66.8,65.2,65.75
20140109,0,65.25,68.4,65.2,66.6
20140110,0,66.35,67.4,66.1,66.95
20140113,0,67.05,67.35,66.1,66.65
20140114,0,66.75,68.1,66.3,67.8
20140115,0,67.7,67.95,67,67.25
20140116,0,67.35,67.35,64.75,64.75
20140117,0,64.7,65.4,64.5,65.15
20140120,0,65.2,66.7,65,65.7
20140121,0,65.65,65.7,64.9,65.1
20140122,0,64.95,66.1,64.8,65.15
20140123,0,64.95,65.95,64.85,65.8
20140124,0,65.65,66.45,65.55,65.75
20140127,0,65.9,65.9,64.85,65.2
20140128,0,65.1,65.5,62.7,63.9
20140129,0,63.85,65.5,63.2,65.4
20140130,0,65.5,65.65,64.35,64.8
20140207,0,64.8,66,64.8,65.1
20140210,0,65.05,65.7,64.45,65.65
20140211,0,65.8,66.8,65.45,65.55
20140212,0,65.55,65.7,64.2,65.2
20140213,0,65.15,65.85,64.85,65.3
20140214,0,65.4,65.7,65.1,65.4
20140217,0,65.6,67.25,65.55,66.5
20140218,0,66.45,67.1,65,65.4
20140219,0,65.45,65.65,64,64.55
20140220,0,64.65,65.05,64.35,64.75
20140221,0,64.7,64.95,64.45,64.8
20140224,0,64.85,64.9,63.1,64.55
20140225,0,64.5,65.1,64.15,64.2
20140226,0,64.2,64.6,63.4,64.15
20140227,0,64.1,64.4,62.4,62.7
20140228,0,62.7,63.1,61.9,62
20140303,0,62,62.35,61.55,62
20140304,0,62,63.1,61.35,62.4
20140305,0,62.55,63.35,62.4,62.8
