date,time,open,high,low,close
20040825,0,2175,2222,2151,2184
20040826,0,2184,2187,2155,2168
20040827,0,2160,2166,2140,2148
20040830,0,2152,2158,2143,2147
20040831,0,2136,2138,2119,2123
20040901,0,2125,2140,2112,2134
20040902,0,2152,2157,2142,2144
20040903,0,2150,2153,2133,2134
20040906,0,2133,2136,2119,2122
20040907,0,2114,2122,2098,2099
20040908,0,2100,2112,2088,2107
20040909,0,2104,2105,2080,2090
20040910,0,2117,2122,2106,2112
20040913,0,2092,2101,2083,2099
20040914,0,2104,2105,2095,2099
20040915,0,2109,2110,2093,2094
20040916,0,2090,2097,2086,2094
20040917,0,2096,2100,2092,2094
20040920,0,2110,2110,2098,2106
20040921,0,2110,2114,2098,2098
20040922,0,2106,2142,2105,2124
20040923,0,2136,2138,2116,2120
20040924,0,2127,2133,2114,2115
20040927,0,2125,2138,2121,2128
20040928,0,2138,2150,2133,2139
20040929,0,2139,2142,2132,2135
20040930,0,2122,2128,2115,2119
20041008,0,2150,2226,2150,2226
20041011,0,2250,2345,2250,2322
20041012,0,2345,2350,2204,2270
20041013,0,2254,2273,2224,2236
20041014,0,2255,2280,2190,2235
20041015,0,2275,2285,2242,2250
20041018,0,2255,2288,2246,2269
20041019,0,2220,2225,2168,2177
20041020,0,2185,2194,2161,2179
20041021,0,2248,2250,2223,2230
20041022,0,2235,2237,2215,2223
20041025,0,2241,2283,2235,2280
20041026,0,2241,2245,2212,2215
20041027,0,2251,2259,2235,2235
20041028,0,2132,2163,2132,2160
20041029,0,2130,2167,2130,2166
20041101,0,2198,2199,2179,2183
20041102,0,2150,2177,2148,2177
20041103,0,2171,2263,2163,2239
20041104,0,2238,2257,2214,2217
20041105,0,2188,2208,2182,2199
20041108,0,2203,2217,2194,2197
20041109,0,2200,2210,2186,2191
20041112,0,2169,2178,2151,2177
20041115,0,2166,2175,2156,2158
20041116,0,2155,2165,2141,2160
20041117,0,2145,2156,2145,2146
20041118,0,2162,2166,2153,2153
20041119,0,2143,2152,2136,2139
20041122,0,2171,2171,2157,2166
20041123,0,2160,2163,2146,2152
20041124,0,2150,2157,2147,2153
20041125,0,2151,2175,2151,2171
20041126,0,2171,2178,2170,2172
20041129,0,2180,2180,2163,2169
20041130,0,2175,2184,2171,2174
20041201,0,2165,2165,2145,2153
20041202,0,2100,2109,2086,2100
20041203,0,2074,2075,2062,2073
20041206,0,2075,2085,2072,2084
20041207,0,2084,2090,2078,2089
20041208,0,2070,2091,2068,2088
20041209,0,2092,2098,2075,2085
20041210,0,2090,2092,2075,2078
