date,time,open,high,low,close
20110418,0,2233,2388,2233,2381
20110419,0,2375,2384,2320,2336
20110420,0,2350,2395,2328,2343
20110421,0,2353,2363,2323,2335
20110422,0,2336,2351,2297,2330
20110425,0,2340,2359,2317,2329
20110426,0,2315,2329,2303,2322
20110427,0,2332,2339,2315,2320
20110428,0,2330,2347,2326,2337
20110429,0,2337,2343,2323,2329
20110503,0,2330,2354,2326,2344
20110504,0,2341,2346,2320,2329
20110505,0,2309,2319,2293,2308
20110506,0,2255,2289,2255,2271
20110509,0,2280,2284,2273,2280
20110510,0,2285,2288,2275,2287
20110511,0,2293,2338,2286,2314
20110512,0,2290,2352,2288,2344
20110513,0,2360,2444,2353,2419
20110516,0,2415,2423,2396,2407
20110517,0,2414,2417,2371,2391
20110518,0,2400,2423,2370,2372
20110519,0,2394,2394,2363,2367
20110520,0,2364,2392,2362,2376
20110523,0,2388,2389,2350,2357
20110524,0,2356,2380,2345,2380
20110525,0,2382,2385,2366,2375
20110526,0,2385,2398,2377,2378
20110527,0,2379,2380,2351,2371
20110530,0,2370,2382,2360,2365
20110531,0,2370,2378,2361,2364
20110601,0,2370,2375,2357,2359
20110602,0,2351,2363,2337,2339
20110603,0,2340,2344,2320,2326
20110607,0,2321,2341,2312,2331
20110608,0,2338,2338,2320,2326
20110609,0,2330,2333,2318,2318
20110610,0,2324,2324,2306,2311
20110613,0,2306,2321,2295,2320
20110614,0,2313,2353,2313,2334
20110615,0,2339,2342,2321,2323
20110616,0,2315,2321,2299,2307
20110617,0,2310,2320,2304,2307
20110620,0,2306,2310,2280,2281
20110621,0,2288,2300,2270,2295
20110622,0,2290,2296,2283,2288
20110623,0,2287,2322,2280,2318
20110624,0,2318,2323,2300,2302
20110627,0,2296,2318,2291,2308
20110628,0,2316,2338,2302,2303
20110629,0,2310,2313,2288,2296
20110630,0,2299,2312,2296,2309
20110701,0,2308,2317,2295,2296
20110704,0,2299,2325,2293,2316
20110705,0,2317,2322,2306,2315
20110706,0,2321,2345,2316,2342
20110707,0,2340,2348,2307,2311
20110708,0,2316,2322,2302,2307
20110711,0,2303,2316,2302,2304
20110712,0,2306,2315,2290,2297
20110713,0,2304,2313,2300,2310
20110714,0,2316,2316,2297,2305
20110715,0,2303,2309,2298,2303
20110718,0,2307,2314,2303,2305
20110719,0,2306,2310,2302,2305
20110720,0,2308,2314,2296,2298
20110721,0,2300,2300,2283,2286
20110722,0,2279,2293,2276,2286
20110725,0,2285,2298,2282,2286
20110726,0,2290,2293,2280,2289
20110727,0,2293,2293,2283,2284
20110728,0,2283,2294,2280,2285
20110729,0,2288,2291,2284,2285
20110801,0,2287,2288,2282,2285
20110802,0,2285,2287,2282,2285
20110803,0,2286,2288,2283,2285
20110804,0,2285,2305,2282,2303
20110805,0,2295,2312,2285,2297
20110808,0,2290,2290,2266,2270
20110809,0,2260,2260,2180,2229
20110810,0,2240,2250,2231,2234
20110811,0,2214,2236,2214,2229
20110812,0,2244,2244,2220,2225
20110815,0,2226,2229,2193,2197
20110816,0,2197,2197,2162,2167
20110817,0,2159,2175,2149,2156
20110818,0,2156,2162,2131,2139
20110819,0,2131,2131,2106,2108
20110822,0,2101,2110,2055,2057
20110823,0,2059.752453,2064.339875,1965.251561,1977.178858
20110824,0,1986.353702,2010.208296,1971.673952,2006.538359
20110825,0,2006.538359,2034.06289,1998.280999,2032.227921
20110826,0,2027.6405,2042.32025,2023.970562,2030.392953
20110829,0,2035.897859,2036.815343,2017.548171,2026.723015
20110830,0,2030.392953,2037.732828,2023.970562,2030.392953
20110831,0,2036.815343,2066.174844,2034.06289,2057
20110901,0,2059.752453,2063.422391,2050.577609,2053.330062
20110902,0,2053.330062,2054.247547,2023.053078,2032.227921
20110905,0,2027.6405,2048.74264,2023.970562,2034.980375
20110906,0,2029.475468,2062.504906,2029.475468,2057.917484
20110907,0,2057.917484,2068.927297,2053.330062,2063.422391
20110908,0,2064.339875,2069.844781,2052.412578,2053.330062
20110909,0,2053.330062,2058.834969,2048.74264,2057.917484
20110913,0,2064.339875,2065.25736,2045.990187,2047.825156
20110914,0,2051.495094,2052.412578,2030.392953,2038.650312
20110915,0,2041.402765,2053.330062,2040.485281,2045.990187
20110916,0,2052.412578,2059.752453,2042.32025,2057.917484
20110919,0,2055.165031,2059.752453,2034.06289,2036.815343
20110920,0,2028.557984,2035.897859,2013.878234,2030.392953
20110921,0,2028.557984,2059.752453,2028.557984,2048.74264
20110922,0,2037.732828,2037.732828,1986.353702,2009.290812
20110923,0,1972.591436,2006.538359,1954.241748,1964.334077
20110926,0,1968.004014,1972.591436,1901.027654,1901.945138
20110927,0,1915.707404,1941.396967,1915.707404,1932.222123
20110928,0,1935.892061,1938.644514,1902.862623,1914.78992
20110929,0,1880.842997,1880.842997,1836.803747,1855.153434
20110930,0,1862.49331,1872.585638,1858.823372,1869.833185
20111010,0,1886.347904,1914.78992,1871.668153,1877.17306
20111011,0,1889.100357,1903.780107,1882.677966,1884.512935
20111012,0,1888.182872,1895.522748,1873.503122,1892.770294
20111013,0,1892.770294,1896.440232,1883.59545,1890.935326
20111014,0,1886.347904,1893.687779,1882.677966,1887.265388
20111017,0,1890.935326,1895.522748,1845.978591,1849.648528
20111018,0,1844.143622,1844.143622,1819.371543,1823.041481
20111019,0,1837.721231,1839.5562,1810.196699,1818.454059
20111020,0,1790.012043,1798.269402,1732.210526,1734.045495
20111021,0,1741.38537,1765.239964,1735.880464,1760.652542
20111024,0,1779.919715,1822.123996,1749.64273,1799.186887
20111025,0,1798.269402,1840.473684,1791.847012,1805.609277
20111026,0,1789.094558,1815.701606,1789.094558,1805.609277
20111027,0,1807.444246,1814.784121,1802.856824,1809.279215
20111028,0,1834.968778,1849.648528,1811.114184,1816.61909
20111031,0,1816.61909,1817.536574,1790.012043,1798.269402
20111101,0,1793.68198,1808.361731,1785.424621,1793.68198
20111102,0,1771.662355,1790.012043,1762.487511,1786.342105
20111103,0,1776.249777,1786.342105,1773.497324,1775.332293
20111104,0,1797.351918,1807.444246,1786.342105,1804.691793
20111107,0,1799.186887,1805.609277,1794.599465,1800.104371
20111108,0,1801.93934,1819.371543,1801.93934,1814.784121
20111109,0,1821.206512,1825.793934,1808.361731,1815.701606
20111110,0,1732.210526,1802.856824,1732.210526,1785.424621
20111111,0,1789.094558,1870.750669,1789.094558,1870.750669
20111114,0,1880.842997,1888.182872,1854.23595,1861.575825
20111115,0,1851.483497,1911.119982,1844.143622,1869.833185
20111116,0,1862.49331,1879.925513,1845.061106,1848.731044
20111117,0,1857.905888,1875.338091,1845.978591,1856.070919
20111118,0,1840.473684,1852.400981,1829.463872,1843.226137
20111121,0,1836.803747,1856.070919,1823.041481,1828.546387
20111122,0,1823.041481,1834.051293,1819.371543,1825.793934
20111123,0,1822.123996,1829.463872,1809.279215,1810.196699
20111124,0,1816.61909,1816.61909,1790.012043,1809.279215
20111125,0,1803.774309,1814.784121,1796.434434,1801.021855
20111128,0,1812.031668,1814.784121,1791.847012,1801.021855
20111129,0,1801.93934,1812.031668,1793.68198,1809.279215
20111130,0,1811.114184,1861.575825,1808.361731,1820.289028
20111201,0,1862.49331,1880.842997,1829.463872,1840.473684
20111202,0,1839.5562,1839.5562,1826.711418,1830.381356
20111205,0,1833.133809,1836.803747,1827.628903,1834.968778
20111206,0,1831.29884,1831.29884,1793.68198,1811.114184
20111207,0,1812.031668,1815.701606,1806.526762,1815.701606
20111208,0,1807.444246,1807.444246,1793.68198,1805.609277
20111209,0,1803.794595,1818.312056,1796.535864,1807.42396
20111212,0,1812.868008,1812.868008,1774.759672,1776.574354
20111213,0,1777.481696,1782.018402,1762.964234,1779.296378
20111214,0,1776.574354,1778.389037,1761.149552,1768.408282
20111215,0,1742.095383,1756.612845,1733.929311,1747.539431
20111216,0,1758.427527,1787.462451,1750.261455,1785.647768
20111219,0,1787.462451,1791.091816,1772.037648,1785.647768
20111220,0,1787.462451,1801.979912,1782.925744,1791.091816
20111221,0,1801.072571,1803.794595,1791.091816,1793.81384
20111222,0,1792.906499,1794.721181,1777.481696,1793.81384
20111223,0,1793.81384,1794.721181,1785.647768,1786.555109
20111226,0,1789.277133,1796.535864,1770.222965,1774.759672
20111227,0,1774.759672,1780.20372,1770.222965,1774.759672
20111228,0,1779.296378,1808.331301,1777.481696,1799.257888
20111229,0,1790.184475,1802.887253,1789.277133,1800.165229
20111230,0,1806.516619,1821.03408,1802.887253,1814.682691
20120104,0,1831.014835,1831.014835,1805.609277,1805.609277
20120105,0,1807.42396,1813.77535,1794.721181,1813.77535
20120106,0,1807.42396,1853.698369,1807.42396,1845.532297
20120109,0,1841.902931,1850.976345,1837.366225,1844.624955
20120110,0,1846.439638,1859.142417,1833.736859,1849.161662
20120111,0,1851.883686,1883.640633,1848.254321,1872.752537
20120112,0,1869.123172,1878.196585,1865.493806,1874.56722
20120113,0,1870.937854,1892.714047,1850.976345,1851.883686
20120116,0,1841.902931,1861.864441,1836.458883,1855.513051
20120117,0,1860.049758,1883.640633,1851.883686,1873.659878
20120118,0,1879.103926,1885.455316,1865.493806,1872.752537
20120119,0,1876.381902,1899.972777,1870.937854,1880.011268
20120120,0,1880.918609,1889.084681,1876.381902,1879.103926
20120130,0,1881.82595,1921.74897,1878.196585,1894.528729
20120131,0,1899.972777,1908.138849,1892.714047,1900.880119
20120201,0,1900.880119,1903.602143,1882.733292,1887.269999
20120202,0,1888.17734,1898.158095,1880.918609,1889.084681
20120203,0,1887.269999,1897.250753,1880.011268,1890.899364
20120206,0,1900.880119,1925.378335,1893.621388,1915.39758
20120207,0,1915.39758,1924.470994,1897.250753,1898.158095
20120208,0,1899.972777,1919.934287,1899.972777,1915.39758
20120209,0,1909.046191,1927.193018,1885.455316,1889.992023
20120210,0,1894.528729,1899.972777,1879.103926,1882.733292
20120213,0,1887.269999,1887.269999,1873.659878,1879.103926
20120214,0,1880.011268,1881.82595,1870.937854,1871.845196
20120215,0,1874.56722,1883.640633,1868.21583,1869.123172
20120216,0,1861.864441,1871.845196,1847.346979,1855.513051
20120217,0,1861.864441,1868.21583,1852.791027,1853.698369
20120220,0,1862.771782,1870.937854,1856.420393,1860.049758
20120221,0,1860.9571,1872.752537,1857.327734,1870.030513
20120222,0,1878.196585,1879.103926,1870.937854,1875.474561
20120223,0,1873.659878,1874.56722,1868.21583,1873.659878
20120224,0,1877.289244,1884.547974,1870.030513,1873.659878
20120227,0,1877.289244,1891.806705,1877.289244,1888.17734
20120228,0,1887.269999,1893.621388,1886.362657,1891.806705
20120229,0,1889.084681,1898.158095,1888.17734,1897.250753
20120301,0,1893.621388,1893.621388,1880.918609,1880.918609
20120302,0,1888.17734,1903.602143,1882.733292,1896.343412
20120305,0,1894.528729,1899.065436,1874.56722,1874.56722
20120306,0,1871.845196,1877.289244,1869.123172,1872.752537
20120307,0,1860.9571,1867.308489,1851.883686,1853.698369
20120308,0,1855.513051,1866.401148,1855.513051,1862.771782
20120309,0,1863.679124,1878.196585,1862.771782,1874.56722
20120312,0,1876.381902,1877.289244,1860.9571,1863.679124
20120313,0,1864.586465,1870.937854,1863.679124,1870.030513
20120314,0,1874.56722,1876.381902,1842.810273,1843.717614
20120315,0,1837.366225,1850.069003,1825.570787,1833.736859
20120316,0,1841.902931,1842.810273,1823.756104,1831.014835
20120319,0,1835.551542,1836.458883,1813.77535,1821.03408
20120320,0,1823.756104,1840.088249,1818.312056,1836.458883
20120321,0,1832.829518,1849.161662,1832.829518,1849.161662
20120322,0,1849.161662,1852.791027,1836.458883,1849.161662
20120323,0,1848.254321,1859.142417,1843.717614,1857.327734
20120326,0,1856.420393,1864.586465,1852.791027,1854.60571
20120327,0,1860.049758,1861.864441,1851.883686,1852.791027
20120328,0,1850.976345,1850.976345,1837.366225,1839.180907
20120329,0,1838.273566,1839.180907,1833.736859,1837.366225
20120330,0,1833.736859,1839.180907,1833.736859,1838.273566
20120405,0,1833.736859,1835.551542,1826.478128,1832.829518
20120406,0,1825.570787,1831.922176,1821.03408,1822.848763
20120409,0,1824.663446,1824.663446,1812.868008,1813.77535
20120410,0,1806.516619,1816.497374,1806.516619,1816.497374
20120411,0,1810.145984,1822.848763,1810.145984,1821.03408
20120412,0,1817.404715,1823.756104,1806.516619,1809.238643
20120413,0,1813.77535,1814.682691,1795.628523,1796.535864
20120416,0,1790.524511,1798.253393,1785.371922,1789.665746
20120417,0,1789.665746,1792.24204,1785.371922,1787.948216
20120418,0,1790.524511,1790.524511,1765.620333,1766.479098
20120419,0,1763.044039,1766.479098,1757.032685,1764.761568
20120420,0,1763.902803,1773.349216,1758.750215,1765.620333
20120423,0,1766.479098,1769.055392,1721.82333,1726.117154
20120424,0,1725.258389,1733.846037,1721.82333,1729.552213
20120425,0,1730.410978,1736.422331,1714.094448,1733.846037
20120426,0,1730.410978,1735.563566,1726.975919,1734.704802
20120427,0,1738.139861,1741.57492,1725.258389,1725.258389
20120502,0,1731.269743,1731.269743,1719.247036,1722.682095
20120503,0,1720.105801,1730.410978,1709.800624,1712.376918
20120504,0,1700.354212,1718.388271,1700.354212,1717.529507
20120507,0,1712.376918,1720.105801,1705.5068,1714.953212
20120508,0,1716.670742,1716.670742,1688.331505,1690.049035
20120509,0,1687.47274,1699.495447,1684.896446,1694.342858
20120510,0,1694.342858,1702.930506,1689.19027,1700.354212
20120511,0,1698.636682,1700.354212,1675.450034,1692.625329
20120514,0,1697.777917,1697.777917,1624.782913,1633.370561
20120515,0,1635.946855,1638.523149,1616.195266,1629.076737
20120516,0,1623.065384,1627.359208,1604.172559,1605.031324
20120517,0,1613.618972,1619.630325,1599.878735,1617.054031
20120518,0,1611.901442,1614.477736,1597.302441,1605.031324
20120521,0,1611.042677,1625.641678,1609.325148,1617.912795
20120522,0,1623.924149,1627.359208,1611.042677,1617.912795
20120523,0,1601.596265,1609.325148,1588.714794,1595.584912
20120524,0,1593.008617,1601.596265,1589.573558,1599.878735
20120525,0,1598.161206,1604.172559,1589.573558,1603.313794
20120528,0,1607.607618,1621.347854,1602.45503,1617.054031
20120529,0,1611.901442,1623.065384,1611.042677,1619.630325
20120530,0,1615.336501,1615.336501,1604.172559,1609.325148
20120531,0,1599.019971,1606.748853,1595.584912,1603.313794
20120601,0,1601.596265,1605.031324,1595.584912,1596.443676
20120604,0,1588.714794,1588.714794,1536.330144,1538.047673
20120605,0,1547.494086,1560.375557,1544.059026,1550.07038
20120606,0,1547.494086,1562.093086,1547.494086,1559.516792
20120607,0,1565.528145,1571.539499,1550.07038,1556.081733
20120608,0,1561.234322,1561.234322,1526.024967,1532.895085
20120611,0,1544.917791,1561.234322,1538.906438,1546.635321
20120612,0,1532.895085,1533.753849,1501.120789,1507.132142
20120613,0,1507.990907,1508.849672,1489.956847,1499.403259
20120614,0,1493.391906,1507.132142,1481.3692,1487.380553
20120615,0,1494.250671,1501.120789,1487.380553,1500.262024
20120618,0,1510.567201,1511.425966,1494.250671,1501.979554
20120619,0,1496.826965,1508.849672,1496.826965,1501.120789
20120620,0,1505.414613,1518.296084,1503.697083,1515.71979
20120621,0,1498.544495,1504.555848,1483.086729,1487.380553
20120625,0,1482.227964,1491.674377,1456.465022,1458.182551
20120626,0,1461.61761,1463.33514,1438.430962,1452.171198
20120627,0,1455.606257,1459.041316,1437.572197,1441.866021
20120628,0,1442.724786,1447.018609,1417.820608,1425.549491
20120629,0,1413.526784,1436.713432,1392.91643,1431.560844
20120702,0,1450.453668,1473.640317,1416.103078,1473.640317
20120703,0,1477.93414,1492.533141,1464.193904,1486.521788
20120704,0,1489.956847,1520.872378,1480.510435,1504.555848
20120705,0,1499.403259,1522.589908,1498.544495,1520.872378
20120706,0,1515.71979,1523.448672,1503.697083,1513.143495
20120709,0,1501.979554,1507.132142,1490.815612,1493.391906
20120710,0,1485.663023,1513.143495,1485.663023,1489.098082
20120711,0,1485.663023,1492.533141,1474.499081,1482.227964
20120712,0,1485.663023,1532.895085,1477.93414,1527.742496
20120713,0,1534.612614,1540.623967,1514.00226,1530.31879
20120716,0,1535.471379,1535.471379,1481.3692,1484.804259
20120717,0,1488.239318,1490.815612,1450.453668,1457.323786
20120718,0,1466.649302,1472.583721,1442.911626,1464.953754
20120719,0,1472.583721,1478.51814,1462.410431,1464.953754
20120720,0,1469.192625,1469.192625,1410.696207,1410.696207
20120723,0,1386.110757,1392.045176,1349.656468,1353.895339
20120724,0,1347.960919,1385.262983,1343.722049,1371.698596
20120725,0,1364.916403,1375.937467,1313.202179,1325.071017
20120726,0,1336.092081,1353.047564,1305.572211,1340.330952
20120727,0,1345.417597,1358.981983,1326.766565,1356.438661
