date,time,open,high,low,close
20131108,0,4050,4078,3970,3976
20131111,0,3982,3983,3932,3941
20131112,0,3940,3970,3932,3951
20131113,0,3946,3970,3935,3952
20131114,0,3958,3963,3939,3957
20131115,0,3955,4015,3954,4013
20131118,0,4015,4039,4003,4029
20131119,0,4025,4036,4012,4023
20131120,0,4025,4048,4016,4036
20131121,0,4039,4039,4005,4010
20131122,0,4012,4040,4006,4018
20131125,0,4021,4178,4021,4168
20131126,0,4170,4180,4145,4162
20131127,0,4166,4174,4123,4138
20131128,0,4138,4193,4138,4174
20131129,0,4179,4185,4156,4172
20131202,0,4173,4190,4151,4162
20131203,0,4160,4196,4140,4163
20131204,0,4166,4176,4150,4153
20131205,0,4155,4181,4149,4159
20131206,0,4160,4180,4109,4131
20131209,0,4138,4150,4130,4134
20131210,0,4143,4190,4134,4155
20131211,0,4161,4175,4149,4155
20131212,0,4159,4172,4144,4153
20131213,0,4147,4157,4090,4101
20131216,0,4111,4119,4082,4088
20131217,0,4091,4125,4091,4107
20131218,0,4101,4122,4094,4098
20131219,0,4093,4093,3962,3989
20131220,0,3971,4000,3967,3982
20131223,0,3957,3973,3933,3969
20131224,0,3963,3994,3961,3982
20131225,0,3985,4023,3980,3995
20131226,0,4000,4017,3958,3973
20131227,0,3972,3993,3965,3968
20131230,0,3970,4006,3967,3984
20131231,0,3981,4000,3939,3951
20140102,0,3951,3978,3941,3975
20140103,0,3998,4036,3980,4015
20140106,0,4005,4024,3940,3943
20140107,0,3832,3919,3832,3865
20140108,0,3869,3884,3843,3857
20140109,0,3850,3880,3808,3826
20140110,0,3822,3847,3815,3832
20140113,0,3830,3860,3816,3826
20140114,0,3834,3875,3827,3865
20140115,0,3866,3866,3820,3828
20140116,0,3835,3837,3766,3770
20140117,0,3770,3785,3751,3778
20140120,0,3772,3808,3772,3781
20140121,0,3771,3772,3725,3734
20140122,0,3730,3731,3666,3696
20140123,0,3688,3721,3686,3706
20140124,0,3700,3718,3676,3703
20140127,0,3688,3735,3685,3726
20140128,0,3710,3762,3710,3729
20140129,0,3732,3759,3714,3728
20140130,0,3727,3752,3724,3741
20140207,0,3741,3780,3693,3697
20140210,0,3687,3750,3676,3739
20140211,0,3740,3767,3718,3720
20140212,0,3719,3732,3701,3719
20140213,0,3730,3749,3720,3730
20140214,0,3735,3834,3708,3831
20140217,0,3840,3859,3816,3840
20140218,0,3842,3866,3822,3851
20140219,0,3868,3876,3838,3850
20140220,0,3845,3850,3777,3785
20140221,0,3780,3798,3755,3781
20140224,0,3785,3817,3756,3795
20140225,0,3790,3802,3680,3687
20140226,0,3680,3710,3630,3697
20140227,0,3708,3726,3682,3693
20140228,0,3700,3720,3680,3720
20140303,0,3731,3794,3731,3789
20140304,0,3789,3849,3780,3847
20140305,0,3868,3880,3833,3870
20140306,0,3875,3879,3835,3855
20140307,0,3862,4008,3837,4008
20140310,0,4016,4090,3999,4080
20140311,0,4080,4138,4066,4117
20140312,0,4102,4126,4073,4115
20140313,0,4115,4262,4106,4236
20140314,0,4236,4266,4180,4218
20140317,0,4236,4240,4048,4048
20140318,0,4046.169982,4122.115732,4031.529837,4112.965642
20140319,0,4124.860759,4142.245931,4097.410488,4117.540687
20140320,0,4124.860759,4135.840868,4088.260398,4134.925859
20140321,0,4145.905967,4216.361664,4120.285714,4194.401447
20140324,0,4199.891501,4213.616637,4164.206148,4197.146474
20140325,0,4198.061483,4209.041591,4175.186257,4194.401447
20140326,0,4195.316456,4247.471971,4155.056058,4231.916817
20140327,0,4235.576854,4255.707052,4218.191682,4238.321881
20140328,0,4245.641953,4249.301989,4190.74141,4225.511754
20140331,0,4210.871609,4217.276673,4181.59132,4205.381555
20140401,0,4209.041591,4252.962025,4192.571429,4205.381555
20140402,0,4209.041591,4223.681736,4163.291139,4180.676311
20140403,0,4163.291139,4231.916817,4154.141049,4222.766727
20140404,0,4213.616637,4236.491863,4210.871609,4231.916817
20140408,0,4231.916817,4295.96745,4231.916817,4284.987342
20140409,0,4289.562387,4308.777577,4252.047016,4265.772152
20140410,0,4272.177215,4315.18264,4265.772152,4307.862568
20140411,0,4305.117541,4315.18264,4277.667269,4307.862568
20140414,0,4302.372514,4330.737794,4264.857143,4284.987342
20140415,0,4289.562387,4305.117541,4269.432188,4303.287523
20140416,0,4309.692586,4328.907776,4278.582278,4324.332731
20140417,0,4327.992767,4381.063291,4306.947559,4370.083183
20140418,0,4373.743219,4398.448463,4356.358047,4394.788427
20140421,0,4410.34358,4501.844485,4402.108499,4498.184448
20140422,0,4503.674503,4509.164557,4467.074141,4493.609403
20140423,0,4493.609403,4502.759494,4447.858951,4492.694394
20140424,0,4492.694394,4516.484629,4426.813743,4446.943942
20140425,0,4439.62387,4470.734177,4429.55877,4460.669078
20140428,0,4460.669078,4543.019892,4460.669078,4533.869801
20140429,0,4537.529837,4548.509946,4493.609403,4522.889693
20140430,0,4529.294756,4574.130199,4515.56962,4572.300181
20140505,0,4593.345389,4609.815552,4557.660036,4584.195298
20140506,0,4588.770344,4602.495479,4570.470163,4601.58047
20140507,0,4602.495479,4632.690778,4579.620253,4629.94575
20140508,0,4633.605787,4680.271248,4588.770344,4592.43038
20140509,0,4593.345389,4619.880651,4575.960217,4617.135624
20140512,0,4637.265823,4711.381555,4629.94575,4710.466546
20140513,0,4711.381555,4748.896926,4698.571429,4747.981917
20140514,0,4757.132007,4762.622061,4725.106691,4752.556962
20140515,0,4748.896926,4791.902351,4722.361664,4790.987342
20140516,0,4778.177215,4829.417722,4759.877034,4827.587703
20140519,0,4800.137432,4810.202532,4698.571429,4727.851718
20140520,0,4727.851718,4833.077758,4723.276673,4818.437613
20140521,0,4800.137432,4812.947559,4637.265823,4662.886076
20140522,0,4662.886076,4682.101266,4618.965642,4637.265823
20140523,0,4635.435805,4672.951175,4598.835443,4658.311031
20140526,0,4600.665461,4602.495479,4546.679928,4553.084991
20140527,0,4547.594937,4601.58047,4538.444846,4583.280289
20140528,0,4576.875226,4643.670886,4566.810127,4597.005425
20140529,0,4583.280289,4616.220615,4561.320072,4602.495479
20140530,0,4604.325497,4623.540687,4501.844485,4509.164557
20140603,0,4446.943942,4494.524412,4444.198915,4474.394213
20140604,0,4482.629295,4534.78481,4480.799277,4525.63472
20140605,0,4523.804702,4555.830018,4509.164557,4540.274864
20140606,0,4543.934901,4648.245931,4538.444846,4647.330922
