date,time,open,high,low,close
20230721,0,238900,238900,214150,215100
20230724,0,214500,214700,209000,211400
20230725,0,211000,225900,211000,225900
20230726,0,226100,240450,223050,227800
20230727,0,234000,234100,223000,224900
20230728,0,223800,230450,222050,227900
20230731,0,228300,232850,227850,228050
20230801,0,229000,230000,225700,228400
20230802,0,228450,230350,227950,228550
20230803,0,226000,230050,224600,229650
20230804,0,231000,232600,228400,228950
20230807,0,227500,228800,219500,219800
20230808,0,219200,221450,216300,217000
20230809,0,217450,218200,215200,217800
20230810,0,217450,219000,210050,210500
20230811,0,210000,211700,205300,208800
20230814,0,207200,207500,196750,196750
20230815,0,196000,198050,193400,194500
20230816,0,194000,200300,192050,196250
20230817,0,196000,198350,192250,194000
20230818,0,195200,197700,194600,195750
20230821,0,198000,203500,196200,201150
20230822,0,201200,204350,197100,198300
20230823,0,198300,200200,195600,200000
20230824,0,200500,203000,197300,199450
20230825,0,199700,200950,194200,194250
20230828,0,195500,197900,183450,185700
20230829,0,185200,188700,180700,186350
20230830,0,188100,188800,184600,186100
20230831,0,186800,187200,180850,186850
20230901,0,187900,190650,185300,186750
20230904,0,187700,191900,187150,189900
20230905,0,191350,193900,188700,190450
20230906,0,191000,192450,189500,190550
20230907,0,190000,190100,183250,184700
20230908,0,183200,184100,175550,176500
20230911,0,176900,179500,170750,178650
20230912,0,178850,181850,176950,177750
20230913,0,177000,179250,174900,176050
20230914,0,175200,176100,169150,169150
20230915,0,170500,171300,167000,170100
20230918,0,169500,171000,166400,167150
20230919,0,166400,167250,158900,159400
20230920,0,158450,159700,153100,154150
20230921,0,153600,160500,153100,159950
20230922,0,160000,161950,154650,156150
20230925,0,156000,160500,155750,158750
20230926,0,158000,158300,149100,149100
20230927,0,149000,151900,145000,148450
20230928,0,150000,152500,147750,150000
20231009,0,150000,153300,148500,151900
20231010,0,152600,155300,150800,151900
20231011,0,152900,156000,152350,155900
20231012,0,157100,164950,156350,164950
20231013,0,167500,171000,166000,170250
20231016,0,171150,175050,164800,168900
20231017,0,168650,171500,165450,169150
20231018,0,170150,171550,165500,165900
20231019,0,164750,167050,157050,159450
20231020,0,157000,160150,151700,151950
20231023,0,152000,152600,148150,150800
20231024,0,151000,155100,150500,155000
20231025,0,156700,158150,150700,150950
20231026,0,150350,152600,148000,151150
20231027,0,151500,154450,149150,154050
20231030,0,154500,157450,152500,156850
20231031,0,155900,157700,151950,153750
20231101,0,153450,156150,152800,154000
20231102,0,153500,155300,151900,152400
20231103,0,153250,154400,150500,151400
20231106,0,150000,151500,146900,147150
20231107,0,146350,147150,141200,142550
20231108,0,141900,146300,138300,145350
20231109,0,145300,146750,142800,144150
20231110,0,144600,149750,143200,148900
20231113,0,149800,151400,141600,141650
20231114,0,141150,145350,140800,142550
20231115,0,144000,144450,141500,142600
20231116,0,142500,142700,140450,140900
20231117,0,139500,140350,137450,138000
20231120,0,138000,141300,136350,137200
20231121,0,137900,138400,131050,132300
20231122,0,132300,132800,124700,124700
20231123,0,124400,125450,120400,124800
20231124,0,125050,128450,122800,124050
20231127,0,123000,123400,116650,116650
20231128,0,114000,117600,111800,113200
20231129,0,113200,116450,108700,109850
20231130,0,110000,111350,106200,106200
20231201,0,106700,107100,101500,101750
20231204,0,101550,104500,96350,96350
20231205,0,96000,97600,93050,93050
20231206,0,89900,93900,85650,92450
20231207,0,93934.743041,94776.09743,90371.359743,94776.09743
20231208,0,100665.578158,101259.475375,98982.869379,101259.475375
20231211,0,112494.031049,112642.505353,94627.623126,95815.417559
20231212,0,95023.554604,96013.383298,90767.291221,92153.051392
20231213,0,91262.205567,102496.761242,89282.54818,102496.761242
20231214,0,103536.08137,104377.43576,92697.457173,101506.932548
20231215,0,100962.526767,106852.007495,99477.783726,103536.08137
20231218,0,103140.149893,107049.973233,99081.852248,101704.898287
20231219,0,100962.526767,102843.201285,99774.732334,100863.543897
20231220,0,100863.543897,102447.269807,99279.817987,99774.732334
20231221,0,98982.869379,100814.052463,94281.183084,96607.280514
20231222,0,96161.857602,102595.744111,95221.520343,99774.732334
20231225,0,99477.783726,102892.692719,99131.343683,101803.881156
20231226,0,101754.389722,107000.481799,101457.441113,106010.653105
20231227,0,105911.670236,108336.750535,102447.269807,104624.892934
20231228,0,104525.910064,106258.110278,103288.624197,105466.247323
