date,time,open,high,low,close
20230721,0.090500000,227000,229000,225400,228050
20230721,0.091000000,228200,228500,226200,226200
20230721,0.091500000,226150,226200,219000,221150
20230721,0.092000000,221000,223000,219850,220650
20230721,0.092500000,220650,221950,216600,217650
20230721,0.093000000,217900,218500,215550,218050
20230721,0.093500000,218200,218600,216950,218000
20230721,0.094000000,218150,222950,217600,220250
20230721,0.094500000,220250,221550,218100,219900
20230721,0.095000000,219700,220850,219600,220250
20230721,0.095500000,220150,220750,219000,220500
20230721,0.100000000,220400,221450,219750,220750
20230721,0.100500000,220700,221100,220200,220900
20230721,0.101000000,220900,221400,220500,220500
20230721,0.103000000,220650,220850,217600,218000
20230721,0.103500000,218100,218400,217500,218300
20230721,0.104000000,218300,218850,218100,218650
20230721,0.104500000,218700,219200,218200,218250
20230721,0.105000000,218200,218900,218200,218850
20230721,0.105500000,218900,219200,218600,218800
20230721,0.110000000,218800,219950,218750,219650
20230721,0.110500000,219700,219700,218050,218550
20230721,0.111000000,218550,218800,218500,218650
20230721,0.111500000,218650,218750,215000,216850
20230721,0.112000000,216800,217300,216450,217300
20230721,0.112500000,217250,219900,217000,218100
20230721,0.133000000,217900,218000,215700,217250
20230721,0.133500000,217200,217300,216700,217250
20230721,0.134000000,217250,217600,216750,216950
20230721,0.134500000,216950,217500,216500,217100
20230721,0.135000000,217150,217400,217100,217400
20230721,0.135500000,217400,217650,217050,217150
20230721,0.140000000,217150,217200,216300,216500
20230721,0.140500000,216500,216500,214150,216400
20230721,0.141000000,216450,216950,215200,215900
20230721,0.141500000,215900,216200,214800,215000
20230721,0.142000000,215150,216200,214900,215750
20230721,0.142500000,215650,216350,215000,215900
20230721,0.143000000,215950,215950,215550,215700
20230721,0.143500000,215800,215900,215350,215600
20230721,0.144000000,215500,215700,214800,215300
20230721,0.144500000,215300,215800,215000,215000
20230721,0.145000000,215000,216400,215000,216200
20230721,0.145500000,216200,216750,214250,215100
20230724,0.090000000,214500,214700,209000,210200
20230724,0.090500000,210100,212350,209600,210050
20230724,0.091000000,210100,210950,209600,210200
20230724,0.091500000,210150,211700,209700,210700
20230724,0.092000000,210750,211500,209750,210000
20230724,0.092500000,209950,210600,209800,210050
20230724,0.093000000,209950,211250,209900,210800
20230724,0.093500000,210800,212000,210800,211600
20230724,0.094000000,211700,212150,210800,211100
20230724,0.094500000,211100,211450,210750,211200
20230724,0.095000000,211200,211350,210800,210850
20230724,0.095500000,210800,212050,210750,211500
20230724,0.100000000,211500,211650,211150,211500
20230724,0.100500000,211450,212000,211150,211700
20230724,0.101000000,211800,212250,211450,211950
20230724,0.103000000,211850,213000,211750,213000
20230724,0.103500000,213000,213000,211900,212000
20230724,0.104000000,211900,212100,211650,211950
20230724,0.104500000,212000,212500,211850,212450
20230724,0.105000000,212450,212500,212000,212050
20230724,0.105500000,212050,212400,211850,211850
20230724,0.110000000,211850,211850,211400,211500
20230724,0.110500000,211600,211600,211250,211550
20230724,0.111000000,211550,212050,211550,212050
20230724,0.111500000,211950,212200,211850,211850
20230724,0.112000000,211800,212250,211750,212000
20230724,0.112500000,212000,212250,212000,212200
20230724,0.133000000,212150,212650,211850,212200
20230724,0.133500000,212200,212300,211250,211350
20230724,0.134000000,211400,211600,210750,211200
20230724,0.134500000,211250,211500,211050,211150
20230724,0.135000000,211100,211200,210900,211000
20230724,0.135500000,211050,211350,210750,211350
20230724,0.140000000,211300,211300,210850,210950
20230724,0.140500000,210950,211000,210550,210800
20230724,0.141000000,210850,210900,210100,210400
20230724,0.141500000,210400,210700,209850,210550
20230724,0.142000000,210550,210550,210350,210500
20230724,0.142500000,210500,212850,210350,212400
20230724,0.143000000,212400,212400,211700,211850
20230724,0.143500000,211850,212200,211150,211450
20230724,0.144000000,211450,212050,211400,211600
20230724,0.144500000,211600,211850,211400,211550
20230724,0.145000000,211550,211600,211350,211550
20230724,0.145500000,211550,212150,211300,211400
20230725,0.090000000,211000,219800,211000,219200
20230725,0.090500000,219050,221500,218850,219450
20230725,0.091000000,219500,220000,217900,218050
20230725,0.091500000,218100,219950,218000,219750
20230725,0.092000000,219750,219750,218950,219350
20230725,0.092500000,219450,219600,219250,219450
20230725,0.093000000,219500,219550,219000,219100
20230725,0.093500000,219100,219550,219100,219500
20230725,0.094000000,219450,219950,219150,219650
20230725,0.094500000,219650,219800,219250,219750
20230725,0.095000000,219750,221700,219750,220700
20230725,0.095500000,220700,220750,220150,220550
20230725,0.100000000,220650,222950,220400,222800
20230725,0.100500000,222800,222850,221950,222400
20230725,0.101000000,222450,223800,222300,223550
20230725,0.103000000,223700,225600,223700,225000
20230725,0.103500000,225100,225200,223900,224700
20230725,0.104000000,224750,224750,222850,223350
20230725,0.104500000,223300,223750,222550,222900
20230725,0.105000000,222900,224400,222850,223600
20230725,0.105500000,223600,224100,223400,223900
20230725,0.110000000,223900,224100,222900,222950
20230725,0.110500000,222950,223500,222900,223250
20230725,0.111000000,223300,223650,222300,223500
20230725,0.111500000,223450,223950,223200,223600
20230725,0.112000000,223650,224300,223050,223250
20230725,0.112500000,223250,223500,222900,223200
20230725,0.133000000,223150,223600,222950,223300
20230725,0.133500000,223450,223450,223000,223150
20230725,0.134000000,223150,223850,222800,223400
20230725,0.134500000,223400,223950,223200,223750
20230725,0.135000000,223800,224300,223650,223900
20230725,0.135500000,224000,224150,223550,223800
20230725,0.140000000,223800,223950,223250,223500
20230725,0.140500000,223550,223550,223250,223300
20230725,0.141000000,223400,223900,223300,223750
20230725,0.141500000,223750,224300,223600,223950
20230725,0.142000000,223950,224500,223950,224100
20230725,0.142500000,224100,225450,224100,225200
20230725,0.143000000,225150,225850,225150,225500
20230725,0.143500000,225500,225900,225450,225900
20230725,0.144000000,225900,225900,225900,225900
20230725,0.144500000,225900,225900,225900,225900
20230725,0.145000000,225900,225900,225900,225900
20230725,0.145500000,225900,225900,225900,225900
20230726,0.090000000,226100,231750,226100,231400
20230726,0.090500000,231350,233400,230800,232750
20230726,0.091000000,232600,232800,231450,231700
20230726,0.091500000,231600,232200,231100,232050
20230726,0.092000000,231950,234950,231850,233500
20230726,0.092500000,233600,235950,233500,234800
20230726,0.093000000,234750,236600,234500,235500
20230726,0.093500000,235600,240450,235250,239150
20230726,0.094000000,239200,239200,235750,236550
20230726,0.094500000,236550,236900,233250,234450
20230726,0.095000000,234500,235600,233900,234750
20230726,0.095500000,234750,235000,233850,234500
20230726,0.100000000,234500,234700,229550,230950
20230726,0.100500000,230900,232000,230000,231050
20230726,0.101000000,231050,231700,230750,231200
20230726,0.103000000,231200,233800,231100,232400
20230726,0.103500000,232400,232750,227900,228150
20230726,0.104000000,228150,229700,228150,229400
20230726,0.104500000,229250,231600,229000,229950
20230726,0.105000000,230000,231300,229800,230450
20230726,0.105500000,230200,230900,229650,230650
20230726,0.110000000,230650,230650,229050,229900
20230726,0.110500000,229850,230900,229300,230500
20230726,0.111000000,230500,230900,229900,230400
20230726,0.111500000,230250,230300,229550,230000
20230726,0.112000000,230100,230700,224400,226050
20230726,0.112500000,226050,226700,223050,225950
20230726,0.133000000,225850,228750,225600,228600
20230726,0.133500000,228600,228600,226300,227600
20230726,0.134000000,227600,228200,227100,227450
20230726,0.134500000,227450,227900,226150,227000
20230726,0.135000000,227050,227200,226150,226400
20230726,0.135500000,226500,226600,225600,226350
20230726,0.140000000,226300,226800,225900,226500
20230726,0.140500000,226400,227450,226100,227000
20230726,0.141000000,227100,227950,227050,227400
