date,time,open,high,low,close
20241118,0,750,780,750,764
20241119,0,765,778,761.5,772
20241120,0,770,775,764.5,770
20241121,0,771.5,814.5,768,814.5
20241122,0,815.5,827,802,809.5
20241125,0,809.5,815.5,790.5,797.5
20241126,0,794,806,793,797
20241127,0,798,801,792,796.5
20241128,0,795,815,794,797.5
20241129,0,797,805,796,801.5
20241202,0,802,806.5,797,801
20241203,0,800.5,802,796,800.5
20241204,0,800,810,798.5,800
20241205,0,800,803,783.5,795
20241206,0,795,796,789,793
20241209,0,795,800,794,795.5
20241210,0,808,812,799,804
20241211,0,806,806,801,803.5
20241212,0,803.5,807,802,804.5
20241213,0,800,802.5,798,801
20241216,0,802,806,801,803
20241217,0,803,819.5,802,807.5
20241218,0,808,814,806.5,808.5
20241219,0,809,813,808,810.5
20241220,0,812,829.5,810.5,829
20241223,0,826.5,839,819,823
20241224,0,822,831,822,829
20241225,0,830,834.5,822,823.5
20241226,0,822,826.5,814,816
20241227,0,816,828,815.5,824.5
20241230,0,822,827.5,819,823.5
20241231,0,821,831.5,820,827.5
20250102,0,829,837.5,825,829
20250103,0,829,832,823,829
20250106,0,831.5,846,828,840.5
20250107,0,839.5,849,836,848
20250108,0,849,858.5,844,849.5
20250109,0,848.5,852.5,843,847
20250110,0,847,863.5,845.5,862
20250113,0,862.5,881.5,862,869.5
20250114,0,868,873,855,861.5
20250115,0,860,871.5,844,855
20250116,0,860,868.5,857,864.5
20250117,0,865.5,869.5,857.5,864.5
20250120,0,865.5,874,860,864
20250121,0,865,865.5,854.5,856.5
20250122,0,855,862,848,857
20250123,0,857,861.5,856,861
20250124,0,861.5,873.5,859,870.5
20250127,0,870,876.5,869,875
20250205,0,882,882,863,867.5
20250206,0,870,890,863,890
20250207,0,890,892.5,883,890
20250210,0,890,898,886.5,898
20250211,0,897,899,884,892.5
20250212,0,893,901,890.5,892
20250213,0,891,891.5,871,875
20250214,0,874.5,890,874,876
20250217,0,879,888.5,875,886.5
20250218,0,886,889,879,885
20250219,0,885,892,880.5,889
20250220,0,888,902,885,897
20250221,0,896.5,900.5,890,895
20250224,0,890,890.5,873.5,874.5
20250225,0,872,873.5,857,867
20250226,0,866,875,860,862.5
20250227,0,861.5,867,854,864.5
20250228,0,863,868,858.5,865
20250303,0,862,864.5,848,853
20250304,0,854,857,849.5,853.5
20250305,0,866.5,874,845,856.5
20250306,0,856.5,862.5,852,860.5
20250307,0,860,866.5,856,860
20250310,0,859,864,855,862
20250311,0,860.5,862,854,856.5
20250312,0,857,857,832,834
20250313,0,834,843,828.5,839
20250314,0,838,844.5,835.5,843.5
20250317,0,840,842,829,832.5
20250318,0,832.5,839,831.5,834
20250319,0,832,836.5,826,835
20250320,0,835,844,833,842
20250321,0,841,849,836.5,843.5
20250324,0,843,844.5,837,842.5
20250325,0,840,846.5,835,835.5
20250326,0,835.5,835.5,828,835
20250327,0,832.5,837.5,830.5,833
20250328,0,836,836.5,826.5,829
20250331,0,828,828.5,817,821.5
20250401,0,821.5,834,819.5,833
20250402,0,831.5,832.5,826,828
20250403,0,825,830,824,829
20250407,0,817,830,814,818.5
20250408,0,819.5,826,816.5,818.5
20250409,0,818.5,823,810.5,816.5
20250410,0,820,828.5,820,822.5
20250411,0,823,841.5,819.5,835.5
20250414,0,835,837.5,832.5,834.5
20250415,0,834,836,826,828.5
20250416,0,830,832,822,825.5
20250417,0,827.5,831,822.5,826.5
20250418,0,827,828,820,822
20250421,0,822.5,823,811.5,811.5
20250422,0,810,810,790.5,793
20250423,0,798,803,792.5,798.5
20250424,0,797,797.5,784,793
20250425,0,794,799,791.5,796
20250428,0,792.5,796,788.5,794.5
20250429,0,793.5,797,785,787
20250430,0,783,790,781,788.5
20250506,0,784,793,783,789.5
20250507,0,793,805.5,790,792.5
20250508,0,793,797,779,780
20250509,0,780.5,788.5,780.5,784.5
20250512,0,790.5,810,787,804
20250513,0,804,805,784,788
20250514,0,794.5,796,789,794
20250515,0,792,797.5,786.5,788
20250516,0,788,794,779.5,783
20250519,0,780,785.5,775.5,783
20250520,0,780.5,785,775.5,776.5
20250521,0,777,783,774,780
20250522,0,778.5,780.5,774,777.5
20250523,0,776.5,777.5,773,775
20250526,0,770,772.5,762.5,763.5
20250527,0,764.5,764.5,753,755
20250528,0,754,761,748.5,758
20250529,0,760,769,756,766
20250530,0,767,768,758,765
20250603,0,765,770,759.5,765
20250604,0,766,768,752.5,758.5
20250605,0,758,759.5,746,746.5
20250606,0,750,776.5,749.5,768.5
20250609,0,765.5,776,764.5,772
20250610,0,776,788.5,766.5,771
20250611,0,772,772,763,765
20250612,0,766,766,756.5,765
20250613,0,765,772.5,764,767.5
20250616,0,770,792.5,770,792
20250617,0,790,807,786.5,793
20250618,0,797,806,792,795.5
20250619,0,797,801,790,798
20250620,0,798,812,795,812
20250623,0,814,824,812,819
20250624,0,816,818.5,802.5,806.5
20250625,0,806.5,813,801,811
20250626,0,807,821,807,818
20250627,0,819.546314,823.669817,799.959672,815.42281
20250630,0,816.453686,822.123503,809.237555,810.268431
20250701,0,808.206679,813.361059,802.021424,811.299307
20250702,0,813.876497,821.608066,808.722117,817.484562
20250703,0,817.484562,823.154379,814.391934,816.969124
20250704,0,820.57719,822.638941,815.42281,819.546314
20250707,0,815.42281,819.030876,809.237555,811.299307
20250708,0,809.237555,815.938248,806.144928,809.752993
20250709,0,809.237555,811.299307,804.598614,807.691241
20250710,0,809.237555,812.845621,805.62949,811.299307
20250711,0,811.299307,818.515438,808.722117,810.268431
20250714,0,811.814745,813.876497,807.175803,812.330183
20250715,0,810.783869,818,809.752993,814.391934
