date,time,open,high,low,close
20210111,0,26225,26720,26030,26030
20210112,0,25760,26210,25205,25560
20210113,0,25830,26350,25715,25870
20210114,0,25805,26155,24860,24890
20210115,0,25155,25155,24460,24725
20210118,0,24825,25780,24805,25140
20210119,0,25185,25390,24880,25025
20210120,0,25005,25090,24500,24910
20210121,0,24910,25185,24800,24870
20210122,0,24860,25045,24530,24565
20210125,0,24510,25300,24510,24930
20210126,0,25100,25770,24925,25555
20210127,0,25610,25645,25200,25275
20210128,0,25150,25535,25020,25190
20210129,0,25295,25620,25280,25570
20210201,0,25600,25970,25420,25685
20210202,0,25700,26040,25300,25380
20210203,0,25300,25555,25210,25315
20210204,0,25325,25485,25250,25445
20210205,0,25500,26175,25500,26170
20210208,0,26225,27400,26225,26900
20210209,0,26900,27110,26400,26845
20210210,0,26845,26870,26500,26705
20210218,0,27000,27100,26525,27000
20210219,0,27100,28390,27055,28330
20210222,0,28350,29430,28115,29380
20210223,0,29350,29380,28050,28980
20210224,0,29600,29805,28600,28900
20210225,0,29000,29140,28630,28915
20210226,0,28800,29325,28440,28970
20210301,0,29430,29435,28800,29185
20210302,0,29150,29250,28500,28750
20210303,0,28945,29000,28510,28785
20210304,0,28745,29115,28550,28845
20210305,0,28865,28880,27000,28400
20210308,0,28550,28900,28400,28545
20210309,0,28465,28615,27820,27900
20210310,0,27880,28300,27200,28050
20210311,0,28000,28755,27805,28595
20210312,0,28880,28885,28485,28750
20210315,0,28785,28995,28280,28405
20210316,0,28370,28695,28120,28450
20210317,0,28390,28760,28310,28610
20210318,0,28470,28630,28365,28470
20210319,0,28205,28600,28135,28505
20210322,0,28455,28470,27935,28250
20210323,0,28280,28325,27960,28135
20210324,0,28000,28190,27850,28000
20210325,0,27850,27980,27520,27520
20210326,0,27500,27570,27215,27215
20210329,0,27000,27030,26520,26555
20210330,0,26480,27230,26310,27030
20210331,0,26870,27130,26655,26985
20210401,0,27110,27995,26870,27940
20210402,0,27940,27940,27535,27660
20210406,0,27230,27495,27060,27120
20210407,0,27050,27120,26665,26810
20210408,0,26740,27320,26615,26920
20210409,0,26995,27070,26465,26610
20210412,0,26830,27345,26815,27095
20210413,0,27300,27640,27120,27605
20210414,0,27365,27700,27350,27425
20210415,0,27280,27495,27150,27190
20210416,0,27000,27150,26785,26920
20210419,0,26900,27245,26800,27180
20210420,0,27180,27480,27110,27110
20210421,0,26995,27180,26755,27170
20210422,0,27155,27330,27050,27195
20210423,0,27195,27990,27195,27720
20210426,0,27680,27680,27330,27370
20210427,0,27400,27440,26660,27035
20210428,0,26875,27355,26850,27250
