date,time,open,high,low,close
20210111,0.090500000,26650,26660,26095,26145
20210111,0.091000000,26145,26630,26145,26385
20210111,0.091500000,26440,26720,26245,26495
20210111,0.092000000,26495,26585,26380,26550
20210111,0.092500000,26500,26580,26365,26465
20210111,0.093000000,26460,26480,26345,26450
20210111,0.093500000,26450,26475,26270,26290
20210111,0.094000000,26300,26475,26290,26420
20210111,0.094500000,26420,26435,26315,26390
20210111,0.095000000,26390,26400,26355,26395
20210111,0.095500000,26395,26400,26250,26325
20210111,0.100000000,26325,26330,26250,26285
20210111,0.100500000,26275,26345,26270,26270
20210111,0.101000000,26265,26295,26100,26275
20210111,0.103000000,26270,26275,26145,26180
20210111,0.103500000,26180,26210,26160,26175
20210111,0.104000000,26165,26165,26030,26030
20210111,0.104500000,26030,26095,26030,26065
20210111,0.105000000,26045,26165,26045,26165
20210111,0.105500000,26165,26165,26040,26065
20210111,0.110000000,26070,26100,26030,26030
20210111,0.110500000,26030,26030,26030,26030
20210111,0.111000000,26030,26030,26030,26030
20210111,0.111500000,26030,26030,26030,26030
20210111,0.112000000,26030,26030,26030,26030
20210111,0.112500000,26030,26030,26030,26030
20210111,0.133000000,26030,26030,26030,26030
20210111,0.133500000,26030,26030,26030,26030
20210111,0.134000000,26030,26030,26030,26030
20210111,0.134500000,26030,26030,26030,26030
20210111,0.135000000,26030,26030,26030,26030
20210111,0.135500000,26030,26030,26030,26030
20210111,0.140000000,26030,26030,26030,26030
20210111,0.140500000,26030,26030,26030,26030
20210111,0.141000000,26030,26030,26030,26030
20210111,0.141500000,26030,26030,26030,26030
20210111,0.142000000,26030,26030,26030,26030
20210111,0.142500000,26030,26030,26030,26030
20210111,0.143000000,26030,26030,26030,26030
20210111,0.143500000,26030,26030,26030,26030
20210111,0.144000000,26030,26030,26030,26030
20210111,0.144500000,26030,26030,26030,26030
20210111,0.145500000,26030,26030,26030,26030
20210112,0.090000000,25760,25980,25505,25955
20210112,0.090500000,25955,26130,25880,25930
20210112,0.091000000,25930,25930,25715,25845
20210112,0.091500000,25845,25850,25630,25655
20210112,0.092000000,25655,25670,25205,25545
20210112,0.092500000,25540,25695,25355,25695
20210112,0.093000000,25690,25780,25525,25635
20210112,0.093500000,25640,25640,25530,25635
20210112,0.094000000,25635,25635,25480,25535
20210112,0.094500000,25515,25580,25485,25580
20210112,0.095000000,25585,25650,25500,25545
20210112,0.095500000,25535,25630,25535,25565
20210112,0.100000000,25575,25630,25560,25615
20210112,0.100500000,25615,25690,25610,25660
20210112,0.101000000,25660,25660,25595,25615
20210112,0.103000000,25620,25885,25620,25735
20210112,0.103500000,25735,25850,25605,25840
20210112,0.104000000,25850,25885,25740,25755
20210112,0.104500000,25775,25880,25770,25870
20210112,0.105000000,25870,26180,25865,26025
20210112,0.105500000,26025,26200,25940,26040
20210112,0.110000000,26045,26160,26040,26085
20210112,0.110500000,26085,26085,25935,26020
20210112,0.111000000,26015,26030,25830,25875
20210112,0.111500000,25875,26045,25875,26015
20210112,0.112000000,26015,26025,25905,26000
20210112,0.112500000,25995,26015,25910,25915
20210112,0.133000000,25915,26160,25905,26145
20210112,0.133500000,26145,26175,26050,26125
20210112,0.134000000,26120,26210,26045,26210
20210112,0.134500000,26190,26210,26135,26155
20210112,0.135000000,26150,26170,26065,26140
20210112,0.135500000,26140,26140,25850,25900
20210112,0.140000000,25930,26045,25915,25975
20210112,0.140500000,25985,26125,25955,26100
20210112,0.141000000,26100,26105,26005,26080
20210112,0.141500000,26085,26085,26005,26005
20210112,0.142000000,26005,26085,25985,26015
20210112,0.142500000,26015,26015,25945,25960
20210112,0.143000000,25965,26000,25845,25845
20210112,0.143500000,25840,25925,25830,25920
20210112,0.144000000,25910,25910,25630,25680
20210112,0.144500000,25700,25735,25545,25675
20210112,0.145000000,25680,25710,25565,25575
20210112,0.145500000,25585,25680,25545,25560
20210113,0.090000000,25830,26350,25830,26100
20210113,0.090500000,26080,26100,25715,26080
20210113,0.091000000,26090,26125,25990,26045
20210113,0.091500000,26045,26180,26020,26130
20210113,0.092000000,26130,26130,25910,25980
20210113,0.092500000,25945,26045,25905,25995
20210113,0.093000000,25995,26095,25980,26095
20210113,0.093500000,26100,26100,25965,25985
20210113,0.094000000,25980,26015,25960,25960
20210113,0.094500000,25960,26010,25960,26000
20210113,0.095000000,26000,26080,26000,26060
20210113,0.095500000,26045,26055,25970,26015
20210113,0.100000000,26015,26025,25915,25980
20210113,0.100500000,25975,25975,25900,25950
20210113,0.101000000,25960,25960,25815,25920
20210113,0.103000000,25915,25980,25845,25950
20210113,0.103500000,25960,25975,25835,25855
20210113,0.104000000,25840,25895,25765,25835
20210113,0.104500000,25835,25935,25835,25920
20210113,0.105000000,25920,25945,25895,25945
20210113,0.105500000,25945,25945,25880,25895
20210113,0.110000000,25915,25945,25880,25930
20210113,0.110500000,25930,25960,25890,25960
20210113,0.111000000,25960,26060,25960,26030
20210113,0.111500000,26035,26080,25955,26080
20210113,0.112000000,26075,26085,25990,26020
20210113,0.112500000,26020,26045,25970,26045
20210113,0.133000000,26030,26080,25970,26020
20210113,0.133500000,26035,26045,25950,25985
20210113,0.134000000,25970,25980,25855,25875
20210113,0.134500000,25860,25960,25860,25940
20210113,0.135000000,25940,25955,25855,25875
20210113,0.135500000,25890,25940,25855,25855
20210113,0.140000000,25855,25910,25850,25850
20210113,0.140500000,25855,25905,25820,25905
20210113,0.141000000,25900,25920,25880,25880
20210113,0.141500000,25890,25910,25870,25870
20210113,0.142000000,25895,25900,25870,25875
20210113,0.142500000,25875,25945,25870,25885
20210113,0.143000000,25885,25900,25850,25885
20210113,0.143500000,25900,25900,25870,25885
20210113,0.144000000,25880,25935,25880,25915
20210113,0.144500000,25915,25920,25880,25905
20210113,0.145000000,25905,25925,25880,25880
20210113,0.145500000,25880,25890,25825,25870
20210114,0.090000000,25805,26050,25800,26010
20210114,0.090500000,26010,26040,25955,26030
20210114,0.091000000,26040,26060,26000,26020
20210114,0.091500000,26030,26085,26015,26085
20210114,0.092000000,26090,26155,26065,26140
20210114,0.092500000,26130,26135,26020,26095
20210114,0.093000000,26095,26120,26050,26120
20210114,0.093500000,26120,26120,26045,26070
20210114,0.094000000,26070,26090,25990,26025
20210114,0.094500000,26030,26050,25965,25965
20210114,0.095000000,25965,26030,25900,26015
20210114,0.095500000,26005,26050,25990,26040
20210114,0.100000000,26040,26050,25985,25985
20210114,0.100500000,25985,26005,25935,25950
20210114,0.101000000,25945,26010,25945,25980
20210114,0.103000000,25980,26005,25825,25905
20210114,0.103500000,25905,25975,25905,25970
20210114,0.104000000,25955,26030,25955,26020
20210114,0.104500000,26020,26040,25985,26000
20210114,0.105000000,26005,26015,25980,25995
20210114,0.105500000,25990,25995,25950,25995
20210114,0.110000000,25990,26000,25940,25945
20210114,0.110500000,25935,25950,25875,25925
20210114,0.111000000,25930,25935,25890,25920
20210114,0.111500000,25920,25940,25880,25920
20210114,0.112000000,25940,25940,25900,25930
20210114,0.112500000,25930,25960,25925,25955
20210114,0.133000000,25955,25955,25550,25580
20210114,0.133500000,25580,25585,25435,25510
20210114,0.134000000,25515,25595,25510,25540
20210114,0.134500000,25535,25595,25530,25550
20210114,0.135000000,25550,25585,25540,25555
20210114,0.135500000,25550,25560,25475,25490
20210114,0.140000000,25485,25500,25235,25395
20210114,0.140500000,25395,25400,25105,25135
20210114,0.141000000,25135,25325,25120,25260
20210114,0.141500000,25260,25305,25200,25225
20210114,0.142000000,25225,25275,25165,25240
20210114,0.142500000,25245,25250,25120,25200
20210114,0.143000000,25200,25220,24950,25070
