date,time,open,high,low,close
20200622,0,2570,2763,2570,2599
20200623,0,2611,2679,2602,2649
20200624,0,2660,2672,2588,2603
20200629,0,2577,2577,2486,2514
20200630,0,2540,2568,2522,2534
20200701,0,2526,2568,2516,2553
20200702,0,2526,2575,2526,2553
20200703,0,2560,2613,2560,2589
20200706,0,2576,2612,2565,2601
20200707,0,2600,2609,2555,2574
20200708,0,2575,2591,2564,2570
20200709,0,2579,2583,2533,2563
20200710,0,2568,2575,2480,2493
20200713,0,2511,2557,2507,2542
20200714,0,2549,2560,2485,2519
20200715,0,2518,2539,2506,2520
20200716,0,2529,2540,2503,2510
20200717,0,2510,2535,2484,2491
20200720,0,2485,2518,2436,2452
20200721,0,2456,2487,2436,2487
20200722,0,2530,2598,2516,2528
20200723,0,2526,2588,2514,2588
20200724,0,2568,2573,2486,2506
20200727,0,2518,2521,2484,2486
20200728,0,2495,2510,2462,2492
20200729,0,2485,2513,2477,2508
20200730,0,2511,2522,2485,2495
20200731,0,2490,2490,2389,2430
20200803,0,2431,2434,2400,2405
20200804,0,2410,2456,2410,2431
20200805,0,2420,2470,2411,2462
20200806,0,2488,2529,2450,2472
20200807,0,2480,2487,2450,2452
20200810,0,2450,2480,2442,2478
20200811,0,2476,2493,2430,2443
20200812,0,2457,2494,2417,2492
20200813,0,2500,2510,2460,2461
20200814,0,2465,2478,2439,2450
20200817,0,2445,2460,2442,2450
20200818,0,2445,2487,2440,2456
20200819,0,2464,2475,2452,2460
20200820,0,2450,2501,2450,2490
20200821,0,2494,2541,2457,2496
20200824,0,2490,2501,2454,2464
20200825,0,2468,2499,2468,2496
20200826,0,2505,2564,2501,2532
20200827,0,2535,2538,2503,2512
20200828,0,2512,2513,2470,2475
20200831,0,2477,2506,2475,2491
20200901,0,2495,2498,2461,2477
20200902,0,2474,2510,2471,2484
20200903,0,2485,2489,2397,2401
20200904,0,2390,2390,2318,2353
20200907,0,2349,2370,2281,2293
20200908,0,2290,2315,2279,2288
20200909,0,2260,2260,2160,2178
20200910,0,2200,2238,2193,2218
20200911,0,2212,2231,2195,2200
20200914,0,2195,2265,2183,2239
20200915,0,2234,2245,2218,2224
20200916,0,2229,2271,2223,2260
20200917,0,2258,2269,2210,2222
20200918,0,2220,2327,2220,2320
20200921,0,2305,2343,2287,2293
20200922,0,2287,2298,2173,2230
20200923,0,2235,2251,2209,2229
20200924,0,2235,2267,2222,2227
20200925,0,2225,2274,2220,2241
20200928,0,2238,2260,2230,2260
20200929,0,2275,2295,2250,2270
20200930,0,2276,2279,2192,2204
20201009,0,2300,2368,2262,2314
20201012,0,2316,2335,2293,2327
20201013,0,2341,2347,2294,2312
20201014,0,2323,2337,2284,2323
20201015,0,2345,2396,2330,2380
20201016,0,2338,2406,2328,2369
20201019,0,2367,2382,2353,2366
20201020,0,2362,2365,2302,2328
20201021,0,2326,2356,2310,2335
20201022,0,2330,2338,2266,2297
20201023,0,2301,2337,2295,2311
20201026,0,2318,2340,2227,2244
20201027,0,2238,2260,2234,2256
20201028,0,2252,2271,2217,2236
20201029,0,2210,2217,2155,2159
20201030,0,2098,2138,2005,2050
20201102,0,2070,2077,1970,2015
20201103,0,2024,2111,2024,2102
20201104,0,2137,2192,2127,2167
20201105,0,2193,2209,2147,2193
20201106,0,2205,2228,2139,2158
20201109,0,2158,2227,2150,2197
