date,time,open,high,low,close
20150327,0,101870,102710,100650,101080
20150330,0,99010,100000,96820,98430
20150331,0,98000,98200,93840,95040
20150401,0,93940,94130,91270,92500
20150402,0,92870,96600,92550,96160
20150403,0,96000,97800,95660,97300
20150407,0,97500,97980,95950,96420
20150408,0,94500,95630,93300,93950
20150409,0,94450,95260,93880,94300
20150410,0,94500,94970,93180,94540
20150413,0,94280,95670,93700,95230
20150414,0,94780,95070,92810,93100
20150415,0,92700,95000,92640,94730
20150416,0,94610,95900,94260,95400
20150417,0,96280,96660,95010,95850
20150420,0,95980,96550,95200,95410
20150421,0,95330,96800,94900,95880
20150422,0,95910,96720,95750,96330
20150423,0,96120,96500,95600,95860
20150424,0,95840,97900,95700,97830
20150427,0,98000,101490,97990,101490
20150428,0,102490,104530,101420,102650
20150429,0,102350,104400,100500,101020
20150430,0,101190,106980,101160,106010
20150504,0,106010,108900,105450,107580
20150505,0,107850,109230,106160,107960
20150506,0,110000,113380,109690,113380
20150507,0,114580,115300,111050,112500
20150508,0,113700,114100,110000,112300
20150511,0,111810,114430,111060,113880
20150512,0,113300,115060,111270,111600
20150513,0,112280,113650,110780,111750
20150514,0,112100,112100,107060,109400
20150515,0,108980,110960,108540,110210
20150518,0,109390,109690,108200,108610
20150519,0,108300,108890,106160,106430
20150520,0,105500,105990,102340,102340
20150521,0,100490,102550,100170,101070
20150522,0,100960,103370,96710,100070
20150525,0,98900,100580,98110,99480
20150526,0,99670,101900,99660,100010
20150527,0,99990,101180,99200,100670
20150528,0,100420,102040,100400,101130
20150529,0,100794.492812,101333.33769,97856.263195,99228.792601
20150601,0,99127.123756,99432.130291,97968.098924,98425.608726
20150602,0,98811.950337,102177.189102,98639.1133,101953.517644
20150603,0,102055.186488,102787.202172,100692.823967,100713.157736
20150604,0,100855.494119,101607.843571,99320.294561,100174.312858
20150605,0,100296.315472,101140.166884,99696.469287,100031.976475
20150608,0,100397.984317,102278.857947,99970.975168,102248.357294
20150609,0,102533.030059,103885.225696,102339.859254,102594.031366
20150610,0,103051.541168,103468.383432,102248.357294,103021.040515
20150611,0,103549.718508,103905.559465,102990.539861,103193.877551
20150612,0,103295.546396,103336.213934,99432.130291,99706.636172
20150615,0,100042.14336,100530.153815,99025.454911,99208.458832
20150616,0,99025.454911,99686.302403,96931.076707,97297.084548
20150617,0,97602.091083,97968.098924,96280.396099,96870.0754
20150618,0,97907.097617,98425.608726,97429.254046,97907.097617
20150619,0,97622.424852,97785.095004,96016.057103,96188.894139
20150623,0,95853.386951,96920.909822,95670.38303,96636.237056
20150624,0,97103.913743,98313.772997,96941.243591,97998.599578
20150625,0,97612.257967,97825.762541,96382.064944,96432.899367
20150626,0,96341.397406,96758.23967,94572.359505,95416.210918
20150629,0,95212.873228,95243.373882,91003.78305,91867.968232
20150630,0,90363.269327,90902.114205,88787.402232,88787.402232
20150701,0,88787.402232,91481.626621,88126.55474,89834.591334
20150702,0,89468.583493,91379.957776,89031.40746,90942.781743
20150703,0,91349.457123,92183.141651,89549.918568,90729.277169
20150706,0,90586.940786,90830.946014,86682.857143,86957.363024
20150707,0,87181.034483,88817.902885,85452.66412,85625.501156
20150708,0,83775.128179,83775.128179,82992.278074,82992.278074
20150709,0,76485.472002,87486.041017,76485.472002,84995.154318
20150710,0,85503.498542,86591.355182,84334.306826,85981.342113
20150713,0,85442.497235,85574.666734,81945.088972,83622.624912
20150714,0,85920.340806,87231.868905,85076.489394,85910.173922
20150715,0,86296.515532,88573.897658,85737.336885,88421.39439
20150716,0,88299.391776,88695.900271,85025.654971,86855.694179
20150717,0,86093.177843,87191.201367,86032.176536,87028.531215
20150720,0,86215.180456,87089.532522,85859.339499,86743.85845
20150721,0,86906.528602,89417.74907,86682.857143,89336.413994
20150722,0,89133.076304,89346.580879,85940.674575,86642.189605
20150723,0,86723.524681,87048.864984,85096.823163,85818.671961
20150724,0,85595.000503,86296.515532,84283.472404,84751.14909
20150727,0,84679.980899,86367.683724,83998.799638,84029.300292
20150728,0,82656.770886,84812.150397,82504.267618,84120.802252
20150729,0,84690.147783,86184.679803,84496.976978,85737.336885
20150730,0,84984.987433,85828.838846,83876.797024,83998.799638
20150731,0,83368.4528,84385.141249,83083.780034,83144.781341
20150803,0,83571.79049,84568.145169,81497.746054,81680.749975
20150804,0,81690.916859,82575.43581,81131.738213,82453.433196
20150805,0,82656.770886,83165.11511,81629.915552,82544.935156
20150806,0,82860.108575,83002.444958,81843.420127,82128.092892
20150807,0,82046.757816,82483.933849,81263.907711,82046.757816
20150810,0,81965.422741,83866.63014,81619.748668,83571.79049
20150811,0,83561.623605,85706.836232,83348.119031,83744.627526
20150812,0,82595.769579,84222.471097,81385.910325,84069.967829
20150813,0,84080.134714,84893.485473,83114.280688,84069.967829
20150814,0,83673.459334,84008.966523,82758.439731,82931.276767
20150817,0,83435.111984,83838.180158,82860.739836,83515.725619
