date,time,open,high,low,close
20190812,0,9805,10175,9720,9820
20190813,0,9780,9980,9775,9855
20190814,0,9840,10220,9785,9995
20190815,0,9935,9980,9850,9865
20190816,0,9860,9940,9830,9875
20190819,0,9885,10080,9885,10030
20190820,0,10030,10035,9945,9975
20190821,0,9960,9975,9835,9890
20190822,0,9890,9925,9815,9910
20190823,0,9860,9905,9780,9815
20190826,0,9840,9940,9700,9915
20190827,0,9915,9980,9860,9900
20190828,0,9930,10095,9860,9970
20190829,0,9965,10030,9905,9940
20190830,0,9925,10080,9925,10065
20190902,0,10080,10195,10000,10045
20190903,0,10025,10135,10010,10135
20190904,0,10110,10475,9900,10395
20190905,0,10405,10455,10210,10310
20190906,0,10325,10400,10160,10190
20190909,0,10195,10300,10115,10265
20190910,0,10280,10315,10155,10270
20190911,0,10260,10270,10155,10220
20190912,0,10190,10250,10120,10145
20190916,0,10225,10380,10200,10255
20190917,0,10275,10415,10210,10255
20190918,0,10250,10260,10050,10145
20190919,0,10145,10195,10080,10105
20190920,0,10075,10120,10025,10100
20190923,0,10100,10265,10085,10210
20190924,0,10210,10240,10100,10100
20190925,0,10105,10125,10000,10025
20190926,0,9995,10060,9910,9910
20190927,0,9910,9930,9700,9785
20190930,0,9785,9875,9740,9745
20191008,0,9725,9850,9600,9680
20191009,0,9665,9790,9665,9770
20191010,0,9780,9880,9700,9860
20191011,0,9850,9865,9780,9860
20191014,0,9845,9990,9795,9975
20191015,0,9975,9975,9810,9820
20191016,0,9815,9920,9790,9820
20191017,0,9850,9950,9810,9845
20191018,0,9850,10070,9850,9980
20191021,0,9985,10010,9905,9960
20191022,0,9955,10145,9945,10020
20191023,0,10020,10150,9975,10015
20191024,0,9970,10035,9920,9990
20191025,0,9990,10040,9930,9985
20191028,0,9970,10085,9850,9920
20191029,0,9865,9975,9865,9945
20191030,0,9890,10085,9890,10085
20191031,0,10060,10165,10025,10075
20191101,0,10010,10080,9930,10040
20191104,0,10040,10060,9960,9990
20191105,0,9985,10230,9985,10225
20191106,0,10230,10260,10125,10165
20191107,0,10155,10240,10060,10130
20191108,0,10095,10220,10045,10165
20191111,0,10050,10235,10050,10120
20191112,0,10125,10325,10050,10310
20191113,0,10295,10325,10180,10225
20191114,0,10225,10385,10180,10360
20191115,0,10330,10375,10150,10150
20191118,0,10129.940711,10450.889328,10129.940711,10415.785573
20191119,0,10460.918972,10460.918972,10325.518775,10390.711462
20191120,0,10335.548419,10882.164032,10335.548419,10811.956522
20191121,0,10781.867589,10877.149209,10701.630435,10816.971344
20191122,0,10816.971344,11137.91996,10801.926877,10877.149209
20191125,0,10882.164032,11674.505929,10190.118577,11002.519763
20191126,0,11032.608696,11067.712451,10721.689723,10857.089921
20191127,0,10832.01581,10977.445652,10766.823123,10821.986166
20191128,0,10741.749012,10882.164032,10741.749012,10816.971344
20191129,0,10816.971344,10821.986166,10656.497036,10681.571146
20191202,0,10596.31917,10857.089921,10596.31917,10721.689723
20191203,0,10726.704545,10897.208498,10631.422925,10842.045455
20191204,0,10832.01581,10952.371542,10726.704545,10937.327075
20191205,0,10927.297431,11318.453557,10882.164032,11218.157115
20191206,0,11152.964427,11378.631423,11152.964427,11358.572134
20191209,0,11388.661067,11498.987154,11183.05336,11263.290514
20191210,0,11198.097826,11423.764822,11198.097826,11278.33498
20191211,0,11318.453557,11353.557312,11097.801383,11348.54249
20191212,0,11348.54249,11383.646245,11228.186759,11323.468379
20191213,0,11293.379447,11483.942688,11082.756917,11122.875494
20191216,0,11142.934783,11188.068182,11002.519763,11042.63834
20191217,0,11052.667984,11117.860672,11032.608696,11097.801383
20191218,0,11248.246047,11248.246047,10992.490119,11002.519763
20191219,0,11027.593874,11052.667984,10691.600791,10791.897233
20191220,0,10731.719368,10922.282609,10731.719368,10847.060277
20191223,0,10847.060277,10887.178854,10691.600791,10736.73419
20191224,0,10711.660079,10852.075099,10701.630435,10811.956522
20191225,0,10852.075099,10887.178854,10776.852767,10806.9417
20191226,0,10811.956522,10811.956522,10611.363636,10771.837945
20191227,0,10806.9417,10862.104743,10756.793478,10811.956522
20191230,0,10776.852767,11007.534585,10751.778656,10842.045455
20191231,0,10811.956522,10917.267787,10776.852767,10821.986166
20200102,0,10811.956522,10962.401186,10586.289526,10631.422925
20200103,0,10671.541502,10751.778656,10611.363636,10631.422925
20200106,0,10591.304348,10972.43083,10591.304348,10872.134387
20200107,0,10806.9417,10972.43083,10786.882411,10952.371542
20200108,0,10972.257827,11041.859825,10857.911687,11017.001968
20200109,0,10997.115683,11031.916682,10763.451833,10788.309689
20200110,0,10788.309689,10907.6274,10783.338118,10872.826401
20200113,0,10877.797972,11126.376536,10847.968545,11096.547109
20200114,0,11131.348108,11146.262822,10862.883258,10982.200969
20200115,0,10982.200969,11066.717681,10842.996973,10987.17254
20200116,0,11021.973539,11021.973539,10847.968545,10947.39997
20200117,0,10952.371542,11131.348108,10838.025402,10917.570543
20200120,0,10907.6274,10977.229398,10733.622405,10753.50869
20200121,0,10693.849835,10813.167546,10440.299699,10499.958555
20200122,0,10499.958555,10569.560553,9997.829855,10301.095703
20200123,0,10316.010417,10390.583986,10052.517139,10052.517139
20200203,0,9306.781446,9729.365005,9296.838303,9296.838303
20200204,0,8252.808334,9257.065733,8252.808334,9232.207877
20200205,0,9217.293163,9505.644297,9217.293163,9391.298158
20200206,0,9495.701155,9595.132581,9391.298158,9575.246295
20200207,0,9510.615869,9610.047294,9445.985442,9485.758012
20200210,0,9495.701155,9550.388439,9401.2413,9485.758012
20200211,0,9525.530583,9629.93358,9500.672726,9585.189438
20200212,0,9634.905151,9644.848293,9465.871727,9605.075723
20200213,0,9595.132581,9654.791436,9525.530583,9565.303153
20200214,0,9605.075723,9605.075723,9480.786441,9590.161009
20200217,0,9664.734579,9818.853288,9580.217867,9798.967003
20200218,0,9764.166004,9828.796431,9669.70615,9724.393434
20200219,0,9694.564006,9744.279719,9654.791436,9684.620864
20200220,0,9744.279719,9774.109147,9595.132581,9749.25129
20200221,0,9749.25129,9863.59743,9724.393434,9803.938575
20200224,0,9784.052289,9784.052289,9441.013871,9525.530583
20200225,0,9441.013871,9719.421863,9351.525588,9659.763007
20200226,0,9595.132581,9619.990437,9460.900156,9480.786441
20200227,0,9480.786441,9545.416868,9401.2413,9426.099157
20200228,0,9204.598132,9288.276297,8840.352003,8855.118738
20200302,0,8564.706284,9298.120787,8564.706284,9229.209357
20200303,0,9529.466302,9672.211406,9155.375682,9224.287112
20200304,0,9066.775273,9283.354052,9056.930783,9234.131602
20200305,0,9258.742827,9312.887522,9224.287112,9243.976092
20200306,0,9209.520377,9209.520377,9037.241803,9061.853028
20200309,0,8712.373633,8717.295878,8451.494649,8515.483834
20200310,0,8712.373633,8948.641393,8643.462203,8860.040983
20200311,0,8796.051798,8973.252618,8707.451388,8746.829348
20200312,0,8820.663023,8835.429758,8515.483834,8692.684653
