date,time,open,high,low,close
20071029,0,8350,8424,8350,8424
20071030,0,8700,8700,8550,8572
20071031,0,8502,8554,8500,8516
20071101,0,8700,8700,8550,8598
20071102,0,8550,8564,8520,8540
20071105,0,8550,8628,8550,8600
20071106,0,8596,8670,8596,8666
20071107,0,8730,8878,8730,8816
20071108,0,8760,8898,8760,8860
20071109,0,8860,8948,8860,8910
20071112,0,8910,8930,8820,8836
20071113,0,8780,8970,8762,8948
20071114,0,8950,8960,8872,8900
20071115,0,8944,8970,8882,8900
20071116,0,8900,8900,8702,8724
20071119,0,8748,8798,8658,8722
20071120,0,8688,8688,8360,8420
20071121,0,8500,8692,8490,8690
20071122,0,8620,8776,8620,8736
20071123,0,8760,8776,8648,8710
20071126,0,8770,8866,8764,8804
20071127,0,8760,8760,8670,8700
20071128,0,8632,8656,8550,8550
20071129,0,8576,8600,8400,8522
20071130,0,8500,8546,8460,8500
20071203,0,8500,8600,8498,8510
20071204,0,8510,8600,8510,8570
20071205,0,8586,8636,8530,8576
20071206,0,8552,8552,8472,8480
20071207,0,8520,8560,8428,8558
20071210,0,8532,8566,8492,8522
20071211,0,8502,8608,8502,8576
20071212,0,8588,8588,8500,8518
20071213,0,8592,8874,8560,8710
20071214,0,8650,8728,8650,8712
20071217,0,8748,8798,8722,8786
20071218,0,8786,8786,8680,8680
20071219,0,8650,8816,8650,8786
20071220,0,8808,8808,8742,8750
20071221,0,8752,8840,8710,8818
20071224,0,8798,9034,8770,8996
20071225,0,9044,9044,8956,9016
20071226,0,9040,9248,9020,9246
20071227,0,9258,9486,9258,9300
20071228,0,9300,9410,9208,9298
20080102,0,9300,9360,9244,9296
20080103,0,9380,9536,9380,9424
20080104,0,9450,9496,9410,9434
20080107,0,9420,9514,9404,9448
20080108,0,9470,9504,9408,9470
20080109,0,9530,9580,9450,9576
20080110,0,9510,9670,9510,9630
20080111,0,9630,9880,9630,9842
20080114,0,9988,10128,9950,10128
20080115,0,10280,10296,10080,10252
20080116,0,10244,10248,9968,10070
20080117,0,10020,10246,9968,10244
20080118,0,10180,10198,9882,9930
20080121,0,9950,10036,9902,9970
20080122,0,9700,9716,9576,9576
20080123,0,9604,9648,9438,9484
20080124,0,9138,9380,9138,9362
20080125,0,9474,9628,9474,9586
20080128,0,9580,9638,9526,9562
20080129,0,9658,9720,9606,9716
20080130,0,9748,9800,9718,9730
20080131,0,9726,9836,9690,9758
20080201,0,9848,9888,9790,9798
20080204,0,9860,9962,9750,9918
20080205,0,10050,10228,10002,10228
20080213,0,10150,10348,10150,10268
20080214,0,10300,10482,10300,10442
20080215,0,10610,10818,10610,10718
20080218,0,10748,11088,10718,10810
20080219,0,10868,10918,10580,10820
20080220,0,10858,10940,10750,10860
20080221,0,10960,11120,10912,11076
20080222,0,11030,11120,10930,11054
20080225,0,11288,11506,11210,11506
20080226,0,11560,11850,11150,11352
20080227,0,11580,11940,11580,11756
20080228,0,11798,11880,11600,11680
20080229,0,11900,12152,11762,12152
20080303,0,12320,12512,12320,12512
20080304,0,12992,12992,11996,12510
20080305,0,12098,12200,12094,12094
20080306,0,12100,12388,11700,12166
20080307,0,11648,11850,11648,11648
20080310,0,11194,11194,11194,11194
20080311,0,11028,11426,11028,11296
20080312,0,11360,11418,10808,10970
20080313,0,11120,11418,10900,11270
20080314,0,11250,11350,11100,11236
20080317,0,10786,10890,10786,10786
20080318,0,10378,10378,10378,10378
20080319,0,10000,10444,10000,10180
20080320,0,9774,9996,9774,9898
20080321,0,9770,9946,9752,9830
20080324,0,9900,10260,9900,10252
20080325,0,10458,10576,10082,10380
20080326,0,10750,10750,10452,10676
20080327,0,10626,10708,10522,10544
20080328,0,10618,10630,10478,10530
20080331,0,10456,10500,10190,10454
20080401,0,9868,9868,9868,9868
20080402,0,9802,10060,9802,9928
20080403,0,10180,10202,10000,10016
20080407,0,10068,10348,10068,10300
20080408,0,10250,10342,10240,10280
20080409,0,10180,10378,10180,10342
20080410,0,10510,10650,10504,10530
20080411,0,10550,10550,10470,10474
20080414,0,10460,10850,10366,10628
20080415,0,10690,11000,10612,10800
20080416,0,10776,10790,10500,10700
20080417,0,10540,10766,10540,10680
20080418,0,10764,10764,10632,10660
20080421,0,10660,10660,10152.380952,10168.182324
20080422,0,10031.895497,10296.568464,10031.895497,10251.139522
20080423,0,10468.408375,10567.166945,10421.004262,10567.166945
20080424,0,10470.383546,10507.911803,10379.525662,10393.351862
20080425,0,10154.356124,10239.288494,10154.356124,10180.033352
20080428,0,10146.455438,10304.46915,10146.455438,10282.742264
20080429,0,10148.43061,10150.405781,9893.6335,10033.870669
20080430,0,10023.994812,10073.374097,9939.062442,10043.746526
20080505,0,10055.597554,10089.175468,9994.367241,10043.746526
20080506,0,10083.249954,10219.53678,10061.523068,10170.157495
20080507,0,10162.256809,10237.313322,10033.870669,10043.746526
20080508,0,10142.505095,10221.511951,10099.051325,10180.033352
20080509,0,10278.791921,10278.791921,10118.803039,10144.480267
20080512,0,10278.791921,10646.1738,10278.791921,10586.918659
20080513,0,10545.440059,10567.166945,10450.631832,10478.284232
20080514,0,10606.670372,10705.428942,10529.638688,10656.049657
20080515,0,10586.918659,10604.695201,10272.866407,10468.408375
20080516,0,10448.656661,10517.78766,10373.600148,10460.507689
20080519,0,10555.315916,10577.042802,10391.376691,10407.178062
20080520,0,10270.891236,10365.699463,10251.139522,10310.394664
20080521,0,9875.856958,10357.798777,9875.856958,10322.245692
20080522,0,10468.408375,10744.93237,10330.146378,10361.74912
20080523,0,10270.891236,10336.071892,10128.678896,10336.071892
20080526,0,10468.408375,10577.042802,10377.550491,10458.532518
20080527,0,10515.812488,10713.329628,10450.631832,10553.340745
20080528,0,10426.929776,10515.812488,10359.773948,10448.656661
20080529,0,10454.582175,10517.78766,10409.153233,10430.880119
20080530,0,10270.891236,10310.394664,10130.654067,10176.083009
20080602,0,10320.270521,10347.92292,10253.114693,10280.767093
20080603,0,10253.114693,10330.146378,10253.114693,10290.64295
20080604,0,10237.313322,10296.568464,10221.511951,10243.238836
20080605,0,10290.64295,10326.196035,10231.387808,10282.742264
20080606,0,10567.166945,10665.925514,10454.582175,10492.110432
20080610,0,10567.166945,10616.546229,10541.489717,10557.291088
20080611,0,10470.383546,10794.311655,10446.68149,10697.528256
20080612,0,10863.442653,11041.208079,10677.776543,10796.286826
20080613,0,10863.442653,11090.587363,10756.783398,10930.598481
20080616,0,11058.984621,11114.28942,10906.896424,10946.399852
20080617,0,10843.690939,10843.690939,10588.89383,10663.950343
20080618,0,10687.652399,10831.839911,10640.248286,10640.248286
20080619,0,10656.049657,10703.453771,10557.291088,10586.918659
20080620,0,10468.408375,10519.762831,10359.773948,10379.525662
20080623,0,10300.518807,10456.557347,10290.64295,10377.550491
20080624,0,10371.624977,10387.426348,10245.214008,10300.518807
20080625,0,10270.891236,10314.345006,10223.487122,10278.791921
20080626,0,10338.047063,10537.539374,10338.047063,10517.78766
20080627,0,10725.180656,10725.180656,10533.589031,10555.315916
20080630,0,10567.166945,10685.677228,10547.415231,10584.943487
20080701,0,10592.844173,10721.230313,10592.844173,10721.230313
20080702,0,10764.684084,10802.21234,10658.024829,10691.602742
20080703,0,10723.205485,10760.733741,10290.64295,10428.904947
20080704,0,10478.284232,10515.812488,10359.773948,10468.408375
20080707,0,10369.649805,10432.85529,10294.593293,10403.227719
20080708,0,10205.71058,10353.848434,10197.809894,10338.047063
20080709,0,10330.146378,10395.327034,10270.891236,10330.146378
20080710,0,10379.525662,10389.401519,10272.866407,10349.898092
