date,time,open,high,low,close
20110325,0,18935,19135,18860,18950
20110328,0,18900,19035,18500,18605
20110329,0,18530,18735,18485,18675
20110330,0,18800,18850,18695,18760
20110331,0,18700,18720,18580,18665
20110401,0,18780,18780,18570,18640
20110406,0,18675,19360,18675,19220
20110407,0,19200,19300,19035,19075
20110408,0,19090,19250,19005,19175
20110411,0,19250,19440,19145,19210
20110412,0,19000,19125,18790,18800
20110413,0,18610,18745,18540,18715
20110414,0,18555,18690,18540,18580
20110415,0,18605,18780,18505,18580
20110418,0,18575,18650,18525,18580
20110419,0,18300,18350,17950,17980
20110420,0,18065,18180,18065,18165
20110421,0,18300,18300,18140,18180
20110422,0,18235,18235,17880,17975
20110425,0,17980,18050,17760,17760
20110426,0,17695,17695,17420,17645
20110427,0,17620,17790,17420,17550
20110428,0,17555,17850,17555,17755
20110429,0,17665,17725,17530,17550
20110503,0,17550,17650,17460,17530
20110504,0,17590,17595,17440,17480
20110505,0,17310,17310,16450,16715
20110506,0,16220,16440,16190,16255
20110509,0,16330,16640,16330,16620
20110510,0,16505,16710,16465,16645
20110511,0,16690,17200,16595,16675
20110512,0,16450,16500,16220,16220
20110513,0,16475,16740,16340,16705
20110516,0,16575,16655,16460,16555
20110517,0,16505,16610,16230,16570
20110518,0,16735,16855,16620,16710
20110519,0,17180,17180,16925,16945
20110520,0,16995,16995,16850,16935
20110523,0,17000,17075,16565,16610
20110524,0,16605,16800,16525,16760
20110525,0,16870,17095,16790,17090
20110526,0,17050,17230,17050,17205
20110527,0,17100,17340,17040,17315
20110530,0,17230,17370,17030,17040
20110531,0,17115,17180,16895,17095
20110601,0,17085,17085,16910,16955
20110602,0,16840,16900,16780,16880
20110603,0,16710,16980,16675,16890
20110607,0,16890,17165,16845,17030
20110608,0,17100,17180,16865,17020
20110609,0,17105,17130,16985,16985
20110610,0,17080,17150,16990,17070
20110613,0,16970,17025,16835,16940
20110614,0,16965,16975,16820,16940
20110615,0,17030,17070,16955,16980
20110616,0,16835,16870,16680,16695
20110617,0,16720,16780,16600,16620
20110620,0,16550,16630,16455,16470
20110621,0,16535,16890,16530,16850
20110622,0,16800,16850,16685,16720
20110623,0,16905,16910,16715,16855
20110624,0,16875,17045,16860,17030
20110627,0,16910,16965,16750,16770
20110628,0,16850,16955,16820,16865
20110629,0,16940,16980,16880,16975
20110630,0,17100,17210,17050,17200
20110701,0,17200,17235,17125,17160
20110704,0,17205,17410,17205,17350
20110705,0,17335,17430,17215,17220
20110706,0,17280,17355,17250,17315
20110707,0,17285,17385,17225,17320
20110708,0,17415,17465,17300,17305
20110711,0,17220,17305,17070,17170
20110712,0,17080,17185,17070,17185
20110713,0,17350,17700,17310,17695
20110714,0,17550,17595,17480,17555
20110715,0,17465,17530,17415,17435
20110718,0,17485,17580,17455,17520
20110719,0,17585,17740,17565,17735
20110720,0,17740,17815,17610,17685
20110721,0,17600,17650,17430,17445
20110722,0,17485,17580,17485,17580
20110725,0,17530,17535,17400,17410
20110726,0,17410,17695,17410,17635
20110727,0,17670,17835,17645,17770
20110728,0,17700,17725,17580,17700
20110729,0,17635,17780,17430,17540
20110801,0,17570,17660,17530,17600
20110802,0,17450,17535,17075,17190
20110803,0,17085,17280,17055,17090
20110804,0,17080,17095,16870,16920
20110805,0,16560,16620,15960,16270
20110808,0,15555,16175,15435,16150
20110809,0,15399.646154,16055.584615,15106.461538,15926.384615
20110810,0,16199.692308,16502.815385,15901.538462,16378.584615
20110811,0,16458.092308,16487.907692,16299.076923,16423.307692
20110812,0,16636.984615,16651.892308,16507.784615,16557.476923
20110815,0,16557.476923,16731.4,16557.476923,16627.046154
20110816,0,16731.4,16731.4,16309.015385,16348.769231
20110817,0,16353.738462,16592.261538,16353.738462,16552.507692
20110818,0,16547.538462,16661.830769,16522.692308,16567.415385
20110819,0,16318.953846,16497.846154,16309.015385,16497.846154
20110822,0,16577.353846,16627.046154,16468.030769,16468.030769
20110823,0,16448.153846,16562.446154,16428.276923,16547.538462
20110824,0,16686.676923,16686.676923,16547.538462,16587.292308
20110825,0,16622.076923,16711.523077,16582.323077,16676.738462
20110826,0,16751.276923,16776.123077,16617.107692,16656.861538
20110829,0,16791.030769,16830.784615,16716.492308,16756.246154
20110830,0,16805.938462,16890.415385,16721.461538,16800.969231
20110831,0,16835.753846,16880.476923,16781.092308,16850.661538
20110901,0,16840.723077,16885.446154,16676.738462,16681.707692
20110902,0,16681.707692,16711.523077,16458.092308,16532.630769
20110905,0,16458.092308,16617.107692,16403.430769,16453.123077
20110906,0,16413.369231,16428.276923,16259.323077,16343.8
20110907,0,16418.338462,16562.446154,16378.584615,16557.476923
20110908,0,16582.323077,16602.2,16482.938462,16507.784615
20110909,0,16517.723077,16587.292308,16453.123077,16497.846154
20110913,0,16497.846154,16497.846154,16299.076923,16318.953846
20110914,0,16323.923077,16463.061538,16179.815385,16249.384615
20110915,0,16244.415385,16269.261538,16145.030769,16174.846154
20110916,0,16239.446154,16259.323077,16184.784615,16249.384615
20110919,0,16120.184615,16120.184615,15663.015385,15707.738462
20110920,0,15479.153846,15782.276923,15479.153846,15653.076923
20110921,0,15618.292308,15717.676923,15504,15702.769231
20110922,0,15422.62593,15422.62593,14764.043433,14985.209197
20110923,0,14557.622054,14557.622054,14223.416011,14223.416011
20110926,0,13795.828867,14031.739015,13363.326929,13397.730492
20110927,0,13962.931889,14297.137932,13962.931889,14139.8645
20110928,0,14380.689443,14434.752185,14007.165042,14257.819574
20110929,0,13658.214614,14115.290526,13358.412134,14115.290526
20110930,0,14071.057373,14626.42918,14071.057373,14626.42918
20111010,0,14365.945058,14641.173564,14365.945058,14488.814927
20111011,0,14695.236307,14729.63987,14474.070543,14518.303696
20111012,0,14478.985338,14680.491922,14351.200674,14646.088359
20111013,0,14695.236307,14788.617407,14601.855206,14655.917949
20111014,0,14646.088359,14842.680149,14646.088359,14827.935765
20111017,0,14832.85056,14896.742892,14709.980691,14783.702612
20111018,0,14483.900132,14537.962875,14159.523679,14174.268063
20111019,0,14400.191948,14400.191948,14115.331398,14213.559173
20111020,0,13467.028077,13761.711404,13457.205299,13604.546963
