date,time,open,high,low,close
20200330,0,2350,2438,2318,2366
20200331,0,2430,2545,2404,2545
20200401,0,2547,2642,2530,2624
20200402,0,2644,2779,2607,2779
20200403,0,2790,2875,2732,2875
20200407,0,2920,3063,2913,3019
20200408,0,2986,3014,2891,2939
20200409,0,2980,3044,2964,3018
20200410,0,2930,3022,2913,3021
20200413,0,3075,3178,3075,3139
20200414,0,3146,3166,3087,3159
20200415,0,3116,3336,3108,3243
20200416,0,3250,3312,3178,3265
20200417,0,3296,3330,3128,3188
20200420,0,3088,3226,3080,3221
20200421,0,3200,3266,3132,3240
20200422,0,3182,3220,3065,3129
20200423,0,3169,3350,3147,3350
20200424,0,3350,3423,3315,3400
20200427,0,3380,3594,3369,3576
20200428,0,3553,3659,3297,3357
20200429,0,3357,3469,3269,3319
20200430,0,3360,3397,3315,3394
20200506,0,3500,3524,3377,3440
20200507,0,3415,3469,3389,3413
20200508,0,3448,3463,3355,3454
20200511,0,3455,3507,3326,3348
20200512,0,3350,3356,3272,3342
20200513,0,3353,3355,3209,3224
20200514,0,3235,3273,3205,3257
20200515,0,3257,3295,3226,3275
20200518,0,3274,3279,3168,3230
20200519,0,3250,3375,3243,3360
20200520,0,3360,3426,3342,3388
20200521,0,3399,3414,3365,3383
20200522,0,3385,3433,3292,3339
20200525,0,3365,3485,3356,3431
20200526,0,3421,3439,3372,3406
20200527,0,3415,3433,3368,3397
20200528,0,3391,3445,3374,3434
20200529,0,3445,3448,3398,3438
20200601,0,3437,3537,3414,3525
20200602,0,3518,3619,3517,3606
20200603,0,3600,3610,3560,3592
20200604,0,3583,3584,3508,3516
20200605,0,3514,3605,3513,3592
20200608,0,3635,3677,3534,3549
20200609,0,3532,3598,3531,3584
20200610,0,3573,3588,3535,3549
20200611,0,3549,3558,3376,3406
20200612,0,3380,3395,3268,3347
20200615,0,3370,3425,3313,3373
20200616,0,3354,3488,3342,3461
20200617,0,3485,3516,3440,3481
20200618,0,3479,3505,3453,3477
20200619,0,3482,3573,3462,3559
20200622,0,3570,3588,3493,3517
20200623,0,3525,3567,3501,3546
20200624,0,3551,3556,3461,3523
20200629,0,3487,3506,3437,3483
20200630,0,3500,3577,3497,3560
20200701,0,3551,3574,3510,3542
20200702,0,3535,3621,3531,3604
20200703,0,3604,3630,3577,3624
20200706,0,3615,3625,3532,3573
20200707,0,3569,3625,3540,3589
20200708,0,3598,3646,3567,3586
20200709,0,3589,3673,3580,3667
20200710,0,3680,3687,3591,3624
20200713,0,3630,3897,3621,3829
20200714,0,3824,3856,3773,3843
20200715,0,3830,3918,3807,3886
20200716,0,3894,3908,3836,3874
20200717,0,3875,3984,3845,3865
20200720,0,3856,3895,3774,3874
20200721,0,3872,4025,3865,3992
20200722,0,4007,4059,3939,4015
20200723,0,4001,4024,3953,4004
20200724,0,3988,3996,3910,3946
20200727,0,3965,4033,3854,3919
20200728,0,3928,3962,3839,3888
20200729,0,3884,3950,3856,3934
20200730,0,3910,3926,3797,3838
20200731,0,3815,3884,3780,3826
20200803,0,3826,3861,3760,3841
20200804,0,3848,3910,3834,3856
20200805,0,3859,4022,3817,3977
20200806,0,4000,4018,3926,3978
20200807,0,3998,4036,3910,3948
20200810,0,3948,4038,3898,3924
20200811,0,3930,3965,3861,3873
20200812,0,3890,3905,3810,3894
20200813,0,3900,3930,3829,3841
20200814,0,3854,3873,3814,3867
20200817,0,3875,3956,3841,3862
20200818,0,3860,3899,3846,3865
20200819,0,3868,3875,3790,3856
20200820,0,3838,3871,3476,3584
20200821,0,3580,3636,3551,3602
20200824,0,3585,3617,3565,3605
20200825,0,3600,3636,3525,3611
20200826,0,3623,3629,3563,3600
20200827,0,3619,3664,3579,3631
20200828,0,3632,3700,3620,3685
20200831,0,3687,3764,3639,3673
20200901,0,3666,3700,3622,3682
20200902,0,3689,3695,3548,3583
20200903,0,3583,3609,3533,3557
20200904,0,3538,3610,3514,3558
20200907,0,3560,3569,3434,3533
20200908,0,3520,3563,3502,3521
20200909,0,3488,3549,3401,3519
20200910,0,3525,3583,3379,3422
20200911,0,3418,3460,3359,3391
20200914,0,3391,3448,3374,3425
20200915,0,3425,3445,3377,3402
20200916,0,3415,3477,3395,3449
20200917,0,3454,3470,3405,3447
20200918,0,3455,3579,3410,3566
20200921,0,3555,3596,3467,3480
20200922,0,3477,3492,3333,3418
20200923,0,3421,3468,3372,3434
20200924,0,3445,3498,3411,3417
20200925,0,3418,3533,3390,3508
20200928,0,3521,3558,3431,3446
20200929,0,3450,3474,3421,3430
20200930,0,3426,3435,3347,3415
20201009,0,3495,3585,3476,3560
20201012,0,3570,3725,3554,3698
20201013,0,3696,3725,3661,3685
20201014,0,3699,3761,3668,3737
20201015,0,3746,3853,3716,3806
20201016,0,3784,3847,3735,3751
20201019,0,3710,3759,3633,3680
20201020,0,3645.524625,3715.460385,3645.524625,3682.955032
20201021,0,3687.880086,3703.640257,3660.299786,3680.985011
20201022,0,3685.910064,3751.905782,3639.614561,3715.460385
20201023,0,3715.460385,3766.680942,3685.910064,3717.430407
20201026,0,3742.055675,3775.546039,3670.149893,3696.745182
20201027,0,3771.605996,3771.605996,3686.895075,3709.550321
20201028,0,3688.865096,3740.085653,3625.824411,3667.194861
20201029,0,3644.539615,3723.340471,3616.959315,3704.625268
20201030,0,3663.254818,3879.957173,3600.214133,3826.766595
20201102,0,3836.616702,3896.702355,3778.501071,3830.706638
20201103,0,3841.541756,3841.541756,3723.340471,3753.875803
20201104,0,3762.740899,3775.546039,3656.359743,3728.265525
20201105,0,3780.471092,3780.471092,3660.299786,3697.730193
20201106,0,3697.730193,3724.325482,3645.524625,3697.730193
20201109,0,3689.850107,3710.535332,3515.503212,3526.33833
20201110,0,3555.888651,3611.049251,3497.773019,3507.623126
20201111,0,3509.593148,3546.038544,3496.788009,3517.473233
20201112,0,3506.638116,3620.899358,3506.638116,3607.109208
20201113,0,3595.289079,3620.899358,3457.38758,3469.207709
20201116,0,3469.207709,3517.473233,3449.507495,3513.533191
20201117,0,3513.533191,3565.738758,3470.192719,3538.158458
20201118,0,3541.11349,3581.498929,3477.087794,3566.723769
20201119,0,3566.723769,3588.352193,3520.51759,3530.348692
20201120,0,3522.48381,3533.298022,3404.510587,3422.206571
20201123,0,3431.054563,3502.821606,3412.375469,3495.939835
20201124,0,3504.787827,3519.53448,3465.463419,3499.872276
