date,time,open,high,low,close
20140228,0,10680,10720,10604,10657
20140303,0,10696,10790,10602,10632
20140304,0,10644.389202,10665.037871,10588.637794,10640.259468
20140305,0,10694.978442,10696.010876,10594.832395,10633.032433
20140306,0,10623.104299,10623.104299,10484.110411,10563.535489
20140307,0,10598.86504,10598.86504,10525.088626,10572.887429
20140310,0,10417.021767,10546.909819,10391.044156,10471.055196
20140311,0,10490.79818,10754.730702,10442.999377,10578.082951
20140312,0,10484.563554,10591.591309,10454.429526,10589.5131
20140313,0,10598.86504,10636.272799,10562.496385,10608.216979
20140314,0,10598.86504,10609.256084,10515.736686,10568.731012
20140317,0,10562.496385,10692.384437,10536.518775,10568.731012
20140318,0,10520.932208,10692.384437,10520.932208,10686.149811
20140319,0,10702.775481,10752.652493,10613.412501,10613.412501
20140320,0,10619.647128,10661.211305,10593.669518,10640.429216
20140321,0,10605.099666,10697.579959,10600.943248,10687.188915
20140324,0,10681.993393,10727.713987,10641.468321,10713.166525
20140325,0,10718.362047,10844.093682,10692.384437,10812.920549
20140326,0,10795.255774,10972.942629,10791.099356,10938.652184
20140327,0,10941.769497,10941.769497,10883.579649,10902.283529
20140328,0,10910.596364,11040.484416,10902.283529,11035.288894
20140331,0,11033.210685,11066.462027,10976.059942,10995.802926
20140401,0,11004.115762,11143.355753,10967.747107,11123.61277
20140402,0,11098.674264,11125.690978,11066.462027,11089.322324
20140403,0,11097.635159,11123.61277,11020.741432,11102.830681
20140404,0,11102.830681,11255.57903,11102.830681,11241.031568
20140408,0,11232.718733,11261.813657,11144.394858,11176.607095
20140409,0,11211.936645,11211.936645,11076.853071,11152.707693
20140410,0,11170.372468,11227.523211,11099.713368,11099.713368
20140411,0,11087.244115,11139.199336,11034.24979,11119.456352
20140414,0,11170.372468,11195.310974,11097.635159,11178.685304
20140415,0,11186.998139,11249.344404,11147.512171,11215.053958
20140416,0,11204.662914,11228.562315,11166.216051,11193.232765
20140417,0,11191.154557,11326.238131,11180.763512,11300.26052
20140418,0,11311.690669,11312.729773,11214.014854,11299.221416
20140421,0,11300.26052,11365.724098,11257.657239,11312.729773
20140422,0,11315.847086,11471.712749,11285.713058,11404.170962
20140423,0,11414.562006,11415.60111,11291.947685,11352.215741
20140424,0,11351.176637,11377.154247,11237.914255,11318.9644
20140425,0,11326.238131,11345.981114,11102.830681,11121.534561
20140428,0,11128.808292,11147.512171,11076.853071,11124.651874
20140429,0,11118.417247,11191.154557,11072.696653,11178.685304
20140430,0,11182.841721,11196.350079,11131.925605,11167.255155
20140505,0,11170.372468,11272.204701,11092.439637,11271.165597
20140506,0,11255.57903,11315.847086,11230.640524,11274.28291
20140507,0,11274.28291,11393.779918,11246.227091,11359.489472
20140508,0,11383.388873,11383.388873,11267.009179,11297.143207
20140509,0,11309.61246,11309.61246,11170.372468,11192.193661
20140512,0,11211.936645,11253.500821,11132.964709,11171.411573
20140513,0,11194.27187,11207.780227,11144.394858,11201.545601
20140514,0,11232.718733,11237.914255,11137.121127,11172.450677
20140515,0,11159.981424,11159.981424,11084.126802,11093.478741
20140516,0,11082.048593,11110.104412,11014.506806,11109.065308
20140519,0,11105.947994,11170.372468,11056.070982,11115.299934
20140520,0,11097.635159,11123.61277,11038.406207,11113.221725
20140521,0,11098.674264,11211.936645,11071.657549,11185.959034
20140522,0,11185.959034,11353.254845,11175.56799,11349.098428
20140523,0,11340.785592,11482.103793,11308.573355,11470.673644
20140526,0,11469.63454,11514.31603,11395.858126,11488.338419
20140527,0,11472.751853,11481.064688,11248.305299,11253.500821
20140528,0,11250.383508,11299.221416,11185.959034,11297.143207
20140529,0,11263.891866,11407.288275,11263.891866,11361.567681
20140530,0,11360.528576,11423.913946,11296.104103,11414.562006
20140603,0,11430.148572,11511.198717,11398.97544,11506.003194
20140604,0,11502.885881,11581.857817,11476.908271,11497.690359
20140605,0,11492.494837,11598.483487,11465.478122,11567.310355
20140606,0,11565.232146,11604.718114,11517.433343,11553.801998
20140609,0,11528.863492,11581.857817,11469.63454,11522.628865
20140610,0,11544.450058,11816.695415,11544.450058,11808.382579
20140611,0,11793.835118,11882.158993,11732.527957,11772.013925
20140612,0,11752.270941,11832.281981,11695.120198,11794.874222
20140613,0,11845.790338,11982.952121,11811.499893,11837.477503
20140616,0,11849.946756,11896.706455,11753.310045,11868.650636
20140617,0,11845.790338,11886.315411,11655.63423,11695.120198
20140618,0,11705.511242,11736.684375,11592.248861,11643.164977
20140619,0,11669.142588,11695.120198,11576.662295,11595.366174
20140620,0,11611.991845,11682.650945,11558.99752,11661.868857
20140623,0,11640.047664,11675.377214,11326.238131,11326.238131
20140624,0,11326.238131,11376.115143,11294.025894,11343.902906
20140625,0,11326.238131,11372.997829,11258.696344,11333.511861
20140626,0,11333.511861,11395.858126,11279.478432,11330.394548
20140627,0,11312.729773,11428.070363,11307.534251,11383.388873
20140630,0,11378.193351,11472.751853,11352.215741,11436.383199
20140701,0,11470.673644,11677.455423,11419.757528,11658.751544
20140702,0,11658.751544,11699.276616,11388.584395,11616.148263
20140703,0,11634.852142,11706.550347,11577.701399,11640.047664
20140704,0,11656.673335,11765.779298,11630.695724,11742.919001
20140707,0,11741.879897,11796.952431,11643.164977,11758.505567
20140708,0,11752.270941,11767.857507,11583.936026,11710.706764
20140709,0,11709.66766,11734.606166,11456.126183,11590.170652
20140710,0,11554.841102,11632.773933,11524.707074,11597.444383
20140711,0,11656.673335,11656.673335,11561.075728,11636.930351
20140714,0,11572.505877,11652.516917,11554.841102,11629.65662
20140715,0,11637.969455,11725.254226,11604.718114,11625.500202
20140716,0,11586.014234,11679.533632,11511.198717,11675.377214
20140717,0,11681.611841,11705.511242,11542.371849,11542.371849
20140718,0,11554.841102,11562.114833,11408.327379,11506.003194
20140721,0,11471.712749,11542.371849,11446.774243,11514.31603
20140722,0,11535.098118,11562.114833,11467.556331,11474.830062
20140723,0,11456.126183,11587.053339,11450.93066,11586.014234
20140724,0,11599.522592,11625.500202,11558.99752,11563.153937
20140725,0,11565.232146,11687.846467,11542.371849,11687.846467
20140728,0,11663.947066,11743.958106,11653.556021,11727.332435
20140729,0,11726.293331,11818.773624,11710.706764,11788.639596
20140730,0,11783.444073,11811.499893,11753.310045,11779.287656
20140731,0,11769.367792,11777.083242,11706.541985,11756.141306
20140801,0,11736.301578,11827.78477,11683.395635,11688.906671
20140804,0,11666.862528,11735.19937,11632.694107,11697.724328
20140805,0,11738.505992,11738.505992,11535.699879,11588.605821
20140806,0,11556.641814,11663.555907,11556.641814,11644.818385
20140807,0,11641.511764,11650.329421,11564.357264,11612.854378
20140808,0,11612.854378,11639.30735,11490.509386,11559.948436
20140811,0,11570.970507,11670.169149,11559.948436,11624.978657
20140812,0,11617.263207,11621.672035,11535.699879,11542.313122
20140813,0,11527.984429,11533.495465,11442.012272,11509.246908
20140814,0,11507.042493,11570.970507,11451.932137,11526.882222
20140815,0,11504.838079,11617.263207,11469.567451,11613.956585
20140818,0,11623.87645,11656.942664,11580.890371,11652.533835
20140819,0,11661.351492,11683.395635,11617.263207,11660.249285
20140820,0,11650.329421,11650.329421,11541.210915,11567.663886
20140821,0,11601.832307,11736.301578,11595.219064,11732.994956
20140822,0,11738.505992,11753.936892,11696.622121,11723.075092
20140825,0,11727.48392,11736.301578,11653.636042,11734.097163
20140826,0,11730.790542,11775.981034,11669.066942,11723.075092
20140827,0,11716.461849,11745.119235,11691.111085,11707.644192
20140828,0,11691.111085,11716.461849,11634.898521,11658.044871
20140829,0,11661.351492,11682.293428,11591.912443,11611.752171
20140901,0,11628.285278,11654.738249,11553.335193,11585.2992
20140902,0,11588.605821,11706.541985,11577.58375,11705.439778
20140903,0,11682.293428,11707.644192,11648.125007,11707.644192
20140904,0,11734.097163,11863.055398,11714.257435,11774.878827
20140905,0,11781.49207,11783.696484,11629.387485,11650.329421
20140909,0,11639.30735,11654.738249,11545.619743,11562.15285
20140910,0,11557.744022,11607.343343,11486.100558,11492.713801
20140911,0,11464.056415,11493.816008,11416.661508,11482.793936
20140912,0,11498.224836,11514.757943,11339.507009,11413.354887
20140915,0,11396.82178,11467.363036,11375.879844,11446.421101
20140916,0,11457.443172,11539.0065,11423.274751,11480.589522
20140917,0,11518.064565,11550.028572,11386.901916,11391.310744
20140918,0,11363.755566,11389.10633,11293.214309,11308.645209
20140919,0,11286.601066,11330.689352,11229.286295,11267.863545
20140922,0,11253.534852,11266.761338,11028.684597,11080.488332
20140923,0,11071.670675,11126.781032,10908.544019,11020.969147
20140924,0,11019.86694,11141.109724,10984.596311,11138.90531
20140925,0,11155.438417,11242.512781,11084.89716,11200.62891
20140926,0,11178.584767,11264.556924,11111.350132,11242.512781
20140929,0,11253.534852,11371.471016,11143.314139,11371.471016
20140930,0,11385.799708,11418.865923,11309.747416,11405.639437
20141008,0,11242.512781,11242.512781,11011.049282,11041.911082
20141009,0,11044.115496,11092.61261,10989.00514,11049.626532
20141010,0,10966.960997,10966.960997,10614.254714,10647.320928
20141013,0,10647.320928,10845.718212,10636.298856,10759.746056
20141014,0,10779.585784,10898.624155,10769.66592,10868.864562
20141015,0,10689.204799,10985.698518,10586.699535,10886.499876
20141016,0,10826.980691,10841.309384,10680.387142,10759.746056
20141017,0,10834.696141,10878.784426,10431.288329,10451.128058
20141020,0,10459.945715,10535.998007,10366.258108,10375.075765
20141021,0,10361.84928,10421.368465,10294.614644,10375.075765
20141022,0,10448.923643,10469.865579,10389.404458,10422.470672
20141023,0,10324.374237,10577.881878,10314.454373,10575.677464
20141024,0,10636.298856,10847.922626,10619.765749,10810.447584
20141027,0,10800.52772,10832.491726,10728.884256,10765.257091
20141028,0,10822.571862,10966.960997,10769.66592,10936.099197
20141029,0,10944.916854,11031.991218,10921.770504,11029.786804
20141030,0,11033.093425,11069.466261,10977.983068,11023.173561
20141031,0,11000.027211,11141.109724,10889.806498,11116.861167
20141103,0,11103.634682,11131.18986,10962.552168,10998.925004
20141104,0,10911.85064,10966.960997,10806.038755,10842.411591
20141105,0,10812.651998,10812.651998,10618.663542,10638.503271
20141106,0,10735.497499,10906.339605,10715.65777,10897.521947
20141107,0,10886.499876,11019.86694,10846.820419,10993.413968
20141110,0,11016.560318,11098.123646,10963.654376,11082.692746
20141111,0,11041.911082,11058.444189,10792.81227,10833.593934
20141112,0,10840.207176,10917.361676,10801.629927,10855.638076
20141113,0,10821.469655,10906.339605,10753.132813,10895.317533
20141114,0,10779.585784,10804.936548,10655.036378,10737.701913
20141117,0,10834.696141,10854.535869,10698.022456,10713.453356
20141118,0,10764.154884,10764.154884,10619.765749,10678.182728
20141119,0,10667.160656,10818.163034,10593.312778,10725.577634
20141120,0,10710.146734,10758.643848,10615.356921,10624.174578
20141121,0,10734.395291,10754.23502,10653.934171,10737.701913
20141124,0,10793.914477,10830.287312,10651.729756,10709.044527
20141125,0,10643.605079,10767.212926,10518.785391,10751.458985
20141126,0,10646.028762,10702.985319,10590.284047,10658.147179
20141127,0,10620.580088,10700.561636,10567.259056,10665.418228
20141128,0,10225.519715,10449.710417,10225.519715,10313.984154
20141201,0,10173.410525,10173.410525,9946.796139,9946.796139
20141202,0,10298.230213,10298.230213,10037.684262,10058.285569
20141203,0,10002.540854,10021.93032,9865.602749,9956.490872
20141204,0,9941.948772,10069.192144,9926.194831,9998.905329
20141205,0,9962.55008,9971.032972,9806.222509,9900.746157
20141208,0,9842.577758,9937.101406,9682.614663,9695.944921
20141209,0,9549.312083,9573.548915,9402.679245,9426.916078
20141210,0,9452.364752,9494.779209,9331.180588,9425.704236
20141211,0,9331.180588,9342.087163,9209.996425,9323.909539
20141212,0,9234.233258,9414.797661,9189.395117,9369.959521
20141215,0,9289.977973,9600.209431,9137.285927,9525.07525
20141216,0,9366.323996,9519.016042,9355.417421,9443.881861
20141217,0,9452.364752,9527.498933,9243.927991,9391.77267
20141218,0,9454.788435,9565.066024,9380.866096,9459.635802
20141219,0,9411.162136,9441.458177,9331.180588,9392.984512
20141222,0,9525.07525,9694.733079,9452.364752,9509.321309
20141223,0,9428.127919,9500.838417,9391.77267,9453.576594
20141224,0,9549.312083,9573.548915,9391.77267,9488.720001
20141225,0,9462.059485,9551.735766,9440.246336,9459.635802
20141226,0,9483.872634,9504.473942,9395.408195,9408.738453
20141229,0,9391.77267,9476.601585,9372.383204,9408.738453
20141230,0,9382.077937,9629.293631,9356.629263,9459.635802
20141231,0,9495.991051,9668.072563,9471.754218,9660.801513
20150105,0,9563.854182,9563.854182,9151.828027,9206.3609
20150106,0,9088.812262,9195.454325,9000.347822,9116.684619
20150107,0,9070.634637,9137.285927,8943.391265,9006.40703
20150108,0,9064.575429,9086.388578,8953.085998,8954.29784
20150109,0,8955.509682,8982.170198,8664.667689,8664.667689
20150112,0,8604.075608,8743.437396,8574.991408,8728.895296
20150113,0,8652.549273,8807.665002,8631.947965,8710.717671
20150114,0,8785.851853,8840.384726,8664.667689,8724.047929
