date,time,open,high,low,close
20241226,0,44000,44000,41010,41570
20241227,0,41600,42160,41225,41950
20241230,0,41900,43010,41750,42535
20241231,0,42570,42705,42230,42465
20250102,0,42315,42680,42315,42570
20250103,0,42570,42780,42365,42560
20250106,0,42600,43600,42560,43325
20250107,0,43325,43450,42765,43185
20250108,0,43185,43390,42650,42700
20250109,0,43000,43000,42165,42575
20250110,0,42660,43480,42435,43070
20250113,0,43270,43480,42865,43385
20250114,0,43305,43850,43120,43650
20250115,0,43550,44640,43550,44225
20250116,0,44235,44445,43800,44130
20250117,0,44130,45190,44015,44940
20250120,0,44505,45060,44505,44705
20250121,0,44780,44850,43940,44265
20250122,0,44000,44185,43360,43770
20250123,0,43760,43965,43315,43380
20250124,0,43310,43770,42965,43195
20250127,0,43325,43735,43100,43730
20250205,0,43540,44140,42820,43200
20250206,0,43200,43880,43180,43795
20250207,0,43800,44645,43740,44105
20250210,0,44000,44555,43805,44435
20250211,0,44500,44550,43705,43870
20250212,0,43810,44275,43800,43915
20250213,0,43950,44150,43620,43810
20250214,0,44100,44260,43845,44150
20250217,0,44100,44360,43915,44270
20250218,0,44270,44400,44085,44160
20250219,0,44270,44275,44015,44060
20250220,0,43950,44080,43660,43765
20250221,0,43860,44100,43555,43825
20250224,0,43690,43920,43610,43900
20250225,0,43840,44065,43710,43835
20250226,0,43805,44600,43660,44515
20250227,0,44500,44795,44310,44550
20250228,0,44535,44620,44155,44265
20250303,0,44265,44480,44125,44390
20250304,0,44290,44415,43800,44100
20250305,0,44100,44145,43800,43875
20250306,0,43905,44480,43720,44400
20250307,0,44400,44450,43980,44015
20250310,0,44060,44200,43815,43850
20250311,0,43900,44180,43900,44150
20250312,0,44160,44255,43910,44050
20250313,0,44060,44230,43950,44120
20250314,0,43995,44185,43750,43770
20250317,0,43780,43780,43070,43220
20250318,0,43220,43495,42480,43080
20250319,0,43135,43660,42700,43610
20250320,0,43610,43990,43355,43695
20250321,0,43790,43890,43340,43515
20250324,0,43550,43750,43405,43640
20250325,0,43640,43860,43600,43795
20250326,0,43840,43990,43600,43640
20250327,0,43680,43880,43560,43760
20250328,0,43760,43850,43510,43650
20250331,0,43635,43635,43285,43460
20250401,0,43500,43650,43325,43560
20250402,0,43500,43780,43425,43680
20250403,0,43570,43775,43370,43650
20250407,0,43050,43635,42865,43265
20250408,0,43280,43420,40880,42405
20250409,0,42000,42340,41100,42245
20250410,0,42885,43300,42100,42190
20250411,0,41700,42085,41350,41835
20250414,0,42080,42150,41410,41550
20250415,0,41500,41580,40115,40485
20250416,0,40690,40800,39505,40265
20250417,0,40165,40680,39340,39440
20250418,0,39390,39400,37390,37615
20250421,0,37800,38710,37135,38420
20250422,0,38000,38550,37680,38020
20250423,0,38305,39325,38105,39135
20250424,0,38900,39840,38500,39375
20250425,0,39375,39415,38380,38390
20250428,0,38390,38495,37730,37780
20250429,0,37500,37835,36895,37320
20250430,0,37220,37920,36665,37245
20250506,0,37200,37350,36325,36410
20250507,0,36670,37140,35470,35520
20250508,0,35495,37320,34375,36950
20250509,0,37420,38175,36820,37830
20250512,0,38100,38640,37200,38450
20250513,0,38230,39340,37820,38270
20250514,0,38540,38870,37420,38420
20250515,0,38100,38475,37750,37920
20250516,0,37450,37620,36530,36850
20250519,0,36983.161918,37377.52606,36378.811675,36926.824183
20250520,0,36896.09451,37059.986101,35810.312717,36491.487144
20250521,0,36496.608756,36993.405142,36153.460737,36732.202919
20250522,0,36465.879083,36967.797081,36158.582349,36957.553857
20250523,0,36978.040306,37669.457957,36824.391939,36967.797081
20250526,0,36998.526755,37059.986101,35692.515636,35733.488534
20250527,0,35339.124392,36317.352328,35293.029882,36148.339124
20250528,0,36220.041696,36460.75747,35426.1918,35953.71786
20250529,0,35984.447533,36307.109104,35554.232106,36138.0959
20250530,0,35856.407227,36542.703266,35646.421126,36465.879083
20250603,0,36471.000695,36471.000695,35103.530229,35195.719249
20250604,0,35134.259903,36199.555247,34663.071577,35907.62335
20250605,0,35656.66435,35759.096595,35205.962474,35380.09729
20250606,0,35851.285615,36194.433634,35308.394719,35584.961779
20250609,0,35462.043085,35543.988881,34811.598332,34934.517026
20250610,0,34826.963169,35211.084086,34458.207088,34780.868659
20250611,0,34806.47672,35190.597637,34616.977067,35088.165393
20250612,0,34888.422516,35052.314107,34386.504517,34401.869354
20250613,0,34376.261293,34826.963169,34166.275191,34514.544823
20250616,0,34586.247394,35164.989576,34458.207088,35154.746352
20250617,0,35062.557331,35108.651842,34734.774149,34837.206393
20250618,0,34785.990271,35164.989576,33874.343294,34181.640028
20250619,0,33802.640723,34150.910354,33474.85754,33515.830438
20250620,0,33552.351424,33641.045246,32566.284806,32576.719373
20250623,0,32555.850238,32748.889735,31934.993479,31945.428046
20250624,0,31945.428046,33025.405771,31762.823117,32435.852714
20250625,0,32347.158891,32477.590983,31721.084848,31955.862614
20250626,0,32081.077422,33181.924282,32034.121869,33093.230459
20250627,0,33390.615629,35044.49456,32712.368749,34762.76124
20250630,0,34741.892105,35602.743915,34267.119289,34992.321723
20250701,0,34924.497035,34955.800737,33761.042771,34121.035346
20250702,0,34799.282226,36573.158681,34470.593353,36573.158681
20250703,0,37251.405561,37460.096909,36291.425362,36573.158681
20250704,0,37439.227774,37872.262321,36427.074738,37053.148781
20250707,0,36625.331518,38112.257371,36573.158681,38101.822803
20250708,0,38091.388236,40053.086904,37752.264796,40053.086904
20250709,0,40152.215294,41785.22509,39891.35111,40976.546117
20250710,0,41216.541167,43470.407722,40444.383181,43141.71885
20250711,0,43157.370701,44101.699049,42280.86704,43126.066999
20250714,0,43084.328729,43919.09412,42552.165792,43579.97068
20250715,0,43303.454644,45129.503936,42969.548488,44315.60768
