date,time,open,high,low,close
20241226,0.090500000,42940,43000,42200,42430
20241226,0.091000000,42435,42465,42005,42085
20241226,0.091500000,42095,42345,42000,42250
20241226,0.092000000,42250,42280,42015,42145
20241226,0.092500000,42140,42200,42060,42130
20241226,0.093000000,42130,42160,42020,42045
20241226,0.093500000,42050,42150,42000,42095
20241226,0.094000000,42095,42340,41700,41945
20241226,0.094500000,41905,41940,41660,41750
20241226,0.095000000,41745,41830,41730,41830
20241226,0.095500000,41820,41950,41760,41780
20241226,0.100000000,41770,41855,41515,41545
20241226,0.100500000,41545,41635,41500,41610
20241226,0.101000000,41605,41680,41565,41620
20241226,0.103000000,41610,41625,41425,41475
20241226,0.103500000,41475,41495,41205,41245
20241226,0.104000000,41235,41265,41175,41235
20241226,0.104500000,41240,41275,41010,41030
20241226,0.105000000,41030,41100,41015,41090
20241226,0.105500000,41090,41275,41050,41125
20241226,0.110000000,41120,41480,41120,41380
20241226,0.110500000,41385,41435,41190,41225
20241226,0.111000000,41225,41440,41205,41380
20241226,0.111500000,41380,41650,41335,41600
20241226,0.112000000,41595,41610,41465,41515
20241226,0.112500000,41525,41815,41480,41710
20241226,0.133000000,41695,41700,41350,41400
20241226,0.133500000,41395,41450,41390,41410
20241226,0.134000000,41405,41625,41395,41575
20241226,0.134500000,41570,41620,41500,41565
20241226,0.135000000,41565,41695,41550,41655
20241226,0.135500000,41655,41670,41530,41590
20241226,0.140000000,41600,41770,41595,41675
20241226,0.140500000,41670,41675,41570,41630
20241226,0.141000000,41630,41675,41530,41600
20241226,0.141500000,41600,41660,41560,41655
20241226,0.142000000,41650,41660,41580,41645
20241226,0.142500000,41635,41640,41520,41585
20241226,0.143000000,41575,41610,41365,41370
20241226,0.143500000,41375,41475,41305,41435
20241226,0.144000000,41435,41530,41400,41480
20241226,0.144500000,41480,41520,41435,41465
20241226,0.145000000,41465,41685,41465,41600
20241226,0.145500000,41600,41660,41475,41570
20241227,0.090000000,41600,41765,41225,41310
20241227,0.090500000,41305,41535,41270,41510
20241227,0.091000000,41510,41850,41470,41675
20241227,0.091500000,41675,41895,41590,41850
20241227,0.092000000,41860,42065,41835,42000
20241227,0.092500000,42010,42025,41865,41905
20241227,0.093000000,41900,41950,41750,41915
20241227,0.093500000,41910,41915,41760,41800
20241227,0.094000000,41800,41810,41715,41790
20241227,0.094500000,41795,41910,41790,41850
20241227,0.095000000,41860,41895,41750,41845
20241227,0.095500000,41840,41910,41795,41885
20241227,0.100000000,41885,41925,41825,41880
20241227,0.100500000,41875,41905,41800,41815
20241227,0.101000000,41815,41880,41770,41840
20241227,0.103000000,41835,41915,41785,41870
20241227,0.103500000,41865,41880,41835,41855
20241227,0.104000000,41850,41875,41820,41860
20241227,0.104500000,41860,41965,41800,41850
20241227,0.105000000,41850,41860,41825,41840
20241227,0.105500000,41840,41845,41775,41805
20241227,0.110000000,41805,41810,41565,41660
20241227,0.110500000,41660,41720,41620,41680
20241227,0.111000000,41675,41785,41645,41695
20241227,0.111500000,41690,41705,41545,41585
20241227,0.112000000,41580,41580,41470,41545
20241227,0.112500000,41550,41625,41505,41555
20241227,0.133000000,41560,41605,41500,41580
20241227,0.133500000,41585,41610,41565,41600
20241227,0.134000000,41600,41620,41540,41600
20241227,0.134500000,41600,41605,41550,41580
20241227,0.135000000,41570,41580,41520,41555
20241227,0.135500000,41545,41670,41540,41600
20241227,0.140000000,41595,41630,41575,41605
20241227,0.140500000,41610,41615,41580,41590
20241227,0.141000000,41595,41655,41595,41635
20241227,0.141500000,41635,41635,41600,41605
20241227,0.142000000,41600,41995,41600,41980
20241227,0.142500000,41970,42160,41910,41990
20241227,0.143000000,41990,42015,41875,41910
20241227,0.143500000,41910,41960,41870,41950
20241227,0.144000000,41950,42025,41935,41975
20241227,0.144500000,41960,42030,41905,42015
20241227,0.145000000,42000,42015,41925,41960
20241227,0.145500000,41955,41970,41840,41950
20241230,0.090000000,41900,42160,41750,42030
20241230,0.090500000,42035,42200,41960,42085
20241230,0.091000000,42090,42105,41975,42005
20241230,0.091500000,42000,42020,41930,41975
20241230,0.092000000,41980,41985,41915,41960
20241230,0.092500000,41955,42035,41940,41955
20241230,0.093000000,41955,42010,41945,41985
20241230,0.093500000,41995,42090,41990,42090
20241230,0.094000000,42090,42090,42030,42035
20241230,0.094500000,42040,42110,42005,42100
20241230,0.095000000,42100,42120,42080,42100
20241230,0.095500000,42100,42100,42060,42070
20241230,0.100000000,42070,42080,41970,42030
20241230,0.100500000,42030,42030,41985,42010
20241230,0.101000000,42010,42045,42010,42040
20241230,0.103000000,42040,42095,42020,42050
20241230,0.103500000,42045,42095,42035,42075
20241230,0.104000000,42075,42145,42050,42140
20241230,0.104500000,42145,42385,42095,42350
20241230,0.105000000,42350,42475,42275,42410
20241230,0.105500000,42410,42535,42365,42470
20241230,0.110000000,42480,42525,42375,42410
20241230,0.110500000,42420,42450,42355,42395
20241230,0.111000000,42400,42400,42345,42390
20241230,0.111500000,42390,42475,42385,42435
20241230,0.112000000,42430,42440,42370,42400
20241230,0.112500000,42410,42465,42380,42460
20241230,0.133000000,42475,42480,42405,42420
20241230,0.133500000,42410,42445,42405,42410
20241230,0.134000000,42405,42430,42365,42385
20241230,0.134500000,42390,42445,42385,42415
20241230,0.135000000,42415,42435,42400,42430
20241230,0.135500000,42430,42440,42400,42420
20241230,0.140000000,42425,42600,42425,42540
20241230,0.140500000,42545,42685,42505,42670
20241230,0.141000000,42660,42875,42645,42810
20241230,0.141500000,42815,42825,42735,42755
20241230,0.142000000,42755,42940,42755,42925
20241230,0.142500000,42930,43010,42845,42855
20241230,0.143000000,42855,42915,42830,42860
20241230,0.143500000,42860,42910,42825,42865
20241230,0.144000000,42865,42865,42675,42715
20241230,0.144500000,42710,42730,42670,42690
20241230,0.145000000,42690,42780,42680,42740
20241230,0.145500000,42730,42735,42525,42535
20241231,0.090000000,42570,42705,42375,42410
20241231,0.090500000,42410,42560,42380,42530
20241231,0.091000000,42525,42645,42505,42575
20241231,0.091500000,42570,42610,42510,42525
20241231,0.092000000,42520,42595,42520,42565
20241231,0.092500000,42555,42650,42535,42615
20241231,0.093000000,42610,42625,42480,42515
20241231,0.093500000,42515,42600,42505,42565
20241231,0.094000000,42565,42565,42505,42505
20241231,0.094500000,42510,42540,42320,42405
20241231,0.095000000,42405,42445,42365,42425
20241231,0.095500000,42420,42490,42420,42460
20241231,0.100000000,42465,42485,42410,42440
20241231,0.100500000,42440,42520,42350,42395
20241231,0.101000000,42395,42430,42375,42390
20241231,0.103000000,42385,42425,42380,42390
20241231,0.103500000,42390,42450,42390,42450
20241231,0.104000000,42445,42455,42300,42340
20241231,0.104500000,42330,42350,42230,42310
20241231,0.105000000,42310,42335,42280,42330
20241231,0.105500000,42335,42395,42300,42335
20241231,0.110000000,42340,42435,42320,42410
20241231,0.110500000,42410,42420,42300,42345
20241231,0.111000000,42345,42380,42335,42360
20241231,0.111500000,42365,42490,42365,42480
20241231,0.112000000,42475,42615,42475,42540
20241231,0.112500000,42540,42585,42485,42490
20241231,0.133000000,42475,42495,42390,42430
20241231,0.133500000,42435,42530,42420,42425
20241231,0.134000000,42420,42475,42405,42465
20241231,0.134500000,42470,42510,42430,42505
20241231,0.135000000,42510,42530,42420,42460
20241231,0.135500000,42455,42470,42445,42465
20241231,0.140000000,42465,42465,42410,42435
20241231,0.140500000,42440,42440,42330,42385
20241231,0.141000000,42385,42430,42340,42360
20241231,0.141500000,42355,42420,42325,42400
20241231,0.142000000,42390,42425,42385,42400
20241231,0.142500000,42400,42405,42355,42365
20241231,0.143000000,42365,42400,42300,42385
20241231,0.143500000,42390,42415,42365,42385
20241231,0.144000000,42385,42530,42365,42495
20241231,0.144500000,42500,42510,42420,42430
20241231,0.145000000,42435,42470,42360,42400
