date,time,open,high,low,close
20090327,0,3550,3663,3513,3561
20090330,0,3550,3580,3528,3544
20090331,0,3538,3566,3531,3549
20090401,0,3560,3561,3543,3547
20090402,0,3545,3548,3456,3473
20090403,0,3481,3481,3436,3448
20090407,0,3410,3518,3410,3491
20090408,0,3480,3491,3456,3463
20090409,0,3476,3486,3460,3468
20090410,0,3483,3499,3470,3484
20090413,0,3485,3493,3464,3469
20090414,0,3475,3600,3469,3560
20090415,0,3570,3590,3550,3562
20090416,0,3582,3628,3570,3596
20090417,0,3594,3648,3581,3620
20090420,0,3620,3648,3608,3623
20090421,0,3580,3590,3486,3524
20090422,0,3550,3566,3508,3526
20090423,0,3529,3531,3488,3513
20090424,0,3513,3522,3497,3501
20090427,0,3510,3520,3492,3499
20090428,0,3496,3515,3496,3507
20090429,0,3507,3520,3503,3520
20090430,0,3536,3575,3523,3553
20090504,0,3573,3660,3571,3636
20090505,0,3636,3644,3570,3577
20090506,0,3578,3598,3573,3594
20090507,0,3628,3630,3591,3593
20090508,0,3599,3616,3589,3614
20090511,0,3615,3678,3606,3639
20090512,0,3645,3660,3630,3645
20090513,0,3655,3657,3634,3639
20090514,0,3616,3620,3590,3594
20090515,0,3600,3618,3596,3604
20090518,0,3595,3612,3581,3608
20090519,0,3630,3630,3611,3618
20090520,0,3616,3644,3612,3618
20090521,0,3620,3642,3618,3624
20090522,0,3619,3627,3608,3618
20090525,0,3629,3629,3600,3609
20090526,0,3609,3620,3596,3601
20090527,0,3628,3628,3606,3610
20090601,0,3630,3657,3622,3647
20090602,0,3660,3682,3652,3655
20090603,0,3659,3672,3656,3670
20090604,0,3650,3712,3645,3700
20090605,0,3721,3778,3720,3756
20090608,0,3755,3793,3747,3788
20090609,0,3797,3807,3768,3779
20090610,0,3792,3813,3774,3808
20090611,0,3810,3940,3807,3878
20090612,0,3888,3928,3835,3864
20090615,0,3855,3877,3823,3849
20090616,0,3829,3882,3828,3865
20090617,0,3861,3878,3841,3852
20090618,0,3852,3865,3830,3842
20090619,0,3852,3920,3846,3907
20090622,0,3908,3936,3900,3919
20090623,0,3898,3900,3835,3881
20090624,0,3888,3897,3858,3870
20090625,0,3862,3888,3858,3866
20090626,0,3870,3887,3846,3854
20090629,0,3846,3853,3823,3829
20090630,0,3832,3840,3817,3826
20090701,0,3826,3845,3820,3839
20090702,0,3856,3878,3845,3867
20090703,0,3867,3883,3858,3859
20090706,0,3858,3874,3855,3866
20090707,0,3876,3880,3864,3870
20090708,0,3861,3870,3837,3850
20090709,0,3841,3868,3841,3865
20090710,0,3874,3892,3865,3882
20090713,0,3891,3913,3881,3886
20090714,0,3902,3908,3890,3901
20090715,0,3907,3975,3907,3973
20090716,0,3989,4028,3967,4001
20090717,0,4001,4012,3975,3978
20090720,0,3986.934864,4001.826304,3977.007237,3999.840779
20090721,0,4008.775643,4015.724981,3984.949339,4004.804592
20090722,0,4014.732219,4058.413776,4006.790117,4042.529573
20090723,0,4058.413776,4094.153232,4046.500624,4092.167707
20090724,0,4095.145995,4167.617669,4090.182181,4153.718992
20090727,0,4167.617669,4227.183429,4147.762416,4205.34265
20090728,0,4204.349888,4304.618917,4187.472922,4299.655104
20090729,0,4301.640629,4384.03993,4272.850512,4360.213626
20090730,0,4378.083354,4416.801098,4329.437984,4411.837285
20090731,0,4449.562266,4593.512853,4422.757674,4593.512853
20090803,0,4742.427252,4821.848266,4695.767407,4821.848266
20090804,0,4934.030447,4945.943599,4793.058148,4812.913402
20090805,0,4836.739706,4902.262041,4785.116047,4847.660095
20090806,0,4854.609433,4877.442975,4803.978538,4863.544297
20090807,0,4849.64562,4868.508111,4656.0569,4719.593711
20090810,0,4724.665271,4792.624175,4621.205448,4708.436279
20090811,0,4684.092791,4741.908575,4668.878111,4724.665271
20090812,0,4711.479215,4728.722519,4629.319943,4656.706367
