date,time,open,high,low,close
20190816,0,3600,3735,3597,3685
20190819,0,3690,3696,3662,3673
20190820,0,3679,3679,3655,3662
20190821,0,3664,3675,3663,3671
20190822,0,3675,3675,3616,3633
20190823,0,3630,3639,3625,3635
20190826,0,3640,3664,3623,3632
20190827,0,3633,3648,3628,3641
20190828,0,3640,3643,3626,3627
20190829,0,3621,3636,3600,3623
20190830,0,3624,3640,3611,3619
20190902,0,3626,3635,3619,3623
20190903,0,3626,3626,3611,3618
20190904,0,3620,3635,3601,3625
20190905,0,3635,3635,3616,3618
20190906,0,3617,3709,3616,3658
20190909,0,3663,3673,3623,3660
20190910,0,3663,3672,3645,3652
20190911,0,3653,3664,3630,3637
20190912,0,3635,3642,3628,3631
20190916,0,3635,3651,3629,3639
20190917,0,3642,3685,3639,3673
20190918,0,3681,3685,3656,3670
20190919,0,3666,3676,3663,3671
20190920,0,3668,3692,3645,3667
20190923,0,3664,3678,3662,3670
20190924,0,3666,3677,3655,3673
20190925,0,3666,3674,3645,3655
20190926,0,3651,3680,3650,3665
20190930,0,3642,3654,3638,3639
20191008,0,3636,3649,3630,3642
20191009,0,3642,3660,3640,3648
20191010,0,3655,3655,3643,3648
20191011,0,3650,3650,3639,3641
20191014,0,3641,3648,3631,3641
20191015,0,3634,3649,3634,3634
20191016,0,3631,3643,3630,3637
20191017,0,3642,3643,3632,3639
20191018,0,3635,3640,3634,3639
20191021,0,3636,3640,3630,3630
20191022,0,3630,3635,3609,3618
20191023,0,3616,3629,3610,3618
20191024,0,3629,3640,3609,3624
20191025,0,3619,3627,3613,3617
20191028,0,3617,3625,3617,3620
20191029,0,3618,3624,3614,3622
20191030,0,3624,3624,3617,3620
20191031,0,3620,3649,3618,3629
20191101,0,3628,3630,3620,3624
20191104,0,3624,3630,3621,3621
20191105,0,3624,3631,3596,3615
20191106,0,3615,3620,3610,3620
20191107,0,3620,3626,3610,3619
20191108,0,3619,3624,3610,3610
20191111,0,3610,3617,3603,3603
20191112,0,3605,3614,3605,3605
20191113,0,3610,3616,3608,3610
20191114,0,3608,3614,3606,3612
20191115,0,3611,3625,3607,3612
20191118,0,3611,3626,3610,3621
20191119,0,3622,3756,3589,3620
20191120,0,3620,3620,3612,3619
20191121,0,3614,3619,3603,3613
20191122,0,3615,3615,3603,3603
20191125,0,3608,3613,3604,3608
20191126,0,3609,3614,3605,3608
20191127,0,3605,3609,3591,3593
20191128,0,3598,3598,3565,3565
20191129,0,3576,3577,3563,3575
20191202,0,3572,3577,3534,3544
20191203,0,3536,3544,3502,3508
20191204,0,3508,3515,3435,3439
20191205,0,3440,3461,3417,3423
20191206,0,3426,3449,3425,3436
20191209,0,3432,3448,3419,3419
20191210,0,3429,3450,3310,3418
20191211,0,3423,3424,3383,3400
20191212,0,3406,3406,3390,3396
20191213,0,3396,3403,3388,3389
20191216,0,3410,3418,3380,3403
20191217,0,3398.093714,3409.8688,3395.149942,3398.093714
20191218,0,3397.112457,3405.943772,3386.318627,3386.318627
20191219,0,3385.33737,3388.281142,3374.543541,3381.412341
20191220,0,3387.299885,3397.112457,3336.27451,3343.14331
20191223,0,3337.255767,3360.80594,3317.630623,3352.955882
20191224,0,3363.749712,3363.749712,3339.218281,3347.068339
20191225,0,3343.14331,3343.14331,3215.579873,3303.893022
20191226,0,3297.024221,3316.649366,3288.192907,3306.836794
20191227,0,3320.574394,3332.349481,3300.94925,3311.74308
20191230,0,3307.818051,3319.593137,3303.893022,3316.649366
20191231,0,3312.724337,3312.724337,3268.567762,3303.893022
20200102,0,3305.855536,3309.780565,3290.155421,3296.042964
20200103,0,3290.155421,3306.836794,3278.380334,3285.249135
20200106,0,3281.324106,3292.117935,3262.680219,3263.661476
20200107,0,3258.75519,3277.399077,3258.75519,3275.436563
20200108,0,3270.530277,3306.836794,3263.661476,3286.230392
20200109,0,3284.267878,3295.061707,3276.41782,3276.41782
20200110,0,3276.41782,3294.08045,3276.41782,3285.249135
20200113,0,3287.211649,3298.986736,3279.361592,3298.005479
20200114,0,3293.099193,3309.780565,3289.174164,3298.986736
20200115,0,3297.024221,3300.94925,3277.399077,3278.380334
20200116,0,3285.249135,3289.174164,3278.380334,3284.267878
20200117,0,3285.249135,3297.024221,3275.436563,3276.41782
20200120,0,3280.342849,3292.117935,3271.511534,3277.399077
20200121,0,3275.436563,3285.249135,3275.436563,3277.399077
20200122,0,3284.267878,3284.267878,3261.698962,3262.680219
20200123,0,3252.867647,3271.511534,3249.923875,3264.642734
20200203,0,3261.698962,3341.180796,3218.523645,3305.855536
20200204,0,3316.649366,3333.330738,3298.986736,3319.593137
20200205,0,3321.555652,3331.368224,3294.08045,3320.574394
20200206,0,3320.574394,3340.199539,3314.686851,3337.255767
20200207,0,3341.180796,3363.749712,3326.461938,3353.93714
20200210,0,3360.80594,3364.730969,3301.930507,3349.030854
20200211,0,3350.012111,3355.899654,3324.499423,3330.386967
20200212,0,3326.461938,3346.087082,3326.461938,3332.349481
20200213,0,3335.293253,3346.087082,3331.368224,3336.27451
20200214,0,3343.14331,3343.14331,3288.192907,3319.593137
20200217,0,3324.499423,3449.119089,3324.499423,3449.119089
20200218,0,3424.587659,3430.475202,3380.431084,3385.33737
20200219,0,3390.243656,3414.775087,3389.262399,3395.149942
20200220,0,3379.449827,3398.093714,3373.562284,3382.393599
20200221,0,3389.262399,3399.074971,3378.46857,3380.431084
20200224,0,3380.431084,3485.425606,3380.431084,3410.850058
20200225,0,3404.962514,3418.700115,3375.524798,3400.056228
20200226,0,3405.943772,3435.381488,3385.33737,3401.037486
20200227,0,3412.812572,3413.793829,3387.299885,3391.224913
20200228,0,3391.224913,3396.1312,3350.993368,3360.80594
20200302,0,3365.712226,3408.887543,3334.311995,3386.318627
20200303,0,3391.224913,3410.850058,3379.449827,3390.243656
20200304,0,3395.149942,3416.737601,3380.431084,3389.262399
20200305,0,3400.056228,3403.981257,3382.393599,3399.074971
20200306,0,3404.962514,3414.775087,3388.281142,3393.187428
20200309,0,3387.299885,3388.281142,3316.649366,3350.012111
20200310,0,3373.562284,3375.524798,3330.386967,3346.087082
20200311,0,3346.087082,3349.030854,3318.61188,3322.536909
20200312,0,3302.911765,3320.574394,3290.155421,3309.780565
20200313,0,3301.930507,3314.686851,3285.249135,3292.117935
20200316,0,3292.117935,3316.649366,3278.380334,3280.342849
20200317,0,3295.061707,3295.061707,3239.130046,3271.511534
20200318,0,3263.661476,3297.024221,3260.717705,3270.530277
20200319,0,3270.530277,3295.061707,3243.055075,3283.286621
20200320,0,3283.286621,3295.061707,3260.717705,3279.361592
20200323,0,3271.511534,3363.749712,3271.511534,3340.199539
20200324,0,3326.461938,3367.67474,3302.911765,3318.61188
20200325,0,3318.61188,3350.012111,3318.61188,3340.199539
20200326,0,3340.199539,3372.581027,3332.349481,3360.80594
20200327,0,3359.862159,3425.926864,3309.841739,3340.042747
20200330,0,3377.794007,3491.991569,3359.862159,3467.45325
20200331,0,3463.678124,3475.003502,3402.332326,3422.151738
20200401,0,3424.983082,3435.364679,3341.93031,3357.974596
20200402,0,3359.862159,3414.601486,3306.066613,3368.356192
20200403,0,3382.512915,3405.163671,3341.93031,3362.693503
20200407,0,3372.131318,3394.782074,3334.380058,3385.344259
