date,time,open,high,low,close
20050203,0,11807.049169,11912.469251,11807.049169,11845.383744
20050204,0,11835.8001,11955.595648,11821.424634,11912.469251
20050216,0,11922.052894,12037.05662,11922.052894,12037.05662
20050217,0,12027.472976,12056.223908,11912.469251,11922.052894
20050218,0,11979.554757,12008.305689,11902.885607,11907.677429
20050221,0,11912.367337,11954.576513,11860.778345,11912.367337
20050222,0,11931.126971,12128.103124,11931.126971,12128.103124
20050223,0,12203.141658,12362.598544,12067.134314,12090.583856
20050224,0,12146.862757,12334.459093,12090.583856,12282.870101
20050225,0,12235.971017,12400.117811,12207.831566,12343.83891
20050228,0,12418.877444,12503.295796,12339.149002,12390.737994
20050301,0,12362.598544,12409.497628,12259.420559,12282.870101
20050302,0,12278.180192,12428.257261,12268.800376,12400.117811
20050303,0,12475.156345,12484.536162,12278.180192,12287.560009
20050304,0,12343.83891,12362.598544,12104.653582,12250.040742
20050307,0,12278.180192,12311.009551,12156.242574,12193.761841
20050308,0,12207.831566,12250.040742,12165.622391,12212.521475
20050309,0,12250.040742,12428.257261,12231.281108,12343.83891
20050310,0,12343.83891,12414.187536,12315.69946,12334.459093
20050311,0,12334.459093,12357.908635,12175.002208,12198.45175
20050314,0,12259.420559,12362.598544,12217.211383,12334.459093
20050315,0,12325.079276,12658.062773,12315.69946,12615.853597
20050316,0,12615.853597,12798.760025,12615.853597,12798.760025
20050317,0,13014.495811,13281.82059,12944.147185,13037.945353
20050318,0,12991.046269,13112.983888,12719.031582,12719.031582
20050321,0,12393.255521,12498.788611,12140.893783,12140.893783
20050322,0,11984.888345,12205.131316,11847.236488,12021.595507
20050323,0,12021.595507,12117.951807,11883.94365,11893.12044
20050324,0,11874.766859,12021.595507,11787.58735,12012.418716
20050325,0,12026.183902,12085.83304,11980.29995,12003.241926
20050328,0,12035.360693,12186.777735,11893.12044,11925.239207
20050329,0,11984.888345,12278.54564,11824.294512,12264.780454
20050330,0,12319.841197,12420.785892,12195.954526,12420.785892
20050331,0,12485.023425,12512.553797,12205.131316,12232.661687
20050401,0,12251.015268,12434.551078,12150.070573,12264.780454
20050404,0,12296.899221,12407.020706,12260.192059,12310.664406
20050405,0,12365.725149,12393.255521,12283.134035,12310.664406
20050406,0,12296.899221,12351.959963,12205.131316,12255.603664
20050407,0,12292.310825,12342.783173,12283.134035,12310.664406
20050408,0,12287.72243,12292.310825,11939.004393,11939.004393
20050411,0,11790.161497,11952.535565,11758.588761,11853.306968
20050412,0,11907.431657,11929.983611,11654.849774,11781.140715
20050413,0,11636.80821,11704.464072,11442.861407,11496.986096
20050414,0,11456.392579,11596.214693,11411.288671,11528.558832
20050415,0,11528.558832,11578.17313,11465.413361,11496.986096
20050418,0,11438.351016,11632.29782,11438.351016,11569.152349
20050419,0,11591.704303,11790.161497,11555.621176,11713.484854
20050420,0,11812.713451,11871.348531,11749.56798,11749.56798
20050421,0,11722.505635,11722.505635,11456.392579,11456.392579
20050422,0,11528.558832,11551.110786,11438.351016,11478.944533
20050425,0,11524.048441,11542.090004,11460.90297,11483.454924
20050426,0,11438.351016,11438.351016,11294.018511,11312.060074
20050427,0,11325.591247,11415.799062,11316.570465,11370.695154
20050428,0,11312.060074,11501.496487,11312.060074,11438.351016
20050429,0,11438.351016,11465.413361,11352.653591,11388.736718
20050509,0,11447.371798,11632.29782,11429.330235,11587.193912
20050510,0,11636.80821,11654.849774,11483.454924,11524.048441
20050511,0,11542.090004,11555.621176,11429.330235,11460.90297
20050512,0,11415.799062,11537.579613,11415.799062,11496.986096
20050513,0,11460.90297,11573.66274,11352.653591,11560.131567
20050516,0,11600.725084,11717.995244,11573.66274,11654.849774
20050517,0,11636.80821,11695.443291,11573.66274,11686.422509
20050518,0,11708.974463,11835.265405,11681.912118,11826.244623
20050519,0,11781.140715,11835.265405,11717.995244,11727.016026
20050520,0,11749.56798,11803.692669,11708.974463,11749.56798
20050523,0,11772.119934,11880.369313,11772.119934,11871.348531
20050524,0,11911.942048,11979.59791,11781.140715,11821.734232
20050525,0,11713.484854,11799.182278,11686.422509,11785.651106
20050526,0,11889.390094,12051.764162,11821.734232,12024.701817
20050527,0,12069.805725,12092.357679,11970.577128,12069.805725
20050530,0,12087.614365,12167.753245,11971.858206,12069.805725
20050531,0,12109.875165,12163.301085,12029.736285,12056.449245
20050601,0,12038.640605,12132.135965,11967.406046,12132.135965
20050602,0,12212.274845,12270.152925,12163.301085,12198.918365
20050603,0,12207.822685,12270.152925,12158.848925,12270.152925
20050606,0,12421.526364,12581.804124,12350.291804,12581.804124
20050607,0,12470.500124,12666.395164,12425.978524,12599.612764
20050608,0,12599.612764,12653.038684,12470.500124,12528.378204
20050609,0,12421.526364,12537.282524,12359.196124,12359.196124
20050610,0,12403.717724,12608.517084,12403.717724,12608.517084
20050613,0,12608.517084,12626.325724,12448.239324,12474.952284
20050614,0,12599.612764,12621.873564,12212.274845,12430.430684
20050615,0,12448.239324,12457.143644,12332.483164,12363.648284
20050616,0,12385.909084,12417.074204,12225.631325,12292.413725
20050617,0,12292.413725,12399.265564,12292.413725,12394.813404
20050620,0,12510.320626,12608.057506,12439.239259,12554.74648
20050621,0,12510.320626,12554.74648,12439.239259,12510.320626
20050622,0,12523.648382,12705.794386,12510.320626,12665.811117
20050623,0,12705.794386,12781.318338,12621.385262,12674.696288
20050624,0,12714.679557,12830.186778,12679.138873,12781.318338
20050627,0,12799.08868,12865.727462,12759.105411,12799.08868
20050628,0,12759.105411,12834.629364,12679.138873,12807.973851
20050629,0,12767.990582,12901.268146,12759.105411,12879.055218
20050630,0,12919.038487,13003.447611,12839.071949,12852.399706
20050701,0,12883.497804,13123.397418,12861.284877,13096.741905
20050704,0,13203.363956,13376.624789,13203.363956,13376.624789
20050705,0,13434.3784,13461.033912,13278.887909,13385.50996
20050706,0,13438.820985,13589.86889,13425.493229,13572.098548
20050707,0,13843.096261,13914.177628,13798.670406,13914.177628
20050708,0,13834.21109,14189.617926,13785.34265,14154.077242
20050711,0,14127.42173,14242.928951,14051.897777,14082.995875
20050712,0,14171.847584,14393.976857,14087.438461,14358.436173
20050713,0,14465.058224,14478.38598,13820.883334,13980.81641
20050714,0,14038.570021,14251.814122,13931.94797,14176.29017
20050715,0,14287.354806,14345.108417,14131.864315,14216.273439
20050718,0,14207.470793,14321.905192,14163.457562,14317.503869
20050719,0,14348.31313,14453.944883,14255.885346,14396.727684
20050720,0,14370.319745,14440.740914,14049.023163,14295.497253
20050721,0,14260.286669,14365.918422,14176.661531,14352.714453
20050722,0,14181.062854,14678.412358,14097.437716,14616.793836
20050725,0,14594.787221,14894.077188,14581.583251,14894.077188
20050726,0,14911.68248,15307.801554,14867.669249,15074.531433
20050727,0,15140.551278,15144.952601,14744.432204,14836.859988
20050728,0,14722.425589,15131.748632,14682.813682,15109.742017
20050729,0,15219.775093,15268.189647,14581.583251,14766.438819
20050801,0,14929.287772,14942.491741,14612.392513,14656.405743
20050802,0,14735.629558,14779.642789,14335.109161,14335.109161
20050803,0,14436.339591,14665.208389,14225.076085,14497.958114
20050804,0,14401.129007,14453.944883,14115.043009,14198.668146
20050805,0,14137.049624,14445.142237,14044.62184,14396.727684
20050808,0,14348.31313,14471.550175,14282.293284,14339.510484
20050809,0,14299.898577,14352.714453,14075.431101,14132.648301
20050810,0,13996.207286,14119.444332,13881.772887,13956.595379
20050811,0,14009.411255,14304.2999,14009.411255,14145.85227
20050812,0,14198.668146,14198.668146,13820.154364,13890.575533
20050815,0,13943.39141,13978.601994,13661.706735,13820.154364
20050816,0,13864.167595,13960.996702,13740.93055,13921.384795
20050817,0,13991.805963,14057.825809,13696.917319,13828.957011
20050818,0,13784.94378,13890.575533,13696.917319,13850.963626
20050819,0,13802.549072,13872.970241,13727.726581,13727.726581
20050822,0,13845.729961,13880.693925,13788.913518,13867.582439
20050823,0,13946.251359,13994.32681,13858.841448,13933.139872
20050824,0,13906.916899,14064.254739,13863.211943,14046.772757
20050825,0,14046.772757,14121.071182,14007.438297,14051.143253
20050826,0,14055.513748,14072.99573,13911.287394,13924.398881
20050829,0,13968.103837,14121.071182,13950.621855,14081.736722
20050830,0,14046.772757,14142.92366,14024.920279,14064.254739
20050831,0,14234.704066,14400.782898,14195.369606,14396.412403
20050901,0,14361.448438,14501.304296,14304.631996,14431.376367
20050902,0,14466.340332,14527.52727,14435.746863,14505.674792
20050905,0,14562.491234,14890.278402,14562.491234,14846.573446
20050906,0,14877.166915,14912.13088,14759.163535,14859.684933
20050907,0,14763.53403,14820.350473,14684.86511,14794.127499
20050908,0,14907.760384,15086.950702,14907.760384,15017.022773
20050909,0,15008.281782,15025.763764,14899.019393,14968.947322
20050912,0,14859.684933,14903.389888,14606.19619,14623.678172
20050913,0,14536.268261,14588.714208,14326.484473,14343.966456
20050914,0,14483.822314,14619.307676,14387.671411,14418.26488
20050915,0,14549.379747,14588.714208,14396.412403,14492.563305
20050916,0,14361.448438,14374.559925,14234.704066,14278.409022
20050919,0,14247.815553,14247.815553,14090.477713,14186.628615
20050920,0,14422.635376,14466.340332,14343.966456,14370.189429
20050921,0,14256.556544,14531.897765,14256.556544,14475.081323
20050922,0,14553.750243,14711.088083,14553.750243,14711.088083
20050923,0,14689.235606,14715.458579,14606.19619,14623.678172
20050926,0,14525.331798,14743.404192,14499.676223,14636.50596
20050927,0,14811.819061,14888.785788,14773.335697,14790.439414
20050928,0,14769.059768,14982.856232,14743.404192,14978.580303
20050929,0,15098.306323,15265.067566,15076.926677,15205.204556
20050930,0,15179.54898,15205.204556,14999.95995,15051.271101
20051010,0,15307.826858,15555.830757,15307.826858,15555.830757
20051011,0,15662.72899,15752.523505,15376.241727,15500.243677
20051012,0,15649.901202,15718.31607,15453.208454,15547.278899
20051013,0,15384.793586,15649.901202,15350.586151,15547.278899
20051014,0,15436.104737,15543.002969,15380.517656,15397.621374
20051017,0,15478.86403,15602.865979,15410.449161,15598.59005
20051018,0,15632.797485,15667.004919,15478.86403,15483.139959
20051019,0,15448.932525,15513.071464,15119.68597,15119.68597
20051020,0,15034.167384,15226.584202,14888.785788,15158.169333
20051021,0,15222.308273,15252.239778,14640.781889,14837.474637
20051024,0,15022.522506,15060.373207,14854.29717,14875.325337
20051025,0,14803.829569,14988.877439,14757.567602,14929.998571
20051026,0,14980.466172,15173.925309,14808.035203,14871.119704
20051027,0,14820.652103,14951.026738,14627.192967,14686.071834
20051028,0,14736.539435,14900.559138,14652.426767,14887.942237
20051031,0,14799.623936,14850.091537,14728.128168,14770.184502
20051101,0,14787.007036,14963.643639,14765.978869,14913.176038
20051102,0,14871.119704,14938.409838,14799.623936,14917.381671
20051103,0,14913.176038,15001.494339,14820.652103,14871.119704
20051104,0,14972.054905,15005.699973,14744.950702,14761.773235
20051107,0,14677.660567,14677.660567,14412.705663,14412.705663
20051108,0,14244.480327,14366.443696,14210.83526,14299.153561
20051109,0,14349.621162,14374.854963,14093.077525,14231.863427
20051110,0,14215.040893,14303.359195,14164.573293,14257.097227
20051111,0,14164.573293,14358.032429,14130.928225,14349.621162
20051114,0,14387.471863,14416.911297,14248.685961,14374.854963
20051115,0,14366.443696,14366.443696,14215.040893,14273.919761
20051116,0,14257.097227,14362.238062,14198.21836,14290.742295
20051117,0,14366.443696,14400.088763,14290.742295,14324.387362
20051118,0,14265.508494,14299.153561,14029.993024,14101.488791
20051121,0,14168.778926,14278.125394,14168.778926,14273.919761
20051122,0,14366.443696,14538.874665,14337.004262,14534.669032
20051123,0,14458.967631,14522.052132,14374.854963,14463.173264
20051124,0,14442.145097,14694.483101,14416.911297,14606.1648
20051125,0,14522.052132,14644.0155,14509.435231,14627.192967
20051128,0,14694.483101,14736.539435,14257.097227,14311.770462
20051129,0,14315.976095,14358.032429,14198.21836,14236.06906
20051130,0,14130.928225,14341.209895,14055.226824,14227.657794
20051201,0,14156.162026,14286.536661,14156.162026,14198.21836
20051202,0,14294.947928,14370.649329,14261.302861,14311.770462
20051205,0,14433.73383,14622.987333,14379.060596,14559.902832
