date,time,open,high,low,close
20180326,0,440,447.1,426.3,429.9
20180327,0,429.9,431.7,412.6,424
20180328,0,429,429.2,406.5,410.4
20180329,0,410.5,412,401.6,409.7
20180330,0,407.4,421.7,405,420.3
20180402,0,420.5,421.3,413.8,416.6
20180403,0,414.3,414.3,400.5,402.5
20180404,0,403.8,406.9,399,401.5
20180409,0,398.2,403.5,397.7,402.3
20180410,0,404.2,415.2,403.8,413.5
20180411,0,415,421.8,414.1,417.8
20180412,0,421,429.9,416.9,428.7
20180413,0,425.3,428.7,423.3,427
20180416,0,427.7,431,423.5,424.4
20180417,0,426,427.5,421.5,427.4
20180418,0,422.8,431.4,420.6,429.7
20180419,0,435,444,432.5,440.6
20180420,0,440.7,443,435.3,436.7
20180423,0,435.1,441.2,432.4,439.7
20180424,0,434.2,449.2,432.2,447.3
20180425,0,447,448.9,436.6,438
20180426,0,437.1,445,434.4,441.4
20180427,0,444,445.5,440.4,444.2
20180502,0,439.7,444.4,436,443.5
20180503,0,441.6,448,439.1,447
20180504,0,443.8,448.8,442.8,446.9
20180507,0,448.3,461.6,448.3,458.3
20180508,0,460.6,462.4,456.9,459.1
20180509,0,459.1,466.6,445.3,465.2
20180510,0,466.3,478.4,466,476.4
20180511,0,474.2,474.3,467,471.2
20180514,0,471.7,472.6,462.7,465.6
20180515,0,467.5,475.6,467.5,472.8
20180516,0,478,478,470.5,473.1
20180517,0,472,485.3,470.5,481.9
20180518,0,485,488.6,481.9,486.5
20180521,0,484.8,486,477,482.4
20180522,0,480,486.5,478.3,485.1
20180523,0,486,493.8,482.6,484.6
20180524,0,484.5,487.4,478.1,485
20180525,0,481.1,483.8,476.6,477.4
20180528,0,467.4,470.5,456.6,462.8
20180529,0,462.5,466,459.2,463.8
20180530,0,467,468.3,458.5,463.9
20180531,0,466,476.8,465.3,472.5
20180601,0,470.5,483.9,469.9,474.7
20180604,0,472.9,473.1,467.6,470.9
20180605,0,468.7,471.4,461.6,466.2
20180606,0,461.7,466.7,455.8,465
20180607,0,461,466,458,465.8
20180608,0,467.7,474.2,466.6,468.3
20180611,0,469,476.3,466.8,467.5
20180612,0,466.4,473,463.9,472.1
20180613,0,469.2,471.7,463,464.5
20180614,0,466.3,472,464.4,468.1
20180615,0,470.7,472.2,465.5,467.2
20180619,0,463.1,465.5,458,460.3
20180620,0,461.1,465.7,458.8,464.2
20180621,0,465,468.7,458.7,459.8
20180622,0,458,461.8,453.7,459
20180625,0,464.4,472,464.3,466.5
20180626,0,468.4,471.9,465.3,471.5
20180627,0,472.2,486.1,469.6,485
20180628,0,487,495,486.3,491
20180629,0,490.4,498,490.4,494.8
20180702,0,498,510,497.6,501.6
20180703,0,502.4,505.2,496.8,503.5
20180704,0,504.1,504.5,491.3,496.7
20180705,0,496,501.8,494.4,497.6
20180706,0,498.8,502,492.8,495.7
20180709,0,491,498.7,487,497.7
20180710,0,497.6,505,496.3,504.9
20180711,0,506.7,511.5,502.6,507.9
20180712,0,503.2,508.6,490,492.6
20180713,0,492.5,495.8,487.6,491.1
20180716,0,494,499.5,491.8,491.9
20180717,0,486.2,488.7,478.5,479.2
20180718,0,483,485.3,478.6,481.5
20180719,0,482.6,489.1,479,486.1
20180720,0,483.5,494.5,483.3,493.4
20180723,0,493.6,494.7,489.1,490.4
20180724,0,495.5,499.7,493.1,494.7
20180725,0,495,504.3,492.9,503.1
20180726,0,501.7,504.7,497.3,503.8
20180727,0,501.3,508.7,501.3,506.9
20180730,0,508.3,510,503.7,510
20180731,0,514.1,515.5,512.4,513.2
20180801,0,512.8,514.1,501.3,503.3
20180802,0,497.6,504.3,497.4,503.7
20180803,0,501,515.3,501,513.5
20180806,0,512.7,519.6,506,518.6
20180807,0,520.9,537.2,520.5,537.2
20180808,0,545.6,550,510.2,523.2
20180809,0,518.469257,526.420931,513.637861,516.154213
20180810,0,518.670566,520.98561,507.195998,509.611697
20180813,0,513.13459,518.871874,510.9202,512.63132
20180814,0,513.537207,522.596075,508.303194,519.375144
20180815,0,523.401308,525.213082,511.524125,513.436553
20180816,0,512.128049,515.650943,497.231243,501.156753
20180817,0,503.270489,505.082262,498.237784,499.948903
20180820,0,504.7803,506.793382,483.139669,494.614236
20180821,0,494.412928,505.182917,491.695267,499.646941
20180822,0,503.270489,511.322816,500.049558,507.900577
20180823,0,512.430012,517.0601,508.202539,511.322816
20180824,0,511.322816,518.066641,507.497961,515.147672
20180827,0,515.550289,517.664025,511.020854,514.141131
20180828,0,515.852251,519.576452,512.933282,515.34898
20180829,0,516.858792,517.462716,511.423471,511.826087
20180830,0,516.355521,527.024856,514.040477,526.219623
20180831,0,526.924202,528.735975,522.495421,527.427472
20180903,0,526.320277,527.830088,521.388226,524.609157
20180904,0,525.41439,530.447095,523.602616,527.326818
20180905,0,533.76868,535.98307,523.803925,524.709811
20180906,0,523.904579,527.729434,522.092805,523.401308
20180907,0,525.213082,526.018315,515.34898,520.180377
20180910,0,520.079723,528.836629,514.241785,527.930743
20180911,0,526.622239,528.434013,521.690189,527.729434
20180912,0,526.219623,543.83409,525.615698,539.40531
20180913,0,540.613159,544.035398,533.668026,536.788303
20180914,0,534.976529,536.888957,526.924202,529.239246
20180917,0,528.735975,533.969988,524.609157,531.252328
20180918,0,532.963447,534.070643,525.817007,526.722893
20180919,0,533.466718,536.385687,529.3399,532.158215
20180920,0,530.849711,541.116429,529.138592,539.40531
20180921,0,536.486341,538.298115,532.661485,535.580454
20180925,0,546.249788,555.912582,545.142593,552.691651
20180926,0,554.40277,559.133513,554.201462,557.82501
20180927,0,554.604078,563.662947,553.698192,561.347903
20180928,0,560.442016,568.293036,554.906041,567.286495
20181008,0,576.345364,578.761062,569.299577,576.24471
20181009,0,572.923124,601.911504,572.923124,596.778145
20181010,0,597.985995,602.414775,588.927126,601.206926
20181011,0,599.193844,601.206926,571.010696,577.955829
20181012,0,578.358446,580.371528,564.065564,577.049942
20181015,0,575.439477,579.063024,564.971451,576.848634
20181016,0,576.24471,577.351905,558.932205,563.662947
20181017,0,560.743978,569.903501,556.61716,569.702193
20181018,0,564.568834,565.474721,550.879877,558.32828
20181019,0,549.168757,563.360985,549.168757,555.409311
20181022,0,559.334821,565.575375,556.013236,562.958369
20181023,0,559.234167,561.347903,554.604078,557.724356
20181024,0,549.97399,551.181839,534.573913,539.707272
20181025,0,543.33082,547.256329,534.573913,539.807926
20181026,0,545.142593,546.249788,539.002693,541.821008
20181029,0,541.519046,548.766141,538.499423,539.606618
20181030,0,540.009234,546.551751,539.103347,544.941285
20181031,0,538.499423,540.109888,528.132051,538.600077
20181101,0,536.486341,537.19092,522.998692,526.018315
20181102,0,524.810466,527.729434,506.592074,514.040477
20181105,0,511.725433,514.745056,507.598615,512.933282
20181106,0,515.34898,520.784302,508.403848,510.9202
20181107,0,510.819546,515.550289,500.85479,501.861331
20181108,0,508.605156,510.316275,502.465256,506.692728
20181109,0,505.484879,506.088803,495.721431,498.6404
20181112,0,491.99723,503.471797,487.065179,501.861331
20181113,0,500.049558,501.961985,486.763217,487.568449
20181114,0,486.3606,489.883494,471.061177,471.061177
20181115,0,468.041554,470.859869,459.08334,466.934359
20181116,0,467.538284,471.967064,463.713428,469.752674
20181119,0,473.110872,474.987513,461.159637,466.592017
20181120,0,462.246113,465.999394,456.418652,459.282997
20181121,0,459.282997,459.480538,438.146102,441.998153
20181122,0,445.455122,448.81332,435.578068,437.65225
20181123,0,439.133808,443.380941,423.626833,427.676425
20181126,0,422.046505,422.145275,413.74978,413.74978
20181127,0,410.391581,421.25634,410.391581,412.959615
20181128,0,414.836256,423.725604,408.910023,421.453881
20181129,0,415.72519,418.885848,401.699774,404.465349
20181130,0,409.798958,414.737485,406.53953,412.959615
20181203,0,407.724777,432.417411,400.316987,426.392408
20181204,0,422.639128,428.960442,417.601831,426.886261
20181205,0,429.157983,430.738312,415.823961,419.873553
20181206,0,424.81208,429.849377,415.527649,417.206748
20181207,0,408.910023,414.836256,401.601004,406.737071
20181210,0,412.169451,431.923558,411.576828,423.626833
20181211,0,420.268635,422.244046,409.996499,413.651009
20181212,0,416.811666,421.651423,414.935026,420.169865
20181213,0,421.848964,423.429292,415.132567,417.009207
20181214,0,412.860845,423.330522,411.675598,416.614125
20181217,0,416.811666,420.367406,407.724777,412.663304
20181218,0,415.756587,416.433243,400.290171,401.933478
20181219,0,400.096841,403.383454,383.760439,386.080402
20181220,0,385.693741,392.170303,382.407128,384.823755
20181221,0,381.440477,384.72709,372.933948,376.607222
20181224,0,369.260675,376.607222,362.977443,371.967297
20181225,0,367.714033,370.033995,339.874485,343.741089
20181226,0,345.191065,352.730943,340.937801,345.384395
20181227,0,349.250999,372.837283,344.90107,370.613986
20181228,0,365.587401,370.517321,360.657481,366.457387
20190102,0,368.100693,370.227326,357.080872,358.530849
20190103,0,358.530849,384.050435,357.854193,372.547288
20190104,0,378.347194,388.400364,373.320609,384.72709
20190107,0,388.497029,397.776879,385.597076,393.910275
20190108,0,395.456916,401.643483,389.27035,391.976973
20190109,0,395.360251,405.800082,393.716944,402.416803
20190110,0,405.510086,414.596606,402.610134,407.443388
20190111,0,409.860016,413.243294,405.703417,412.663304
20190114,0,412.276643,412.276643,398.74353,400.966827
20190115,0,402.223473,406.186742,399.32352,402.416803
20190116,0,403.190124,409.37669,400.676832,408.7967
20190117,0,405.993412,411.599988,404.06011,411.019997
20190118,0,405.220091,418.84987,404.25344,417.593224
20190121,0,416.626573,426.776408,415.079931,424.16645
20190122,0,423.58646,427.453064,417.786554,420.009851
20190123,0,416.529908,418.753205,409.763351,417.979884
20190124,0,420.106516,421.169832,407.443388,411.503323
20190125,0,409.860016,418.559875,409.086695,416.433243
20190128,0,412.276643,416.336577,407.830049,407.926714
20190129,0,407.540054,409.280025,399.226855,404.543435
20190130,0,406.476737,414.886601,405.510086,410.923332
20190131,0,415.079931,419.526526,412.953299,417.206563
20190201,0,415.659922,423.006469,408.60337,409.086695
20190211,0,410.730002,416.433243,408.893365,415.273261
20190212,0,416.626573,420.009851,410.053346,413.146629
20190213,0,417.979884,423.77979,414.789936,418.076549
20190214,0,417.593224,428.033054,415.756587,427.066403
20190215,0,427.066403,432.672979,420.009851,429.483031
20190218,0,432.339902,445.576741,429.387802,445.576741
20190219,0,438.053646,439.958227,434.244483,439.196394
20190220,0,438.910707,438.910707,432.054215,434.6254
20190221,0,431.958986,440.529601,429.006886,435.482461
20190222,0,435.006316,435.672919,430.816238,435.006316
20190225,0,437.672729,438.720249,424.912036,427.57845
20190226,0,420.245813,420.817187,407.104203,412.43703
20190227,0,416.150963,419.48398,412.341801,417.388941
20190228,0,421.959936,423.769288,417.293712,418.722148
20190301,0,419.388751,428.721198,418.817377,427.864137
20190304,0,423.769288,425.864327,411.008594,415.293902
20190305,0,417.103254,422.436081,412.532259,413.770237
20190306,0,417.103254,419.007835,405.770996,417.674628
20190307,0,417.293712,424.435891,414.151153,419.007835
20190308,0,423.578829,424.245433,415.674818,416.150963
20190311,0,410.43722,419.864896,406.151913,418.722148
20190312,0,419.007835,427.102304,418.722148,423.007455
20190313,0,426.150014,426.626159,419.769667,424.245433
20190314,0,425.102494,432.244673,425.007265,431.101925
20190315,0,431.482841,435.57769,426.721388,433.292193
20190318,0,429.285528,433.006003,422.98934,430.430289
